sampleID	mouse_id	tissue	tissue_region	genotype	group	sex	pmi_interval	cells_ul	batch
B_6	B623-6	brain	hemiforebrain	B623	WT_Female_Fresh	Female	0	1400	2
B_7	B623-7	brain	hemiforebrain	B623	WT_Female_Fresh	Female	0	1200	1
P_65	PS1922-65	brain	hemiforebrain	WT	WT_Female_Fresh	Female	0	1000	1
P_69	PS1922-69	brain	hemiforebrain	PS1922	Hemi_Female_Fresh	Female	0	1500	2
J_3	JAX22-3	brain	hemiforebrain	JAX22	WT_Male_Fresh	Male	0	300	1
J_4	Jax22-4	brain	hemiforebrain	JAX22	WT_Male_Fresh	Male	0	600	3
P_52	PS1922-52	brain	hemiforebrain	PS1922	Hemi_Male_Fresh	Male	0	800	1
P_62	PS1922-62	brain	hemiforebrain	PS1922	Hemi_Male_Fresh	Male	0	1400	2
P_67	PS1922-67	brain	hemiforebrain	PS1922	Hemi_Male_Fresh	Male	0	1500	3
B_10	B623-10	brain	hemiforebrain	B623	WT_Female_3_hr	Female	3	1100	3
B_8	B623-8	brain	hemiforebrain	B623	WT_Female_3hr	Female	3	400	1
B_9	B623-9	brain	hemiforebrain	B623	WT_Female_3hr	Female	3	2000	2
P_60	PS1922-66	brain	hemiforebrain	PS1922	Hemi_Female_3hr	Female	3	2000	1
P_71	PS1922-71	brain	hemiforebrain	PS1922	Hemi_Female_3hr	Female	3	1200	3
J_1	Jax22-1	brain	hemiforebrain	JAX22	WT_Male_3hr	Male	3	1500	2
J_2	Jax22-2	brain	hemiforebrain	JAX22	WT_Male_3hr	Male	3	1900	1
P_53	PS1922-53	brain	hemiforebrain	PS1922	Hemi_Male_3hr	Male	3	1600	2
P_54	Ps1922-54	brain	hemiforebrain	PS1922	Hemi_Male_3hr	Male	3	1700	1
P_64	P1922-64	brain	hemiforebrain	PS1922	Hemi_Male_3hr	Male	3	1400	2
P_68	PS1922-68	brain	hemiforebrain	PS1922	Hemi_Female_3hr	Female	3	1300	2
