gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	percent_0	percent_3	percent_difference
Xkr4	46377.5659050819	-0.0286775849496228	0.0501801282623914	-0.571492858680392	0.567665599792456	0.952669654525537	1	1	0
Rp1	35.4049815868075	-0.448858945875489	0.276042307394842	-1.62605127493539	0.103938748074614	0.789020234081462	1	1	0
Sox17	14.0953607383137	-0.2552170589443	0.589396195431418	-0.433014432265701	0.665004285017036	NA	1	0.9	0.1
Mrpl15	596.121810907729	0.00767818488814258	0.0637454779324056	0.120450659986962	0.904126162617578	0.989022324057675	1	1	0
Lypla1	1087.29080769667	-0.0936245126940091	0.045607154709921	-2.0528470431777	0.0400874143999276	0.629658107027817	1	1	0
Tcea1	2451.17623158646	-0.0209672183605285	0.0344335189827097	-0.608918837806177	0.542578237226899	0.945407623809766	1	1	0
Rgs20	4912.374595331	0.0676426654013612	0.130835764614264	0.517004395554902	0.605153090422115	0.955499665530742	1	1	0
Atp6v1h	4748.40878148231	-0.0598879565924896	0.0515689062660058	-1.16131911511894	0.24551214876037	0.866717639727551	1	1	0
Oprk1	421.17009362838	-0.10336747582611	0.17822844006156	-0.579971837212999	0.561933609806115	0.952669654525537	1	1	0
Npbwr1	3.85248144038281	-0.192750837607998	0.468996567086993	-0.410985604447388	0.681083090448578	NA	0.875	1	0.125
Rb1cc1	6133.44979780778	0.0106409917392136	0.027682112741237	0.384399552110853	0.700682332435535	0.96821456329271	1	1	0
Alkal1	24.5896702303606	-0.0117969135276783	0.212231392614871	-0.055585148748874	0.955672295793861	0.994883849345026	1	1	0
St18	2933.13384769256	0.212055593471993	0.351730589698697	0.602892098903443	0.546580472500998	0.945987476804724	1	1	0
Pcmtd1	6898.76684062212	0.0168535181938946	0.0449325270228293	0.375085028832936	0.707597230853491	0.969004742350872	1	1	0
Sntg1	38696.3807150308	-5.08881881398758e-05	0.0500095984560135	-0.00101756842108291	0.999188098007371	0.999896993429866	1	1	0
Rrs1	116.243883988775	0.105956845360844	0.120437717368325	0.879764642473298	0.37898682250564	0.917745830716437	1	1	0
Adhfe1	357.600348085153	0.038469278259506	0.119025236294657	0.323202704376675	0.746541732933183	0.974832212296709	1	1	0
Vxn	1437.5401413356	0.297812649071275	0.111960946323057	2.65996902359109	0.00781478384037155	0.367730194324317	1	1	0
Mybl1	129.238134792014	0.00383470609863549	0.0903669431823257	0.0424348325127976	0.966152061017812	0.99631340990322	1	1	0
Vcpip1	1361.89820391649	0.0153285381733804	0.058596530372961	0.26159463838244	0.793633978067678	0.982306574766252	1	1	0
