gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	percent_PS19	percent_WT	percent_difference
Xkr4	46377.5659050819	-0.0160795746252183	0.0507661208213002	-0.316738296428427	0.751442187423298	0.918912335738972	1	1	0
Rp1	35.4049815868075	-0.082061774999006	0.280567443688739	-0.292485022211077	0.769915810010186	0.925539526212823	1	1	0
Sox17	14.0953607383137	-0.0991966224418663	0.597355669766341	-0.166059564615278	0.868110075035683	NA	1	0.888888888888889	0.111111111111111
Mrpl15	596.121810907729	0.0459538626260265	0.0646407810093028	0.710911314939295	0.477139193906909	0.793456918438945	1	1	0
Lypla1	1087.29080769667	0.032378603610644	0.0462843677158183	0.699558084263905	0.484203326981132	0.797406025116887	1	1	0
Tcea1	2451.17623158646	-0.026680025243043	0.0349010197722064	-0.764448300284044	0.444600134710609	0.773895094297673	1	1	0
Rgs20	4912.374595331	-0.189137057662354	0.132361965036282	-1.42893812138939	0.153022019352452	0.574236048263	1	1	0
Atp6v1h	4748.40878148231	0.00473213394879792	0.0521932094062255	0.0906657015851853	0.927758224518175	0.980165271471577	1	1	0
Oprk1	421.17009362838	-0.0690751945386262	0.180388402005105	-0.38292480985929	0.701775515261785	0.900869338149214	1	1	0
Npbwr1	3.85248144038281	0.279806817835678	0.482059343131205	0.580440607204498	0.561617527944417	NA	1	0.888888888888889	0.111111111111111
Rb1cc1	6133.44979780778	0.0457859164328785	0.0280346838094526	1.63318825866125	0.102429408618543	0.513979984883997	1	1	0
Alkal1	24.5896702303606	-0.00140306102913677	0.215855422219445	-0.00650000363535167	0.994813783973861	NA	1	1	0
St18	2933.13384769256	0.180722753064864	0.355820911501646	0.507903687566231	0.611520888516458	0.860236014296462	1	1	0
Pcmtd1	6898.76684062212	-0.0552716259703398	0.0454702946835725	-1.21555460229529	0.224154636750635	0.635856578241851	1	1	0
Sntg1	38696.3807150308	0.0223535370235923	0.0505939687088417	0.441822169599553	0.658617894617132	0.881839059557445	1	1	0
Rrs1	116.243883988775	-0.166961322244532	0.122012805246339	-1.36839180041343	0.171189469464979	0.591807868076705	1	1	0
Adhfe1	357.600348085153	-0.232985968460838	0.120486247495278	-1.93371420642815	0.0531482761670504	0.428965675590456	1	1	0
Vxn	1437.5401413356	0.128655297162942	0.113271502058947	1.13581346432564	0.256034640801629	0.660471972249301	1	1	0
Mybl1	129.238134792014	0.0737234557042906	0.0919829799255471	0.801490186162308	0.42284792323903	0.762620516205864	1	1	0
Vcpip1	1361.89820391649	-0.0224970658856906	0.0593407037343579	-0.379116937783548	0.70460102899511	0.901851655896194	1	1	0
Sgk3	1901.72782359842	0.0320008032395525	0.069011439388511	0.463702880610834	0.642860633078104	0.875381914051317	1	1	0
Mcmdc2	541.502674670502	-0.0297009639222078	0.0761115511752347	-0.390229386520136	0.696366933422798	0.898166351530303	1	1	0
Tcf24	8.32124197599484	0.118328036387343	0.31879275459629	0.371175425668597	0.710506875305434	NA	1	1	0
Ppp1r42	93.3331965901156	0.017816571602232	0.0976738364461153	0.18240884407219	0.855261885676294	0.954979759269259	1	1	0
Cops5	1204.82653272489	-0.0256898419480006	0.0573487055035952	-0.447958532322759	0.654183124178953	0.880429708842886	1	1	0
Cspp1	7304.21256285536	0.0260345418415154	0.0419048639791671	0.621277326051182	0.534417169573247	0.822956762572758	1	1	0
Arfgef1	5622.34857177004	0.0521756696401733	0.0352767901130202	1.47903676817001	0.13913048820695	0.559625065179202	1	1	0
Cpa6	965.656236400673	-0.650018075770299	0.389711956369118	-1.66794491456308	0.0953266624314572	0.506707610043924	1	1	0
Prex2	4371.12196461796	-0.255058879842274	0.144895578020122	-1.76029443636198	0.0783578970217575	0.478732237409888	1	1	0
