gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	percent_0	percent_3	percent_difference
Xkr4	2.49326674141586	-1.43473782264217	0.820373720301547	-1.74888320668634	0.0803112099888274	0.837531816644097	0.75	0.7	0.05
Rp1	5.04948328431853	-1.42005354097173	0.964270132292455	-1.47267191362207	0.140839523402489	0.936030499444291	0.75	0.7	0.05
Sox17	0.367283346383167	0.608329146685231	2.4381149641516	0.249507982859583	0.802967866703236	NA	0.125	0.3	0.175
Mrpl15	24.8308391517386	0.408251100104001	0.238039179419559	1.71505842483364	0.0863345157593711	0.855337097386348	1	1	0
Lypla1	92.4707317053513	-0.0893944270262877	0.122814419422041	-0.727882177410222	0.466685714092808	0.995161126135649	1	1	0
Tcea1	119.343511825685	-0.0275517766138475	0.12951381172904	-0.212732342952653	0.831535738102328	0.997334754818783	1	1	0
Rgs20	2285.56036941615	0.0601290606367929	0.0616106412925763	0.975952520137751	0.329087993705054	0.995161126135649	1	1	0
Atp6v1h	111.084817912148	0.261611266667225	0.229330018664712	1.14076329034669	0.253968440819187	0.99377323203761	1	1	0
Oprk1	0	NA	NA	NA	NA	NA	0	0	0
Npbwr1	0	NA	NA	NA	NA	NA	0	0	0
Rb1cc1	211.674335846448	0.0464965386896623	0.091586722302663	0.507677723589747	0.611679373292092	0.995161126135649	1	1	0
Alkal1	0	NA	NA	NA	NA	NA	0	0	0
St18	3.6468104757221	-0.355751284392234	0.930362594865366	-0.382379178135074	0.70218013253379	0.995161126135649	0.75	0.6	0.15
Pcmtd1	382.174403696438	0.0676856156434342	0.081126514837065	0.834321747697093	0.404099699975579	0.995161126135649	1	1	0
Sntg1	39.9074849661969	-1.16334195206213	0.385938889584992	-3.01431647200182	0.00257558986835144	0.334965143524684	1	1	0
Rrs1	23.7085264993095	-0.183994163789791	0.217066454503472	-0.84763978943991	0.396638607893271	0.995161126135649	1	1	0
Adhfe1	200.938029227771	0.0765212193085825	0.0982118361361427	0.779144574819959	0.435894554993106	0.995161126135649	1	1	0
Vxn	0.257120991933801	1.34749538512619	3.06982484799114	0.438948621452452	0.660698765034602	NA	0	0.2	0.2
Mybl1	6.53633242774205	-0.245563854377647	0.417778624003412	-0.587784631067292	0.556676861185623	0.995161126135649	1	1	0
Vcpip1	83.0978010819148	-0.231073769925898	0.130642017923647	-1.76875536369124	0.076934708672251	0.830838646654343	1	1	0
Sgk3	89.2493126860649	-0.103975161236801	0.170735304146364	-0.608984543393953	0.542534684098375	0.995161126135649	1	1	0
Mcmdc2	0.252148213366522	-1.18784536067387	3.07734963812695	-0.385996230638538	0.699499460410904	NA	0.25	0.1	0.15
Tcf24	0.768091940087311	0.0566442588839862	1.17794952882917	0.0480871696941788	0.961646771477774	NA	0.375	0.7	0.325
Ppp1r42	13.4507224754173	0.00196372918040955	0.298144605050861	0.00658649912539775	0.994744772035155	0.998866955946316	1	1	0
Cops5	39.8103742700089	0.155436135962403	0.237088516655986	0.655603814789311	0.512079070377826	0.995161126135649	1	1	0
Cspp1	357.552001197762	0.028690708513734	0.0895035389022936	0.32055390061229	0.748548477304019	0.997334754818783	1	1	0
Arfgef1	174.596347021836	0.0711141603472023	0.109002887427211	0.652406207080434	0.514139161190451	0.995161126135649	1	1	0
Cpa6	0	NA	NA	NA	NA	NA	0	0	0
Prex2	2909.94297061977	-0.158906788672268	0.0682572576484277	-2.32805703227557	0.019909075469819	0.660075517396457	1	1	0
A830018L16Rik	1.24410522883548	-1.43383283863897	1.01896061700575	-1.40715236164116	0.159382214225422	NA	0.75	0.5	0.25
Sulf1	48.6584819159902	-0.152239489107455	0.369367786006647	-0.412162334873228	0.680220442145917	0.995161126135649	1	1	0
Slco5a1	0	NA	NA	NA	NA	NA	0	0	0
Prdm14	0.0974330898448134	0.130186539026794	3.0858589509806	0.0421881042182516	0.96634874557714	NA	0	0.1	0.1
Ncoa2	410.405893493122	-0.0124660350635551	0.0954852532073847	-0.130554558372277	0.896127692114159	0.997334754818783	1	1	0
Tram1	30.093134320639	-0.0352139444921764	0.273197107340486	-0.128895744303358	0.89744014413324	0.997334754818783	1	1	0
Lactb2	63.3894851159862	0.177612692962718	0.157448315618493	1.12806981938813	0.259290433924059	0.99377323203761	1	1	0
Xkr9	0.129116711520345	-0.22291456870462	3.08408071836884	-0.0722790967749116	0.942379799536898	NA	0.125	0.1	0.025
Eya1	269.082782311442	-0.0332181772440537	0.0981508870499523	-0.338439908618939	0.73503170386031	0.997334754818783	1	1	0
Msc	0.126434361149142	-0.940258016648532	3.08372818450435	-0.304909499278602	0.760435080684147	NA	0.125	0	0.125
Trpa1	0	NA	NA	NA	NA	NA	0	0	0
Kcnb2	4.70431887285442	-0.0646417439405829	1.20688986517358	-0.0535605988631664	0.957285248978583	0.997334754818783	0.625	0.4	0.225
Terf1	48.6888868621589	-0.1318850777372	0.230709744945807	-0.571649358670043	0.567559549034899	0.995161126135649	1	1	0
Sbspon	0.687373815364483	-0.00727828113943028	1.72258234084423	-0.00422521522881934	0.996628776033623	NA	0.375	0.3	0.075
4930444P10Rik	1.9182629330215	-0.274590814924679	1.07896778168866	-0.254493989148523	0.799113947230774	NA	0.5	0.7	0.2
Rpl7	4.19497809435465	-0.596533164419795	0.848714791790705	-0.702866463728255	0.482138972514401	0.995161126135649	0.875	0.7	0.175
Rdh10	24.9950589247673	0.0723479897567565	0.241101820029861	0.30007235012907	0.764121969305707	0.997334754818783	1	1	0
Stau2	36.7171352112186	0.05822981012352	0.42387760967986	0.137374111757162	0.890735092852539	0.997334754818783	1	1	0
Ube2w	102.729331708244	0.00472191200165188	0.230605891383829	0.020476111747694	0.983663568144985	0.99881153679634	1	1	0
Eloc	20.1032429310365	-0.445365545079853	0.306732141004824	-1.45196895121874	0.146510238643598	0.946469100320824	1	1	0
Tmem70	18.7020827557997	0.311352237899269	0.381978957940309	0.81510311347549	0.415013289619868	0.995161126135649	1	1	0
Ly96	10.6142511918279	-0.306341848042728	0.342888646101652	-0.893414965836782	0.371634991072456	0.995161126135649	1	1	0
Jph1	0.533118915184529	-1.14001153004826	1.41746324847359	-0.804261790403305	0.421245799784779	NA	0.625	0.3	0.325
Gdap1	0.15533796923919	-1.24602363084294	3.07886005996375	-0.40470291165413	0.685695901686515	NA	0.375	0	0.375
Pi15	1.16850311306479	-0.96608237400918	1.13219735816252	-0.853280894045775	0.393503552690565	NA	0.75	0.4	0.35
Crispld1	0.249895586859924	-1.49713621081384	3.07037205436009	-0.48760742486821	0.625827935394831	NA	0.25	0	0.25
Tfap2d	0.123823175917842	-0.22291456870462	3.08408071836884	-0.0722790967749116	0.942379799536898	NA	0.125	0.1	0.025
Tfap2b	0.361625974048428	0.358528764661463	2.03673425383592	0.176031195030094	0.860269435007982	NA	0.25	0.3	0.05
Pkhd1	0.983879638685464	1.64171366323373	1.06596877452	1.54011421579679	0.123532515192017	NA	0.375	0.8	0.425
Il17f	0.0576949515668118	-0.46232433922171	3.0858589509806	-0.149820308240205	0.880906386539725	NA	0.125	0	0.125
Mcm3	3.37178248390052	-0.0318329750148865	0.563462554903776	-0.0564952803657427	0.95494725524475	0.997334754818783	1	0.9	0.1
Paqr8	880.602919199502	-0.153339258710516	0.0973418886040151	-1.57526488246286	0.115195316325348	0.914720065735744	1	1	0
Efhc1	20.5066416444722	-0.108249519222372	0.28393272542528	-0.381250590470803	0.703017312930036	0.995161126135649	1	1	0
Tram2	20.9375188316835	0.0543322754945501	0.221297068933773	0.245517375156966	0.806055856373564	0.997334754818783	1	1	0
Tmem14a	16.5910476217937	-0.287317548488874	0.359525227755594	-0.799158240667866	0.424198662492784	0.995161126135649	1	1	0
Gsta3	23.1689730908759	-0.43098406058384	0.208343142547652	-2.0686260911384	0.0385811876091556	0.755696436334372	1	1	0
Khdc1c	0	NA	NA	NA	NA	NA	0	0	0
Khdc1b	0.0576949515668118	-0.46232433922171	3.0858589509806	-0.149820308240205	0.880906386539725	NA	0.125	0	0.125
Kcnq5	2.51506855792687	0.279670743327769	1.06809556566758	0.261840562134502	0.793444365640703	0.997334754818783	0.625	0.6	0.025
Rims1	1.47804899868599	-1.23663167517429	1.26413738867072	-0.978241515722149	0.327954887791664	NA	0.625	0.4	0.225
