gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	percent_WT	percent_PS19	percent_difference
Xkr4	3.50688031891419	0.78059252413649	1.2661792962153	0.616494462095327	0.537568225795737	NA	0.5	1	0.5
Rp1	7.02390217319072	1.21340997423321	1.23797732714186	0.980155248105094	0.327009491073562	0.98442923244162	0.5	1	0.5
Sox17	0.279057318749384	-0.615193734912925	3.64701702586528	-0.168684086350534	0.866045136651585	NA	0.25	0	0.25
Mrpl15	19.5792844533698	-0.00299259220201414	0.472217838418338	-0.00633731290634345	0.994943589720607	0.999254346193685	1	1	0
Lypla1	92.5725431429108	0.0692861469446953	0.229404950791409	0.302025508628605	0.762632617375118	0.993057640872204	1	1	0
Tcea1	116.334734363685	-0.149375761005096	0.196569844388199	-0.759911885111428	0.447307256856226	0.993057640872204	1	1	0
Rgs20	2157.0229966288	-0.0868810560711298	0.0834296737167098	-1.04136876246381	0.297704434423883	0.98442923244162	1	1	0
Atp6v1h	99.4636736067296	-0.183340125394641	0.287952703450444	-0.636702219488603	0.524318827592535	0.993057640872204	1	1	0
Oprk1	0	NA	NA	NA	NA	NA	0	0	0
Npbwr1	0	NA	NA	NA	NA	NA	0	0	0
Rb1cc1	205.408400004121	0.177841064569503	0.165463479636135	1.07480553993296	0.282461799645323	0.98442923244162	1	1	0
Alkal1	0	NA	NA	NA	NA	NA	0	0	0
St18	3.79286929502913	1.8402671861083	1.29381303570751	1.42235944090791	0.15492193117537	0.928613934889255	0.75	0.75	0
Pcmtd1	362.353656024117	-0.0628581724992063	0.120739022212022	-0.520611906139383	0.60263715354976	0.993057640872204	1	1	0
Sntg1	54.7000668963417	-0.255448963365612	0.494596181111727	-0.51647985391118	0.605519306028665	0.993057640872204	1	1	0
Rrs1	24.40060168431	-0.0380140906184801	0.421801609925585	-0.0901231520315596	0.928189351420331	0.998733208113737	1	1	0
Adhfe1	188.476860962447	0.0698138998593132	0.160329856648177	0.435439170961841	0.66324368308861	0.993057640872204	1	1	0
Vxn	0	NA	NA	NA	NA	NA	0	0	0
Mybl1	6.95293259524342	1.10213900310931	0.787870370488954	1.39888367984358	0.161847867330256	0.936763174070719	1	1	0
Vcpip1	87.8579168590681	0.0761593647438732	0.22145853435701	0.34389898300825	0.730922256717208	0.993057640872204	1	1	0
