gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	percent_WT	percent_PS19	percent_difference
Xkr4	2.14927285354964	-0.433964921102828	1.54801748971879	-0.280335929009213	0.779219788050579	0.999878314789257	0.8	0.666666666666667	0.133333333333333
Rp1	3.57613961780352	2.40125939617718	1.51828826438796	1.58155697603654	0.113750742375519	0.999878314789257	0.6	0.666666666666667	0.0666666666666667
Sox17	0.496873380798512	-2.07476429614932	3.2263716692172	-0.643064255722499	0.520182406840717	0.999878314789257	0.6	0	0.6
Mrpl15	24.4972088982638	-0.220723304059135	0.471342092346726	-0.468286850767337	0.639579470436306	0.999878314789257	1	1	0
Lypla1	84.6780878638599	0.0771661515230635	0.237690314023958	0.324649962451922	0.745446009057894	0.999878314789257	1	1	0
Tcea1	103.226307712629	0.144490869137621	0.226650715068323	0.637504580976349	0.523796226993528	0.999878314789257	1	1	0
Rgs20	2121.14431471401	-0.0654021709550234	0.114570025346933	-0.570848882654753	0.568102083937679	0.999878314789257	1	1	0
Atp6v1h	87.0674684911042	0.255882222398566	0.247524772100428	1.03376409652746	0.301246460077007	0.999878314789257	1	1	0
Oprk1	0	NA	NA	NA	NA	NA	0	0	0
Npbwr1	0	NA	NA	NA	NA	NA	0	0	0
Rb1cc1	159.28003275917	0.095600155127459	0.208809077288216	0.457835245330373	0.647070812046298	0.999878314789257	1	1	0
Alkal1	0	NA	NA	NA	NA	NA	0	0	0
St18	3.89120620252542	0.0611186067540451	1.13852219144717	0.0536824026911214	0.957188203201386	0.999878314789257	0.8	1	0.2
Pcmtd1	325.309722694499	-0.214719636530484	0.144387152075009	-1.48711040729536	0.136985653269021	0.999878314789257	1	1	0
Sntg1	33.7266375701199	-1.76649798247335	0.523863144074499	-3.37206005510121	0.000746081779856413	0.999878314789257	1	1	0
Rrs1	19.4680981469816	0.262735581847496	0.487739855022454	0.538679747291516	0.590107850606674	0.999878314789257	1	1	0
Adhfe1	176.130957428114	-0.120112489912219	0.183925257387313	-0.653050546827746	0.513723692351358	0.999878314789257	1	1	0
Vxn	0	NA	NA	NA	NA	NA	0	0	0
Mybl1	5.38089059828628	0.929809666748094	0.878976699068647	1.05783198545912	0.290132047686959	0.999878314789257	1	1	0
Vcpip1	77.2788039261823	-0.119477978968284	0.253219295852126	-0.471835997198479	0.637043854704045	0.999878314789257	1	1	0
Sgk3	72.7567142647985	-0.0736860115486428	0.327351112244297	-0.225097788864857	0.821903201075916	0.999878314789257	1	1	0
Mcmdc2	0.0901692259520886	-0.484066106867877	3.65784495787755	-0.132336420062144	0.894718201644629	0.999878314789257	0.2	0	0.2
Tcf24	0.883230419024722	-0.79017957092084	2.10393756585104	-0.375571777293311	0.707235275665176	0.999878314789257	0.8	0.666666666666667	0.133333333333333
Ppp1r42	10.7232619773746	-0.0101132297873386	0.663526818946258	-0.0152416292734019	0.987839410155318	0.999878314789257	1	1	0
Cops5	30.3495646828345	-0.275761632233731	0.45661625732184	-0.603924253269335	0.545894003259185	0.999878314789257	1	1	0
Cspp1	296.674455910679	-0.0275866412113313	0.147928620335114	-0.186486165752356	0.852063526697585	0.999878314789257	1	1	0
Arfgef1	137.206515962127	-0.0203980940168246	0.211829000548804	-0.0962950963464749	0.923286205538682	0.999878314789257	1	1	0
Cpa6	0	NA	NA	NA	NA	NA	0	0	0
Prex2	2536.17993825247	0.0583911355993303	0.118862120933351	0.491250998558842	0.623248932799522	0.999878314789257	1	1	0
A830018L16Rik	0.557173173050679	2.25525172544231	3.04569501178249	0.740471950316006	0.459013675003981	0.999878314789257	0.2	0.666666666666667	0.466666666666667
Sulf1	30.6710426422109	1.45333550107072	0.516458313685834	2.81404222288268	0.00489228020712263	0.999878314789257	1	1	0
Slco5a1	0	NA	NA	NA	NA	NA	0	0	0
Prdm14	0.183707545902185	-0.484066106867877	3.65784495787755	-0.132336420062144	0.894718201644629	0.999878314789257	0.2	0	0.2
Ncoa2	339.515128275733	0.0445365328294038	0.171876633962119	0.259119182187496	0.795543284877123	0.999878314789257	1	1	0
Tram1	23.5542681650268	-0.159646342233129	0.436590168879203	-0.365666370003169	0.714614043545427	0.999878314789257	1	1	0
Lactb2	51.2135477336424	-0.0680279124951691	0.322832654775343	-0.210721906501402	0.833104279493391	0.999878314789257	1	1	0
Xkr9	0.11995487713167	-0.381015082349377	3.65784495787755	-0.104163814141116	0.91703934984874	0.999878314789257	0.2	0	0.2
Eya1	248.450810175482	0.0190659434453388	0.161418260557836	0.118115158591413	0.905976412711003	0.999878314789257	1	1	0
Msc	0.23990975426334	-0.730031255849611	3.64654582452961	-0.200198020531877	0.841325715224993	0.999878314789257	0.2	0	0.2
Trpa1	0	NA	NA	NA	NA	NA	0	0	0
Kcnb2	6.84174649009243	5.55132689491807	1.42516911433919	3.89520572615838	9.81154174262779e-05	0.50911989849024	0.4	0.666666666666667	0.266666666666667
Terf1	29.1526363615937	-0.134071902983932	0.470545688932933	-0.28492855452139	0.775698878982577	0.999878314789257	1	1	0
Sbspon	0.834419038902961	1.41045767510433	2.66517343679229	0.529217969695026	0.59665425244407	0.999878314789257	0.2	0.666666666666667	0.466666666666667
4930444P10Rik	1.26001016532919	4.26863171878302	2.18788172683379	1.95103403736563	0.0510529969312496	0.999878314789257	0	1	1
Rpl7	3.13441459283051	0.804836439292147	1.32523458194989	0.607316206695984	0.54364108495521	0.999878314789257	0.8	1	0.2
Rdh10	22.1225656783474	0.20665762257547	0.466154059205206	0.443324730300153	0.657530870571757	0.999878314789257	1	1	0
Stau2	17.6179626857016	-0.451459579943674	0.584746720150572	-0.772060046488886	0.440078864257503	0.999878314789257	1	1	0
Ube2w	79.7197181167795	-0.0328320602957745	0.293542693380168	-0.11184764954532	0.910944205650915	0.999878314789257	1	1	0
Eloc	15.6249443256267	-0.6987262515473	0.605224908433954	-1.15449024290042	0.248299236486227	0.999878314789257	1	1	0
Tmem70	16.4992708022028	0.292798680161852	0.607862013535173	0.481686095926621	0.630028954733294	0.999878314789257	1	1	0
Ly96	8.51204922039716	0.195511615643937	0.780855093788364	0.250381430817593	0.802292388433034	0.999878314789257	1	1	0
Jph1	0.563698856324964	0.262975959341177	3.11749718178932	0.0843548346658773	0.93277431595587	0.999878314789257	0.4	0.333333333333333	0.0666666666666667
Gdap1	0	NA	NA	NA	NA	NA	0	0	0
Pi15	1.65710534141431	1.90193801919212	1.82244958599074	1.04361625902434	0.296662967414504	0.999878314789257	0.6	0.666666666666667	0.0666666666666667
Crispld1	0	NA	NA	NA	NA	NA	0	0	0
Tfap2d	0.139811674727757	-0.381015082349377	3.65784495787755	-0.104163814141116	0.91703934984874	0.999878314789257	0.2	0	0.2
Tfap2b	0.332780887814813	-0.0223209828883399	3.65615961562566	-0.00610503512837477	0.995128916986654	0.999878314789257	0.2	0.333333333333333	0.133333333333333
Pkhd1	0.763304349571363	0.1856477731444	2.43915113641962	0.0761116317773192	0.939330286165766	0.999878314789257	0.4	0.666666666666667	0.266666666666667
Il17f	0	NA	NA	NA	NA	NA	0	0	0
Mcm3	3.45974835943867	-0.731090610995625	1.07949148025343	-0.677254637363132	0.498244407003242	0.999878314789257	1	1	0
Paqr8	777.442422324828	0.0691733031512584	0.158221607615445	0.437192518732228	0.661971734867361	0.999878314789257	1	1	0
Efhc1	18.206758413767	-0.486160850465198	0.544402095842784	-0.893017962600927	0.371847553400005	0.999878314789257	1	1	0
Tram2	17.3618299539985	0.0874092179377101	0.488736332629514	0.178847390918184	0.858057532575589	0.999878314789257	1	1	0
Tmem14a	11.6832678379316	-0.446613886416827	0.737464554615228	-0.605607257490291	0.544775581904517	0.999878314789257	1	1	0
Gsta3	18.5554107537175	-0.302250361189211	0.487810741125281	-0.619605793205743	0.535517351757631	0.999878314789257	1	1	0
Khdc1c	0	NA	NA	NA	NA	NA	0	0	0
Khdc1b	0	NA	NA	NA	NA	NA	0	0	0
Kcnq5	2.35435070076809	1.9692536122638	1.6543249975624	1.19036683551626	0.23390224211762	0.999878314789257	0.6	0.666666666666667	0.0666666666666667
Rims1	2.05313424665547	-1.35010953190882	1.79796845584962	-0.75090835298934	0.452707812965755	0.999878314789257	0.6	0.666666666666667	0.0666666666666667
Ogfrl1	7.5581911219081	0.624372407940836	0.846248727442662	0.73781193128369	0.460628741915429	0.999878314789257	1	1	0
B3gat2	12.2034797362954	-0.172166474934894	0.630059199748319	-0.273254441810653	0.784657633213147	0.999878314789257	1	1	0
Smap1	88.5951183103823	0.114732373726363	0.261936322173318	0.438016281111432	0.661374481196387	0.999878314789257	1	1	0
Sdhaf4	8.33863474401996	0.374794461646333	0.757744431706142	0.494618562623341	0.620869396600902	0.999878314789257	1	1	0
Fam135a	234.647618178558	-0.0196024591994359	0.151194793497998	-0.129650358626241	0.896843059032092	0.999878314789257	1	1	0
Col9a1	5.95155267782552	0.830317114000834	0.855818587841501	0.970202243556096	0.331945692641871	0.999878314789257	1	1	0
Col19a1	0	NA	NA	NA	NA	NA	0	0	0
Lmbrd1	57.5192374042885	-0.289335060530541	0.328617529106564	-0.880461432830979	0.378609389248525	0.999878314789257	1	1	0
Adgrb3	4725.79343042332	-0.196914967603768	0.108137177090058	-1.82097381217724	0.068610837760843	0.999878314789257	1	1	0
Gm597	0	NA	NA	NA	NA	NA	0	0	0
Phf3	152.572646564623	-0.40553615467109	0.183249623457202	-2.2130258552253	0.0268958631640864	0.999878314789257	1	1	0
Ptp4a1	1.22919642557571	0.260838098082666	1.88979593594992	0.13802447826281	0.890221071842096	0.999878314789257	0.6	1	0.4
4931428L18Rik	0	NA	NA	NA	NA	NA	0	0	0
Lgsn	0	NA	NA	NA	NA	NA	0	0	0
Khdrbs2	0.305798161959486	0.490773986085533	3.62539230403968	0.135371277072188	0.892318332641534	0.999878314789257	0.2	0.333333333333333	0.133333333333333
Semp2l1	0	NA	NA	NA	NA	NA	0	0	0
Prim2	26.1687489411751	-1.15303620983658	0.480981966984482	-2.39725455211044	0.0165184437332699	0.999878314789257	1	1	0
Rab23	16.5528860251805	0.17222539254926	0.542008566168714	0.317754004824438	0.750671542579545	0.999878314789257	1	1	0
Bag2	4.92980090048773	-0.0272071531267768	1.1034525399058	-0.02465638724172	0.980329042433417	0.999878314789257	0.8	1	0.2
Zfp451	65.6404798310625	0.198561943825339	0.269211182267339	0.737569450693018	0.46077612519494	0.999878314789257	1	1	0
