gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	percent_0	percent_3	percent_difference
Xkr4	0.130349511450421	1.0090673767702	3.36713724511693	0.299681095041065	0.764420420185783	0.998642650912169	0	0.2	0.2
Rp1	2.99363767482521	0.180099416808219	0.775937402592727	0.232105600537405	0.816455995053865	0.998642650912169	1	1	0
Sox17	8.67293708645268	-0.120977741866195	0.443786203987266	-0.272603656398625	0.785157900964475	0.998642650912169	1	1	0
Mrpl15	0.543656980547725	0.140205522615969	2.17887497713766	0.0643476675289346	0.948693398872048	0.998642650912169	0.5	0.6	0.1
Lypla1	4.27381293990486	-0.216335924741428	0.675408043330976	-0.320304039724642	0.748737861094987	0.998642650912169	1	0.8	0.2
Tcea1	2.4854521245011	0.528074938725009	0.91836469778907	0.57501659198827	0.56528007572174	0.998642650912169	0.75	0.8	0.05
Rgs20	0	NA	NA	NA	NA	NA	0	0	0
Atp6v1h	0.567072873908738	0.430476970361191	2.08730100820012	0.2062361722962	0.836606433728677	0.998642650912169	0.5	0.6	0.1
Oprk1	0	NA	NA	NA	NA	NA	0	0	0
Npbwr1	0	NA	NA	NA	NA	NA	0	0	0
Rb1cc1	8.3352876101744	-0.73563304007346	0.534254140584153	-1.37693465373824	0.168532452016987	0.998642650912169	1	1	0
Alkal1	0	NA	NA	NA	NA	NA	0	0	0
St18	0.503262341336761	-0.134245831507196	2.45831281575463	-0.0546089296068637	0.956450024578752	0.998642650912169	0.5	0.4	0.1
Pcmtd1	38.8138737168017	0.00624940041900819	0.235286809950931	0.0265607766976462	0.978810057874543	0.998642650912169	1	1	0
Sntg1	0	NA	NA	NA	NA	NA	0	0	0
Rrs1	0	NA	NA	NA	NA	NA	0	0	0
Adhfe1	0	NA	NA	NA	NA	NA	0	0	0
Vxn	0	NA	NA	NA	NA	NA	0	0	0
Mybl1	0.291757527885293	-0.312311898514905	3.37225316809229	-0.0926122337047376	0.926211624430741	0.998642650912169	0.25	0.2	0.05
Vcpip1	1.25802662873615	-0.824594766854209	1.43263154665437	-0.575580489470506	0.564898771743983	0.998642650912169	0.75	0.4	0.35
