gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	percent_WT	percent_PS19	percent_difference
Xkr4	3.1301998166047	0.922265844424479	1.35587203106226	0.680201245616026	0.496377043757045	0.999946026094649	0.4	0.6	0.2
Rp1	4.99086476925295	-0.941202338823864	0.701119195926173	-1.34242842628284	0.179457122935903	0.999946026094649	1	1	0
Sox17	0.285084227558126	-0.614332258416826	3.18825809137741	-0.192685861937676	0.847204996500593	0.999946026094649	0.2	0.2	0
Mrpl15	6.34491288826486	-0.656606586577396	0.622549607209393	-1.05470564750762	0.291559968092833	0.999946026094649	1	1	0
Lypla1	18.24933902184	-0.0235420682439934	0.357186896654856	-0.0659096637207879	0.947449746778043	0.999946026094649	1	1	0
Tcea1	30.5439698422066	-0.155064101438498	0.302426610121613	-0.512732994547483	0.608138106342554	0.999946026094649	1	1	0
Rgs20	0.781864706569094	-2.18906000657974	1.99616510660863	-1.09663273810994	0.272801970254417	0.999946026094649	0.6	0.2	0.4
Atp6v1h	21.1557389522561	0.597018692275604	0.39027855685969	1.52972455642814	0.126084922625093	0.999946026094649	1	1	0
Oprk1	0	NA	NA	NA	NA	NA	0	0	0
Npbwr1	0	NA	NA	NA	NA	NA	0	0	0
Rb1cc1	69.4716245204811	-0.0301887922475096	0.204945729449552	-0.14730139695319	0.8828941298982	0.999946026094649	1	1	0
Alkal1	0.441675968290717	-1.51604829221661	2.26843484191236	-0.668323490807669	0.503927121631823	0.999946026094649	0.6	0.2	0.4
St18	1.17834280586632	-2.80283963934004	1.69233459102749	-1.65619709849357	0.0976819106530053	0.999946026094649	0.6	0.4	0.2
Pcmtd1	73.7954350795402	-0.103858784799422	0.217932050973369	-0.476564985900646	0.633671921447221	0.999946026094649	1	1	0
Sntg1	1.77156406014778	-3.06081050997785	3.15206482696641	-0.971049352726547	0.331523702901132	0.999946026094649	0.4	0	0.4
Rrs1	0.378586943617361	-0.449081669308153	2.38962036219004	-0.187930131670195	0.850931421896863	0.999946026094649	0.4	0.4	0
Adhfe1	13.8339522980221	0.0342009195639838	0.412740453702278	0.0828630178050199	0.93396046039012	0.999946026094649	1	1	0
Vxn	0	NA	NA	NA	NA	NA	0	0	0
Mybl1	1.04928612084966	1.19933262331891	1.6623413234277	0.721471942263892	0.470619197389638	0.999946026094649	0.4	0.6	0.2
Vcpip1	14.4349890603377	0.504996855452612	0.441874051061704	1.14285248079004	0.25309984491814	0.999946026094649	1	1	0
Sgk3	32.8700383559949	-0.125287859569675	0.26946438844538	-0.464951455338858	0.641966220917118	0.999946026094649	1	1	0
