gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	percent_WT	percent_PS19	percent_difference
Xkr4	1.904767605019	0.280887679614162	1.32957581614642	0.211261122685182	0.832683517852478	NA	0.25	0.666666666666667	0.416666666666667
Rp1	4.36803109790758	0.301939677017789	0.755850670043034	0.399470013039213	0.689546914885611	NA	0.75	1	0.25
Sox17	0.0965836136968072	0.157587268577151	3.20909881176502	0.0491063933586005	0.960834508392964	NA	0	0.166666666666667	0.166666666666667
Mrpl15	6.38231640369365	-0.762224203182294	0.649631337783484	-1.17331809420243	0.240668268868516	NA	1	1	0
Lypla1	19.668608700303	0.217092692904065	0.353792089548353	0.613616582499633	0.539468723034493	NA	1	1	0
Tcea1	36.9294551894911	0.0854395560262942	0.303379304134468	0.281626184983352	0.77823015985407	NA	1	1	0
Rgs20	0.298827602685553	-0.449915897676765	3.21744966172067	-0.139836188590485	0.888789419836739	NA	0.25	0.166666666666667	0.0833333333333333
Atp6v1h	23.7379175049931	-0.567409333963014	0.427353085996463	-1.32772958136006	0.184267457471716	NA	1	1	0
Oprk1	0	NA	NA	NA	NA	NA	0	0	0
Npbwr1	0	NA	NA	NA	NA	NA	0	0	0
Rb1cc1	82.1368400851664	0.122372714309567	0.179588859291023	0.681404819834967	0.49561537393692	0.924077210281859	1	1	0
Alkal1	0.168021404505049	-1.3540909225376	3.2155727343385	-0.421104118739878	0.673679054126957	NA	0.25	0	0.25
St18	0.747873869948143	-2.20260001024216	2.46550076528103	-0.893368211950686	0.371660019987521	NA	0.25	0.166666666666667	0.0833333333333333
Pcmtd1	85.9834960711892	-0.0346945319597794	0.19226769060051	-0.180449101205813	0.856800009735563	0.96922164387924	1	1	0
Sntg1	0.386334454787229	0.888513936492778	3.16772550468009	0.280489561099931	0.779101933208482	NA	0	0.166666666666667	0.166666666666667
Rrs1	1.06290211481526	-0.890164236256609	1.46241317001131	-0.608695445658307	0.542726326355955	NA	0.75	0.666666666666667	0.0833333333333334
Adhfe1	16.194839722796	0.492792227382264	0.441199609960943	1.11693713289068	0.26402120625974	NA	1	1	0
Vxn	0	NA	NA	NA	NA	NA	0	0	0
Mybl1	1.3843423721707	0.929303407897917	1.32324643745352	0.702290504319275	0.482498013865129	NA	0.5	0.833333333333333	0.333333333333333
Vcpip1	15.4456493829698	0.628014542961601	0.405295648361291	1.54952204767265	0.12125627566535	NA	1	1	0
Sgk3	36.7963663751522	-0.119957593523571	0.269228812942814	-0.445560013478389	0.655915100139053	NA	1	1	0
Mcmdc2	0.207432199662498	-1.54069005330246	3.20086147263345	-0.481336061080732	0.630277671531674	NA	0.25	0	0.25
Tcf24	0.0918480282925831	-0.0640971185904991	3.2259185248982	-0.0198694164455136	0.984147542467911	NA	0	0.166666666666667	0.166666666666667
Ppp1r42	0.133538277678493	-0.709772910181727	3.21426677355624	-0.220819539940189	0.825232948444203	NA	0.25	0.166666666666667	0.0833333333333333
Cops5	15.3892061862271	0.0678546334174012	0.419229646510369	0.161855522342509	0.871419628916305	NA	1	1	0
Cspp1	48.4749427717526	-0.486353536562708	0.23382785124196	-2.07996410170763	0.0375288256614561	NA	1	1	0
Arfgef1	62.9750176712383	-0.108961619285873	0.194914209792227	-0.559023477057022	0.576145697823105	0.936137423497403	1	1	0
Cpa6	0.0965836136968072	0.157587268577151	3.20909881176502	0.0491063933586005	0.960834508392964	NA	0	0.166666666666667	0.166666666666667
Prex2	89.7707442696999	0.703164518459456	0.186730517331278	3.76566470499288	0.000166106580825715	0.0244591940265865	1	1	0
A830018L16Rik	0	NA	NA	NA	NA	NA	0	0	0
Sulf1	120.464652131219	0.065322254845455	0.183434499047528	0.356106703944115	0.721760656877123	0.95889650113189	1	1	0
Slco5a1	0	NA	NA	NA	NA	NA	0	0	0
Prdm14	0	NA	NA	NA	NA	NA	0	0	0
Ncoa2	87.7626739675479	-0.265086845775385	0.175891448530618	-1.50710479667942	0.131783797495869	0.688991074850595	1	1	0
Tram1	14.8644113933943	0.727121000138839	0.42227787126781	1.72190173725134	0.0850873202351626	NA	1	1	0
Lactb2	19.0018554649615	-0.21545457263424	0.349772752656612	-0.615984438461282	0.537904790419168	NA	1	1	0
Xkr9	0.0918480282925831	-0.0640971185904991	3.2259185248982	-0.0198694164455136	0.984147542467911	NA	0	0.166666666666667	0.166666666666667
Eya1	319.2997584549	0.282342990430181	0.129828350607473	2.17474064107789	0.0296495575187061	0.409514139748966	1	1	0
Msc	0.0899820562343139	-0.687403728127693	3.2034405617071	-0.21458295070141	0.830092487670547	NA	0.25	0.166666666666667	0.0833333333333333
Trpa1	1.24648022960611	-0.0933799487789709	1.3343019361598	-0.0699841214708299	0.944206297877625	NA	0.5	0.833333333333333	0.333333333333333
Kcnb2	436.111443858054	-0.306468310754822	0.192578876744524	-1.59139110132719	0.111521585722264	0.672937217346497	1	1	0
Terf1	22.3516175739534	0.179423715370433	0.347538512028677	0.516270022343965	0.605665830470889	NA	1	1	0
Sbspon	0.531093726423	-0.178370560582143	2.00672023511001	-0.0888866108296181	0.929172024440397	NA	0.5	0.5	0
4930444P10Rik	0	NA	NA	NA	NA	NA	0	0	0
Rpl7	2.78486350884491	0.695928482063405	0.927995533132923	0.749926542980162	0.453298947289063	NA	0.75	1	0.25
Rdh10	10.2580964611163	0.464023739785682	0.505147029242956	0.91859144550666	0.358309308105387	NA	1	1	0
Stau2	7.58352842562509	-0.556257839091217	0.722060779085505	-0.770375368948472	0.441077259943695	NA	1	1	0
Ube2w	31.5313151735011	-0.170452102560616	0.310290851917175	-0.549330093064148	0.582778939134487	NA	1	1	0
Eloc	9.59839444893512	0.999009393928971	0.769469939109317	1.2983085409228	0.194181332661632	NA	0.75	1	0.25
Tmem70	6.02076200863389	-1.77607731214135	0.658818811333356	-2.69585094048365	0.00702090768883881	NA	1	1	0
Ly96	6.0468681610527	-0.333159468539176	0.699133389958156	-0.476532051428864	0.633695378689485	NA	1	0.833333333333333	0.166666666666667
Jph1	1.26315001512011	-1.13851349673792	1.36891935997	-0.831687775065779	0.405585202782332	NA	0.75	0.666666666666667	0.0833333333333334
Gdap1	0	NA	NA	NA	NA	NA	0	0	0
Pi15	0.382660726726902	-1.6602767186529	2.66417841242974	-0.623185260756891	0.53316278632733	NA	0.5	0.166666666666667	0.333333333333333
Crispld1	30.8839974896911	-0.258638194404197	0.278922050780191	-0.92727768808792	0.353782375705273	NA	1	1	0
Tfap2d	0	NA	NA	NA	NA	NA	0	0	0
Tfap2b	25.8116079880063	0.39697255924151	0.324515454045429	1.22327782634949	0.221224779194394	NA	1	1	0
Pkhd1	22.0610293170453	0.357171473842165	0.376257861754842	0.94927311864353	0.342481721719028	NA	1	1	0
Il17f	0.0706530124909873	-0.107746295688847	3.22043082311893	-0.0334571060851098	0.973310071051398	NA	0	0.166666666666667	0.166666666666667
Mcm3	0.802852292309542	1.01138099149534	1.76720728724013	0.572304674611673	0.567115583358291	NA	0.25	0.666666666666667	0.416666666666667
Paqr8	6.17690294417578	-1.0557749203335	0.736195522422255	-1.43409581853983	0.151544921010008	NA	1	0.833333333333333	0.166666666666667
Efhc1	4.30569314793288	-0.600102572785241	0.681706354381734	-0.880294820384207	0.378699617831531	NA	1	1	0
Tram2	12.4092372268903	-0.170681075760486	0.459340409625682	-0.371578620525841	0.710206609483122	NA	1	1	0
Tmem14a	1.92637866025121	0.470563960483543	1.39739939844156	0.336742638510032	0.73631091776086	NA	0.25	0.666666666666667	0.416666666666667
Gsta3	5.49016478512718	0.0957998102603852	0.73019797201601	0.131197036874658	0.895619439929888	NA	1	1	0
Khdc1c	0	NA	NA	NA	NA	NA	0	0	0
Khdc1b	0	NA	NA	NA	NA	NA	0	0	0
Kcnq5	2.44560446707343	-0.107416557741779	2.8641677717272	-0.0375035843926849	0.970083482226972	NA	0.5	0.333333333333333	0.166666666666667
Rims1	0.918480282925831	1.67417823214763	2.76572294839445	0.605331142484652	0.544958992922691	NA	0	0.166666666666667	0.166666666666667
Ogfrl1	2.98897493897963	-0.131609024346858	1.03857699686511	-0.126720526974998	0.899161598635451	NA	0.75	0.666666666666667	0.0833333333333334
B3gat2	0.306900832684628	-1.01366928990085	2.86595165717143	-0.353693785226406	0.723568380604124	NA	0.25	0.333333333333333	0.0833333333333333
Smap1	22.5514917302914	-0.664473211386198	0.355527232547084	-1.86897978707777	0.0616256265858866	NA	1	1	0
