gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	percent_PS19	percent_WT	percent_difference
Xkr4	2.72582269846143	0.282388915863606	1.03838516656529	0.271950067235336	0.785660413330938	0.999926137758478	0.666666666666667	0.444444444444444	0.222222222222222
Rp1	4.31788301851134	-0.101817897132825	0.497897178013154	-0.204495830924623	0.83796604960193	0.999926137758478	1	0.888888888888889	0.111111111111111
Sox17	0.207242318449768	0.208105047317666	2.92991991375701	0.0710275548285601	0.943375825286284	0.999926137758478	0.222222222222222	0.111111111111111	0.111111111111111
Mrpl15	6.33279655774885	-0.254202982850353	0.464609495856174	-0.547132559961807	0.584287664441886	0.999926137758478	1	1	0
Lypla1	19.614291672623	0.206299594488847	0.215770088503915	0.956108401860826	0.339017470430921	0.999926137758478	1	1	0
Tcea1	31.105127385669	0.0812607345105433	0.21061959955427	0.385817533992629	0.699631808598944	0.999926137758478	1	1	0
Rgs20	0.438431054376707	-1.11554561081064	2.04748008365218	-0.544838320879194	0.585864720219757	0.999926137758478	0.111111111111111	0.333333333333333	0.222222222222222
Atp6v1h	20.6468091889866	-0.18501748530608	0.361793548245002	-0.51138967569645	0.609078222812479	0.999926137758478	1	1	0
Oprk1	0	NA	NA	NA	NA	NA	0	0	0
Npbwr1	0	NA	NA	NA	NA	NA	0	0	0
Rb1cc1	70.8494864569555	0.0414846471881336	0.124958007005225	0.331988707105412	0.739897786302224	0.999926137758478	1	1	0
Alkal1	0.366862004109938	-0.273507615118444	1.84321146475206	-0.148386455026328	0.882037789058322	0.999926137758478	0.222222222222222	0.333333333333333	0.111111111111111
St18	1.35415318023862	-2.04779845585215	1.4212365684452	-1.44085685755496	0.1496251265162	0.999926137758478	0.333333333333333	0.444444444444444	0.111111111111111
Pcmtd1	73.4334530231475	-0.0876753777467478	0.145681917903772	-0.601827454006065	0.547288998362314	0.999926137758478	1	1	0
Sntg1	1.2733025440047	-0.56089267347112	3.04986832616622	-0.183907176798082	0.854086274570537	0.999926137758478	0.111111111111111	0.333333333333333	0.222222222222222
Rrs1	0.737697678803519	0.0659206194045772	1.11308651553712	0.0592232665515376	0.952774278136343	0.999926137758478	0.666666666666667	0.444444444444444	0.222222222222222
Adhfe1	15.6345822209004	0.106899959933946	0.285314327342815	0.37467434926779	0.707902671206052	0.999926137758478	1	1	0
Vxn	0	NA	NA	NA	NA	NA	0	0	0
Mybl1	1.03700954365537	0.673589503303905	1.00841099310687	0.667971202127227	0.504151975150159	0.999926137758478	0.666666666666667	0.444444444444444	0.222222222222222
Vcpip1	12.152467636569	0.27415887393285	0.420406179885474	0.652128553408839	0.514318245523505	0.999926137758478	0.888888888888889	0.888888888888889	0
Sgk3	34.2401606886609	-0.021439289108856	0.180949578721918	-0.11848211673266	0.905685664062525	0.999926137758478	1	1	0
Mcmdc2	0.103712528849997	-0.935047354942803	3.11578463272353	-0.300100124097945	0.764100784547235	0.999926137758478	0	0.111111111111111	0.111111111111111
Tcf24	0.182908742186781	-0.655358045607726	2.97935874490457	-0.219966140945111	0.825897524488269	0.999926137758478	0.111111111111111	0.222222222222222	0.111111111111111
Ppp1r42	0.211028414237202	-0.455301770700111	2.07999212095294	-0.218895911245816	0.826731131590552	0.999926137758478	0.222222222222222	0.333333333333333	0.111111111111111
Cops5	12.8519329409848	0.336417092058634	0.312796468192922	1.07551435603532	0.282144508335428	0.999926137758478	1	1	0
Cspp1	38.283886901301	-0.21339028782819	0.202277178422501	-1.05494000604693	0.291452763915914	0.999926137758478	1	1	0
Arfgef1	53.1160482404863	-0.0720958099836607	0.152001412359525	-0.474310132152815	0.63527876730215	0.999926137758478	1	1	0
Cpa6	0.047707462964993	-0.0353640070540299	3.11563782477449	-0.0113504871371208	0.990943816012852	0.999926137758478	0.111111111111111	0	0.111111111111111
Prex2	90.1641623113895	0.378896779812751	0.166771035473454	2.27195794963486	0.0230890502504598	0.999926137758478	1	1	0
A830018L16Rik	0.0500861916998579	-0.725226722734266	3.11830892503299	-0.232570518242221	0.816094922628334	0.999926137758478	0	0.111111111111111	0.111111111111111
Sulf1	112.439033757727	0.00135530137514508	0.133436002234403	0.0101569393001167	0.991896074285774	0.999926137758478	1	1	0
Slco5a1	0	NA	NA	NA	NA	NA	0	0	0
Prdm14	0	NA	NA	NA	NA	NA	0	0	0
Ncoa2	74.7874918090797	-0.278458816638433	0.138242882012196	-2.0142723631432	0.0439809459016961	0.999926137758478	1	1	0
Tram1	11.2511055671768	0.591608235949632	0.372711755516979	1.58730769070867	0.112442974258163	0.999926137758478	1	1	0
Lactb2	18.3000595675752	-0.287826885935443	0.224971139953779	-1.27939470811491	0.200758096428473	0.999926137758478	1	1	0
Xkr9	0.0450145111622188	-0.158787886049639	3.12113489997519	-0.0508750474229425	0.959425089026173	0.999926137758478	0.111111111111111	0	0.111111111111111
Eya1	297.012856842679	0.122506449341842	0.0933270770836647	1.31265708913201	0.189298523189582	0.999926137758478	1	1	0
Msc	0.277534856105515	-0.854533263631495	1.73952142734334	-0.491246184266077	0.623252337425916	0.999926137758478	0.222222222222222	0.444444444444444	0.222222222222222
Trpa1	1.51484014571976	0.78977686196494	0.884521044036609	0.892886457919313	0.37191797987621	0.999926137758478	0.888888888888889	0.555555555555556	0.333333333333333
Kcnb2	365.951498087774	-0.303298600620099	0.191491801583738	-1.58387251105092	0.113222734050109	0.999926137758478	1	1	0
Terf1	21.4978194512099	0.308051308111839	0.238588910215158	1.29113841810183	0.196655684395948	0.999926137758478	1	1	0
Sbspon	0.634764995742059	0.375573765880493	1.1614680597382	0.323361251935889	0.746421671010247	0.999926137758478	0.666666666666667	0.444444444444444	0.222222222222222
4930444P10Rik	0.0500861916998579	-0.725226722734266	3.11830892503299	-0.232570518242221	0.816094922628334	0.999926137758478	0	0.111111111111111	0.111111111111111
Rpl7	3.75132667123819	0.26646573516542	0.586543825712887	0.454298082230355	0.649614296200283	0.999926137758478	1	0.888888888888889	0.111111111111111
Rdh10	8.62135728771084	-0.0260068111294889	0.418476246532533	-0.0621464452163764	0.950446210518738	0.999926137758478	1	1	0
Stau2	5.98489869210202	-0.325046598421135	0.565313028968389	-0.574985152941365	0.565301338250238	0.999926137758478	0.888888888888889	1	0.111111111111111
Ube2w	27.0909133999394	-0.132648515811485	0.24716008032954	-0.536690697116718	0.591481283073644	0.999926137758478	1	1	0
Eloc	7.07897764689464	0.134731359377716	0.663239415129928	0.203141363893945	0.839024541974231	0.999926137758478	0.777777777777778	0.777777777777778	0
Tmem70	4.25347813465041	-1.0879048098243	0.595819948261989	-1.82589524402083	0.0678660427354982	0.999926137758478	0.888888888888889	0.888888888888889	0
Ly96	5.90581072328744	-0.0582751413846272	0.467263627991136	-0.124715766204967	0.900748575230155	0.999926137758478	0.888888888888889	1	0.111111111111111
Jph1	1.78217546074906	-0.321379958940459	0.86142989914684	-0.373077320927395	0.709090897399094	0.999926137758478	0.666666666666667	0.777777777777778	0.111111111111111
Gdap1	0	NA	NA	NA	NA	NA	0	0	0
Pi15	0.260370714149851	-0.941612988505968	1.98745477495809	-0.473778322088271	0.635657994722057	0.999926137758478	0.222222222222222	0.333333333333333	0.111111111111111
Crispld1	23.8905778177787	-0.285041790657338	0.241070711605998	-1.18239909260817	0.237047383081662	0.999926137758478	1	1	0
Tfap2d	0	NA	NA	NA	NA	NA	0	0	0
Tfap2b	26.8289133558258	0.292003238533934	0.311469591384181	0.937501594413318	0.348500603997574	0.999926137758478	1	1	0
Pkhd1	20.0366559728319	0.0770155486721807	0.27653693679469	0.278500042579699	0.780628532357608	0.999926137758478	1	1	0
Il17f	0.0346554257478824	-0.194763852923627	3.11881201337891	-0.0624480898778572	0.950205999477411	0.999926137758478	0.111111111111111	0	0.111111111111111
Mcm3	0.539258407008431	0.599517833826704	1.29309719847098	0.463629365631293	0.642913311435681	0.999926137758478	0.555555555555556	0.333333333333333	0.222222222222222
Paqr8	4.34711340877329	-0.261296492851633	0.580400542807317	-0.450200290281911	0.652566026991051	0.999926137758478	0.888888888888889	0.777777777777778	0.111111111111111
Efhc1	3.51110249270809	-0.521471228458584	0.522095926872041	-0.998803479626436	0.317889900086268	0.999926137758478	1	0.888888888888889	0.111111111111111
Tram2	13.0221369934799	-0.185357922307416	0.297851335490655	-0.622316908541212	0.533733505106323	0.999926137758478	1	1	0
Tmem14a	1.32973402752403	1.0738977388941	1.09234598034888	0.983111356853359	0.325552635414279	0.999926137758478	0.666666666666667	0.333333333333333	0.333333333333333
Gsta3	4.43571240394812	0.824351450040991	0.572596273177494	1.43967309718318	0.149959908161364	0.999926137758478	1	0.777777777777778	0.222222222222222
Khdc1c	0	NA	NA	NA	NA	NA	0	0	0
Khdc1b	0	NA	NA	NA	NA	NA	0	0	0
Kcnq5	2.36905327560846	0.721770650962298	1.2559326807373	0.574688963853205	0.565501672633102	0.999926137758478	0.444444444444444	0.444444444444444	0
Rims1	0.648227158521777	0.636678556598868	2.41001903863186	0.264179886711726	0.791641308760014	0.999926137758478	0.111111111111111	0.222222222222222	0.111111111111111
Ogfrl1	2.09362667784411	-0.295431580393718	0.89003808655298	-0.331931391315951	0.739941066103964	0.999926137758478	0.666666666666667	0.666666666666667	0
B3gat2	0.249258940809376	-0.430849907534212	2.03287351909768	-0.211941325166876	0.832152810039898	0.999926137758478	0.333333333333333	0.222222222222222	0.111111111111111
Smap1	17.7860684986683	-0.558588667011534	0.26078458115262	-2.14195434616063	0.0321971559666083	0.999926137758478	1	1	0
