gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	percent_0	percent_3	percent_difference
Xkr4	16388.4578779675	0.0352230514814563	0.100901592677547	0.349083206189018	0.727026844007291	0.999684929330451	1	1	0
Rp1	6.79779722244977	0.411760478426167	0.697585893203775	0.590264915672378	0.555013056927986	0.999684929330451	1	1	0
Sox17	0.835861852174318	1.59754932910872	2.17588719291147	0.734205952548073	0.462823226148965	0.999684929330451	0.333333333333333	0.6	0.266666666666667
Mrpl15	218.953549963723	-0.0063108048433195	0.130717794504184	-0.0482780853766433	0.961494619520472	0.999684929330451	1	1	0
Lypla1	317.882154533266	-0.0262376407696282	0.125192153488786	-0.209578955537165	0.833996305917377	0.999684929330451	1	1	0
Tcea1	838.482623600883	-0.0548050259127692	0.086297021937576	-0.63507435925672	0.525379919028063	0.999684929330451	1	1	0
Rgs20	1093.52039042088	-0.288575024060763	0.148333642797487	-1.94544554167487	0.0517213780643204	0.999684929330451	1	1	0
Atp6v1h	1545.61387641656	-0.0953555170515292	0.0803690777918444	-1.18647021555354	0.235436656983397	0.999684929330451	1	1	0
Oprk1	194.553439161188	-0.395717614733335	0.186504457680816	-2.12175955284975	0.0338579348009081	0.999684929330451	1	1	0
Npbwr1	1.93049562566621	-0.286115971853705	1.16190584007712	-0.246247124323529	0.80549093844931	0.999684929330451	1	1	0
Rb1cc1	1747.55015705432	-0.00956914596426778	0.0828913886139225	-0.115441979248741	0.908094806734771	0.999684929330451	1	1	0
Alkal1	1.29451552016067	0.0995523443790458	1.50757576739278	0.0660347204646389	0.947350182836459	0.999684929330451	1	0.6	0.4
St18	129.604409884961	-0.437550860047395	0.217389230210921	-2.01275315995582	0.0441406037980213	0.999684929330451	1	1	0
Pcmtd1	1967.31136844258	-0.0832202424193278	0.0934446032144999	-0.890583720798704	0.373152535806904	0.999684929330451	1	1	0
Sntg1	15161.5284541633	0.0712695907475803	0.0765246499610134	0.931328542945177	0.351683641615533	0.999684929330451	1	1	0
Rrs1	29.4155243297206	0.364012762001372	0.34617385944983	1.05153162800881	0.293014491113331	0.999684929330451	1	1	0
Adhfe1	55.6201012849847	0.0471113408740736	0.244651513180671	0.192565090898427	0.847299586605863	0.999684929330451	1	1	0
Vxn	26.2233381460676	-0.0369927248600975	0.486363350369514	-0.0760598528486826	0.939371480363329	0.999684929330451	1	1	0
Mybl1	40.7854026086885	0.264383841058782	0.270778195362092	0.976385268781486	0.328873578820347	0.999684929330451	1	1	0
Vcpip1	423.477977316269	0.0692726326151335	0.116931998698523	0.592418101000174	0.553570648226502	0.999684929330451	1	1	0
Sgk3	531.336179523882	-0.349765772883749	0.221783455385389	-1.57705980491632	0.114781764814973	0.999684929330451	1	1	0
