gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	percent_WT	percent_PS19	percent_difference
Xkr4	15468.9832270962	0.101881622522919	0.0827125887481442	1.23175473123134	0.218040718117578	0.999493481474904	1	1	0
Rp1	7.41821482634758	-0.308203085111464	0.576100687301711	-0.534981283488825	0.592662799665217	0.999493481474904	1	1	0
Sox17	0.70945080778629	-0.0957037530150128	1.74891559073168	-0.0547217678898809	0.95636012707568	0.999493481474904	0.4	0.6	0.2
Mrpl15	198.819041195743	-0.0268483586783916	0.107175392314485	-0.250508611152178	0.802194046223594	0.999493481474904	1	1	0
Lypla1	295.974382922038	0.0605969556183881	0.0984808809326201	0.615316953346996	0.538345423642147	0.999493481474904	1	1	0
Tcea1	780.633898498935	-0.0307239446920556	0.074033148299024	-0.415002541401588	0.678140042686757	0.999493481474904	1	1	0
Rgs20	947.0918962882	0.212207039176639	0.0961703562792824	2.20657432692026	0.0273438122098545	0.999493481474904	1	1	0
Atp6v1h	1445.89933552327	0.0444751805706924	0.0856371513940852	0.51934446495104	0.603520551056186	0.999493481474904	1	1	0
Oprk1	187.121846708242	-0.169965628680763	0.172621900035709	-0.984612199527426	0.324814594946771	0.999493481474904	1	1	0
Npbwr1	1.51071232924305	-0.152474725525135	1.13820570638169	-0.133960605425047	0.893433725904055	0.999493481474904	0.8	0.8	0
Rb1cc1	1678.64390998302	0.0180652480006224	0.0695586970085294	0.259712282971706	0.795085717240411	0.999493481474904	1	1	0
Alkal1	1.76465510689434	0.108034122822698	1.03029966930226	0.104856990681033	0.916489287226948	0.999493481474904	0.8	0.8	0
St18	117.528582215239	0.240890243641167	0.190338509779943	1.26558857647708	0.205660418036513	0.999493481474904	1	1	0
Pcmtd1	1835.42268957276	0.00505046731918976	0.079299695596497	0.063688356950173	0.949218375733296	0.999493481474904	1	1	0
Sntg1	14128.0543206617	0.0751378426485688	0.0705830945065176	1.06453029828029	0.28708853647721	0.999493481474904	1	1	0
Rrs1	29.3671163536519	-0.158853790695298	0.279071928365876	-0.569221675664323	0.569205712567713	0.999493481474904	1	1	0
Adhfe1	51.5318410906979	0.136220920474035	0.204675314923773	0.665546407121776	0.505701071632718	0.999493481474904	1	1	0
Vxn	28.0722796800493	-0.361895861580984	0.400962341804032	-0.902568206163007	0.366755106932265	0.999493481474904	1	1	0
Mybl1	42.073651765256	-0.218476321192975	0.215224662813295	-1.01510820524552	0.310054250750399	0.999493481474904	1	1	0
Vcpip1	402.141034412379	0.0123590522276447	0.108058322063537	0.114373904680638	0.908941399278124	0.999493481474904	1	1	0
Sgk3	472.152367951557	0.201515363260275	0.182093308550755	1.10665990345333	0.268440997337884	0.999493481474904	1	1	0
Mcmdc2	159.905536694457	-0.000501736713692357	0.140054581392367	-0.00358243699495076	0.997141634945655	0.999493481474904	1	1	0
Tcf24	2.01613629524753	0.749082613149226	1.04180488733256	0.719023900019492	0.472126193915688	0.999493481474904	0.6	1	0.4
Ppp1r42	16.5734369909748	-0.0966555365405088	0.332077509554662	-0.291063181815987	0.771002998060267	0.999493481474904	1	1	0
Cops5	346.574175029867	-0.0450558102578864	0.100778442660762	-0.447077857806874	0.654818845608317	0.999493481474904	1	1	0
Cspp1	2101.96926554004	0.0680138832665056	0.0771954951828679	0.881060262718542	0.37828520358986	0.999493481474904	1	1	0
Arfgef1	1632.47767084571	0.050745703213724	0.069734546472534	0.727698189500824	0.466798358882855	0.999493481474904	1	1	0
Cpa6	443.164914300474	-1.57753939539183	0.532112338368228	-2.96467358796735	0.00303004240961006	0.999493481474904	1	1	0
Prex2	419.685485779702	0.0404987139735383	0.153794489955851	0.26333007109139	0.79229618396033	0.999493481474904	1	1	0
A830018L16Rik	4279.49594622448	0.0078024530417564	0.0907014185420977	0.0860234951908168	0.931447739992484	0.999493481474904	1	1	0
Sulf1	298.237812193212	-0.0793459989099472	0.378294285901653	-0.209746755018592	0.833865331882908	0.999493481474904	1	1	0
Slco5a1	301.83014238249	-0.262532594216475	0.366558035589797	-0.716210173360562	0.473861582228067	0.999493481474904	1	1	0
Prdm14	0.281740679287856	-0.0208547973362184	3.15005711020211	-0.00662045055268231	0.994717683306129	0.999493481474904	0.2	0.2	0
Ncoa2	2825.85167318583	-0.0172810791001219	0.0761115814503299	-0.227049271225555	0.820385429569216	0.999493481474904	1	1	0
Tram1	266.173792023279	0.00102326794508143	0.106071314730189	0.00964698087964959	0.992302942284757	0.999493481474904	1	1	0
Lactb2	319.404748629963	0.0246082388079269	0.106057622686726	0.232027064010428	0.816516993298312	0.999493481474904	1	1	0
Xkr9	0.220430761914068	-0.0325578717160191	3.22592389622209	-0.0100925727833034	0.991947428703508	0.999493481474904	0.2	0.2	0
Eya1	158.776574286081	-0.126589824319152	0.135693622414558	-0.932909167480307	0.350866868642957	0.999493481474904	1	1	0
Msc	6.70875814474916	-0.252801137393485	0.530978858267269	-0.476103960557762	0.634000315540324	0.999493481474904	1	1	0
Trpa1	4.18826868907263	0.214963728187499	0.653253082666587	0.329066534688232	0.742105398315819	0.999493481474904	1	1	0
Kcnb2	8576.07475222815	-0.270540158866096	0.149842854125643	-1.80549256382456	0.0709976381132874	0.999493481474904	1	1	0
Terf1	521.198105322077	0.00216669539725272	0.078354138316253	0.0276525968355047	0.977939231475017	0.999493481474904	1	1	0
Sbspon	19.2720242311875	-0.154117792327535	0.345359305330565	-0.446253481370712	0.655414154716433	0.999493481474904	1	1	0
4930444P10Rik	77.9648261848222	-0.270926161255106	0.23696676517706	-1.14330868741307	0.252910449333768	0.999493481474904	1	1	0
Rpl7	109.57030085559	-0.159751947346784	0.189281759004293	-0.843990187893177	0.398674888655753	0.999493481474904	1	1	0
Rdh10	180.54117483112	0.107810133249852	0.131396546955627	0.820494417454205	0.411934310408875	0.999493481474904	1	1	0
Stau2	3269.014666078	-0.0273767733852278	0.0670311807060687	-0.408418486693152	0.68296646343111	0.999493481474904	1	1	0
