gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	percent_WT	percent_PS19	percent_difference
Xkr4	16388.4578779675	0.0231321266059728	0.100898069037225	0.229262332041643	0.818665028469792	0.999944038176221	1	1	0
Rp1	6.79779722244977	0.623534617257289	0.675461669663303	0.923123613465886	0.355942790225737	0.999944038176221	1	1	0
Sox17	0.835861852174318	-0.180522473939829	2.09796636274034	-0.086046410059708	0.931429524114377	0.999944038176221	0.4	0.666666666666667	0.266666666666667
Mrpl15	218.953549963723	0.0342894635738663	0.130719407330469	0.262313487141047	0.793079764758224	0.999944038176221	1	1	0
Lypla1	317.882154533266	-0.0311827651923291	0.125408875541834	-0.248648790267856	0.803632464272589	0.999944038176221	1	1	0
Tcea1	838.482623600883	-0.0817894924914731	0.0865311417685079	-0.94520297340211	0.344555261743123	0.999944038176221	1	1	0
Rgs20	1093.52039042088	0.0808326181618953	0.148476823814928	0.544412360697119	0.586157741763286	0.999944038176221	1	1	0
Atp6v1h	1545.61387641656	-0.104436779760363	0.0805582196319973	-1.29641370225716	0.194832993856225	0.999944038176221	1	1	0
Oprk1	194.553439161188	-0.312957107657363	0.188664947400138	-1.65879837229973	0.0971564284630897	0.999944038176221	1	1	0
Npbwr1	1.93049562566621	1.20914132805183	1.13660619530996	1.06381729489174	0.287411474972624	0.999944038176221	1	1	0
Rb1cc1	1747.55015705432	-0.0137280550252862	0.0829188612333076	-0.165560100815419	0.86850314880783	0.999944038176221	1	1	0
Alkal1	1.29451552016067	-0.169661712894625	1.51346723939273	-0.112101344831686	0.910743051127166	0.999944038176221	0.8	0.666666666666667	0.133333333333333
St18	129.604409884961	0.0155000960137009	0.218949749494365	0.0707929378749978	0.943562552483442	0.999944038176221	1	1	0
Pcmtd1	1967.31136844258	-0.130166221630085	0.0935803514160625	-1.39095675171554	0.16423854174134	0.999944038176221	1	1	0
Sntg1	15161.5284541633	0.0243134928944105	0.076516046028926	0.317756786402934	0.750669432463439	0.999944038176221	1	1	0
Rrs1	29.4155243297206	0.116906746846027	0.341041801755372	0.342793013185768	0.731754182523425	0.999944038176221	1	1	0
Adhfe1	55.6201012849847	-0.131415341751545	0.245601396319069	-0.53507571097364	0.592597504820588	0.999944038176221	1	1	0
Vxn	26.2233381460676	-0.0653978586709684	0.487388868350738	-0.134180041682664	0.893260207614038	0.999944038176221	1	1	0
Mybl1	40.7854026086885	-0.357256132828288	0.272247380103497	-1.312248193876	0.189436405667044	0.999944038176221	1	1	0
Vcpip1	423.477977316269	0.0140255679567949	0.116794013069645	0.120088072908594	0.904413380455022	0.999944038176221	1	1	0
Sgk3	531.336179523882	-0.0635543382299638	0.22217291215162	-0.286057996964957	0.774833701411405	0.999944038176221	1	1	0
Mcmdc2	187.236916449694	-0.0543265199833999	0.161466419657321	-0.336457079426773	0.736526212477839	0.999944038176221	1	1	0
Tcf24	2.77333221144088	-0.388471442413559	1.06448612841302	-0.364938003459667	0.715157685141886	0.999944038176221	1	1	0
Ppp1r42	19.4056400576747	-0.130231942723559	0.384465856544295	-0.338734741997966	0.734809565965767	0.999944038176221	1	1	0
Cops5	375.407040789667	0.0221519747187419	0.120173120025341	0.184333856972929	0.853751554964247	0.999944038176221	1	1	0
Cspp1	2226.6634307603	-0.00706851493027449	0.0941979173179055	-0.0750389725328977	0.940183703690696	0.999944038176221	1	1	0
Arfgef1	1720.3024291029	0.0351484388438758	0.0955689451782125	0.367780964604482	0.71303656379591	0.999944038176221	1	1	0
Cpa6	567.93154761454	0.0337178333728924	1.01922417933962	0.0330818617301045	0.973609307075219	0.999944038176221	1	1	0
Prex2	489.35236856921	-0.212626750592047	0.154097748213347	-1.37981737603114	0.167642881210051	0.999944038176221	1	1	0
A830018L16Rik	4646.66419190836	-0.0736345194576166	0.105058062448306	-0.700893560585589	0.483369443392407	0.999944038176221	1	1	0
Sulf1	316.959056209868	-0.123122264571223	0.459858253824274	-0.267739599207611	0.788899766457134	0.999944038176221	1	1	0
Slco5a1	345.357642442825	-0.340435001248677	0.468025210370191	-0.72738603328527	0.466989507960895	0.999944038176221	1	1	0
Prdm14	0	NA	NA	NA	NA	NA	0	0	0
Ncoa2	2972.79460174897	-0.00163416880853703	0.10009241906995	-0.0163265991942406	0.986973837279372	0.999944038176221	1	1	0
Tram1	270.399202345943	-0.00271038809566852	0.140845303726033	-0.0192437236028874	0.9846466776601	0.999944038176221	1	1	0
Lactb2	342.46482523829	-0.127981966080607	0.136056177132211	-0.940655314431198	0.34688152552916	0.999944038176221	1	1	0
Xkr9	0.320394157621077	1.34257618138902	3.04003265314643	0.441632158128124	0.658755409431035	0.999944038176221	0.2	0.666666666666667	0.466666666666667
Eya1	169.735322253667	-0.0963790954149596	0.189221187519739	-0.509346213699802	0.610509570194521	0.999944038176221	1	1	0
Msc	5.68641663734358	-0.30458893409815	0.692663057274614	-0.439736074992365	0.660128271321616	0.999944038176221	1	1	0
Trpa1	4.24243485621996	-0.440669957081795	0.806407881902464	-0.546460379382917	0.584749515506225	0.999944038176221	1	1	0
Kcnb2	9657.87484460217	-0.0595900020655682	0.299428684434752	-0.199012336370043	0.842253094585238	0.999944038176221	1	1	0
Terf1	584.230316049151	-0.00798705596442379	0.103717896478221	-0.0770075004953554	0.938617578156248	0.999944038176221	1	1	0
Sbspon	18.839939642927	-0.357751172428572	0.444711151215653	-0.804457390939335	0.421132867773304	0.999944038176221	1	1	0
4930444P10Rik	83.4890102689135	-0.267426625171979	0.292374579884687	-0.914671259305281	0.360364236863902	0.999944038176221	1	1	0
Rpl7	107.668932388133	-0.118303647308961	0.259687707556322	-0.455561213975838	0.648705539382922	0.999944038176221	1	1	0
Rdh10	200.067558357782	0.0984405413456378	0.164805311547762	0.597314130358649	0.550297672118329	0.999944038176221	1	1	0
Stau2	3486.88694022438	-0.0113680041451019	0.0897263029895673	-0.126696450943974	0.899180654938375	0.999944038176221	1	1	0
Ube2w	1391.21674964232	-0.0631803294679528	0.0945713478055222	-0.668070519602593	0.504088578929223	0.999944038176221	1	1	0
Eloc	287.336805201435	0.0157626012295413	0.141720836040528	0.111222891918544	0.911439599128173	0.999944038176221	1	1	0
Tmem70	154.059020964144	-0.0839409508040247	0.150339095117064	-0.55834412691298	0.576609418095645	0.999944038176221	1	1	0
Ly96	53.702369655886	-0.0367014942379545	0.254030139272068	-0.144476928379931	0.885123873783821	0.999944038176221	1	1	0
Jph1	351.128450333466	-0.10088114764701	0.137888279804553	-0.731615100210125	0.464403529001753	0.999944038176221	1	1	0
Gdap1	826.700681539103	0.0151310321305168	0.113818576062243	0.132939917665481	0.894240897331835	0.999944038176221	1	1	0
Pi15	11.4956135125579	-0.228476300976486	0.543382742792243	-0.420470292822387	0.674141926811068	0.999944038176221	1	1	0
Crispld1	291.563543146724	-0.199617996435514	0.1531744672749	-1.30320672881638	0.192504193526902	0.999944038176221	1	1	0
Tfap2d	97.6171617833065	0.219915101503792	0.357118635639028	0.615804048170927	0.538023855301041	0.999944038176221	1	1	0
Tfap2b	82.814393384491	0.281460648782228	0.634884022527629	0.443326086017512	0.657529890107738	0.999944038176221	1	1	0
Pkhd1	11.7132967570065	-0.476241647604185	0.584713567761976	-0.814487081986187	0.415365969643639	0.999944038176221	1	1	0
Il17f	0.095159457750584	-0.445292319919916	3.657218772999	-0.121757091264947	0.903091397245427	0.999944038176221	0.2	0	0.2
Mcm3	0.452902268618731	-1.91174581334535	2.7621684237405	-0.692117756800827	0.488863381342004	0.999944038176221	0.6	0	0.6
Paqr8	194.353079906824	0.27590946523321	0.137179031222453	2.01130932894392	0.0442927937359886	0.999944038176221	1	1	0
Efhc1	12.1782924726317	0.129106109067088	0.527064370164897	0.24495320946604	0.806492661188329	0.999944038176221	1	1	0
Tram2	23.3838579695594	-0.409397656402188	0.364296474100569	-1.12380351034956	0.261096391968309	0.999944038176221	1	1	0
Tmem14a	64.9063600424149	0.11984637518801	0.21142551380269	0.566849161354552	0.570816666733741	0.999944038176221	1	1	0
