gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	percent_WT	percent_PS19	percent_difference
Xkr4	14923.240378925	0.162570878072401	0.074222163240367	2.19032794215279	0.0285004617696221	0.525533479337913	1	1	0
Rp1	9.96590908002705	-0.541201108581617	0.455976283120993	-1.18690626818854	0.235264594597902	NA	1	1	0
Sox17	1.15818775545548	1.69152805765871	1.62655143126448	1.03994747731015	0.298364303055486	NA	0.25	0.666666666666667	0.416666666666667
Mrpl15	182.215804183646	0.0721886509608032	0.113179023739425	0.637827121808408	0.523586222376772	0.906555093597624	1	1	0
Lypla1	309.245883292627	0.123021191744288	0.0931852496251003	1.32017880768922	0.186775325778641	0.743807019748779	1	1	0
Tcea1	778.051573276242	-0.021237727069826	0.0749100035159052	-0.283509892845175	0.776785999237772	0.964464407179559	1	1	0
Rgs20	845.10465082365	0.0241244587347646	0.116478342995805	0.207115401149151	0.835919734497565	0.972535498034414	1	1	0
Atp6v1h	1462.75245642858	0.0666814049862398	0.0810828632919767	0.822385918293515	0.410857291200607	0.858012183342278	1	1	0
Oprk1	179.449452072345	0.0674979131246521	0.149493000651527	0.451512196761587	0.651620436490845	0.940070276727846	1	1	0
Npbwr1	1.04029282409435	0.357756636346412	1.62384581543067	0.220314412210084	0.825626296583345	NA	0.25	0.666666666666667	0.416666666666667
Rb1cc1	1663.54626327875	0.0528873400240891	0.0615343842368158	0.859476220978364	0.390077833640186	0.850721835626846	1	1	0
Alkal1	1.93698352473914	0.298963103217455	0.994917546159335	0.30049033145665	0.763803170258067	NA	1	0.833333333333333	0.166666666666667
St18	124.460249864699	0.306312256740461	0.173463366059566	1.76586136715043	0.0774191099604259	NA	1	1	0
Pcmtd1	1767.54763321492	-0.0262175585131974	0.0750542016419542	-0.349315000887867	0.726852837847519	0.95505282560123	1	1	0
Sntg1	13886.5112232899	0.0140674708430438	0.0737287409336088	0.190800367196169	0.848682000989102	0.97486253941445	1	1	0
Rrs1	26.9136015267943	-0.282958703588954	0.256341925319228	-1.10383310586663	0.269665541031025	NA	1	1	0
Adhfe1	53.3894930862862	0.268950156208995	0.18940020776285	1.42000982673552	0.15560482023264	NA	1	1	0
Vxn	26.289645630661	-0.0777216655635098	0.386069937946401	-0.201314989654284	0.840452282450385	NA	1	1	0
Mybl1	41.8599590329164	0.243109217028302	0.220801473822516	1.10103077130598	0.270883264942175	NA	1	1	0
Vcpip1	378.88216774127	0.0311925881384042	0.0995941336629096	0.313197042749324	0.754130965036146	0.963097106602538	1	1	0
Sgk3	424.02516332346	0.182393435067021	0.139627559410285	1.30628534823181	0.19145553781771	0.744585642751191	1	1	0
Mcmdc2	151.290762995337	-0.252664983155397	0.15141353608735	-1.66870802759428	0.095175257449803	NA	1	1	0
Tcf24	1.84992223526634	0.839787921998689	1.09942172329973	0.763845123487469	0.444959542946999	NA	0.5	1	0.5
Ppp1r42	14.9830285617838	-0.332463413124245	0.336005941340692	-0.989456947688746	0.322439623862629	NA	1	1	0
Cops5	364.749560000092	-0.183909870414002	0.0934375422781585	-1.9682652810635	0.0490375224929109	0.572504464357114	1	1	0
Cspp1	2045.99539884589	0.0326749442347129	0.06139986086693	0.532166421443988	0.594610737196184	0.926860836763233	1	1	0
Arfgef1	1652.95301322853	0.0734410028110334	0.0580020505798831	1.26617942084456	0.205448853486651	0.761567791108453	1	1	0
Cpa6	425.750833337747	-1.94523761729571	0.516377521177245	-3.76708423105044	0.000165165287272872	0.092726545029778	1	1	0
Prex2	429.757085245703	0.169713786818928	0.106634085965618	1.59155288182101	0.111485204326485	0.686661882159418	1	1	0
A830018L16Rik	4087.99978226773	0.120952600267247	0.0630880239918337	1.91720381483027	0.055212043619785	0.582519634868862	1	1	0
Sulf1	284.058147168926	0.0243628154105746	0.16965801607012	0.143599553825417	0.885816693001355	0.983075669945275	1	1	0
Slco5a1	268.751413297734	-0.17004494582095	0.170239651787088	-0.998856283103883	0.317864316393924	0.816102095863517	1	1	0
Prdm14	0.418760102855071	0.457831155021167	2.3823332719811	0.19217762703723	0.847603070291347	NA	0.25	0.333333333333333	0.0833333333333333
Ncoa2	2686.16649005316	0.0693859047152851	0.063599537474845	1.09098127864104	0.275281120473432	0.795782822330962	1	1	0
Tram1	259.622986968996	-0.0186828381494334	0.105463911590486	-0.177149110702233	0.859391267130914	0.977662777213943	1	1	0
Lactb2	308.189495517626	0.12163220615141	0.0826884638742969	1.47096947327883	0.141299372647756	0.713485994350103	1	1	0
Xkr9	0.265942552840305	-0.315032139077342	3.13581629915457	-0.100462561905261	0.919977103698924	NA	0.25	0.166666666666667	0.0833333333333333
Eya1	141.967168683316	0.159758974411945	0.14498120555112	1.10192885901762	0.270492601080713	NA	1	1	0
Msc	5.87259303828215	-0.398061542411892	0.592738326843339	-0.671563697478094	0.501861495666238	NA	1	1	0
Trpa1	3.70688616028013	-0.255673899058263	0.784671852226441	-0.325835441060885	0.744548862667337	NA	1	0.833333333333333	0.166666666666667
Kcnb2	8190.63043168575	-0.401043945243727	0.179596266617932	-2.23303052338442	0.0255469315767783	0.517497700372274	1	1	0
Terf1	520.976784381807	0.0110010220446415	0.0672421349341287	0.163603104741071	0.870043600411501	0.98239318607398	1	1	0
Sbspon	24.3169900724098	-0.385672140894899	0.284385073190173	-1.35616168798351	0.175047728905432	NA	1	1	0
4930444P10Rik	86.9711524319282	-0.0941045727780762	0.163447981161025	-0.575746314574341	0.564786665378554	NA	1	1	0
Rpl7	99.4872986209618	-0.0675397258794985	0.203012091720118	-0.332688192645253	0.739369663240317	NA	1	1	0
Rdh10	174.312324648054	0.267453407870441	0.112507831266087	2.37719814577084	0.0174447143922312	0.469208126713565	1	1	0
Stau2	3179.86908169049	-0.0280015530960293	0.053017493591179	-0.528156862939447	0.597390466691123	0.928187171148085	1	1	0
