gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	percent_PS19	percent_WT	percent_difference
Xkr4	15553.4477103631	0.101053087571252	0.0593730869866553	1.70200157512383	0.0887550729960083	0.846616392437634	1	1	0
Rp1	8.63091099447432	-0.0288847044758157	0.369108754169742	-0.0782552679921876	0.937624999263892	0.999579620284055	1	1	0
Sox17	1.02284575303912	0.838854375868464	1.1759179587054	0.713361310334935	0.475622207703873	0.991093202549377	0.666666666666667	0.333333333333333	0.333333333333333
Mrpl15	197.882281624467	0.048015000514769	0.0689156840040189	0.696720945437746	0.485977448130344	0.991093202549377	1	1	0
Lypla1	313.104659779191	0.0582217326986357	0.0673553212813015	0.864396926494932	0.387369880698637	0.980937992115876	1	1	0
Tcea1	804.172325553616	-0.048717317820508	0.0455548281645832	-1.0694216131054	0.284879732708002	0.956648420576926	1	1	0
Rgs20	950.779412531198	0.0408873780222186	0.111949841475644	0.365229441000272	0.714940143280954	0.999579620284055	1	1	0
Atp6v1h	1498.80752005078	-0.0106778468290819	0.0551581754824726	-0.193585932378691	0.846500114153359	0.999579620284055	1	1	0
Oprk1	185.945184158015	-0.102971187439238	0.151780129120051	-0.678423374892458	0.497503292478303	0.992503773535531	1	1	0
Npbwr1	1.41752917585053	0.773478555685324	0.833194242380841	0.92832921345582	0.35323682478902	0.972237625377383	0.777777777777778	0.666666666666667	0.111111111111111
Rb1cc1	1700.15373448258	0.0221807964764427	0.0404225312530026	0.548723590257479	0.583195154468526	0.999579620284055	1	1	0
Alkal1	1.66637745325536	0.11028981075496	0.695689143366015	0.15853317793826	0.874036679007129	0.999579620284055	0.777777777777778	0.888888888888889	0.111111111111111
St18	126.714406208712	0.174655510368908	0.144869309690661	1.20560739014944	0.227968908357916	0.929273568629807	1	1	0
Pcmtd1	1853.2467742797	-0.0759271094570732	0.0575597096394651	-1.31910167602747	0.187135122934795	0.913274384781746	1	1	0
Sntg1	14435.5964411194	0.0192110823726269	0.0530417288968864	0.362188087985847	0.717211480558716	0.999579620284055	1	1	0
Rrs1	27.993650149569	-0.0997319789764574	0.179511594283982	-0.555574025033083	0.578502092428649	0.999579620284055	1	1	0
Adhfe1	54.3712104261365	0.0917084728494755	0.131164691882952	0.699185669046618	0.484436005450509	0.991093202549377	1	1	0
Vxn	26.2804696081814	-0.0465371226573081	0.308290521534625	-0.150952168187504	0.880013447678104	0.999579620284055	1	1	0
Mybl1	41.4326083391456	-0.0164157238179244	0.152557299331872	-0.107603660328398	0.914310093330839	0.999579620284055	1	1	0
Vcpip1	398.036099010945	0.0237608494757377	0.0659039521122265	0.360537550696138	0.718445180664818	0.999579620284055	1	1	0
Sgk3	469.700015786193	0.0585254684813664	0.159191784317152	0.367641261968446	0.713140743679047	0.999579620284055	1	1	0
Mcmdc2	166.606681715582	-0.158042008600483	0.111673482474159	-1.415215188951	0.157005412462452	0.893044087424781	1	1	0
Tcf24	2.24396767241841	0.160337024678504	0.636033179779693	0.25208908870767	0.800972203625639	0.999579620284055	1	0.777777777777778	0.222222222222222
Ppp1r42	16.8661489002619	-0.242407913130311	0.211745946149285	-1.14480544982622	0.252289757292449	0.940775399579487	1	1	0
Cops5	369.498861263574	-0.0916783548266252	0.0735792153106163	-1.24598168707838	0.212771118415138	0.927658171204107	1	1	0
Cspp1	2123.77611900896	0.0144666557464088	0.0456780066226268	0.316709436686378	0.751464087699721	0.999579620284055	1	1	0
Arfgef1	1682.43657520026	0.0530853976609032	0.0433728002603394	1.2239329105399	0.220977537254796	0.929273568629807	1	1	0
Cpa6	486.23338246738	-1.38475194950964	0.561394703339056	-2.4666280983298	0.0136391933695866	0.67847737929619	1	1	0
Prex2	455.242885814728	0.000897310066927482	0.100048835753093	0.00896872072696501	0.992844092136359	0.999579620284055	1	1	0
A830018L16Rik	4327.33356473128	0.0384846486781306	0.065050430669781	0.591612511737121	0.554110093630264	0.999579620284055	1	1	0
Sulf1	298.109792777996	-0.0374195619701465	0.222777156805613	-0.167968576790831	0.866607999904976	0.999579620284055	1	1	0
Slco5a1	301.331146796388	-0.229906606826485	0.224268811919577	-1.02513855965371	0.305297813571238	0.962852792413482	1	1	0
Prdm14	0.24157153505816	0.269541455704725	2.57138239475063	0.104823559597741	0.91651581518003	0.999579620284055	0.222222222222222	0.111111111111111	0.111111111111111
Ncoa2	2809.08100447591	0.034758647070696	0.0518453044397618	0.670429992576887	0.502583720472978	0.993119831006771	1	1	0
Tram1	264.365213970069	-0.00974248192104019	0.0779183698819727	-0.125034467941227	0.900496262978305	0.999579620284055	1	1	0
Lactb2	322.896077153597	0.0102644081526136	0.0704361782630569	0.14572636400401	0.884137408072037	0.999579620284055	1	1	0
Xkr9	0.288978486985635	0.400746063890583	1.79230395874615	0.223592690254913	0.823074252012546	0.999579620284055	0.333333333333333	0.222222222222222	0.111111111111111
Eya1	153.833655438688	0.0423388306400931	0.110706931464205	0.382440648296558	0.702134544655495	0.999579620284055	1	1	0
Msc	5.79840121530621	-0.364366657138677	0.384701241161831	-0.94714188090025	0.343566486105436	0.970700434539503	1	1	0
Trpa1	3.93654596452425	-0.33985440452563	0.478313000282035	-0.710527216122573	0.477377259815411	0.991093202549377	0.888888888888889	1	0.111111111111111
Kcnb2	8817.23470071728	-0.265174233595332	0.175901642457324	-1.50751425564242	0.131678892584039	0.873648654773854	1	1	0
Terf1	548.09189822502	0.00290728636355678	0.0482053132211806	0.0603104962769823	0.951908342344912	0.999579620284055	1	1	0
Sbspon	22.0130997304922	-0.378231802575393	0.21649595093498	-1.74706178541412	0.0806266212575107	0.837786545125111	1	1	0
4930444P10Rik	85.5389376910396	-0.172707664375291	0.151888449365053	-1.13706911287376	0.255509394785607	0.942530572552759	1	1	0
Rpl7	103.014461791641	-0.14463639634512	0.179233276951227	-0.806972894796083	0.41968209953844	0.987586921324365	1	1	0
Rdh10	185.313836578308	0.181624871485098	0.0831635660090305	2.18394761313357	0.0289660977548156	0.752586760856894	1	1	0
Stau2	3311.99823751919	-0.020770329879681	0.0415131465301351	-0.500331379713736	0.616841762171367	0.999579620284055	1	1	0
Ube2w	1378.52939303304	-0.0346890481732822	0.0521567508805215	-0.665092199718238	0.505991523445156	0.993119831006771	1	1	0
Eloc	268.55979376497	0.0121676728757333	0.0731576372727501	0.166321293706755	0.867904109473277	0.999579620284055	1	1	0
Tmem70	144.495884383218	0.0697095254476012	0.0849403637804455	0.820687860812404	0.411824087089362	0.984429579094492	1	1	0
Ly96	48.3814893900478	0.115777303429403	0.156601905546408	0.739309672033929	0.459718977518813	0.991093202549377	1	1	0
Jph1	355.642845333923	0.0944607907699416	0.0935608910939366	1.00961833160718	0.312678183452079	0.962852792413482	1	1	0
Gdap1	784.216288907843	0.0503737972005368	0.0539579592454707	0.933574914710386	0.350523210169181	0.971739426047699	1	1	0
Pi15	11.2352786981991	-0.286287954924164	0.305889455644038	-0.935919658693026	0.349314554658621	0.971739426047699	1	1	0
Crispld1	274.17750056895	0.0615533266209148	0.11512194932391	0.534679329028097	0.592871617680026	0.999579620284055	1	1	0
Tfap2d	95.4548553729799	-0.0853653436026381	0.386903750220945	-0.220637157313387	0.82537496660884	0.999579620284055	1	1	0
Tfap2b	75.7002378693736	0.253631185364343	0.375694742185824	0.675099108091573	0.49961280027292	0.99308697676148	1	1	0
Pkhd1	12.2352229456402	-0.227644298693615	0.287164782379105	-0.792730559811776	0.427934821461488	0.988261039370361	1	1	0
Il17f	0.158550524209232	-1.20943416304201	3.11917187516249	-0.387742071115913	0.698206918493625	0.999579620284055	0	0.222222222222222	0.222222222222222
Mcm3	0.408431589254573	-1.08671160318758	1.70613055110874	-0.636945163710581	0.524160562992415	0.996552870935398	0.111111111111111	0.444444444444444	0.333333333333333
Paqr8	181.994375004405	0.1948481690313	0.0861360914310573	2.26209670991694	0.0236914288401588	0.73126819834937	1	1	0
Efhc1	11.8125205023826	0.379342029011543	0.280739042613915	1.35122648235725	0.176622893849247	0.909385754295458	1	1	0
Tram2	22.1521992613167	-0.15412545977413	0.216030124942517	-0.713444293082464	0.475570872867487	0.991093202549377	1	1	0
Tmem14a	67.9097052357531	-0.0509229377933729	0.126579511744055	-0.402300001728081	0.687463253375577	0.999579620284055	1	1	0
Gsta3	55.8939458637167	0.0104898003621725	0.152494043104252	0.0687882631258011	0.945158160626549	0.999579620284055	1	1	0
Khdc1c	0.314619257951906	-0.558308036947022	1.7740274399203	-0.314712176589615	0.752980198134454	0.999579620284055	0.222222222222222	0.333333333333333	0.111111111111111
Khdc1b	0.719407868936789	0.445537029783695	1.02360872081697	0.435261072637308	0.663372937102069	0.999579620284055	0.777777777777778	0.444444444444444	0.333333333333333
Kcnq5	14485.8922728927	-0.0757812790727657	0.12625151428583	-0.600240555540577	0.548345929021791	0.999579620284055	1	1	0
Rims1	12830.5125635769	0.015716377553988	0.0453976795833883	0.346193411165863	0.729197366064521	0.999579620284055	1	1	0
Ogfrl1	345.42599648104	-0.0787638797925807	0.0675485734995513	-1.16603320709806	0.243601019720949	0.937160136645303	1	1	0
B3gat2	180.569605368113	-0.0666911835953715	0.109291872332097	-0.610211740107463	0.541721553760994	0.999579620284055	1	1	0
Smap1	901.235792720867	-0.0559136815640417	0.061751878065541	-0.905457183094855	0.365223233358282	0.974865686408342	1	1	0
Sdhaf4	39.0814495187671	-0.203951796487188	0.16809462996134	-1.21331536012837	0.225009272500007	0.929273568629807	1	1	0
Fam135a	1550.65958904475	0.000873613829599682	0.0393822001081492	0.0221829615207026	0.982302008984042	0.999579620284055	1	1	0
Col9a1	5.38356030639974	0.536944938356046	0.490390172972502	1.09493413194101	0.273545494441211	0.953279899160774	1	0.777777777777778	0.222222222222222
Col19a1	2137.34161242752	0.152430226838295	0.109615358453645	1.39059187497668	0.164349221574996	0.901848665130934	1	1	0
Lmbrd1	1151.24931657568	-0.00129226226065336	0.0434970745227412	-0.0297091764177781	0.976298993430332	0.999579620284055	1	1	0
Adgrb3	32825.5732541054	-0.0609324025243964	0.035146563703767	-1.73366600040805	0.0829773624575747	0.84353859821225	1	1	0
Gm597	0.227300320202595	-0.637988059395527	2.63025318451332	-0.242557660666258	0.808348083654994	0.999579620284055	0.111111111111111	0.222222222222222	0.111111111111111
Phf3	1314.40752593484	-0.00298892178859056	0.043739108849291	-0.0683352237213907	0.945518785176635	0.999579620284055	1	1	0
Ptp4a1	5.40258158444141	0.161493596751898	0.433457251832247	0.372570988417557	0.709467768529761	0.999579620284055	1	1	0
4931428L18Rik	1.43841298734978	-0.1802367049381	0.782722230113424	-0.230269050761445	0.817882708363666	0.999579620284055	0.777777777777778	0.666666666666667	0.111111111111111
Lgsn	0.0905766177013114	-0.922239694767129	3.12170456078991	-0.295428243386929	0.767666760501805	0.999579620284055	0	0.222222222222222	0.222222222222222
Khdrbs2	3168.06457731936	-0.10909454131745	0.0795599877712645	-1.3712237064578	0.170305230297625	0.905096320088378	1	1	0
Semp2l1	3.5696253599095	-0.173781545358279	0.528882098243326	-0.328582770972003	0.742471072383216	0.999579620284055	1	1	0
Prim2	272.642475957893	0.150379459100271	0.0690601165976645	2.17751527956958	0.0294421430324709	0.752586760856894	1	1	0
Rab23	160.408448513017	0.094556294531765	0.0781033771088435	1.21065564681016	0.226027407678008	0.929273568629807	1	1	0
Bag2	68.3443126718833	0.0878524381625182	0.121649080351869	0.72217922164644	0.470184296438733	0.991093202549377	1	1	0
Zfp451	833.150783769714	0.0876784866799993	0.0478125291379847	1.83379729666597	0.066684089180274	0.816197270819588	1	1	0
Bend6	1540.5129991275	0.041125647681377	0.0564660181202084	0.72832562044354	0.46641428244632	0.991093202549377	1	1	0
Dst	5160.45473572653	0.0729786605678502	0.0405559268140458	1.79945734941447	0.0719463647816977	0.821844040305136	1	1	0
Ccdc115	30.7248833259772	-0.196797607807342	0.166412718125068	-1.18258754513846	0.23697265099279	0.932887041025002	1	1	0
Imp4	70.1037138470297	0.0875843537628682	0.108852114704426	0.804617843215011	0.421040242243001	0.987586921324365	1	1	0
Ptpn18	15.2539671251261	0.0262036299107671	0.25746155320233	0.10177686565176	0.918933788814646	0.999579620284055	1	1	0
Amer3	31.3558246912604	-0.0558408916845325	0.176517700192862	-0.3163472650251	0.751738939445446	0.999579620284055	1	1	0
Arhgef4	457.14215832989	0.129333669129361	0.0577111598622404	2.24105128779402	0.0250227530199057	0.735635959868561	1	1	0
Fam168b	597.459967892871	-0.0170379342740822	0.0636205854114918	-0.267805367773379	0.788849138719736	0.999579620284055	1	1	0
Plekhb2	399.050894346428	0.0365478280626222	0.0586465012773441	0.623188549471768	0.533160625427848	0.99835737140242	1	1	0
Hs6st1	153.643087852895	0.0853767396919687	0.0929178855442133	0.918840750539289	0.358178874256921	0.973185055189933	1	1	0
Uggt1	646.079769227921	0.0256843121937649	0.0478284375514901	0.537009225235807	0.591261241728526	0.999579620284055	1	1	0
Neurl3	2.88215283731397	0.0754695906644662	0.589546679424154	0.128012917888337	0.898138750156074	0.999579620284055	1	0.888888888888889	0.111111111111111
Arid5a	27.4925300765653	0.117142289712504	0.228551273218719	0.512542713338556	0.608271234584198	0.999579620284055	1	1	0
Kansl3	638.338717166892	0.0580821282554894	0.0492889010623646	1.17840177004553	0.23863647240218	0.934694435912403	1	1	0
Fer1l5	2.3699487886554	-0.810983503310194	0.620305063499283	-1.3073946208584	0.191078723289342	0.915382501234443	0.777777777777778	1	0.222222222222222
Lman2l	319.701066654712	0.123682806594027	0.078364255894907	1.57830639979401	0.114495236382095	0.860508734278418	1	1	0
Cnnm4	72.953954850991	-0.052416854950731	0.110983014949896	-0.472296188514927	0.636715390537203	0.999579620284055	1	1	0
Cnnm3	226.959856107781	0.177114788431249	0.0838408119355826	2.11251280065527	0.0346424892002584	0.752586760856894	1	1	0
Ankrd23	33.5665134800106	-0.176710184100209	0.180257469591768	-0.980321006948601	0.326927688456533	0.963368653055676	1	1	0
Ankrd39	61.375933210281	-0.0969059175673405	0.116347090975577	-0.832903657107182	0.404899066959006	0.98332494983229	1	1	0
Sema4c	27.4585902410245	0.196023695929355	0.177397154487515	1.10499909931278	0.269159979404992	0.950448625311519	1	1	0
Fam178b	2.23086773935638	-0.778215714532704	0.700842623117111	-1.11040009392046	0.266826657766491	0.948917108084781	0.888888888888889	0.888888888888889	0
Cox5b	167.923765253187	-0.270701577655132	0.150351336523534	-1.80046006849271	0.0717880233389455	0.82163196451284	1	1	0
Actr1b	546.908526949985	0.00656169011286981	0.06794758429868	0.0965698807484653	0.923067976351206	0.999579620284055	1	1	0
4933424G06Rik	69.1808855568364	-0.337480257062202	0.138534050288699	-2.43608164461305	0.0148473329296465	0.67847737929619	1	1	0
Zap70	14.0656703145867	0.235289789747405	0.264437411979884	0.889774967867648	0.373586730258603	0.977579955913556	1	1	0
Tmem131	995.101545665422	-0.00385196830753914	0.0467091814263936	-0.0824670480172992	0.934275320927321	0.999579620284055	1	1	0
Vwa3b	13.3768360488509	0.0865182533762748	0.272164468626054	0.3178895974667	0.750568683652254	0.999579620284055	1	1	0
Cnga3	3.3990152905412	-0.31826810055415	0.502411996069215	-0.63348029713507	0.526420043375998	0.996799134225323	0.888888888888889	1	0.111111111111111
Inpp4a	921.316425064094	0.0253963542319596	0.0643818901455392	0.394464253449994	0.69323831375167	0.999579620284055	1	1	0
Coa5	51.5968947730688	-0.224015074760739	0.149015763873591	-1.50329783197145	0.132762258955975	0.875579556309822	1	1	0
Unc50	98.1670206189555	-0.311996656258143	0.12430903413627	-2.50984699886032	0.0120783481734978	0.67847737929619	1	1	0
Mgat4a	540.499836939862	-0.0471396151760966	0.0546766962535103	-0.86215185638745	0.388603958541682	0.981040340830472	1	1	0
Cracdl	820.636985016102	-0.0215315898356883	0.205065215027589	-0.104998743120775	0.916376806052214	0.999579620284055	1	1	0
Tsga10	573.222054448072	-0.0637427777069061	0.0641124579939089	-0.994233877493234	0.320109018583023	0.963368653055676	1	1	0
Lipt1	14.8596145836346	-0.0335614326806123	0.22240385198679	-0.150903108830173	0.880052148080984	0.999579620284055	1	1	0
Mitd1	127.063062412551	0.0974311301077304	0.0910940416450709	1.06956644307594	0.284814506565523	0.956648420576926	1	1	0
Mrpl30	83.2706776450611	-0.2137430715165	0.125029816498487	-1.7095367929224	0.0873515624270729	0.84644419042395	1	1	0
Lyg2	0.194327388843265	-0.894000793846426	2.26761175367281	-0.394247733280809	0.693398147471578	0.999579620284055	0.111111111111111	0.333333333333333	0.222222222222222
Txndc9	172.317529069528	-0.0533359996647772	0.0829518540775298	-0.642975377198049	0.520240077119896	0.99621498649222	1	1	0
Eif5b	715.538103444414	-0.103388505801552	0.0533157471105987	-1.93917391023486	0.0524801653279648	0.79041569458612	1	1	0
Rev1	1262.9119681349	-0.0591243156638607	0.043696039247432	-1.3530818051738	0.176029497629758	0.909385754295458	1	1	0
Aff3	3403.03560649751	0.0542604794428063	0.053401947780794	1.01607678554229	0.309592822773812	0.962852792413482	1	1	0
Lonrf2	764.846305299757	0.0289611347564896	0.0518444539408485	0.558615870263242	0.576423906619439	0.999579620284055	1	1	0
Chst10	301.644852382094	0.131280527725263	0.0610093700074727	2.15180926649764	0.0314123797185342	0.752586760856894	1	1	0
Nms	0.378145918018847	0.397177299369481	1.62849957804601	0.243891558047587	0.807314807495986	0.999579620284055	0.444444444444444	0.111111111111111	0.333333333333333
Pdcl3	77.342446078306	-0.0345108008747551	0.120124852399764	-0.287291099096684	0.773889437426016	0.999579620284055	1	1	0
Npas2	995.937141814532	0.146808957618113	0.215420233424299	0.681500318166276	0.49555496550966	0.991904357694485	1	1	0
