gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	percent_0	percent_3	percent_difference
Xkr4	0	NA	NA	NA	NA	NA	0	0	0
Rp1	0	NA	NA	NA	NA	NA	0	0	0
Sox17	0	NA	NA	NA	NA	NA	0	0	0
Mrpl15	0.240701522537408	0.211707541978454	3.06894827971039	0.0689837438376224	0.94500255920948	NA	0.125	0.1	0.025
Lypla1	0.977869143059787	0.540251918147729	1.04871015681291	0.51515846836993	0.606442288282776	NA	0.5	0.6	0.1
Tcea1	1.37291707575102	-0.678543132297972	0.780128436284051	-0.869783872422397	0.384418526625338	NA	0.875	0.7	0.175
Rgs20	0	NA	NA	NA	NA	NA	0	0	0
Atp6v1h	0.484612602158723	-0.0821223521487724	1.47142580325269	-0.0558114122827229	0.955492043429192	NA	0.5	0.4	0.1
Oprk1	0	NA	NA	NA	NA	NA	0	0	0
Npbwr1	0	NA	NA	NA	NA	NA	0	0	0
Rb1cc1	2.86166868837419	0.0552913695281603	0.525028605852576	0.105311156214764	0.916128910823292	NA	0.875	0.9	0.025
Alkal1	0	NA	NA	NA	NA	NA	0	0	0
St18	0.0737307652621997	-0.610300654278667	3.07846972244804	-0.198248061310588	0.842850986142939	NA	0.125	0	0.125
Pcmtd1	3.87618090618658	-0.727514445875655	0.485248218629276	-1.49926247628632	0.133805552830586	0.669226055115906	1	0.9	0.1
Sntg1	0	NA	NA	NA	NA	NA	0	0	0
Rrs1	0.0368653826310998	-0.404709442640162	3.08130146375107	-0.131343670004779	0.895503447323916	NA	0.125	0	0.125
Adhfe1	0	NA	NA	NA	NA	NA	0	0	0
Vxn	0	NA	NA	NA	NA	NA	0	0	0
Mybl1	0.111045312616927	0.755639632753314	3.07926659880574	0.245395976121841	0.806149844371038	NA	0	0.3	0.3
Vcpip1	0.45223409188091	-0.156961205182224	1.57890388578969	-0.099411500975387	0.920811551540959	NA	0.375	0.4	0.025
Sgk3	0.386370282386889	0.717312959540386	1.60291844030342	0.447504340523156	0.654510954609878	NA	0.25	0.6	0.35
Mcmdc2	0	NA	NA	NA	NA	NA	0	0	0
Tcf24	0	NA	NA	NA	NA	NA	0	0	0
Ppp1r42	0	NA	NA	NA	NA	NA	0	0	0
Cops5	0.262307901236784	-1.11278286827461	2.38040467842036	-0.467476340625011	0.640159115459352	NA	0.375	0.2	0.175
Cspp1	2.07016458982648	0.212800704952871	0.692298800168104	0.307382744128979	0.758552061033301	NA	0.75	0.7	0.05
Arfgef1	2.64471351728275	-0.77092664052333	0.546449699611095	-1.41079158991577	0.158306075023211	NA	0.875	0.9	0.025
Cpa6	0	NA	NA	NA	NA	NA	0	0	0
