gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	percent_WT	percent_PS19	percent_difference
Xkr4	0	NA	NA	NA	NA	NA	0	0	0
Rp1	0	NA	NA	NA	NA	NA	0	0	0
Sox17	0	NA	NA	NA	NA	NA	0	0	0
Mrpl15	0.311580933968087	-2.71466763477591	3.19221100167692	-0.850403570863534	0.39510075152994	0.999828192368318	0.2	0	0.2
Lypla1	1.14485363941605	0.496523079261293	1.43387495095867	0.346280600640471	0.729131846274513	0.999828192368318	0.6	0.6	0
Tcea1	0.985394828374529	0.780978690827635	1.50477107594629	0.519001662984854	0.603759581573426	0.999828192368318	0.4	1	0.6
Rgs20	0	NA	NA	NA	NA	NA	0	0	0
Atp6v1h	0.416496242587799	0.392299013612427	2.65262360233906	0.147890945879582	0.882428833773022	0.999828192368318	0.4	0.4	0
Oprk1	0	NA	NA	NA	NA	NA	0	0	0
Npbwr1	0	NA	NA	NA	NA	NA	0	0	0
Rb1cc1	3.15268559490717	-0.0684884290396787	0.687023081270033	-0.0996886871880211	0.920591482116636	0.999828192368318	0.8	1	0.2
Alkal1	0	NA	NA	NA	NA	NA	0	0	0
St18	0	NA	NA	NA	NA	NA	0	0	0
Pcmtd1	2.87599581838568	1.18181064235777	0.782801772573978	1.50971891449836	0.131115162835483	0.999828192368318	0.8	1	0.2
Sntg1	0	NA	NA	NA	NA	NA	0	0	0
Rrs1	0	NA	NA	NA	NA	NA	0	0	0
Adhfe1	0	NA	NA	NA	NA	NA	0	0	0
Vxn	0	NA	NA	NA	NA	NA	0	0	0
Mybl1	0.212906148491978	-0.627629481643429	3.20315475683567	-0.195941042281532	0.844656312767028	0.999828192368318	0.2	0.4	0.2
Vcpip1	0.268242955322179	0.191279413417542	2.92925559949513	0.0652996663898193	0.947935407961587	0.999828192368318	0.2	0.6	0.4
Sgk3	0.568029494198667	0.690303882603486	2.08899538789325	0.330447777244572	0.741061646034636	0.999828192368318	0.4	0.8	0.4
Mcmdc2	0	NA	NA	NA	NA	NA	0	0	0
Tcf24	0	NA	NA	NA	NA	NA	0	0	0
Ppp1r42	0	NA	NA	NA	NA	NA	0	0	0
Cops5	0.0916737932708568	-1.10040636889096	3.22069550768467	-0.341667309519128	0.73260127634656	0.999828192368318	0.2	0.2	0
Cspp1	2.24919504664102	0.559875803399154	0.983425872836324	0.569311647032838	0.569144664113918	0.999828192368318	0.4	1	0.6
Arfgef1	1.92907744502689	0.0837205765909134	0.919903114107749	0.0910102110830631	0.927484477459801	0.999828192368318	0.8	1	0.2
Cpa6	0	NA	NA	NA	NA	NA	0	0	0
