gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	percent_WT	percent_PS19	percent_difference
Xkr4	0	NA	NA	NA	NA	NA	0	0	0
Rp1	0	NA	NA	NA	NA	NA	0	0	0
Sox17	0	NA	NA	NA	NA	NA	0	0	0
Mrpl15	0.38529732379377	-1.48298925689576	3.10534371172991	-0.477560423116457	0.632963105245513	0.996084667631579	0.2	0	0.2
Lypla1	1.09505468239974	-0.446274853958326	1.4238440802989	-0.313429581323708	0.753954312955486	0.996084667631579	1	0.333333333333333	0.666666666666667
Tcea1	1.16332688797845	0.983403234842022	1.53987763564258	0.63862427252647	0.523067387135256	0.996084667631579	0.6	1	0.4
Rgs20	0	NA	NA	NA	NA	NA	0	0	0
Atp6v1h	0.298075225922178	1.03478327433152	1.69296792445023	0.611224382569182	0.541051043613144	0.996084667631579	0.4	0.333333333333333	0.0666666666666667
Oprk1	0	NA	NA	NA	NA	NA	0	0	0
Npbwr1	0	NA	NA	NA	NA	NA	0	0	0
Rb1cc1	3.64904849796839	0.225774959886167	0.717543239020601	0.314649971748511	0.753027432862511	0.996084667631579	0.8	1	0.2
Alkal1	0	NA	NA	NA	NA	NA	0	0	0
St18	0	NA	NA	NA	NA	NA	0	0	0
Pcmtd1	3.93332399297402	1.01892358777353	0.750323794400797	1.35797850924778	0.174470503505246	0.996084667631579	1	1	0
Sntg1	0	NA	NA	NA	NA	NA	0	0	0
Rrs1	0	NA	NA	NA	NA	NA	0	0	0
Adhfe1	0	NA	NA	NA	NA	NA	0	0	0
Vxn	0	NA	NA	NA	NA	NA	0	0	0
Mybl1	0.140876981241871	0.541894918467584	1.44232851734431	0.375708385399844	0.707133703228909	0.996084667631579	0.2	0.333333333333333	0.133333333333333
Vcpip1	0.484675848946237	1.53587235733488	2.18033227085463	0.704421237930337	0.481170483762828	0.996084667631579	0.2	0.666666666666667	0.466666666666667
Sgk3	0.507284096905339	1.4681972135391	1.94609518554798	0.754432375375147	0.450589637381044	0.996084667631579	0.4	0.666666666666667	0.266666666666667
Mcmdc2	0	NA	NA	NA	NA	NA	0	0	0
Tcf24	0	NA	NA	NA	NA	NA	0	0	0
Ppp1r42	0	NA	NA	NA	NA	NA	0	0	0
Cops5	0.0409236379172485	-0.247250473492929	1.48659469130978	-0.166320029889981	0.867905104001994	0.996084667631579	0.2	0	0.2
Cspp1	1.70021761281135	1.3503885564399	1.17305205410082	1.15117530523827	0.249660122426318	0.996084667631579	0.6	1	0.4
Arfgef1	3.15509526530062	0.220813942785581	0.894387040779442	0.246888575882255	0.80499445783025	0.996084667631579	0.8	1	0.2
Cpa6	0	NA	NA	NA	NA	NA	0	0	0
