gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	percent_0	percent_3	percent_difference
Xkr4	27291.7390922743	-0.0846292191706672	0.114301493502327	-0.740403441613338	0.459055231150455	0.999919888928009	1	1	0
Rp1	12.3649826519682	-0.726931328167208	0.487222925580968	-1.49198916964018	0.1357019845824	0.999919888928009	1	1	0
Sox17	0.315828298727933	0.0540924883140369	3.34118124591898	0.0161896300537743	0.987083108399202	0.999919888928009	0.25	0.2	0.05
Mrpl15	299.721139272808	0.0692421777798645	0.10775329352524	0.642599177385195	0.520484216995417	0.999919888928009	1	1	0
Lypla1	525.008014212173	-0.1004660166972	0.0925496720383341	-1.08553617192276	0.27768425203461	0.999919888928009	1	1	0
Tcea1	1220.1827338316	-0.0188713426109825	0.0701437590057104	-0.269038085190817	0.787900375017573	0.999919888928009	1	1	0
Rgs20	1216.1115427884	-0.234113495444486	0.142065305805241	-1.64792870516489	0.0993673021356587	0.999919888928009	1	1	0
Atp6v1h	2597.12138557477	-0.102832443163269	0.0805299689591187	-1.27694626599785	0.201621218506966	0.999919888928009	1	1	0
Oprk1	204.484360261127	-0.275776232401725	0.454992503177664	-0.606111596291602	0.544440651057023	0.999919888928009	1	1	0
Npbwr1	1.97754679633991	-0.816032634796949	1.01561899516777	-0.803483037122747	0.421695597289644	0.999919888928009	0.75	1	0.25
Rb1cc1	3400.10361921142	-0.00904160072949586	0.0610525967750687	-0.148095268786144	0.882267583236415	0.999919888928009	1	1	0
Alkal1	20.5361373878459	-0.217630153430871	0.352186327118569	-0.617940381761618	0.536614638698323	0.999919888928009	1	1	0
St18	239.875183736127	-1.28519029665961	0.47762722194973	-2.69078108951435	0.0071284954038415	0.953105266931113	1	1	0
Pcmtd1	3799.54221283419	-0.0457471433852643	0.0794177986581901	-0.576031370274535	0.564593977963244	0.999919888928009	1	1	0
Sntg1	20103.3579550442	0.0336564921203646	0.0905054799276138	0.371872423054196	0.709987838250951	0.999919888928009	1	1	0
Rrs1	42.0531739232818	0.156747073630104	0.281800381187608	0.556234427254909	0.578050607064226	0.999919888928009	1	1	0
Adhfe1	52.74392912621	0.304675316025259	0.20868367719755	1.4599863301088	0.144293830907561	0.999919888928009	1	1	0
Vxn	1112.84042107266	0.225569938842422	0.118240141620938	1.90772723839903	0.0564264793038188	0.999919888928009	1	1	0
Mybl1	54.6814297087418	-0.0562633853629598	0.217044147971072	-0.259225534937983	0.795461230275831	0.999919888928009	1	1	0
Vcpip1	717.978710600267	-0.0807562777492519	0.0923526084609835	-0.874434183235542	0.381881848469817	0.999919888928009	1	1	0
Sgk3	1012.24974610856	-0.119809742213626	0.0754035511016115	-1.58891379070694	0.112079857254466	0.999919888928009	1	1	0
Mcmdc2	327.416902839193	-0.108751550396171	0.122024140482751	-0.891229800643779	0.372805900128258	0.999919888928009	1	1	0
Tcf24	3.64958433432309	0.231727342745893	0.745481651976585	0.31084244948415	0.755920397086554	0.999919888928009	1	1	0
Ppp1r42	51.4419234073377	0.155620490838695	0.218410638121111	0.712513328917624	0.476146960634645	0.999919888928009	1	1	0
Cops5	645.049870177283	-0.083695872569592	0.114072672145935	-0.733706601196461	0.463127574426006	0.999919888928009	1	1	0
Cspp1	3995.31568672469	-0.0605944267357735	0.0861958708122973	-0.702985260949747	0.482064934824863	0.999919888928009	1	1	0
Arfgef1	2999.95911387183	-0.0492041607831045	0.0577834164962344	-0.851527371807636	0.394476465006656	0.999919888928009	1	1	0
Cpa6	383.882633978976	0.0622814055549593	0.244570183636684	0.254656575993254	0.798988357982531	0.999919888928009	1	1	0
Prex2	482.634730020562	-0.00224432826545031	0.191624585432582	-0.011712110220011	0.990655301722389	0.999919888928009	1	1	0
A830018L16Rik	7743.57448570076	-0.0918791733346804	0.0954066113616354	-0.96302732088886	0.335533812760155	0.999919888928009	1	1	0
Sulf1	913.077792982692	-0.259722533297716	0.208847812875389	-1.24359709456321	0.213647886047041	0.999919888928009	1	1	0
Slco5a1	166.171485716975	-0.247883623431077	0.166741607999016	-1.48663327891464	0.137111693395023	0.999919888928009	1	1	0
Prdm14	0.246079429989397	0.990421941911508	3.34989438599738	0.295657661940475	0.767491533216061	0.999919888928009	0	0.4	0.4
Ncoa2	5464.18013732141	0.0613162964839289	0.0908462403980986	0.674945888957363	0.499710144176537	0.999919888928009	1	1	0
Tram1	361.66537666657	-0.0806892986786366	0.103334689730298	-0.780853930942593	0.434888410245561	0.999919888928009	1	1	0
Lactb2	541.509056196359	0.0110402214081174	0.0868637127560869	0.127098198520691	0.898862677272249	0.999919888928009	1	1	0
Xkr9	1.94845688052056	-0.103049713642046	1.12541882274145	-0.0915656567668059	0.927043138711894	0.999919888928009	0.75	1	0.25
Eya1	143.617564037838	-0.509855347538631	0.242403184763583	-2.10333601035769	0.0354364077403409	0.999919888928009	1	1	0
Msc	13.8227476813049	0.0323914267974685	0.545498335721946	0.0593795153464578	0.952649828650803	0.999919888928009	1	1	0
Trpa1	3.7864756281684	-1.05563432096068	0.877807088839713	-1.20258122129775	0.229138418155472	0.999919888928009	1	0.8	0.2
Kcnb2	19393.9142220349	-0.103016285540327	0.0627972562132599	-1.64045838548237	0.1009098942531	0.999919888928009	1	1	0
Terf1	1013.03839705203	-0.15261238777987	0.0999076322566767	-1.52753482724711	0.126628073806817	0.999919888928009	1	1	0
Sbspon	32.1854910856822	-0.340965396075215	0.333525511438865	-1.02230679327723	0.306635719005787	0.999919888928009	1	1	0
4930444P10Rik	150.717693014062	-0.218373161721053	0.142875336247375	-1.5284174823775	0.126408916956631	0.999919888928009	1	1	0
Rpl7	167.910759311714	0.491373501531026	0.27260758619878	1.80249386446908	0.0714677391574332	0.999919888928009	1	1	0
Rdh10	286.678955890054	-0.0879163577816298	0.120475709584896	-0.729743431971054	0.465547027731923	0.999919888928009	1	1	0
Stau2	5014.43127505742	0.0195655036486639	0.0800290544072163	0.244480005337907	0.806859085647352	0.999919888928009	1	1	0
Ube2w	2531.10719020852	-0.0727890148541267	0.0721242777558463	-1.00921655119418	0.31287079059106	0.999919888928009	1	1	0
Eloc	503.469773127997	0.153298552029458	0.124053423534804	1.23574624271816	0.216552902761824	0.999919888928009	1	1	0
