gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	percent_0	percent_3	percent_difference
Xkr4	32988.4430290841	-0.030480190505352	0.078080414393534	-0.390369220528575	0.696263544488427	0.997017495883444	1	1	0
Rp1	14.2524287734054	-0.656574454302838	0.492268396288195	-1.33377332214204	0.182278156587683	NA	1	1	0
Sox17	1.8937457698411	1.03137467311296	1.15420645349628	0.89357902131699	0.371547174970892	NA	0.75	1	0.25
Mrpl15	408.114098215291	-0.112901122705908	0.114636822304302	-0.984859144178067	0.324693264146652	0.982965268240675	1	1	0
Lypla1	700.839027409066	-0.0789430728049095	0.0946639724859393	-0.833929431987815	0.404320750831436	0.997017495883444	1	1	0
Tcea1	1573.23667531212	0.0328095857568869	0.0704931964481116	0.465429111035379	0.641624191135883	0.997017495883444	1	1	0
Rgs20	1545.68980611422	0.321440682768946	0.118110953571199	2.72151458480248	0.00649835175160431	0.33403112967088	1	1	0
Atp6v1h	3417.48018053002	-0.00882162699792713	0.0787605392634866	-0.112005670357527	0.91081891056972	0.999001594208663	1	1	0
Oprk1	260.68505711032	-0.0913864661416574	0.170547126974364	-0.535842894353736	0.592067134140897	0.997017495883444	1	1	0
Npbwr1	2.99023517201876	0.215673719598686	0.883453217036766	0.244125795729272	0.807133394738787	NA	1	1	0
Rb1cc1	4566.00796295244	0.0283455622496206	0.0549386400357828	0.515949470739693	0.605889700864432	0.997017495883444	1	1	0
Alkal1	25.0382922486869	0.0468223705594722	0.384192354012747	0.121872208206202	0.903000226166065	0.999001594208663	1	1	0
St18	277.50049322322	0.277500527781248	0.413434055193064	0.671208683212275	0.502087597821199	0.997017495883444	1	1	0
Pcmtd1	4799.97880396437	0.078397530973687	0.0717110597691668	1.09324184060372	0.274287630890749	0.966926984280323	1	1	0
Sntg1	26309.5458695203	0.0471925379501009	0.094158968557641	0.501200668114915	0.616229904149188	0.997017495883444	1	1	0
