gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	percent_WT	percent_PS19	percent_difference
Xkr4	30728.7369370013	-0.0959022958159921	0.0715986283447914	-1.33944319930493	0.180426434003072	0.999988839248059	1	1	0
Rp1	10.3933289384275	-0.218481900189303	0.503263747077492	-0.434130019215672	0.664194027494902	NA	1	1	0
Sox17	1.26407912799182	1.94219201596575	1.42392765605966	1.36396818174053	0.172577580055686	NA	0.2	1	0.8
Mrpl15	362.517880098339	-0.0599455291603938	0.105891025323358	-0.566105852477479	0.571321825073014	0.999988839248059	1	1	0
Lypla1	613.437140103776	0.0430358976347073	0.084049743514854	0.51202889901861	0.608630784214234	0.999988839248059	1	1	0
Tcea1	1447.65332768502	0.0029492012116186	0.0644582321981668	0.0457536781733595	0.963506579578235	0.999988839248059	1	1	0
Rgs20	1451.24523559196	0.250849651842244	0.136234803413421	1.84130373118395	0.065577061265649	0.999988839248059	1	1	0
Atp6v1h	3042.40736353146	0.0406460137054208	0.0776657252722139	0.523345575708704	0.600733790421349	0.999988839248059	1	1	0
Oprk1	226.367194620012	-0.0721054611397342	0.237286448981442	-0.303875174706557	0.761222991704205	0.999988839248059	1	1	0
Npbwr1	2.3060236222982	0.239294250148845	0.873765990901084	0.273865374300126	0.784188081901562	NA	1	1	0
Rb1cc1	4113.49791515517	0.054323338883663	0.0498970681643914	1.08870803199676	0.276282658706164	0.999988839248059	1	1	0
Alkal1	23.1831322541092	-0.0620560363883743	0.305547710809047	-0.20309769699815	0.839058671748778	0.999988839248059	1	1	0
St18	225.559512154967	0.654711624804526	0.361173935669489	1.81273220502726	0.0698731347888624	0.999988839248059	1	1	0
Pcmtd1	4475.12848899433	0.0108757385600857	0.0793841519946625	0.137001382351693	0.891029702456816	0.999988839248059	1	1	0
Sntg1	24300.4715623867	0.0247089045608353	0.0874822545825696	0.282444761840402	0.777602496532972	0.999988839248059	1	1	0
Rrs1	51.1989836438414	-0.0578878880828792	0.25428963979939	-0.227645483821311	0.819921857192203	0.999988839248059	1	1	0
Adhfe1	67.4175501254689	-0.115515591816117	0.168966547017007	-0.68365954004191	0.494190177956481	0.999988839248059	1	1	0
Vxn	1467.34410436475	0.108821771584212	0.114007265902425	0.954516106695765	0.339822460258624	0.999988839248059	1	1	0
Mybl1	64.6640915232401	0.0535553923824719	0.176282598227948	0.303804192364016	0.761277072574267	0.999988839248059	1	1	0
Vcpip1	835.67092068146	0.00680329125996289	0.094155467564771	0.0722559341047592	0.942398232477019	0.999988839248059	1	1	0
Sgk3	1198.72379519111	0.0926170285360783	0.0629512476345525	1.47125008663439	0.141223496344787	0.999988839248059	1	1	0
Mcmdc2	376.962416049573	0.0168034793749391	0.123100843969164	0.136501739818682	0.891424649248478	0.999988839248059	1	1	0
Tcf24	5.21979868308914	0.253914297853115	0.573876984116569	0.442454227788892	0.658160545513475	NA	1	1	0
Ppp1r42	64.4372316069478	0.0283899577774742	0.178253603133086	0.159267230947797	0.873458337096843	0.999988839248059	1	1	0
Cops5	747.524646328996	0.0177489951867824	0.089648620390659	0.197984030422757	0.84305755829508	0.999988839248059	1	1	0
Cspp1	4802.3758761606	0.100724790208391	0.0660277915644334	1.52549082472489	0.127136720349545	0.999988839248059	1	1	0
Arfgef1	3612.04901352477	0.0638846295528246	0.0603799166475509	1.05804434818503	0.290035224369408	0.999988839248059	1	1	0
Cpa6	475.461615420375	0.0471876207479913	0.230012754602238	0.205152191797333	0.837453220353412	0.999988839248059	1	1	0
Prex2	514.16542823337	-0.328071887157121	0.138105902918121	-2.37550952005017	0.0175247403235749	0.999988839248059	1	1	0
A830018L16Rik	8962.88365312521	-1.63397464342929e-05	0.0969897285988908	-0.000168468833456244	0.999865581319445	0.999988839248059	1	1	0
Sulf1	1094.0042748745	0.191747858851337	0.176558853253951	1.08602800322643	0.277466603168718	0.999988839248059	1	1	0
Slco5a1	169.822098105921	-0.266593618455655	0.168710484053055	-1.58018406474264	0.114064720011427	0.999988839248059	1	1	0
Prdm14	0.532063839981567	0.176469647232859	1.89021166459184	0.0933597281926438	0.925617782983943	NA	0.4	0.6	0.2
Ncoa2	6658.49492607866	-0.0058224553598118	0.0857847404196115	-0.067872856306746	0.945886846440855	0.999988839248059	1	1	0
Tram1	424.226664382001	0.0337439465747106	0.106332078330429	0.31734493583254	0.750981884182002	0.999988839248059	1	1	0
Lactb2	639.044179602033	-0.0579479388588009	0.0724482588564443	-0.799852746960066	0.423796118115469	0.999988839248059	1	1	0
Xkr9	1.2943362034022	-1.7822149606456	1.28356061568439	-1.38849302391171	0.164986967566018	NA	1	0.4	0.6
Eya1	124.176581710488	-0.565973645134823	0.235345169654376	-2.40486620552274	0.0161783877112314	0.999988839248059	1	1	0
Msc	15.7561419124256	-0.109691702909186	0.45837692786082	-0.239304590266142	0.810869406285622	0.999988839248059	1	1	0
Trpa1	3.90729904995056	0.776411479083527	0.816521035531254	0.95087749769774	0.341666565992967	NA	0.8	1	0.2
Kcnb2	22339.3861988177	-0.00937206707508688	0.0775370728944132	-0.120872077384832	0.903792359001741	0.999988839248059	1	1	0
Terf1	1198.16657782918	0.132435679066345	0.0881956156996759	1.50161295451823	0.133197095762732	0.999988839248059	1	1	0
Sbspon	32.9273221842039	-0.00567796279707707	0.257315832791285	-0.0220661229256056	0.982395209881627	0.999988839248059	1	1	0
4930444P10Rik	167.466931552505	-0.00998053333497226	0.160104549068106	-0.0623375999811641	0.950293986232908	0.999988839248059	1	1	0
Rpl7	219.630861580176	-0.170797070370176	0.178036018290193	-0.959339980810977	0.337387500357388	0.999988839248059	1	1	0
Rdh10	347.865575598691	0.142168941076958	0.0941701831398002	1.50970228937435	0.131119406854248	0.999988839248059	1	1	0
Stau2	5934.47696550252	-0.0316830006115422	0.0552423757965871	-0.573527118533153	0.566287842906229	0.999988839248059	1	1	0
Ube2w	2987.24853697069	0.0430201551501902	0.0639109468521239	0.673126549818289	0.500866784447252	0.999988839248059	1	1	0
Eloc	616.478469596737	-0.0532869610068934	0.0888635798230023	-0.599649047596663	0.548740152073028	0.999988839248059	1	1	0
Tmem70	286.131855193584	-0.036140384489002	0.0981591298444633	-0.368181589896608	0.712737836803263	0.999988839248059	1	1	0
Ly96	105.05039284512	-0.122492636164735	0.177752697416372	-0.689118297191323	0.490748826524224	0.999988839248059	1	1	0
Jph1	2741.50206876655	0.0140618083919901	0.0939490599607381	0.149674817373017	0.881021177162383	0.999988839248059	1	1	0
Gdap1	1472.75401598786	0.0865959727634706	0.0680052631667586	1.27337162935646	0.202886199810116	0.999988839248059	1	1	0
Pi15	6.38109304984422	0.193391928939539	0.664124146647379	0.291198460281586	0.770899540091506	NA	1	1	0
Crispld1	461.303136299167	0.0647943885611237	0.154876898533919	0.418360576525448	0.675683505976493	0.999988839248059	1	1	0
Tfap2d	117.17931208253	-0.38593401797015	0.197464995924098	-1.95444269078706	0.0506488861500666	0.999988839248059	1	1	0
Tfap2b	6.10299117343006	0.309459830818828	1.13069948221377	0.273688841011003	0.784323754030626	NA	0.8	0.8	0
Pkhd1	29.4551778750825	-0.102995967870704	0.279625176430824	-0.368335817201294	0.712622848670603	0.999988839248059	1	1	0
Il17f	0.155539024982609	0.961949533652105	3.22504395524742	0.298274859816076	0.765493390435579	NA	0	0.4	0.4
Mcm3	1.14165630873236	-0.176022158100861	1.36028342864229	-0.129401089798286	0.897040285397612	NA	0.6	0.8	0.2
Paqr8	509.562828241902	0.0288040468610896	0.103050757825203	0.279513197854863	0.779851011060197	0.999988839248059	1	1	0
Efhc1	29.6066420061363	-0.415555035707597	0.277742752013591	-1.49618678685542	0.134604986818091	0.999988839248059	1	1	0
Tram2	29.0400108636066	-0.233379185822265	0.265571138499233	-0.878782186728242	0.379519386500737	0.999988839248059	1	1	0
Tmem14a	240.749239071857	-0.108711137491172	0.13238192318683	-0.821193217881783	0.411536219041841	0.999988839248059	1	1	0
Gsta3	131.456051721533	0.0494005894126428	0.140784282197534	0.350895630119625	0.725666649964101	0.999988839248059	1	1	0
Khdc1c	0.196849434180191	0.98736099594888	3.2245628064557	0.306199958013578	0.759452404371225	NA	0	0.4	0.4
Khdc1b	1.329312164468	-0.873433240614783	1.16965020036848	-0.74674739536626	0.45521605465021	NA	1	0.8	0.2
Kcnq5	49414.4493895976	0.0654262614432657	0.0934865784293904	0.699846572015486	0.484023126574613	0.999988839248059	1	1	0
Rims1	47280.6239664076	0.0764964784324136	0.0767804572722275	0.996301417705718	0.319103715171429	0.999988839248059	1	1	0
Ogfrl1	1062.75318819923	-0.0171979850409227	0.083025502554984	-0.207140992968194	0.835899748531428	0.999988839248059	1	1	0
B3gat2	379.039047779503	0.164933682711834	0.128394152917647	1.28458873682218	0.198936036622421	0.999988839248059	1	1	0
Smap1	2584.46257156162	0.0780250308724886	0.0823413196405636	0.947580524736348	0.343343044568815	0.999988839248059	1	1	0
Sdhaf4	91.290107334443	-0.267802910665842	0.223479162009409	-1.19833504053755	0.230786610355543	0.999988839248059	1	1	0
Fam135a	3322.18339654251	-0.024840950490907	0.113234936756728	-0.219375320041684	0.826357693551253	0.999988839248059	1	1	0
Col9a1	22.477107070064	-0.49864011724819	0.32287968378562	-1.54435271802133	0.122502907751501	0.999988839248059	1	1	0
Col19a1	2465.18819433069	0.223441391981878	0.0991854169559779	2.25276455792941	0.0242739979935368	0.999988839248059	1	1	0
Lmbrd1	2756.33844824953	0.0309057717992543	0.0634702038645476	0.486933551768805	0.626305421080543	0.999988839248059	1	1	0
Adgrb3	74149.9017352067	0.0148305388487393	0.0740383301748647	0.200308932058737	0.841238977340621	0.999988839248059	1	1	0
Gm597	0.0782739832076074	0.250268408063866	3.22592389622209	0.0775803819665297	0.938161848262467	NA	0	0.2	0.2
Phf3	2836.68274543966	0.0760656381546226	0.0490164842171136	1.55183790452407	0.120701013820315	0.999988839248059	1	1	0
Ptp4a1	10.412452919244	-0.174703701035784	0.496042837533355	-0.352194786048164	0.72469218689993	NA	1	1	0
4931428L18Rik	19.4670564930575	-0.260542791126085	0.360310924076797	-0.723105445092064	0.46961510423639	0.999988839248059	1	1	0
Lgsn	1.35387631397401	-0.64960340426961	1.39049015287329	-0.467175839345054	0.640374078007999	NA	0.6	0.6	0
Khdrbs2	12188.2868783535	0.0549143578728035	0.0765365343056157	0.717492088856894	0.473070516102429	0.999988839248059	1	1	0
Semp2l1	11.7351631614425	0.468203296791437	0.436421789882417	1.07282291500061	0.283350577341747	NA	1	1	0
Prim2	638.188149266043	0.0906585029279449	0.079563075647173	1.13945447923576	0.254513644248267	0.999988839248059	1	1	0
