gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	percent_WT	percent_PS19	percent_difference
Xkr4	28031.4779106613	-0.0821023157875458	0.0864086310088537	-0.950163367119349	0.342029249266108	0.963450259121282	1	1	0
Rp1	14.9466158732204	-0.307686270356104	0.433925382798993	-0.709076450820655	0.478277035752058	0.974352341598567	1	1	0
Sox17	1.48623050718869	1.07711971496583	1.24330750883441	0.866334118721452	0.386306961075762	NA	0.5	1	0.5
Mrpl15	328.10812594779	0.129466226486832	0.111527864777191	1.16084197205316	0.245706170654783	0.938065905303642	1	1	0
Lypla1	576.067068756206	0.0675677885065148	0.0864843229407902	0.781272098907148	0.434642476515716	0.972842900454387	1	1	0
Tcea1	1292.82014731648	0.0123090316752535	0.0678026519687293	0.181542038811851	0.8559421391096	0.999060610466283	1	1	0
Rgs20	1261.85086649572	-0.311554497700606	0.127043630410971	-2.45234252746686	0.0141929486483027	0.66155159614626	1	1	0
Atp6v1h	2856.8324074211	0.0165990325060836	0.076710438926713	0.216385575918055	0.828687208697417	0.999060610466283	1	1	0
Oprk1	222.562532926176	0.0917250180971527	0.209105416897752	0.438654433050886	0.660911949033635	0.990404590822938	1	1	0
Npbwr1	2.77043825331832	0.380260175913424	0.86365707794453	0.44029069595357	0.659726578498484	0.990007534639632	0.75	1	0.25
Rb1cc1	3729.0246172634	0.0693439283614591	0.0493435080507175	1.40533032815957	0.159923073906928	0.89322746245225	1	1	0
Alkal1	19.9080994449384	-0.241258260571393	0.325632784610566	-0.740890573594797	0.458759791453891	0.972952133705519	1	1	0
St18	232.505533598532	0.0903008446223475	0.576143937736936	0.1567331333504	0.875455173149	0.999060610466283	1	1	0
Pcmtd1	3968.69716761265	-0.0145146121676469	0.0774147358876991	-0.187491593185855	0.851275214482657	0.999060610466283	1	1	0
Sntg1	21345.822676424	0.0416429415037355	0.0806386234964648	0.516414339656494	0.605565052634204	0.983843696477921	1	1	0
Rrs1	42.1522889521723	-0.133677092990634	0.233908743764262	-0.571492501047146	0.567665842150152	0.980357573409597	1	1	0
Adhfe1	61.1930713271999	0.145293249205283	0.217300873957034	0.668627081702447	0.503733392666689	0.975395055614438	1	1	0
Vxn	1187.03798294469	-0.0406064583395407	0.129135253837907	-0.314449053474667	0.753180004795335	0.999060610466283	1	1	0
Mybl1	61.7312602150954	0.0550957654508314	0.184875913431833	0.29801483832098	0.765691838568389	0.999060610466283	1	1	0
Vcpip1	742.418082736601	-0.0378341062967646	0.0894258514642618	-0.423077954274605	0.672238386387317	0.992164882121306	1	1	0
Sgk3	1076.7288062365	-0.0171056827886191	0.069888386519537	-0.244757156953928	0.806644468822969	0.999060610466283	1	1	0
Mcmdc2	323.051945714523	0.155655729834592	0.124236245628911	1.25290110826055	0.210241698521122	0.932689788084768	1	1	0
