gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	percent_0	percent_3	percent_difference
Xkr4	188.477034988965	0.217653147178908	0.15659980419297	1.38986857806479	0.164568788795787	0.999948562464473	1	1	0
Rp1	0.0524382837249098	-1.04110108852867	3.37783501059346	-0.308215494618182	0.757918363010155	0.999948562464473	0.25	0	0.25
Sox17	0.655392848896647	-2.13440316455392	2.28893228304761	-0.932488558251298	0.351084097028389	0.999948562464473	0.75	0.2	0.55
Mrpl15	2.88384939045326	1.10811033429071	1.16944893038014	0.947549145160627	0.343359025981114	0.999948562464473	0.5	1	0.5
Lypla1	16.8252270722791	0.66094698416473	0.517946097584265	1.27609221740917	0.201922922405162	0.999948562464473	1	1	0
Tcea1	32.4223747860017	0.0351573925306136	0.323118073707347	0.108806641879328	0.913355855641781	0.999948562464473	1	1	0
Rgs20	0.861641651942533	-0.419598143521846	2.16527310667769	-0.193785320765223	0.846343981467119	0.999948562464473	0.5	0.4	0.1
Atp6v1h	28.288025209608	-0.0322566662032631	0.409445156203325	-0.0787814087297319	0.937206491764282	0.999948562464473	1	1	0
Oprk1	0	NA	NA	NA	NA	NA	0	0	0
Npbwr1	0	NA	NA	NA	NA	NA	0	0	0
Rb1cc1	49.2201630260395	0.376438251200569	0.252164553760665	1.49282778085398	0.135482273293456	0.999948562464473	1	1	0
Alkal1	0	NA	NA	NA	NA	NA	0	0	0
St18	2604.646590313	-0.0593634483042271	0.105459466566983	-0.562902982887006	0.57350094892298	0.999948562464473	1	1	0
Pcmtd1	92.9304676226663	-0.0775262809117639	0.233571631206584	-0.331916511056067	0.739952302491365	0.999948562464473	1	1	0
Sntg1	1.40579943044198	1.05090948292467	2.40882143486381	0.436275378371534	0.662636943599103	0.999948562464473	0	0.2	0.2
Rrs1	10.4662611643634	-0.169166786539608	0.5381594201575	-0.314343260014103	0.753260345378157	0.999948562464473	1	1	0
Adhfe1	1.1427860553586	-1.71420866267072	1.84736679616076	-0.927920035281152	0.353449050776007	0.999948562464473	0.75	0.4	0.35
Vxn	0.332682002790015	1.14609509256267	3.18123069034745	0.360267834722007	0.718646850736161	0.999948562464473	0	0.6	0.6
Mybl1	2.39965738628379	-0.476419279836036	1.25383174597825	-0.379970663020922	0.703967192340245	0.999948562464473	0.75	0.6	0.15
Vcpip1	19.6035442876707	-0.0104849837594202	0.467770285437161	-0.0224148136079686	0.982117063770467	0.999948562464473	1	1	0
Sgk3	73.8393256818021	-0.193557911865257	0.219918011904669	-0.880136693619988	0.378785263253614	0.999948562464473	1	1	0
Mcmdc2	0.0298946264499378	0.0567107519261553	3.38040175771709	0.0167763348828851	0.986615049268528	0.999948562464473	0	0.2	0.2
Tcf24	0	NA	NA	NA	NA	NA	0	0	0
Ppp1r42	0	NA	NA	NA	NA	NA	0	0	0
Cops5	14.9843977175501	-0.0448437874349679	0.606320801013724	-0.0739604964236629	0.941041818419996	0.999948562464473	1	1	0
Cspp1	30.7498798706152	0.223030230501899	0.368026183445627	0.606017290437842	0.544503271692	0.999948562464473	1	1	0
Arfgef1	48.2419897012828	-0.0819107327561291	0.275173378139832	-0.297669539509398	0.765955394028536	0.999948562464473	1	1	0
Cpa6	0.164841489790947	-1.46730615387197	3.38819478707573	-0.433064285285193	0.664968068105825	0.999948562464473	0.25	0	0.25
Prex2	1.26979904193779	-2.12547127928454	1.95952693441455	-1.08468592187	0.278060785205479	0.999948562464473	0.5	0.4	0.1
A830018L16Rik	0	NA	NA	NA	NA	NA	0	0	0
Sulf1	0.575853373535886	1.56558185277411	2.94988500255794	0.530726401678895	0.595608387740913	0.999948562464473	0	0.4	0.4
Slco5a1	0	NA	NA	NA	NA	NA	0	0	0
Prdm14	0.0918174430527891	-1.26559461161397	3.37123897483396	-0.37540934388263	0.707356056811909	0.999948562464473	0.25	0	0.25
Ncoa2	197.53259797118	-0.0465806217598436	0.153952109530822	-0.302565660852592	0.762220887157963	0.999948562464473	1	1	0
