gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	percent_0	percent_3	percent_difference
Xkr4	143.469346782575	0.345153564871928	0.494609435286894	0.697830531016305	0.485283183107171	0.999505151599017	1	1	0
Rp1	0	NA	NA	NA	NA	NA	0	0	0
Sox17	0.448966638859964	-0.987441249618925	3.12960330262143	-0.315516426248599	0.75236958117578	0.999505151599017	0.333333333333333	0.4	0.0666666666666667
Mrpl15	1.90885676867165	-0.400953218998913	1.4852803256243	-0.269951208591134	0.78719779031752	0.999505151599017	0.666666666666667	0.8	0.133333333333333
Lypla1	10.4678844849477	0.533001498575442	0.666637492716912	0.799537236351904	0.423978964232905	0.999505151599017	1	1	0
Tcea1	26.4648416558375	0.241093118671446	0.475600779132258	0.506923304691225	0.612208633134103	0.999505151599017	1	1	0
Rgs20	0.932227324044222	-0.65964686064853	2.28709990724794	-0.28842065821352	0.77302475632584	0.999505151599017	0.666666666666667	0.4	0.266666666666667
Atp6v1h	20.334227270062	1.28678363883514	0.561090763954596	2.29336093462994	0.0218272337571779	0.999505151599017	1	1	0
Oprk1	0	NA	NA	NA	NA	NA	0	0	0
Npbwr1	0	NA	NA	NA	NA	NA	0	0	0
Rb1cc1	38.3924811395302	0.456400616821764	0.377554810845651	1.20883274086619	0.226727110275139	0.999505151599017	1	1	0
Alkal1	0	NA	NA	NA	NA	NA	0	0	0
St18	2212.01459772148	-0.132885693239914	0.0967111696200639	-1.37404700782716	0.169427089268017	0.999505151599017	1	1	0
Pcmtd1	64.6129860679575	0.238555840604344	0.289153338754868	0.825014995958877	0.409363077044843	0.999505151599017	1	1	0
Sntg1	1.96390286266533	-0.425372821079325	1.94449213065734	-0.218757800236264	0.826838721173366	0.999505151599017	0.666666666666667	0.4	0.266666666666667
Rrs1	9.9771585977583	-0.349510610411068	0.621665121416642	-0.562216856584471	0.573968277932863	0.999505151599017	1	1	0
Adhfe1	0.945877930590394	1.11312723078525	2.14280649239676	0.519471653056361	0.603431875575989	0.999505151599017	0.333333333333333	0.8	0.466666666666667
Vxn	0.0712880994065831	-0.658058359694818	3.65782864421111	-0.179904097130483	0.857227858639147	0.999505151599017	0	0.2	0.2
Mybl1	3.10656432791516	-3.24139657725886	1.40135751232412	-2.31304042598171	0.0207204166028674	0.999505151599017	1	0.4	0.6
Vcpip1	13.7549478504477	0.276169431874453	0.611444706093325	0.451667058561957	0.65150885277105	0.999505151599017	1	1	0
Sgk3	61.0161770346405	-0.258760589122321	0.267794060410524	-0.966267096162048	0.333910546278587	0.999505151599017	1	1	0
Mcmdc2	0	NA	NA	NA	NA	NA	0	0	0
Tcf24	0	NA	NA	NA	NA	NA	0	0	0
Ppp1r42	0.0475699010887663	-0.60406358802571	3.65237634204238	-0.165389196363024	0.868637656630562	0.999505151599017	0	0.2	0.2
Cops5	16.4504921177069	-0.494036809627493	0.580781476410769	-0.850641471351052	0.394968544799943	0.999505151599017	1	1	0
Cspp1	16.8600195671132	0.835603959153101	0.563620127876651	1.4825658592093	0.138189793528612	0.999505151599017	0.666666666666667	1	0.333333333333333
Arfgef1	39.4600048054268	0.0602607027977275	0.358259660316729	0.168203985747244	0.866422805448733	0.999505151599017	1	1	0
Cpa6	0.221069749003287	-1.58177502819661	3.65530712292803	-0.432733823725749	0.665208154345357	0.999505151599017	0.333333333333333	0.2	0.133333333333333
Prex2	0.834425443143108	-1.17162934249599	2.53449225811811	-0.462273790240708	0.643884992658998	0.999505151599017	0.333333333333333	0.4	0.0666666666666667
A830018L16Rik	0.277180500874725	-0.821533284793056	3.6095447036487	-0.227600252176572	0.819957023888576	0.999505151599017	0.333333333333333	0.2	0.133333333333333
Sulf1	0.321507567613297	-0.107188319490907	3.60936719878235	-0.029697260929026	0.976308496421761	0.999505151599017	0	0.2	0.2
Slco5a1	0	NA	NA	NA	NA	NA	0	0	0
Prdm14	0	NA	NA	NA	NA	NA	0	0	0
Ncoa2	175.040968105919	-0.112305902036079	0.175358447533534	-0.640436224291976	0.521889038867278	0.999505151599017	1	1	0
Tram1	6.50910713867925	-0.558312976265713	0.818811712882575	-0.681857583961773	0.495329008314744	0.999505151599017	0.666666666666667	1	0.333333333333333
Lactb2	11.1180132115501	0.0446460624646254	0.614653453583667	0.0726361532735587	0.942095656541283	0.999505151599017	1	1	0
Xkr9	0	NA	NA	NA	NA	NA	0	0	0
Eya1	1.45003831377221	2.66879163321706	2.17384530947138	1.22768240297008	0.219566214745059	0.999505151599017	0	0.6	0.6
Msc	0	NA	NA	NA	NA	NA	0	0	0
Trpa1	0	NA	NA	NA	NA	NA	0	0	0
Kcnb2	0.526213115827498	1.5351372429789	2.98405118073181	0.514447356966049	0.606939256818725	0.999505151599017	0	0.6	0.6
Terf1	9.06968913359009	0.996801888129185	0.724714892851375	1.37544004954457	0.168995059818671	0.999505151599017	1	1	0
Sbspon	0.0475699010887663	-0.60406358802571	3.65237634204238	-0.165389196363024	0.868637656630562	0.999505151599017	0	0.2	0.2
4930444P10Rik	0.107169189204432	-0.658058359694818	3.65782864421111	-0.179904097130483	0.857227858639147	0.999505151599017	0	0.2	0.2
Rpl7	2.57403518872863	-2.68311626669059	1.42151999872083	-1.88749807889092	0.0590933644946994	0.999505151599017	1	0.6	0.4
Rdh10	1.56941985177619	1.94656375816186	2.01014905745646	0.968367868512671	0.332860680692381	0.999505151599017	0	0.6	0.6
Stau2	2.09990448012566	1.26568780032535	1.48689103380378	0.851231039498204	0.394641023627106	0.999505151599017	0.666666666666667	1	0.333333333333333
