gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	percent_0	percent_3	percent_difference
Xkr4	150.889022791161	0.148777608884134	0.157955555417914	0.941895386271807	0.34624620249144	0.999964408120044	1	1	0
Rp1	0.152107233469445	-0.928665015163703	3.13684797650084	-0.296050373534401	0.767191612150165	0.999964408120044	0.4	0	0.4
Sox17	0.294387357575034	-0.772504662993601	3.12782758154951	-0.246978020000356	0.804925234726803	0.999964408120044	0.4	0	0.4
Mrpl15	2.27012643879499	0.544803413065262	1.10172010242869	0.494502561825158	0.620951297555304	0.999964408120044	0.8	0.8	0
Lypla1	16.4112989305884	0.40687362463571	0.623710187925259	0.652344041371449	0.514179254743164	0.999964408120044	1	1	0
Tcea1	22.836773469346	-0.289088876406799	0.321457244045882	-0.899307393942371	0.3684889500775	0.999964408120044	1	1	0
Rgs20	0.530971193829899	-0.155518536129409	2.532882227383	-0.0613998291938319	0.951040788388343	0.999964408120044	0.4	0.2	0.2
Atp6v1h	26.2271622104758	-0.415621891469979	0.350912564182915	-1.18440299348567	0.236253575811752	0.999964408120044	1	1	0
Oprk1	0	NA	NA	NA	NA	NA	0	0	0
Npbwr1	0	NA	NA	NA	NA	NA	0	0	0
Rb1cc1	41.4479689469657	0.209090513178244	0.250890916569545	0.83339212131375	0.404623616679583	0.999964408120044	1	1	0
Alkal1	0	NA	NA	NA	NA	NA	0	0	0
St18	2008.46768990507	-0.0161288870079685	0.0911995295408812	-0.176852743530201	0.859624058609545	0.999964408120044	1	1	0
Pcmtd1	63.8711450589198	-0.488474074650065	0.257894323610937	-1.89408618154382	0.0582135715959624	0.999964408120044	1	1	0
Sntg1	0	NA	NA	NA	NA	NA	0	0	0
Rrs1	9.31748790882703	-0.0557964855571346	0.490767643406778	-0.113692266201191	0.909481743446007	0.999964408120044	1	1	0
Adhfe1	0.53812788532107	-2.21944351789483	2.22504521002198	-0.997482436715479	0.318530394725922	0.999964408120044	0.8	0	0.8
Vxn	0.179062850280774	1.23803224992213	3.13944643480237	0.394347307919608	0.693324640453828	0.999964408120044	0	0.4	0.4
Mybl1	1.66742037608613	0.0808151713818038	1.19594670092252	0.0675742249378379	0.9461245740069	0.999964408120044	0.8	0.6	0.2
Vcpip1	16.4232023575236	-0.336171456951711	0.460369157891143	-0.7302214998321	0.465254802708462	0.999964408120044	1	0.8	0.2
Sgk3	54.7387271555792	0.144844426440398	0.25216024093808	0.574414213365086	0.565687537009973	0.999964408120044	1	1	0
Mcmdc2	0.0209588052317256	0.63162728177325	3.1456762113757	0.200792211063904	0.840861053570301	0.999964408120044	0	0.2	0.2
Tcf24	0	NA	NA	NA	NA	NA	0	0	0
Ppp1r42	0	NA	NA	NA	NA	NA	0	0	0
Cops5	10.6474891620395	0.311950056526536	0.590813679506453	0.528000734152143	0.597498826392805	0.999964408120044	1	1	0
Cspp1	24.9679238572695	-0.0364437366779885	0.364641834422254	-0.0999439264442347	0.920388842652345	0.999964408120044	1	1	0
Arfgef1	34.7575408794538	0.167599339345247	0.314268463540741	0.533299897345633	0.593825998721465	0.999964408120044	1	1	0
Cpa6	0	NA	NA	NA	NA	NA	0	0	0
Prex2	1.23096778048592	-1.19861083396644	1.87797411398003	-0.638246728239614	0.523313083523055	0.999964408120044	0.4	0.4	0
A830018L16Rik	0.115115888538462	-0.422911474172787	3.15499270204464	-0.134045151324348	0.893366870988281	0.999964408120044	0.2	0	0.2
Sulf1	0.158104045049048	1.00466972812399	3.14147940724692	0.319807835062159	0.749114007786463	0.999964408120044	0	0.2	0.2
Slco5a1	0	NA	NA	NA	NA	NA	0	0	0
Prdm14	0.0643123196037867	-0.350343211648352	3.14155124339091	-0.111519177790078	0.911204658776206	0.999964408120044	0.2	0	0.2
Ncoa2	147.304633838202	-0.019068777095197	0.163377945093295	-0.116715735923279	0.907085320043009	0.999964408120044	1	1	0
Tram1	4.55543400369159	0.915355733052636	0.836162197206726	1.09471073448484	0.273643384310823	0.999964408120044	0.8	0.8	0
