gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	percent_0	percent_3	percent_difference
Xkr4	147.056072993835	0.217022619892381	0.176514943773341	1.22948581719548	0.218889712208085	0.784911090043363	1	1	0
Rp1	0.086187243004647	-0.97868916280487	3.0783985729701	-0.317921523027674	0.750544465955227	NA	0.25	0	0.25
Sox17	0.363105199113089	-0.868285463134851	1.95085485236474	-0.445079479943038	0.656262317442905	NA	0.375	0.2	0.175
Mrpl15	2.10930707546057	0.0765478288546426	0.773019285159196	0.0990244749700886	0.921118837391778	NA	0.75	0.8	0.05
Lypla1	13.8611856462241	0.462853709092857	0.438661752660004	1.05514945464508	0.291356976883923	NA	1	1	0
Tcea1	24.3974452967594	-0.0663634412289223	0.25147378804819	-0.263898045772489	0.791858481532424	NA	1	1	0
Rgs20	0.710289946875128	-0.415401578709572	1.48746730812051	-0.279267703190367	0.78003938976933	NA	0.5	0.3	0.2
Atp6v1h	23.7002517990344	0.175515156693132	0.327087477819415	0.536600049207735	0.591543910129621	NA	1	1	0
Oprk1	0	NA	NA	NA	NA	NA	0	0	0
Npbwr1	0	NA	NA	NA	NA	NA	0	0	0
Rb1cc1	40.0553228069276	0.27666853431006	0.186658781927184	1.48221547067627	0.138282971398401	0.686154370890252	1	1	0
Alkal1	0	NA	NA	NA	NA	NA	0	0	0
St18	2092.6344499878	-0.0684251280669721	0.0636242906474033	-1.07545604627915	0.282170600729631	0.834363139584757	1	1	0
Pcmtd1	64.1063022430732	-0.186819214369891	0.187923644979436	-0.994122982184251	0.320162997841263	0.846832522898205	1	1	0
Sntg1	0.853300180278252	0.453348835555336	3.04210025803161	0.149024948917586	0.881533946393714	NA	0.25	0.2	0.05
Rrs1	9.58336366511921	-0.179089537648925	0.309410164443691	-0.578809484074067	0.56271773103613	NA	1	1	0
Adhfe1	0.712664888940714	-0.640190137330137	1.24829993731159	-0.512849611054925	0.608056523251422	NA	0.625	0.4	0.225
Vxn	0.13172270905958	0.418764342942861	3.07610620218827	0.136134553041427	0.891714912411958	NA	0	0.3	0.3
Mybl1	2.28558027955275	-1.05528768728113	0.880404613782042	-1.19863943323493	0.23066817805948	NA	0.875	0.5	0.375
Vcpip1	15.2400846491933	-0.107868666772653	0.33611508625992	-0.320927774986088	0.748265124963808	NA	1	0.9	0.1
Sgk3	57.3306787043872	-0.0451353862976784	0.161863858603232	-0.278847833526051	0.780361603911274	0.96437336993416	1	1	0
Mcmdc2	0.0117400497005619	-0.139458751266667	3.0815056950528	-0.045256691068448	0.963902707564264	NA	0	0.1	0.1
Tcf24	0	NA	NA	NA	NA	NA	0	0	0
Ppp1r42	0.0204962619570915	-0.145819377036252	3.08221974998963	-0.0473098574612478	0.962266271763304	NA	0	0.1	0.1
Cops5	13.1481967896271	-0.100964307687463	0.40208653075079	-0.251100944612442	0.801736065603448	NA	1	1	0
Cspp1	21.4049931276335	0.256900700425137	0.277605710956813	0.925415761583893	0.354749683250147	NA	0.875	1	0.125
