gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	percent_0	percent_3	percent_difference
Xkr4	327.856643367827	-0.0638420221377092	0.0978416069126354	-0.652503818694586	0.514076210208517	0.999815724524246	1	1	0
Rp1	0	NA	NA	NA	NA	NA	0	0	0
Sox17	0	NA	NA	NA	NA	NA	0	0	0
Mrpl15	3.97621812996	1.28136572625111	0.822949122062716	1.55704124580554	0.119460693062244	NA	1	1	0
Lypla1	14.9551821616098	-0.289433434129029	0.445313153532566	-0.649954828041842	0.515721400627926	NA	1	1	0
Tcea1	28.3885936477668	0.0827843771591615	0.293787823344507	0.281782873833016	0.778110003731923	NA	1	1	0
Rgs20	89.6340995337342	-0.00825236156602624	0.202010777645345	-0.0408510954822138	0.967414605024531	0.999815724524246	1	1	0
Atp6v1h	32.2185486256697	-0.298401989848702	0.292390300721458	-1.02056049435433	0.307462714490078	NA	1	1	0
Oprk1	0	NA	NA	NA	NA	NA	0	0	0
Npbwr1	0	NA	NA	NA	NA	NA	0	0	0
Rb1cc1	46.6708930602478	-0.105519877951913	0.273983008110585	-0.385132927328557	0.700138933595283	0.999815724524246	1	1	0
Alkal1	0	NA	NA	NA	NA	NA	0	0	0
St18	4.77456102240831	0.557373395048582	0.814417443306762	0.684382928717109	0.493733392977051	NA	1	1	0
Pcmtd1	61.4193932018282	-0.0520275829359147	0.219555442051458	-0.236967858549918	0.812681725307312	0.999815724524246	1	1	0
Sntg1	737.011713031574	-0.213521594844678	0.0684515869623696	-3.11930817560239	0.00181276253022552	0.162869741177186	1	1	0
Rrs1	1.59758574632188	0.13436556503119	1.14751808099292	0.117092329312081	0.906786888244442	NA	1	1	0
Adhfe1	2.21994182837232	-0.314608968752945	1.04268877025008	-0.301728548085818	0.762859003724735	NA	0.75	1	0.25
Vxn	80.4803558834447	0.215931747282645	0.196601087057865	1.09832427945371	0.272062913613691	0.999815724524246	1	1	0
Mybl1	8.82074911205785	-0.181120767675304	0.532012484327539	-0.340444581679769	0.733521750193932	NA	1	1	0
Vcpip1	17.4133685422168	0.241044965373278	0.375613247087115	0.641737125201478	0.521043879800548	NA	1	1	0
Sgk3	36.3606336793199	-0.161532307009606	0.270834890500384	-0.596423550566787	0.55089231148888	NA	1	1	0
Mcmdc2	1.64732885463156	-0.0172738659347589	1.5168682658387	-0.0113878484531469	0.990914007922154	NA	0.75	0.4	0.35
Tcf24	0	NA	NA	NA	NA	NA	0	0	0
Ppp1r42	0.196885658442067	-1.34624693159677	3.3430184701124	-0.402704006463807	0.687165986201634	NA	0.25	0	0.25
Cops5	10.5182947415017	-0.142238261031091	0.528066824804791	-0.26935655555274	0.787655314678959	NA	1	1	0
Cspp1	38.4034211434739	-0.48578744337113	0.321679696276054	-1.51015885986862	0.131002893417892	NA	1	1	0
Arfgef1	51.9649439586777	0.402530965083945	0.235794494359639	1.70712622522049	0.0877985936307649	0.961086084582491	1	1	0
Cpa6	0	NA	NA	NA	NA	NA	0	0	0
Prex2	8.87022272946798	0.0754427933660611	0.518100830718828	0.145614113880863	0.884226025483973	NA	1	1	0
A830018L16Rik	0.170933933887553	0.382108996859887	3.36598531916875	0.113520696208577	0.909617755937863	NA	0	0.2	0.2
Sulf1	46.5685591859576	0.0752115748284346	0.250823562320641	0.299858490695893	0.764285097761662	0.999815724524246	1	1	0
Slco5a1	2.50561748503229	-0.155274470865076	1.35713173557596	-0.114413705607716	0.908909849836794	NA	1	0.4	0.6
Prdm14	0	NA	NA	NA	NA	NA	0	0	0
Ncoa2	84.0211492197893	-0.0376853418584972	0.178447484811262	-0.211184494409409	0.832743309576299	0.999815724524246	1	1	0
Tram1	11.6954578404457	0.440153954788297	0.46216288225027	0.952378418286618	0.340905100636089	NA	1	1	0
Lactb2	4.85636855906982	0.117142984774609	0.731491688169195	0.160142605403759	0.872768739985619	NA	1	1	0
Xkr9	0	NA	NA	NA	NA	NA	0	0	0
Eya1	125.368902108043	0.0437240802213221	0.166990039777465	0.261836456111932	0.793447531370968	0.999815724524246	1	1	0
Msc	0	NA	NA	NA	NA	NA	0	0	0
Trpa1	0	NA	NA	NA	NA	NA	0	0	0
Kcnb2	62.7797548667885	-0.238796516258312	0.378083318274365	-0.631597599566728	0.527649855512704	0.999815724524246	1	1	0
Terf1	22.8433057383434	0.0423786275274444	0.352988275965476	0.120056756592078	0.904438187785942	NA	1	1	0
Sbspon	0.363561591547586	-0.146624582271095	2.83543572204884	-0.0517114816361085	0.958758588458878	NA	0.25	0.4	0.15
4930444P10Rik	0.731648220227707	0.981349463528843	1.91211519573247	0.513227166291579	0.607792424965479	NA	0.5	0.6	0.1
Rpl7	0.870067357777917	0.564130211171245	1.84981173975911	0.304966283349844	0.760391831821364	NA	0.5	0.6	0.1
Rdh10	5.79407387468786	-0.232019793953308	0.613032059153113	-0.37847905421755	0.705074750894896	NA	1	1	0
Stau2	75.0762609592126	0.0853185990411511	0.212491019284083	0.401516258562848	0.688040070298387	0.999815724524246	1	1	0
Ube2w	30.9888720070712	0.125834253339362	0.289747846203633	0.43428883074743	0.664078713603741	NA	1	1	0
Eloc	6.6725069739901	-0.0594739350441978	0.642789060266909	-0.0925248090244444	0.926281081010626	NA	1	1	0
