gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	percent_WT	percent_PS19	percent_difference
Xkr4	344.824248636177	-0.0522548346189508	0.0966974174712298	-0.540395348557247	0.588924414941081	0.999514505091526	1	1	0
Rp1	0	NA	NA	NA	NA	NA	0	0	0
Sox17	0	NA	NA	NA	NA	NA	0	0	0
Mrpl15	5.08114798796207	0.0643388377003479	0.767018299297625	0.0838817506169858	0.933150449315525	0.999514505091526	1	1	0
Lypla1	17.2157412262856	0.15694193559687	0.450288858432413	0.348536128882316	0.727437585754733	0.999514505091526	1	1	0
Tcea1	30.5583996000741	0.0387752933228814	0.318668427068834	0.121679118573318	0.90315315130137	0.999514505091526	1	1	0
Rgs20	99.8780729843672	0.139106215758195	0.215808621228547	0.644581365500122	0.51919851396287	0.999514505091526	1	1	0
Atp6v1h	30.6826498385136	-0.206833091642527	0.348261360329059	-0.593901923104815	0.552577712705	0.999514505091526	1	1	0
Oprk1	0	NA	NA	NA	NA	NA	0	0	0
Npbwr1	0	NA	NA	NA	NA	NA	0	0	0
Rb1cc1	55.0447630167282	-0.0756480210158238	0.264812692742429	-0.285666144747084	0.775133837155668	0.999514505091526	1	1	0
Alkal1	0	NA	NA	NA	NA	NA	0	0	0
St18	6.21253598632892	0.150621067519898	0.806104164935452	0.186850625603651	0.851777752352817	0.999514505091526	1	1	0
Pcmtd1	63.5788429548433	0.256958825467817	0.242922040752139	1.05778308412121	0.290154346534856	0.999514505091526	1	1	0
Sntg1	803.855238822485	-0.0620663006065924	0.0714734099634805	-0.868383090135273	0.385184648846525	0.999514505091526	1	1	0
Rrs1	1.4677308246016	-1.25158678583542	1.46832369498887	-0.852391601461495	0.393996779981004	0.999514505091526	1	0.666666666666667	0.333333333333333
Adhfe1	3.31252910121802	0.438285667080044	1.00701380652646	0.435233026835892	0.663393292122563	0.999514505091526	0.8	1	0.2
Vxn	85.0970071730418	-0.0972727889526521	0.201245479363443	-0.483353908173909	0.628844469215308	0.999514505091526	1	1	0
Mybl1	10.4245019849018	-0.220450670706626	0.539226490599865	-0.408827597585914	0.682666185495739	0.999514505091526	1	1	0
Vcpip1	17.5999277223286	-0.120058784433874	0.430628135161994	-0.27879921127009	0.780398919782441	0.999514505091526	1	1	0
Sgk3	35.2022569726231	-0.439915703352265	0.308021240642855	-1.42819924507199	0.153234517861436	0.999514505091526	1	1	0
Mcmdc2	0.508251819916289	-0.838046489969808	2.77367971779128	-0.302142487683169	0.762543444565	0.999514505091526	0.4	0.333333333333333	0.0666666666666667
Tcf24	0.144042055606289	0.88560817480571	3.64786904190402	0.242774114046447	0.80818038972554	0.999514505091526	0	0.333333333333333	0.333333333333333
Ppp1r42	0	NA	NA	NA	NA	NA	0	0	0
Cops5	9.99603773689411	-0.0370025171325916	0.614959432079782	-0.0601706636280864	0.952019710399737	0.999514505091526	1	1	0
Cspp1	38.8030498470366	-0.350721849926157	0.326294701324038	-1.07486222884711	0.28243641477394	0.999514505091526	1	1	0
Arfgef1	53.5172015987227	-0.115682075935458	0.246866505572334	-0.468601747601448	0.639354327901911	0.999514505091526	1	1	0
Cpa6	0	NA	NA	NA	NA	NA	0	0	0
Prex2	9.05326424516322	0.653315829195027	0.575953029243227	1.13432137001424	0.256659768310743	0.999514505091526	1	1	0
A830018L16Rik	0.204563627538933	-0.719997673454238	3.65656194493534	-0.196905640953656	0.843901379258994	0.999514505091526	0.2	0	0.2
Sulf1	50.5678706510786	0.139392222623986	0.24710662843547	0.5640974647525	0.572687803357672	0.999514505091526	1	1	0
Slco5a1	2.88327043584684	0.974863794290102	1.20800962062409	0.807000025203824	0.41966646863054	0.999514505091526	0.6	1	0.4
Prdm14	0	NA	NA	NA	NA	NA	0	0	0
Ncoa2	97.5722297500149	0.263114659400497	0.18310002067221	1.43699961602698	0.15071810265019	0.999514505091526	1	1	0
Tram1	11.3027481529745	-0.0809898189914165	0.517254153854367	-0.156576449677423	0.875578664020155	0.999514505091526	1	1	0
Lactb2	3.95416558181878	-0.248372857058598	0.896368381801086	-0.277087927353639	0.781712591609823	0.999514505091526	1	1	0
Xkr9	0	NA	NA	NA	NA	NA	0	0	0
Eya1	132.122802055176	-0.195110911868938	0.191587170239323	-1.01839236742844	0.308491527978768	0.999514505091526	1	1	0
Msc	0	NA	NA	NA	NA	NA	0	0	0
Trpa1	0	NA	NA	NA	NA	NA	0	0	0
Kcnb2	81.9447120640725	0.271891793890609	0.587097912525373	0.463111498252617	0.643284448612735	0.999514505091526	1	1	0
Terf1	24.4834089060935	0.0824396690605354	0.385585621667224	0.213803794612664	0.830700065705303	0.999514505091526	1	1	0
Sbspon	0.0804062530058624	-0.719997673454238	3.65656194493534	-0.196905640953656	0.843901379258994	0.999514505091526	0.2	0	0.2
4930444P10Rik	0.624779401086648	-0.567484919714207	2.13950456468235	-0.265241275518597	0.790823599960394	0.999514505091526	0.6	0.666666666666667	0.0666666666666667
Rpl7	0.989305548931369	1.49949267432839	2.04221207214881	0.734249246088645	0.462796844543387	0.999514505091526	0.6	0.333333333333333	0.266666666666667
Rdh10	6.48250723468358	-0.112063758267628	0.672249983643971	-0.166699532903192	0.867606473083493	0.999514505091526	1	1	0
Stau2	74.1929850843778	0.0101794248181787	0.225150740457194	0.0452115982275173	0.963938649655969	0.999514505091526	1	1	0
Ube2w	28.8246046896573	-0.393548766722256	0.330979690867716	-1.18904203968076	0.234423124359762	0.999514505091526	1	1	0
