gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	percent_PS19	percent_WT	percent_difference
Xkr4	366.925108771936	-0.0519130308881724	0.0630093626879651	-0.82389392105513	0.409999834799979	0.999915415497498	1	1	0
Rp1	0	NA	NA	NA	NA	NA	0	0	0
Sox17	0	NA	NA	NA	NA	NA	0	0	0
Mrpl15	5.03323869749879	0.439617077428406	0.432118211425854	1.01735373748264	0.308985181371786	0.999915415497498	0.888888888888889	1	0.111111111111111
Lypla1	17.2328693763545	0.0810144914175161	0.245643812672495	0.329804730418871	0.741547512831424	0.999915415497498	1	1	0
Tcea1	31.7125747385062	-0.00801919487140552	0.168721845253042	-0.0475290846859734	0.962091550296098	0.999915415497498	1	1	0
Rgs20	100.546039570495	-0.0155351102265151	0.118835124100997	-0.130728270316039	0.895990267777295	0.999915415497498	1	1	0
Atp6v1h	35.243608424712	-0.152915017240385	0.192888204613082	-0.792764998498067	0.427914752695799	0.999915415497498	1	1	0
Oprk1	0	NA	NA	NA	NA	NA	0	0	0
Npbwr1	0	NA	NA	NA	NA	NA	0	0	0
Rb1cc1	52.3978679512907	0.0698610504211505	0.154891174071617	0.451033125934269	0.651965674335309	0.999915415497498	1	1	0
Alkal1	0	NA	NA	NA	NA	NA	0	0	0
St18	5.36947645851415	0.138249081991433	0.466870243472962	0.296118855129904	0.76713931506544	0.999915415497498	1	1	0
Pcmtd1	68.4058541491908	-0.0642413699655156	0.136904129681884	-0.46924347800749	0.638895611245672	0.999915415497498	1	1	0
Sntg1	819.320586161159	-0.0374470813060999	0.0433802040936848	-0.863229717066992	0.388011177885852	0.999915415497498	1	1	0
Rrs1	1.70225446663228	-0.190193299096328	0.661469183266259	-0.287531609798018	0.7737053021678	0.999915415497498	0.777777777777778	1	0.222222222222222
Adhfe1	3.12181375487805	0.525969964531467	0.518867940362734	1.01368753707112	0.310731872821018	0.999915415497498	1	0.888888888888889	0.111111111111111
Vxn	86.0863943754063	-0.16668071460736	0.111205681205942	-1.49885071337933	0.133912364911165	0.999915415497498	1	1	0
Mybl1	10.5724400791096	0.15977723637124	0.281361564237396	0.567871581195893	0.570122170171337	0.999915415497498	1	1	0
Vcpip1	19.881603966617	-0.0337416140903561	0.22019165630979	-0.153237478003638	0.878211003502322	0.999915415497498	1	1	0
Sgk3	37.0730882483481	-0.289795042772979	0.159435835512439	-1.81762802472578	0.0691210052924654	0.999915415497498	1	1	0
Mcmdc2	1.99953958447448	-0.34677935468641	0.781197552597473	-0.443907374688224	0.657109552498764	0.999915415497498	0.777777777777778	0.555555555555556	0.222222222222222
Tcf24	0.1623113454283	0.672221173104131	2.98200786832942	0.225425687250357	0.821648130320761	0.999915415497498	0.333333333333333	0	0.333333333333333
Ppp1r42	0.225485686825666	-0.520956645929126	3.11522409026342	-0.167229268532356	0.867189655719579	0.999915415497498	0.111111111111111	0.111111111111111	0
Cops5	11.4681648858507	-0.103815222683643	0.313012992607152	-0.33166426038403	0.740142790555734	0.999915415497498	1	1	0
Cspp1	41.6372840391021	-0.160141897291948	0.22216202685018	-0.720833796677336	0.471011778967788	0.999915415497498	1	1	0
Arfgef1	58.9654547370604	-0.0254068090671093	0.140794014796044	-0.180453757952097	0.856796354193936	0.999915415497498	1	1	0
Cpa6	0	NA	NA	NA	NA	NA	0	0	0
Prex2	10.5535453648808	0.0319075683913733	0.33800225201231	0.0944004609478498	0.924791049658465	0.999915415497498	1	1	0
A830018L16Rik	0.0973509158887424	-0.609140260718257	3.12168357587997	-0.195131968347095	0.845289636464252	0.999915415497498	0	0.111111111111111	0.111111111111111
Sulf1	53.247598890665	-0.00365645536690573	0.172958638256019	-0.0211406345689039	0.983133470430894	0.999915415497498	1	1	0
Slco5a1	3.06698871558697	0.299969187996462	0.684257156372564	0.438386628773723	0.661106037665796	0.999915415497498	1	0.666666666666667	0.333333333333333
Prdm14	0	NA	NA	NA	NA	NA	0	0	0
Ncoa2	104.106176970105	0.228920961242248	0.0982416058283098	2.33018342190291	0.0197964587971346	0.999915415497498	1	1	0
Tram1	12.7916102334911	-0.167665647005624	0.258420764626434	-0.648808725753894	0.516462016736841	0.999915415497498	1	1	0
Lactb2	5.4742938439458	-0.196350435550628	0.436918225514141	-0.449398592424415	0.653144146527564	0.999915415497498	1	1	0
Xkr9	0	NA	NA	NA	NA	NA	0	0	0
Eya1	135.768472342599	-0.135195151486902	0.113383191524386	-1.19237384015447	0.233114693002931	0.999915415497498	1	1	0
Msc	0	NA	NA	NA	NA	NA	0	0	0
Trpa1	0	NA	NA	NA	NA	NA	0	0	0
Kcnb2	80.9516355479397	0.387150674857976	0.282494153080614	1.37047323152029	0.170539225862499	0.999915415497498	1	1	0
Terf1	26.5151000726046	0.0618464138494291	0.199468781169988	0.310055606128778	0.756518670889147	0.999915415497498	1	1	0
Sbspon	0.493721987749054	-0.354731011480728	1.40085679605606	-0.253224321343502	0.800094873132742	0.999915415497498	0.444444444444444	0.333333333333333	0.111111111111111
4930444P10Rik	0.677990712807017	-0.618527356768382	1.16657736340226	-0.530206890835326	0.595968493906106	0.999915415497498	0.444444444444444	0.555555555555556	0.111111111111111
