gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	percent_0	percent_3	percent_difference
Xkr4	2.30575813330114	-0.469461198253292	1.43420827194345	-0.327331258253824	0.743417352811142	0.999922493759669	0.5	0.8	0.3
Rp1	3.65792695050484	-0.78275985319424	1.76842621143654	-0.442630768607746	0.65803282570952	0.999922493759669	0.5	0.6	0.1
Sox17	0.503625024725368	-0.0714547867143907	2.90554743744883	-0.0245925383263164	0.980379971054247	0.999922493759669	0.25	0.4	0.15
Mrpl15	24.7335267374762	0.465935391300077	0.352636098074368	1.32129238567577	0.186403891868169	0.999922493759669	1	1	0
Lypla1	87.6888116840446	-0.179961467434956	0.210386267729853	-0.855385997274479	0.392337492993263	0.999922493759669	1	1	0
Tcea1	114.779548101132	-0.0762658666274584	0.19470862858648	-0.391692279798401	0.695285594996493	0.999922493759669	1	1	0
Rgs20	2260.74188898737	-0.00992554339777408	0.093665563200298	-0.105967903876785	0.915607817763697	0.999922493759669	1	1	0
Atp6v1h	101.856724216237	0.167374359650804	0.268130997774961	0.624226072478496	0.532479126524415	0.999922493759669	1	1	0
Rb1cc1	193.385231099936	0.161664598817293	0.166428459639702	0.971375924329755	0.331361113033166	0.999922493759669	1	1	0
St18	2.63627177905886	-0.087864169319317	1.2782601484336	-0.0687373140960292	0.945198716077763	0.999922493759669	0.75	0.6	0.15
Pcmtd1	387.673840377979	0.14529030575678	0.127381194107569	1.1405946283883	0.254038653635936	0.999922493759669	1	1	0
Sntg1	43.2500970475273	-1.05692886373246	0.490536009673492	-2.15464072543007	0.0311899595371079	0.999922493759669	1	1	0
Rrs1	22.1715159674388	-0.238508816126625	0.401794472690873	-0.593609002456651	0.552773658412284	0.999922493759669	1	1	0
Adhfe1	196.667589617702	0.188694031696237	0.145853405440445	1.2937238669637	0.195760818278359	0.999922493759669	1	1	0
Mybl1	4.58446866260095	0.124207886312567	0.799589420790807	0.155339581894072	0.876553612487481	0.999922493759669	1	1	0
Vcpip1	80.1773332280507	-0.299218718767638	0.195802489760843	-1.52816605719932	0.126471313896095	0.999922493759669	1	1	0
Sgk3	87.5414670629889	-0.113916887471394	0.295556756244883	-0.385431512101888	0.699917739330836	0.999922493759669	1	1	0
Tcf24	0.952936784494258	0.299470379641337	1.76570478869704	0.16960387804256	0.865321672502741	0.999922493759669	0.5	0.8	0.3
Ppp1r42	12.3722610854784	0.314262304247115	0.518489187372118	0.606111587089993	0.544440657166868	0.999922493759669	1	1	0
Cops5	38.3222646755434	-0.0831936001412784	0.344713688183559	-0.241341156423641	0.809290715200992	0.999922493759669	1	1	0
Cspp1	345.889520037687	0.105845819934057	0.123121691046094	0.859684585508415	0.389962934062867	0.999922493759669	1	1	0
Arfgef1	174.893544131391	-0.144939797779549	0.147869290565243	-0.980188632984606	0.32699301444017	0.999922493759669	1	1	0
Prex2	2762.51638575329	-0.29054565936495	0.0935859183328444	-3.10458736250902	0.00190544647172863	0.999922493759669	1	1	0
A830018L16Rik	0.993483820606784	-1.0786499590708	2.02960092562719	-0.531459138321722	0.595100649918512	0.999922493759669	0.5	0.4	0.1
Sulf1	21.2378775067886	0.0871848051992866	0.563747697282998	0.154652170854935	0.877095538341209	0.999922493759669	1	1	0
Ncoa2	387.300346706904	-0.0457835934186196	0.158808943576579	-0.288293545612198	0.773122047381136	0.999922493759669	1	1	0
Tram1	31.0926053088397	-0.238132255915337	0.358342300411706	-0.664538503106505	0.506345714269239	0.999922493759669	1	1	0
Lactb2	56.9088494198184	0.119129551102734	0.257021946659325	0.46349952854663	0.643006352701959	0.999922493759669	1	1	0
