gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	percent_0	percent_3	percent_difference
Xkr4	2.70087102504621	-2.45629640874906	1.1911203600577	-2.06217313641592	0.0391912553080619	NA	1	0.6	0.4
Rp1	6.53181673083589	-1.33923924030327	0.980058338046024	-1.36648930815013	0.171785434480726	0.999868055910901	1	0.8	0.2
Mrpl15	25.0411032658379	0.378806171319407	0.421559695782	0.898582514195802	0.368875075946665	0.999868055910901	1	1	0
Lypla1	97.9784144593541	0.0106444419607512	0.197231852230713	0.0539691831738204	0.956959716709892	0.999868055910901	1	1	0
Tcea1	124.562143780955	0.014868050697917	0.199108199442645	0.0746732215927649	0.940474714244681	0.999868055910901	1	1	0
Rgs20	2320.56880557129	0.135969595910431	0.0937411732459836	1.45047892193153	0.146925012873235	0.999868055910901	1	1	0
Atp6v1h	121.373632690605	0.350528443767426	0.340984544936151	1.02798924166215	0.303954888382538	0.999868055910901	1	1	0
Rb1cc1	232.160900075449	-0.0525722854575555	0.128464534395972	-0.40923579184516	0.682366630398523	0.999868055910901	1	1	0
St18	4.76481855980318	-0.538229484642076	1.3551192393731	-0.397182379973493	0.691232974591622	0.999868055910901	0.75	0.6	0.15
Pcmtd1	377.346734747951	-0.00526558945097753	0.127544929398923	-0.0412841927608767	0.967069334676147	0.999868055910901	1	1	0
Sntg1	36.3414247756381	-1.33559634438853	0.406131107606461	-3.28858420193391	0.00100692659884659	0.322719974930333	1	1	0
Rrs1	25.4469393569386	-0.0959871997953565	0.332108463801708	-0.289023648167749	0.772563280842104	0.999868055910901	1	1	0
Adhfe1	206.272877551693	-0.0252948390435038	0.161932764422232	-0.156205812540498	0.875870795234412	0.999868055910901	1	1	0
Mybl1	8.66349462370495	-0.576491522879496	0.624331167470616	-0.923374569325226	0.355812039681018	0.999868055910901	1	1	0
Vcpip1	86.6043517570611	-0.158453670875883	0.222603349212384	-0.711820695584879	0.476575815464032	0.999868055910901	1	1	0
Sgk3	91.3021461545836	-0.0905963399398577	0.209487280760504	-0.43246701952961	0.66540201742292	0.999868055910901	1	1	0
Ppp1r42	14.6629891273606	-0.303023609693744	0.467357067972871	-0.648377077098861	0.516741092759058	0.999868055910901	1	1	0
Cops5	41.5292384074247	0.43492061645991	0.373263646065149	1.16518343279538	0.243944750271906	0.999868055910901	1	1	0
Cspp1	371.120480496002	-0.0485882292205879	0.14535715839463	-0.334267880283377	0.738177425631964	0.999868055910901	1	1	0
Arfgef1	174.684675385127	0.291164367568932	0.160972749569209	1.80878048208867	0.0704851136932962	0.991820730770325	1	1	0
Prex2	3079.88999930418	-0.0189138937583073	0.0928711373079487	-0.20365739353004	0.838621239361107	0.999868055910901	1	1	0
A830018L16Rik	1.51685046928454	-1.54425978640144	1.46230179181059	-1.05604725033494	0.290946628204512	NA	1	0.6	0.4
Sulf1	78.5092008282398	-0.35414327810332	0.460968241526506	-0.768259602723536	0.442332969633206	0.999868055910901	1	1	0
Ncoa2	437.005373190714	0.0210890242778688	0.130474433868486	0.161633384047682	0.871594566308123	0.999868055910901	1	1	0
Tram1	29.1053148437543	0.186221716975818	0.45958587458102	0.40519460513356	0.685334470234179	0.999868055910901	1	1	0
Lactb2	70.7188271769877	0.266370259466173	0.244377244210232	1.08999616689769	0.275714832555045	0.999868055910901	1	1	0
Eya1	285.804348224465	-0.0391941992282203	0.119710752180418	-0.327407509470412	0.743359687450313	0.999868055910901	1	1	0
Kcnb2	9.01182602903139	-1.96516265179722	2.20569991179521	-0.890947422760596	0.372957377367089	0.999868055910901	0.75	0.4	0.35
Terf1	50.4854239619788	-0.134280262620339	0.365394731167295	-0.367493702471751	0.713250788437874	0.999868055910901	1	1	0
Sbspon	0.665119112045474	0.967775220696469	2.72356290891732	0.355334263632332	0.722339189440184	NA	0.25	0.4	0.15
4930444P10Rik	2.77685043107842	-0.670075784812812	1.17436097683482	-0.570587577440477	0.568279241252802	NA	0.75	1	0.25
Rpl7	2.44213725361845	-0.255148497006045	1.41804868322628	-0.179929292995458	0.857208078002116	NA	0.75	0.6	0.15
Rdh10	27.1070250364744	0.362930213226396	0.378035930781086	0.960041582493286	0.337034287353142	0.999868055910901	1	1	0
Stau2	33.8982100389803	0.647548890522206	0.376690446323973	1.71904781987829	0.0856056649154976	0.999868055910901	1	1	0
Ube2w	101.136460738596	-0.0856667505438157	0.35541519659286	-0.241032885945926	0.80952962847744	0.999868055910901	1	1	0
Eloc	19.7013168462845	-0.604508113436293	0.479028626309436	-1.2619456964265	0.206968327301582	0.999868055910901	1	1	0
Tmem70	18.7611445972075	0.533224257972386	0.566838054353415	0.940699471175463	0.346858890077335	0.999868055910901	1	1	0
Ly96	11.5432316862269	-0.395860636432496	0.50977376710637	-0.776541795548878	0.43742915282819	0.999868055910901	1	1	0
Pi15	1.19427577480807	-0.193709153889545	2.04709033899447	-0.0946265781239022	0.924611438266129	NA	0.5	0.4	0.1
Pkhd1	0.832896913281668	1.97846614938123	2.03000421708318	0.974611842050255	0.329752837273601	NA	0.25	0.8	0.55
Mcm3	3.127348662005	0.572244585513384	1.06778673710275	0.535916551151466	0.592016225048255	NA	1	0.8	0.2
Paqr8	935.806563899984	-0.112524803433476	0.129574889344643	-0.868415199909474	0.385167076778701	0.999868055910901	1	1	0
Efhc1	19.8347829427166	-0.483188528569785	0.453677915351908	-1.06504749783773	0.286854436157231	0.999868055910901	1	1	0
Tram2	21.8360632737998	0.159893748812983	0.373802041468417	0.427749800896935	0.668833287997886	0.999868055910901	1	1	0
Tmem14a	18.3103241921135	-0.345587336283935	0.573444026089455	-0.602652256473285	0.54674004903808	0.999868055910901	1	1	0
Gsta3	25.3309573598068	-0.432878795159182	0.340113654289505	-1.27274747632071	0.203107664670447	0.999868055910901	1	1	0
Kcnq5	4.15308274089737	2.42995372140732	1.44321995078893	1.68370297270281	0.0922390865618308	NA	0.5	0.8	0.3
Rims1	1.24926321364123	-2.77314721455394	1.85735433410392	-1.4930630971348	0.135420671185294	NA	0.75	0.4	0.35
Ogfrl1	10.4070870383647	0.0507564246272314	0.792971837618352	0.0640078527626852	0.948963974031669	0.999868055910901	1	1	0
B3gat2	14.5184380046773	0.309028998288232	0.601563610334795	0.513709594428833	0.607455042998136	0.999868055910901	1	1	0
Smap1	114.633746704476	0.316399965301252	0.182541093474024	1.73330815149454	0.0830409126995223	0.999868055910901	1	1	0
Sdhaf4	12.5292443565515	-0.397815819333851	0.549563708425049	-0.723875709467642	0.469142043811416	0.999868055910901	1	1	0
Fam135a	303.741966624953	0.042430423932189	0.117932749373781	0.359784912651431	0.719007986671664	0.999868055910901	1	1	0
Col9a1	8.66673789045805	-0.869014020560231	0.6585271184052	-1.31963285379163	0.186957628296115	0.999868055910901	1	1	0
Lmbrd1	87.1327960607127	0.236676824114645	0.322153653066139	0.734670620252302	0.462540117319392	0.999868055910901	1	1	0
Adgrb3	5189.94225601788	-0.0639674346917234	0.116897601709665	-0.547209127956256	0.584235065824007	0.999868055910901	1	1	0
Phf3	188.681194827079	0.0633360202045693	0.162825958419091	0.388979870405867	0.697291037179076	0.999868055910901	1	1	0
Ptp4a1	1.15360364802413	0.535529574758564	1.60294265440216	0.334091536766983	0.738310486209918	NA	0.75	0.8	0.05
Prim2	23.5195727979888	0.490129717149829	0.433939323640559	1.12948905629907	0.258691583546301	0.999868055910901	1	1	0
Rab23	19.9805148778358	-0.0945404981851584	0.389622754120906	-0.242646244823322	0.808279453376092	0.999868055910901	1	1	0
Bag2	5.18658712959208	-0.0871860478682768	0.882061603110566	-0.0988434907049775	0.921262536957925	0.999868055910901	1	1	0
Zfp451	85.6710882750654	0.375100178126812	0.203978204185365	1.83892283798096	0.0659265361692442	0.991583833054703	1	1	0
Dst	818.257717536836	0.160411959865882	0.113196858097589	1.41710611550356	0.156451904837423	0.999868055910901	1	1	0
Ccdc115	2.89052811399036	-0.951947632331466	1.38662602934097	-0.686520815409694	0.492384742796202	NA	1	0.4	0.6
Imp4	7.86184603690134	0.148495002650193	0.905732850225017	0.163950112456781	0.869770416764438	0.999868055910901	0.75	1	0.25
Arhgef4	732.957237187942	-0.0862322667257851	0.11933637629141	-0.722598334268278	0.46992669191849	0.999868055910901	1	1	0
Fam168b	156.647668872722	0.00907002756242266	0.144576975414689	0.0627349378170844	0.949977575822116	0.999868055910901	1	1	0
Plekhb2	27.549362047873	0.45533358246827	0.42450852831676	1.07261350973027	0.283444560719381	0.999868055910901	1	1	0
Hs6st1	12.3192341676753	1.30434473037248	0.662871229488321	1.96771962991865	0.0491003059347203	0.929309072896739	0.75	1	0.25
Uggt1	57.6357057466489	0.342064166114833	0.278152198220666	1.22977336977026	0.218781983091905	0.999868055910901	1	1	0
Arid5a	30.6296993479071	0.326520433517996	0.325257247750227	1.00388365140671	0.315434697547944	0.999868055910901	1	1	0
Kansl3	147.464074157692	-0.0903478823175022	0.172469652965091	-0.523847997396906	0.600384266632165	0.999868055910901	1	1	0
Lman2l	18.9019605750474	0.595156308259903	0.591791033342478	1.00568659328685	0.314566354315825	0.999868055910901	1	1	0
Cnnm4	5.97565299904552	-1.11301778324711	0.77075979130112	-1.44405273317154	0.148724142446663	0.999868055910901	1	1	0
Cnnm3	47.0967059788507	0.522902356532053	0.261844762818013	1.99699375654681	0.0458258612298791	0.929309072896739	1	1	0
Ankrd23	7.32957734032407	-0.623834977542172	0.667896268117337	-0.934029739828664	0.350288552378569	0.999868055910901	1	1	0
Ankrd39	6.71535743598152	0.0612833323334994	0.65319049911825	0.0938215304971927	0.925250928259727	0.999868055910901	1	1	0
Sema4c	1.5800073173371	-0.839113575285444	1.47185889376132	-0.57010463356382	0.568606732638092	NA	1	0.6	0.4
Cox5b	4.74402694372082	-0.33735450728208	0.927487012826445	-0.363729629220379	0.716059915759468	0.999868055910901	1	1	0
Actr1b	12.154552691295	0.448076522331468	0.667520110057564	0.671255465686012	0.502057799828314	0.999868055910901	1	1	0
Tmem131	86.7910901372169	0.514284078905067	0.212636123854395	2.41861105057214	0.0155798891728428	0.765751399413763	1	1	0
Vwa3b	12.7815724284303	-0.424557786606511	0.770707268521628	-0.550867759974417	0.581724329758641	0.999868055910901	1	1	0
Inpp4a	10.1614521964284	1.19564919110947	0.66275484045031	1.80405953775771	0.0712219739414068	0.991820730770325	1	1	0
Coa5	9.31460725763405	0.911564278467289	0.653675213293197	1.39452171342838	0.163160117247471	0.999868055910901	1	1	0
