gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	percent_0	percent_3	percent_difference
Xkr4	2.8259913679443	-2.35506921207589	1.20083272897234	-1.96119672228731	0.0498560790843226	NA	0.8	0.6	0.2
Rp1	6.53051869617406	-2.83215535331561	1.07293113585508	-2.6396431780857	0.00829933578785285	NA	1	0.6	0.4
Mrpl15	24.73059894213	0.18874789953708	0.313423902253093	0.602212843947887	0.547032467193996	NA	1	1	0
Lypla1	99.3540214949045	0.103185883346684	0.173992640745778	0.593047400765928	0.553149430317662	NA	1	1	0
Tcea1	134.706039944216	-0.199342104384149	0.166670752098881	-1.19602330867197	0.231687463275815	NA	1	1	0
Rgs20	2424.1511092866	0.139855702539287	0.0647438388934512	2.16013917199823	0.03076189736606	0.154979776404009	1	1	0
Atp6v1h	135.153625729229	-0.100986141538753	0.302141165704832	-0.33423496365738	0.738202262384676	NA	1	1	0
Rb1cc1	265.134095844927	-0.00675408116499384	0.101094630329214	-0.0668094946586104	0.946733364655209	NA	1	1	0
St18	3.31545733788208	-0.731433218630304	1.52024655937515	-0.481128021056621	0.630425513953934	NA	0.6	0.4	0.2
Pcmtd1	437.512815149159	0.0924898785502169	0.119653106210043	0.772983514425919	0.439532137164263	0.694116339269629	1	1	0
Sntg1	45.9183918108593	-1.67274933443232	0.347304904832325	-4.8163711803607	1.46192468823962e-06	NA	1	1	0
Rrs1	27.9222188225386	-0.117773805304567	0.296792411163708	-0.396822158770105	0.691498609153971	NA	1	1	0
Adhfe1	224.524644003556	0.0310407531524868	0.141398044846914	0.219527456593147	0.826239194177833	NA	1	1	0
Mybl1	7.67340040293816	-0.367454845331564	0.604446062342896	-0.607919991913375	0.54324053948454	NA	1	1	0
Vcpip1	87.9966427945145	-0.0815107115204113	0.178308625110124	-0.45713274649541	0.647575634388938	NA	1	1	0
Sgk3	105.6066489111	-0.215542941188883	0.179341322751683	-1.20185876786091	0.229418251763641	NA	1	1	0
Tcf24	0.624361235280905	-1.13977325961444	2.28855135568693	-0.49803263395517	0.618461040859579	NA	0.4	0.4	0
Ppp1r42	16.1937206692482	-0.169246452655127	0.404412803304066	-0.41849924451545	0.675582138796859	NA	1	1	0
Cops5	49.4138235320604	-0.226648924121136	0.248818557932446	-0.910900400695475	0.362347854539143	NA	1	1	0
Cspp1	417.479477993672	-0.186769960779844	0.0894543668360649	-2.08787974680007	0.0368086835622218	0.173206343462841	1	1	0
Arfgef1	212.309462817119	0.1201255705896	0.137618619022274	0.872887487485664	0.38272440702062	NA	1	1	0
Prex2	3266.5339716592	-0.0911285097361069	0.0765179114717638	-1.19094350568801	0.233675763788656	0.499118509290517	1	1	0
A830018L16Rik	1.96994612474959	-2.45658637889914	1.24895321939995	-1.96691624693468	0.0491928671609558	NA	1	0.6	0.4
Sulf1	67.3466907344026	-0.961886593280163	0.337043191349881	-2.85389712050773	0.00431865143030782	NA	1	1	0
Ncoa2	480.793664177388	0.0981831901028448	0.109940902891419	0.893054245696104	0.371828123680232	0.638304945651065	1	1	0
Tram1	36.7194520261042	0.0695249707012255	0.408019313617071	0.170396273855005	0.864698502325485	NA	1	1	0
