gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	percent_0	percent_3	percent_difference
Xkr4	2.49326674141586	-1.43456093996532	0.8188867061107	-1.75184299520352	0.0798008088282147	0.838243165240269	0.75	0.7	0.05
Rp1	5.04948328431853	-1.41937268398338	0.960103985807365	-1.47835307942172	0.139313297244864	0.937210666733387	0.75	0.7	0.05
Mrpl15	24.8308391517386	0.408235837193388	0.237958659206779	1.71557462356788	0.0862399263881272	0.85717177506371	1	1	0
Lypla1	92.4707317053513	-0.089385080314471	0.12295379459213	-0.726981063178937	0.467237556373835	0.995267233315197	1	1	0
Tcea1	119.343511825685	-0.0275512449680474	0.129517043742624	-0.212722929522674	0.831543080896991	0.997532307227342	1	1	0
Rgs20	2285.56036941615	0.0601272507196061	0.0618187676446957	0.972637485515538	0.330733505266607	0.995267233315197	1	1	0
Atp6v1h	111.084817912148	0.261551553531914	0.228717656263397	1.14355646085628	0.252807626811672	0.994686704159441	1	1	0
Rb1cc1	211.674335846448	0.0465162378783636	0.0917610057071185	0.506928161040796	0.61220522553204	0.995267233315197	1	1	0
St18	3.6468104757221	-0.355464159179976	0.926683197222312	-0.38358757366645	0.701284151527989	0.995267233315197	0.75	0.6	0.15
Pcmtd1	382.174403696438	0.0676846123804889	0.0812896394722318	0.83263516507057	0.40505052027847	0.995267233315197	1	1	0
Sntg1	39.9074849661969	-1.16336085851771	0.38459822446479	-3.02487319107272	0.00248737392729456	0.335335586666076	1	1	0
Rrs1	23.7085264993095	-0.18393788382888	0.217223503705895	-0.846767871297755	0.397124519641375	0.995267233315197	1	1	0
Adhfe1	200.938029227771	0.0765396257158168	0.0983278776540039	0.778412262544142	0.436326011950813	0.995267233315197	1	1	0
Mybl1	6.53633242774205	-0.245536077482226	0.4178743681861	-0.587583484835512	0.556811898958056	0.995267233315197	1	1	0
Vcpip1	83.0978010819148	-0.231087764347848	0.130741254956065	-1.76751985764175	0.0771412063980526	0.832601844333417	1	1	0
Sgk3	89.2493126860649	-0.103975603639764	0.170519295941398	-0.609758579319358	0.542021743487841	0.995267233315197	1	1	0
Tcf24	0.768091940087311	0.0566559901148678	1.17865093037909	0.0480685066753779	0.961661645212237	NA	0.375	0.7	0.325
Ppp1r42	13.4507224754173	0.00196714068475197	0.298180277115569	0.00659715224555092	0.99473627225973	0.998745303941732	1	1	0
Cops5	39.8103742700089	0.155321266064956	0.236650383581266	0.656332196527452	0.511610406000507	0.995267233315197	1	1	0
Cspp1	357.552001197762	0.0287161760521306	0.0896233116858534	0.320409673688317	0.748657793250258	0.997532307227342	1	1	0
Arfgef1	174.596347021836	0.0711054586990208	0.10907303279639	0.651906863466018	0.514461256995646	0.995267233315197	1	1	0
Prex2	2909.94297061977	-0.158908462691419	0.0684428617826851	-2.32176823926465	0.0202454182993289	0.662894303900209	1	1	0
A830018L16Rik	1.24410522883548	-1.43389275286979	1.018609874428	-1.40769571242866	0.159221191971548	NA	0.75	0.5	0.25
Sulf1	48.6584819159902	-0.152366467927653	0.368071951973648	-0.413958377188604	0.678904589786758	0.995267233315197	1	1	0
Ncoa2	410.405893493122	-0.0124724529283641	0.0955633900431799	-0.130514969411701	0.896159011563556	0.997532307227342	1	1	0
Tram1	30.093134320639	-0.0351749831315371	0.272698170430958	-0.12898870232957	0.897366588380545	0.997532307227342	1	1	0
Lactb2	63.3894851159862	0.177612687511934	0.157448401685643	1.12806916812373	0.259290708946848	0.994686704159441	1	1	0
Eya1	269.082782311442	-0.0332070538124337	0.0982340874014934	-0.33804002959495	0.735333022275818	0.997532307227342	1	1	0
Kcnb2	4.70431887285442	0.0758660791496213	1.49937817663364	0.0505983615954406	0.959645568412249	0.997532307227342	0.625	0.4	0.225
Terf1	48.6888868621589	-0.131947974472747	0.230239152159279	-0.573090950150239	0.566583114439793	0.995267233315197	1	1	0
Sbspon	0.687373815364483	-0.007420152568016	1.71665035497393	-0.004322460043489	0.996551186606026	NA	0.375	0.3	0.075
4930444P10Rik	1.9182629330215	-0.274784020450265	1.07602280257128	-0.25537007189219	0.798437283807559	NA	0.5	0.7	0.2
Rpl7	4.19497809435465	-0.596623144239886	0.845850759520211	-0.705352732175008	0.480590751831242	0.995267233315197	0.875	0.7	0.175
Rdh10	24.9950589247673	0.0723497585624523	0.240992061767414	0.300216355807928	0.764012130041181	0.997532307227342	1	1	0
Stau2	36.7171352112186	0.057786593985676	0.422371883780572	0.136814490274397	0.891177429767352	0.997532307227342	1	1	0
Ube2w	102.729331708244	0.00470122204042511	0.229964178407852	0.0204432797880689	0.983689758776408	0.998745303941732	1	1	0
Eloc	20.1032429310365	-0.445277097502733	0.306228279774454	-1.45406915987868	0.145927132843987	0.947259620523456	1	1	0
Tmem70	18.7020827557997	0.31135529220955	0.380928629693287	0.81735860195188	0.413723526286801	0.995267233315197	1	1	0
Ly96	10.6142511918279	-0.306348055874605	0.342823406587918	-0.89360309123479	0.371534291837123	0.995267233315197	1	1	0
Pi15	1.16850311306479	-0.966299633083937	1.13086545933615	-0.854477979768857	0.392840205245543	NA	0.75	0.4	0.35
Pkhd1	0.983879638685464	1.64167039787458	1.06675082840027	1.53894457277945	0.123817828303892	NA	0.375	0.8	0.425
Mcm3	3.37178248390052	-0.0317702730076918	0.563718894507375	-0.0563583610860788	0.955056327243829	0.997532307227342	1	0.9	0.1
Paqr8	880.602919199502	-0.153340013535826	0.0974046039755077	-1.5742583746286	0.115427728787012	0.916461638439152	1	1	0
Efhc1	20.5066416444722	-0.108274663518933	0.283633562397376	-0.381741365879819	0.702653213985698	0.995267233315197	1	1	0
Tram2	20.9375188316835	0.0542511907726745	0.221546662177664	0.244874782763231	0.806553387779704	0.997532307227342	1	1	0
Tmem14a	16.5910476217937	-0.28760758545953	0.35865978759321	-0.801895265118857	0.422613545277082	0.995267233315197	1	1	0
Gsta3	23.1689730908759	-0.431024848261085	0.208602320949067	-2.06625145060742	0.0388047430030291	0.756115253476101	1	1	0
Kcnq5	2.51506855792687	0.281620171568007	1.06430730533507	0.264604189181382	0.791314392635432	0.997532307227342	0.625	0.6	0.025
Rims1	1.47804899868599	-1.23528328918683	1.2600446692055	-0.980348807765462	0.326913969949688	NA	0.625	0.4	0.225
Ogfrl1	10.9301231200673	-0.271421573853639	0.531603787356189	-0.510571181600291	0.609651359543478	0.995267233315197	1	1	0
B3gat2	15.2950593704599	-0.163520422359509	0.367990645666987	-0.444360269166968	0.656782133604207	0.995267233315197	1	1	0
Smap1	111.237346312341	0.288913097616903	0.138170426216564	2.09099085475838	0.036528883785266	0.748647758867697	1	1	0
Sdhaf4	9.84409661299743	-0.138914034817307	0.368046768227334	-0.377435822861249	0.70584974927901	0.995267233315197	1	1	0
Fam135a	284.545090678093	-0.0480990571179941	0.0786126093707013	-0.611849135946891	0.540637576900644	0.995267233315197	1	1	0
Col9a1	6.97300131586446	-0.769656499481948	0.427768071951996	-1.79923783458135	0.0719810669641733	0.83203013834281	1	1	0
Lmbrd1	87.4053418400567	0.0889729005258792	0.208720070535826	0.426278605107156	0.669904845866284	0.995267233315197	1	1	0
Adgrb3	5216.99707329854	-0.0870632240673752	0.0684024949950734	-1.27280772541478	0.203086279135148	0.977633300877905	1	1	0
Phf3	197.460962415992	0.0949085235505569	0.093813580526559	1.01167147675051	0.311695157812668	0.995068970744915	1	1	0
Ptp4a1	1.22173133631971	0.381492464386466	0.94093571245006	0.405439457062497	0.685154512618705	NA	0.625	0.8	0.175
Prim2	29.314990646174	0.0597670844388023	0.267197858061394	0.223681001309036	0.823005530161341	0.997532307227342	1	1	0
Rab23	18.9930490689247	-0.0561102646075055	0.246251671856257	-0.22785739558454	0.819757104870875	0.997532307227342	1	1	0
Bag2	5.46457122121099	0.152924449004943	0.569653809303742	0.268451551639503	0.78835176271863	0.997532307227342	0.875	1	0.125
Zfp451	81.4286342873198	0.259797604319794	0.135528742850896	1.91691886794534	0.0552482396466362	0.803563885749054	1	1	0
Dst	710.987086908483	0.146942846411127	0.0827328587317662	1.77611228070265	0.0757144124791927	0.83203013834281	1	1	0
Ccdc115	3.44712292626606	-0.753835518729904	0.902498545640148	-0.835276159027164	0.403562237614471	0.995267233315197	0.875	0.5	0.375
Imp4	7.55373997105826	-0.185042694582111	0.631646994254866	-0.292952703432713	0.769558303566533	0.997532307227342	0.75	1	0.25
Arhgef4	658.102363458968	-0.0849386991703501	0.0836444155903467	-1.01547364006155	0.309880105671239	0.995068970744915	1	1	0
Fam168b	157.242658161107	-0.0230709097199768	0.0847911125772452	-0.272091131001012	0.785551948815764	0.997532307227342	1	1	0
Plekhb2	21.7990417295175	0.22098019092183	0.326436965338552	0.676945978506596	0.498440230333118	0.995267233315197	1	1	0
Hs6st1	12.9566216795842	0.25203598164338	0.491540726564108	0.512746895674592	0.608128381074567	0.995267233315197	0.875	0.9	0.025
Uggt1	51.3609475075025	0.259444604803621	0.179959631514069	1.44168224073819	0.149392035859065	0.95087756545369	1	1	0
Arid5a	28.3265004957207	0.176088270658462	0.189941746362811	0.927064608125229	0.353892990404549	0.995267233315197	1	1	0
Kansl3	140.300743440949	-0.0924374624739717	0.106108242237292	-0.871161942983204	0.383665736295833	0.995267233315197	1	1	0
Lman2l	15.1356561588693	0.539115291647334	0.370852477571428	1.45371899677682	0.146024229186639	0.947259620523456	1	1	0
Cnnm4	4.85569198207794	-0.0834803666435492	0.679619376814982	-0.122834000164589	0.902238549885976	0.997532307227342	0.75	0.9	0.15
Cnnm3	46.5778557043667	0.464504578921188	0.172169332864448	2.69795190114898	0.00697675202773667	0.500213772217698	1	1	0
Ankrd23	6.72025087960157	-0.418497615157737	0.441957284944207	-0.946918694214009	0.343680211195299	0.995267233315197	0.875	1	0.125
Ankrd39	8.19178676491707	0.3852065723883	0.356805669980878	1.07959767682208	0.280321376427467	0.994686704159441	1	1	0
Sema4c	1.4110095462499	-0.974179215256109	1.03139092821889	-0.944529555770305	0.344899105791209	NA	0.75	0.5	0.25
Fam178b	0.482586535248017	-0.942091667200929	1.48009239670913	-0.636508686414169	0.524444921108294	NA	0.5	0.3	0.2
Cox5b	5.84652577535792	-0.352279045748808	0.652584796176505	-0.53982110495496	0.589320410853821	0.995267233315197	1	0.9	0.1
Actr1b	10.8642800337956	-0.0745951567598902	0.537986980162481	-0.138656063270084	0.889721939058271	0.997532307227342	1	1	0
Tmem131	82.9979404959695	0.319138836203058	0.157237162503988	2.02966545008063	0.0423905570990631	0.769378372082996	1	1	0
Vwa3b	9.16603846229903	-0.299753121902184	0.622371826556972	-0.481630287734024	0.630068606361818	0.995267233315197	1	0.9	0.1
Inpp4a	7.6722900594534	0.502143574334257	0.598593115768102	0.838872952439349	0.401540607224143	0.995267233315197	0.75	1	0.25
Coa5	8.80598722695965	-0.271047193487265	0.4713717847364	-0.575017856953063	0.56527922022198	0.995267233315197	1	1	0
Unc50	10.9274734215429	1.03478225650641	0.506961200684111	2.04114684735249	0.0412362330754589	0.759682248321419	0.875	1	0.125
Mgat4a	3.07545012212969	-0.106561426236912	0.753927789768505	-0.141341687735945	0.887600018108476	0.997532307227342	0.75	0.8	0.05
Cracdl	2.13842472415363	-1.12549063694685	0.984352813627506	-1.14338133783478	0.252880297403804	NA	0.625	0.5	0.125
Tsga10	118.256101986355	-0.122117948043039	0.108145202808813	-1.12920356031814	0.258811972172056	0.994686704159441	1	1	0
Lipt1	2.73122635378295	-0.629599874471222	0.660695411672402	-0.952935139775727	0.340622934432384	0.995267233315197	0.875	0.8	0.075
Mitd1	37.513556181326	-0.417262827588912	0.166014179794195	-2.51341679431351	0.0119567979364385	0.596438383754097	1	1	0
Mrpl30	5.28603081470779	-0.584128684616563	0.793156816823412	-0.736460523602376	0.461450483325088	0.995267233315197	0.875	0.6	0.275
Txndc9	38.1308517044366	-0.139683065339564	0.202868059628442	-0.688541437205033	0.491111885368322	0.995267233315197	1	1	0
Eif5b	86.8029177976353	-0.0974832519740179	0.162516458834799	-0.599836180734848	0.548615418084587	0.995267233315197	1	1	0
Rev1	125.943608704079	0.00320121838798939	0.138088747728528	0.0231823261536324	0.981504836505909	0.998694683782441	1	1	0
Aff3	18.1294516945307	0.536911345149236	0.47537361659463	1.12945129137674	0.258707506121111	0.994686704159441	1	1	0
Lonrf2	12.7547805584799	0.427788158530454	0.555653703583308	0.769882672916112	0.441369493024404	0.995267233315197	1	0.9	0.1
Chst10	147.790278626671	0.0371732809562594	0.132085416755998	0.281433650051843	0.778377811639194	0.997532307227342	1	1	0
Pdcl3	5.44995365336967	-0.0213199947072835	0.495670696192756	-0.0430124170564092	0.965691635635205	0.997546579739926	1	1	0
Npas2	308.301289680987	-0.0144195414872802	0.0941386362159146	-0.153173469118544	0.878261479331519	0.997532307227342	1	1	0
Rpl31	3.07909530618387	-0.152431911443069	0.625444539103273	-0.243717711024573	0.80744945550472	0.997532307227342	1	0.8	0.2
Tbc1d8	2.45298197276687	-0.0520630470363558	0.782284976299924	-0.0665525334291925	0.946937934750501	0.997532307227342	0.875	0.8	0.075
Cnot11	10.8798517221681	0.189308008637955	0.403453527060271	0.469218871420783	0.638913197786065	0.995267233315197	1	1	0
Rnf149	11.9616127291653	0.312156564987833	0.378852333682653	0.823953126943946	0.409966191811414	0.995267233315197	1	1	0
Rfx8	6.06339363831509	0.287681833680806	0.444603566369706	0.647052465255277	0.517597988400967	0.995267233315197	0.875	1	0.125
Map4k4	486.901027464284	0.22262402447284	0.0767247196722513	2.90159449814655	0.0037126878255974	0.389674840329166	1	1	0
Il1r1	7.01107632402514	-0.418977303328526	0.631972366226677	-0.662967758907113	0.507351203278739	0.995267233315197	0.75	0.7	0.05
Il1rl2	0.527816296809694	0.135237917527055	1.3446959397768	0.100571373443354	0.91989072214179	NA	0.5	0.5	0
