gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	percent_0	percent_3	percent_difference
Xkr4	3.43213591755516	-0.762978661861434	1.28505238903051	-0.593733507189582	0.552690368320309	NA	0.75	0.6	0.15
Rp1	4.63245704898492	-0.483873220355608	0.739448359753446	-0.654370537135204	0.512873111439177	NA	1	1	0
Sox17	0.266086753747963	-0.833817666901181	3.37863571599478	-0.24679123083729	0.805069797401349	NA	0.25	0.2	0.05
Mrpl15	7.11118420005863	-0.485572938168752	0.732324519349334	-0.663057053722824	0.507294014405644	NA	1	1	0
Lypla1	24.0984108065262	-0.518891990556823	0.342037533759581	-1.51706154834327	0.129251145227692	NA	1	1	0
Tcea1	37.772680355515	-0.275372803228278	0.295538838142906	-0.931765195257088	0.351457885311863	0.99431421154361	1	1	0
Rgs20	0.17678466098554	1.00396324591659	3.39022158755605	0.296134992946089	0.767126991313911	NA	0	0.2	0.2
Atp6v1h	23.4644713884445	0.850248511921357	0.459314468140588	1.85112503719589	0.0641515669243845	NA	1	1	0
Rb1cc1	86.4988162134723	-0.0705267315143791	0.204306934650214	-0.345199890718957	0.729944100912572	0.99431421154361	1	1	0
Alkal1	0.430968458832379	-0.475565134842246	3.13256333518431	-0.151813414113865	0.879334101838322	NA	0.25	0.2	0.05
St18	0.698419068337885	-0.650512367473766	2.38894130973209	-0.272301527385249	0.785390181897935	NA	0.25	0.4	0.15
Pcmtd1	86.7646776395093	0.0374348723367492	0.239958065089273	0.156005893458184	0.876028375795003	0.99431421154361	1	1	0
Sntg1	0.453987025538367	-2.58499647093398	3.32888465158312	-0.776535308817214	0.437432981283445	NA	0.25	0	0.25
Rrs1	0.896592134671075	-1.93168696572711	1.70655136075235	-1.13192430661771	0.257666258718109	NA	1	0.4	0.6
Adhfe1	18.7691634312355	-0.406883270108934	0.446005830540193	-0.912282401367097	0.361620076083293	NA	1	1	0
Mybl1	1.50343201053399	0.277190093652542	1.4267787194423	0.194276862890757	0.845959101216178	NA	0.75	0.6	0.15
Vcpip1	16.3983144924409	0.718166960344905	0.46828409282882	1.53361382832073	0.125124684324716	NA	0.75	1	0.25
Sgk3	40.4983780452487	-0.281635879360625	0.2659814040882	-1.05885552535558	0.289665581616715	0.99431421154361	1	1	0
Ppp1r42	0.214676706959586	0.930654515683606	3.38555810868109	0.274889541342464	0.783401102533738	NA	0	0.4	0.4
Cops5	17.1675552755758	-0.282763784027035	0.432869149125842	-0.653231547219437	0.513607015141934	NA	1	1	0
Cspp1	43.4899194979457	0.397958521341848	0.283455133931379	1.40395594823902	0.160331967718368	0.952228523764645	1	1	0
Arfgef1	62.6307434857118	-0.0683952234590991	0.212900500971857	-0.321254403568267	0.748017607141041	0.99431421154361	1	1	0
Cpa6	0.113496756384592	-1.33786660548168	3.37711259804437	-0.396156943732472	0.691989252265433	NA	0.25	0	0.25
Prex2	114.357232766877	-0.266802876451929	0.229117487246874	-1.16448063243836	0.244229287667146	0.993484903049053	1	1	0
Sulf1	131.120427498827	-0.226777447671919	0.180884723516695	-1.25371254831804	0.20994650528547	0.970530645770785	1	1	0
Ncoa2	81.692617808106	0.196463376266191	0.225290220790298	0.872045735394176	0.383183427666416	0.99431421154361	1	1	0
Tram1	16.537084642512	0.44846078884758	0.470218634174217	0.953728236727906	0.340221223215217	NA	1	1	0
Lactb2	19.5606992183308	0.22398514978147	0.403959790163134	0.554473873973983	0.579254580839779	NA	1	1	0
Eya1	361.208375285647	-0.011541352362648	0.141283218313515	-0.0816894780598577	0.93489364568613	0.995813229482046	1	1	0
Msc	0.110018193099396	-0.557938750847076	3.38881523704128	-0.164641242387178	0.869226367429655	NA	0.25	0.2	0.05
Trpa1	2.41636792020208	-1.56635292543204	1.19588607213228	-1.30978440332465	0.190268780849046	NA	1	0.8	0.2
Kcnb2	402.324908923001	0.521843649903037	0.349088157047099	1.49487640691469	0.134946700692523	0.897070386832523	1	1	0
Terf1	27.3557015266413	0.380033404591763	0.336472225272551	1.12946441354536	0.258701973430817	NA	1	1	0
Sbspon	0.815184819209872	-0.165461563494018	1.87285703289358	-0.088347140538741	0.929600772672585	NA	0.5	0.8	0.3
Rpl7	4.53064179207497	1.88343250226769	0.936288839272403	2.01159345627928	0.0442628097689482	NA	1	1	0
Rdh10	10.609156526287	-0.357315285423643	0.569684942377767	-0.627215604351891	0.530517915900129	NA	1	1	0
Stau2	7.11590876063738	1.95794376433309	0.854346027542035	2.29174561736551	0.0219203264332001	NA	0.75	1	0.25
Ube2w	30.2065564268466	0.329202952654264	0.369556999287701	0.890804269135161	0.373034184469723	0.99431421154361	1	1	0
Eloc	8.96120286072228	0.431950706795717	0.835916122072901	0.516739294038937	0.605338162104981	NA	0.75	0.8	0.05
Tmem70	3.34376599906736	-0.0678843471755803	0.971847736333756	-0.0698508054684269	0.944312408980846	NA	1	0.8	0.2
Ly96	6.91104517256881	-0.633754082455476	0.746793882924113	-0.848633199798017	0.396085427194738	NA	1	0.8	0.2
Jph1	1.68327587898298	0.418969987108241	1.52851949037854	0.274101828433004	0.784006368744063	NA	0.5	0.8	0.3
Pi15	0.161406892052486	0.742217947271445	3.38795624955671	0.219075422644126	0.826591295634771	NA	0	0.4	0.4
Crispld1	27.4182882302239	0.290457845093032	0.364670071536645	0.796494880616614	0.425744449904802	NA	1	1	0
Tfap2b	33.7581265092099	-0.305286847039694	0.396543392087108	-0.769869964123957	0.44137703246452	0.99431421154361	1	1	0
Pkhd1	23.5985285529075	-0.525550479417423	0.387692162036674	-1.35558706334566	0.175230590219973	NA	1	1	0
Mcm3	0.899090470643746	-1.11553688261357	1.84429870874268	-0.604856944987002	0.545274052935382	NA	0.75	0.4	0.35
Paqr8	5.01322662909407	-1.51516912487788	0.862273304433048	-1.75717967503832	0.0788871885031376	NA	1	0.8	0.2
Efhc1	3.7290006211742	0.0221105551013503	0.870571389777187	0.0253977506738525	0.979737705232779	NA	1	1	0
Tram2	13.3863937361148	-0.115023480333578	0.489266826620033	-0.235093560559146	0.814136116582628	NA	1	1	0
Tmem14a	2.15087206060926	-1.02652237319196	1.29280085362533	-0.794029776754359	0.427178096707925	NA	0.5	0.8	0.3
Gsta3	6.25183334971494	-1.07485716184017	0.7330981109064	-1.46618460182802	0.14259800237515	NA	1	1	0
Kcnq5	3.48486069029542	-0.475712968114856	2.83405938258339	-0.167855681161211	0.866696816646733	NA	0.25	0.6	0.35
Rims1	1.08137077145386	2.93875348747399	2.65560034666835	1.10662490730613	0.268456133972152	NA	0	0.2	0.2
Ogfrl1	2.76243236271372	2.1564041830125	1.19870056674288	1.79895150035001	0.0720263529496523	NA	0.5	0.8	0.3
B3gat2	0.271425085151882	0.306971011211076	3.25376824268805	0.0943432316978656	0.924836509110092	NA	0.25	0.4	0.15
Smap1	17.1543428949842	0.142381098967213	0.442866971367754	0.321498572195352	0.747832594102193	NA	1	1	0
Sdhaf4	3.00496904378142	-0.163896818157727	0.995951360961147	-0.164563074646093	0.869287897054041	NA	1	1	0
Fam135a	57.995680047169	0.715623342682418	0.261122469785465	2.74056592399101	0.00613334766189845	0.300806628662442	1	1	0
Col9a1	0.17678466098554	1.00396324591659	3.39022158755605	0.296134992946089	0.767126991313911	NA	0	0.2	0.2
Lmbrd1	25.2842816470228	0.102378284943063	0.585668214727319	0.174805943653147	0.861232117891624	NA	1	1	0
Adgrb3	3.51628366119309	2.07046833230648	1.17715330997998	1.75887738220071	0.0785983376036093	NA	0.5	1	0.5
Phf3	69.7369676308362	0.0763364276099473	0.215588005591728	0.354084761814208	0.723275361586559	0.99431421154361	1	1	0
Ptp4a1	0.163288008006496	-0.358042501117944	3.38719751966004	-0.105704641976084	0.915816697224497	NA	0.25	0.2	0.05
4931428L18Rik	0.422008187885377	-2.179172292021	3.1372609653022	-0.694609825616177	0.48729985295383	NA	0.5	0	0.5
Prim2	13.189073323527	0.852319958959395	0.527611561425062	1.6154307852112	0.106217437986476	NA	1	1	0
Rab23	3.33606626933263	0.11122988487388	1.027269107316	0.108277260633775	0.913775759938995	NA	1	0.8	0.2
Bag2	3.65170360807434	1.19267808463988	1.05041263433185	1.13543768006801	0.256191979551707	NA	0.75	1	0.25
Zfp451	27.8588241863204	-0.055332589862731	0.377240238820306	-0.146677326988673	0.883386715462391	NA	1	1	0
Dst	57.3476856239792	-0.071570239237537	0.286920455022011	-0.249442791494411	0.803018288153598	0.99431421154361	1	1	0
Ccdc115	0.293942913930713	0.498510319988175	3.17039537982804	0.157239164288466	0.875056363544488	NA	0.25	0.4	0.15
Imp4	4.14462954937418	1.54358185293931	0.899358487237116	1.71631432275831	0.0861045282542158	NA	0.75	1	0.25
Ptpn18	0.924756276116009	-0.705720905246537	2.10827617209066	-0.334738358564625	0.737822463090229	NA	0.5	0.4	0.1
Fam168b	11.5079970691285	-0.440549013534183	0.665037059354863	-0.662442802753804	0.507687479946768	NA	1	1	0
Plekhb2	2.856826247886	0.482601094469424	1.28711065110568	0.374949188754556	0.707698255855445	NA	0.5	0.8	0.3
Hs6st1	5.670845143636	-1.43680155856307	0.904847100662882	-1.58789430557989	0.112310241374886	NA	1	0.6	0.4
Uggt1	13.5941844366368	-0.374045805709026	0.60363704774008	-0.619653493948712	0.53548593990879	NA	0.75	1	0.25
Neurl3	0.366770791961778	-0.397187094328362	3.31779229914168	-0.119714273383272	0.904709493153839	NA	0.25	0.2	0.05
Arid5a	1.05247474248006	-0.207778428362723	1.5718898599444	-0.132183834031522	0.894838887489752	NA	0.75	0.8	0.05
Kansl3	30.8824708773865	-0.339244390382798	0.356822408651105	-0.950737347649333	0.341737724144965	0.99431421154361	1	1	0
Fer1l5	0.478017546277389	0.545503799244612	2.20240017915704	0.247686049250777	0.804377326684383	NA	0.5	0.6	0.1
Lman2l	18.7969333490289	0.472330643864439	0.445509307629659	1.06020376179677	0.289051910096639	NA	1	1	0
Cnnm4	2.41938806370924	1.06944017664177	1.29012143692127	0.828945358193463	0.407135327439093	NA	0.75	0.6	0.15
Cnnm3	6.06851789443445	0.769981902989989	0.706640217873434	1.08963781499329	0.275872718607881	NA	1	1	0
Ankrd23	4.19116832340959	0.23635242504844	0.812042658952843	0.291059124102205	0.771006101372666	NA	1	1	0
Ankrd39	4.5582666623948	0.856743346729863	0.800657789563318	1.07004934929458	0.284597096200257	NA	0.75	1	0.25
Sema4c	1.94998554317451	0.0892652949904279	1.50159507322358	0.059446981801023	0.952596093133507	NA	0.5	0.8	0.3
Fam178b	0.50328128948638	0.609169812573575	2.42243425979198	0.251470111154176	0.801450667714382	NA	0.25	0.6	0.35
Cox5b	1.45006923318332	-0.340485888491887	1.54045452591222	-0.221029496661227	0.825069465896397	NA	1	0.4	0.6
Actr1b	1.16381674489978	-1.44851299414779	1.73949540336142	-0.832720219523815	0.405002538359326	NA	0.75	0.4	0.35
Zap70	0.281647455956403	1.01746790176348	3.38383875182294	0.300684511404494	0.763655080651207	NA	0	0.4	0.4
Tmem131	27.2068779628415	0.0608384328983447	0.361536657717088	0.168277356112398	0.866365087032481	NA	1	1	0
Vwa3b	0.232022056909139	-0.429011140230804	3.38247599826813	-0.126833461774884	0.89907221093412	NA	0.25	0.2	0.05
Inpp4a	13.6321714862918	1.16884260108107	0.51608256600834	2.26483643910223	0.0235227184078622	NA	1	1	0
Coa5	1.01282497201606	1.04341340560453	1.89082630426952	0.551829326283692	0.581065292850254	NA	0.5	0.4	0.1
Unc50	2.12383918893045	0.229751530265961	1.39307478893732	0.164924045780214	0.869003765765194	NA	0.75	0.8	0.05
Mgat4a	2.24847294132003	2.06601905154652	1.21090565656004	1.70617672842961	0.0879751802008107	NA	0.75	1	0.25
Tsga10	11.0065061710578	0.441638271961894	0.695664778544363	0.634843513115607	0.525530480831435	NA	1	1	0
Lipt1	0.540080639915387	0.953066785805004	2.3126127158141	0.41211690106508	0.680253741420608	NA	0.25	0.6	0.35
Mitd1	13.7086034887185	-0.0645118522113228	0.483672708670216	-0.13337914472927	0.893893538126629	NA	1	1	0
Mrpl30	2.16763543629596	-0.537701548888693	1.37125002159617	-0.392125097845245	0.694965784105612	NA	0.75	0.6	0.15
Lyg2	0.182327273500132	0.742217947271445	3.38795624955671	0.219075422644126	0.826591295634771	NA	0	0.4	0.4
Txndc9	10.9233426738702	-0.498673982184078	0.589515028604654	-0.845905461247373	0.397605485658084	NA	1	1	0
Eif5b	24.399760153819	0.245220202172354	0.480989745437669	0.509824179202032	0.610174644512363	NA	1	1	0
Rev1	90.1794905569158	-0.0399196094218401	0.203930844109271	-0.195750719299971	0.844805284022838	0.99431421154361	1	1	0
Aff3	191.007137666878	-0.294133728853216	0.185259878518471	-1.58768175389843	0.112358320995632	0.846578713260909	1	1	0
Lonrf2	1.38208140806714	0.00958908625305504	1.46215761556377	0.00655817550104387	0.994767370529649	NA	0.5	0.8	0.3
Pdcl3	2.14280494444448	-0.272037005714869	1.1388871922695	-0.238862116951874	0.811212501626597	NA	0.75	0.8	0.05
Npas2	0.28332429079974	1.44301612556576	3.37903486981519	0.427049788226862	0.669343064181358	NA	0	0.4	0.4
Rpl31	1.64763648593449	1.26275477492195	1.38920442631484	0.908976930250411	0.363362303441079	NA	0.5	1	0.5
Tbc1d8	7.00351021176313	0.809809718626316	0.792507193173685	1.02183264152258	0.306860117356107	NA	0.75	1	0.25
