gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	percent_0	percent_3	percent_difference
Xkr4	1.904767605019	-2.62036593145361	1.35201610249352	-1.93811739861742	0.052608901241237	NA	0.8	0.2	0.6
Rp1	4.36803109790758	0.257642801407301	0.716979727895408	0.359344610988619	0.719337305156209	NA	0.8	1	0.2
Mrpl15	6.38231640369365	0.363720023113592	0.637249945429712	0.570765091032417	0.568158889336417	0.99847017553936	1	1	0
Lypla1	19.668608700303	-0.305354404862769	0.337358389639136	-0.905133573791953	0.365394627481456	0.99847017553936	1	1	0
Tcea1	36.9294551894911	-0.123244972292753	0.292630456737133	-0.421162491652272	0.673636431555037	0.99847017553936	1	1	0
Rgs20	0.298827602685553	2.02600709824231	3.14844269849216	0.643494988558184	0.519902965518042	NA	0	0.4	0.4
Atp6v1h	23.7379175049931	-0.12718597399503	0.419383764385196	-0.30326871184792	0.761685088395975	0.99847017553936	1	1	0
Rb1cc1	82.1368400851664	0.0142642332993362	0.171577124601421	0.0831359852455417	0.933743412784931	0.99847017553936	1	1	0
St18	0.747873869948143	2.3848502151244	2.4582883202216	0.970126325503356	0.33198352836766	NA	0	0.4	0.4
Pcmtd1	85.9834960711892	0.0852568005018078	0.1854640941103	0.459694373246734	0.645735608867493	0.99847017553936	1	1	0
Sntg1	0.386334454787229	-1.80954458814837	3.09847403056317	-0.584011539325206	0.559212548501438	NA	0.2	0	0.2
Rrs1	1.06290211481526	-1.63040662630243	1.48532467999077	-1.09767692428874	0.272345589531642	NA	1	0.4	0.6
Adhfe1	16.194839722796	-0.52487110611152	0.420274786184766	-1.24887602912436	0.211710420315314	0.99847017553936	1	1	0
Mybl1	1.3843423721707	-0.974652822747195	1.23975012622037	-0.78616876266722	0.431768623875152	NA	1	0.4	0.6
Vcpip1	15.4456493829698	-0.0859382201222251	0.379017198844741	-0.226739631827179	0.820626207843636	0.99847017553936	1	1	0
Sgk3	36.7963663751522	-0.107938687188739	0.25983157841333	-0.41541789434475	0.6778360093052	0.99847017553936	1	1	0
Cops5	15.3892061862271	0.0457509481945059	0.402477015425486	0.113673443304929	0.909496665209236	0.99847017553936	1	1	0
Cspp1	48.4749427717526	0.16617536543043	0.227635828519606	0.73000531819233	0.465386933837409	0.99847017553936	1	1	0
Arfgef1	62.9750176712383	-0.0537316673023582	0.187387313149707	-0.286741222760534	0.774310471138258	0.99847017553936	1	1	0
Prex2	89.7707442696999	-0.52740862462458	0.175849933566424	-2.99919717868624	0.00270692060337932	0.279259581196098	1	1	0
Sulf1	120.464652131219	-0.311716801085308	0.177429998787366	-1.75684384385795	0.0789444295984582	0.962017301147424	1	1	0
Ncoa2	87.7626739675479	0.120063964696431	0.170137402830391	0.705688241968303	0.480382034634026	0.99847017553936	1	1	0
Tram1	14.8644113933943	-0.11112458730571	0.393021587047035	-0.282744233314624	0.77737290587227	0.99847017553936	1	1	0
Lactb2	19.0018554649615	0.329133615535694	0.337456617305728	0.975336083682442	0.329393577182126	0.99847017553936	1	1	0
Eya1	319.2997584549	-0.115693114282818	0.125371169583394	-0.922804777743274	0.356108950559383	0.99847017553936	1	1	0
Trpa1	1.24648022960611	-0.774743549807947	1.296763678022	-0.597443900487474	0.550211051103783	NA	0.8	0.6	0.2
Kcnb2	436.111443858054	0.110032357723036	0.189411740869691	0.580916247418552	0.56129690152635	0.99847017553936	1	1	0
Terf1	22.3516175739534	0.0971129443144022	0.33203949060755	0.292474079323244	0.769924175594931	0.99847017553936	1	1	0
Sbspon	0.531093726423	-0.33550116651377	1.9626677582599	-0.170941396016626	0.86426984636982	NA	0.6	0.4	0.2
Rpl7	2.78486350884491	1.87501902278195	0.877332890547348	2.13718081583852	0.0325832877608206	NA	0.8	1	0.2
Rdh10	10.2580964611163	-0.188218652792444	0.476866657188661	-0.39469870655683	0.6930652574525	0.99847017553936	1	1	0
Stau2	7.58352842562509	0.561543476481867	0.708275371035282	0.792832137676992	0.427875629652946	0.99847017553936	1	1	0
Ube2w	31.5313151735011	-0.166389073186599	0.300781416463063	-0.553189339764386	0.580133765824077	0.99847017553936	1	1	0
Eloc	9.59839444893512	-1.08501818643603	0.736706316248703	-1.47279609595439	0.140806025365787	0.99847017553936	1	0.8	0.2
Tmem70	6.02076200863389	0.436372668871823	0.656209081406259	0.66499029232676	0.506056702175359	NA	1	1	0
Ly96	6.0468681610527	-0.447808456006028	0.681917332058583	-0.65669023934936	0.511380111771438	NA	1	0.8	0.2
Jph1	1.26315001512011	-0.0514645185367999	1.35398047182945	-0.0380097937950781	0.96967987335299	NA	0.6	0.8	0.2
Pi15	0.382660726726902	-0.227994877130499	2.62060258020735	-0.0870009359116402	0.930670768179886	NA	0.4	0.2	0.2
Crispld1	30.8839974896911	0.63895833730228	0.269663308236808	2.3694671013276	0.0178137398236452	0.709244946142251	1	1	0
Tfap2b	25.8116079880063	-0.22034459762054	0.307984563202547	-0.715440395224061	0.474336959171959	0.99847017553936	1	1	0
Pkhd1	22.0610293170453	-0.701913430614653	0.360469039605567	-1.94722251703697	0.0515080632874556	0.905238138637061	1	1	0
Mcm3	0.802852292309542	-1.62109262888019	1.71553280029415	-0.944949947096455	0.344684430190665	NA	0.8	0.2	0.6
Paqr8	6.17690294417578	-1.18661457044218	0.735934645656493	-1.6123912326259	0.106876831504461	0.99847017553936	1	0.8	0.2
Efhc1	4.30569314793288	0.35490599013868	0.664661989014386	0.533964625636203	0.5933660084637	NA	1	1	0
Tram2	12.4092372268903	0.0496049983489775	0.44395815086832	0.111733500673334	0.911034715943237	0.99847017553936	1	1	0
