gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	percent_WT	percent_PS19	percent_difference
Xkr4	3.48807388464515	0.0371031882559225	1.4185030054251	0.026156580644539	0.979132447648232	0.999841736456302	0.6	0.666666666666667	0.0666666666666667
Rp1	4.21152194848739	-0.672135515576805	0.974328715105616	-0.689844715809229	0.490291845110786	0.999841736456302	1	1	0
Sox17	0.311283722190472	0.072683884426818	3.59291944677837	0.0202297561922772	0.983860090730461	0.999841736456302	0.2	0.333333333333333	0.133333333333333
Mrpl15	6.19801167376421	0.510579163348934	0.803508368306856	0.635437269215778	0.525143267567977	0.999841736456302	1	1	0
Lypla1	19.3438723797938	0.176027452840824	0.434125405696814	0.405476045702237	0.685127622780433	0.999841736456302	1	1	0
Tcea1	25.1061898282433	0.0364170678394811	0.402140217732678	0.0905581342866067	0.927843699187943	0.999841736456302	1	1	0
Rgs20	0.569066488478537	-2.17160495806511	3.05122541394898	-0.711715675982968	0.476640858470533	0.999841736456302	0.4	0	0.4
Atp6v1h	17.3691809896042	0.291641171187152	0.563612567390318	0.517449730650136	0.60484225184099	0.999841736456302	1	1	0
Rb1cc1	59.0815181665755	-0.0413089126453037	0.27623940446933	-0.149540261008961	0.881127342812748	0.999841736456302	1	1	0
Alkal1	0.550567501602411	1.03753922137087	2.58063926033698	0.402047367610533	0.687649166422569	0.999841736456302	0.4	0.666666666666667	0.266666666666667
St18	1.90898254249591	-1.16582915394923	1.74809191391755	-0.666915248945094	0.50482627002845	0.999841736456302	0.6	0.666666666666667	0.0666666666666667
Pcmtd1	60.4728991621124	-0.114469592631878	0.293445977951713	-0.390087447886964	0.696471884221319	0.999841736456302	1	1	0
Sntg1	2.10051788164044	-4.06921856488299	1.96731824649722	-2.06840889730381	0.0386015892747364	0.999841736456302	0.6	0	0.6
Rrs1	0.411217765888051	1.42167684724624	3.06954092468559	0.463156179418542	0.643252423696255	0.999841736456302	0.2	0.666666666666667	0.466666666666667
Adhfe1	14.9242338255166	-0.35882702444128	0.506203943388687	-0.708858611490025	0.47841222139164	0.999841736456302	1	1	0
Mybl1	0.686072522581572	0.264412329044657	2.54786809866601	0.103777871854157	0.917345627337104	0.999841736456302	0.4	0.333333333333333	0.0666666666666667
Vcpip1	8.83338469730404	-0.359436874782911	0.776634398515564	-0.462813487877859	0.643498062433721	0.999841736456302	0.8	0.666666666666667	0.133333333333333
Sgk3	31.3331508467065	0.147597205777716	0.358851334281389	0.41130460354365	0.680849194403392	0.999841736456302	1	1	0
Tcf24	0.268039421091634	-1.48223494185461	3.64742051696386	-0.406378956021344	0.684464179552817	0.999841736456302	0.4	0	0.4
Ppp1r42	0.283183983915929	-0.159844828824467	3.51163832494917	-0.0455185910487468	0.963693956742187	0.999841736456302	0.4	0.333333333333333	0.0666666666666667
Cops5	10.2445955328943	0.760124726335955	0.640992980096563	1.18585499364041	0.235679569369812	0.999841736456302	1	1	0
Cspp1	27.9621697929656	0.138988742218214	0.388623105531649	0.357644052141657	0.720609707063689	0.999841736456302	1	1	0
Arfgef1	42.9179167648353	0.0183128552554035	0.351412534540301	0.052112128781517	0.958439348728567	0.999841736456302	1	1	0
Prex2	89.427607945674	-0.0295884555968955	0.277126797435027	-0.106768655614521	0.914972514494548	0.999841736456302	1	1	0
Sulf1	103.194918239737	-0.0602647627958195	0.238961662943454	-0.252194272727673	0.80089090473908	0.999841736456302	1	1	0
Ncoa2	61.3011568919862	-0.313933089105367	0.289458626164488	-1.0845525430186	0.278119883542961	0.999841736456302	1	1	0
Tram1	7.6422290280707	0.276911585682847	0.842848947423777	0.328542364001575	0.742501618399349	0.999841736456302	1	1	0
Lactb2	17.367921596348	-0.325628203117916	0.451745650545514	-0.720821999558152	0.471019038152927	0.999841736456302	1	1	0
Eya1	271.978827384622	-0.065103516734072	0.161583981572098	-0.402908234471391	0.687015733385761	0.999841736456302	1	1	0
Msc	0.454451050152284	-1.14295684297088	2.7403010929201	-0.417091700588611	0.676611335234818	0.999841736456302	0.6	0.333333333333333	0.266666666666667
Trpa1	1.74991854368812	2.14569565966216	1.58527099431582	1.35351978769296	0.17588963284536	0.999841736456302	0.6	1	0.4
Kcnb2	293.973541450284	-0.36984535316045	0.442135503992637	-0.836497747456648	0.402874943433509	0.999841736456302	1	1	0
