gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	percent_0	percent_3	percent_difference
Xkr4	16407.42204756	0.036252105337226	0.100682327518291	0.360064236006465	0.718799097071346	0.999596832212971	1	1	0
Mrpl15	219.195785962997	-0.00537764034797477	0.129626918809492	-0.0414855216598806	0.966908834959573	0.999596832212971	1	1	0
Lypla1	318.236231413028	-0.0253247086052344	0.124331118978556	-0.20368761106061	0.83859762418309	0.999596832212971	1	1	0
Tcea1	839.475692807787	-0.0537882118473964	0.0857126755662416	-0.627540926613906	0.530304717504483	0.999596832212971	1	1	0
Rgs20	1094.46698031997	-0.287604640458359	0.147312542819105	-1.95234319464248	0.0508974723916481	0.999596832212971	1	1	0
Atp6v1h	1547.36462888029	-0.0943244280342661	0.0791757298029687	-1.19133007386222	0.233524032143958	0.999596832212971	1	1	0
Oprk1	194.720930418856	-0.394955798805961	0.185978041446087	-2.12366898659084	0.0336978324584738	0.999596832212971	1	1	0
Rb1cc1	1749.43344574434	-0.00854655723966082	0.0808888162724219	-0.105658082705491	0.915853639276004	0.999596832212971	1	1	0
St18	129.727616111583	-0.437128287239436	0.217736630467899	-2.00760104673284	0.0446857032513401	0.999596832212971	1	1	0
Pcmtd1	1969.32769951273	-0.0822188318827013	0.0913324938501863	-0.900214462747133	0.368006130960913	0.999596832212971	1	1	0
Sntg1	15179.0710919889	0.0723334862022442	0.0757847748717207	0.954459339948975	0.339851181470824	0.999596832212971	1	1	0
Rrs1	29.4569144692386	0.365156566331886	0.346799640289173	1.05293236759821	0.292371990210616	0.999596832212971	1	1	0
Adhfe1	55.6819229347822	0.0478551676978751	0.244211605438673	0.195957794929171	0.844643200255226	0.999596832212971	1	1	0
Vxn	26.2603676718935	-0.0355164545650089	0.490816591838193	-0.0723619681070552	0.942313850471533	0.999596832212971	1	1	0
Mybl1	40.8347895266601	0.265502576462263	0.27004643329361	0.983173794314083	0.325521910022309	0.999596832212971	1	1	0
Vcpip1	423.999079798112	0.0704907023051	0.116828276020634	0.603370217434778	0.546262430415113	0.999596832212971	1	1	0
Sgk3	531.697219324107	-0.34916899903757	0.222048424394419	-1.57249032498132	0.115836881202683	0.999596832212971	1	1	0
Mcmdc2	187.435890109136	0.0922449973235528	0.160864323728313	0.573433531970379	0.566351191684326	0.999596832212971	1	1	0
Ppp1r42	19.4264000564641	-0.0678466009183962	0.380200500685439	-0.178449530697829	0.858369953608686	0.999596832212971	1	1	0
Cops5	375.846225855371	0.0084903558141851	0.119725692411603	0.0709150696326418	0.943465349739155	0.999596832212971	1	1	0
Cspp1	2228.99254042033	0.0351360100770527	0.0923250682165856	0.380568471334643	0.703523480066747	0.999596832212971	1	1	0
Arfgef1	1722.04873541706	-0.0808445724075452	0.0934447050123918	-0.865159480109915	0.386951261868949	0.999596832212971	1	1	0
Cpa6	568.535004442163	0.722193671999131	1.01930864127522	0.70851324393328	0.478626590643611	0.999596832212971	1	1	0
Prex2	489.80478593457	-0.330996838132571	0.152575721390647	-2.16939389252569	0.0300527922604318	0.999596832212971	1	1	0
A830018L16Rik	4652.19522073828	0.140475868130559	0.105015438326005	1.33766873109145	0.181004448398662	0.999596832212971	1	1	0
Sulf1	317.186719832032	-0.227605795467987	0.45819156226772	-0.496748116315154	0.61936668690595	0.999596832212971	1	1	0
Slco5a1	345.67064749952	-0.168972989813493	0.466949782466034	-0.361865442834389	0.717452584967507	0.999596832212971	1	1	0
Ncoa2	2975.86393829087	-0.0057839498122811	0.0984157768452552	-0.0587705548610924	0.953134861725187	0.999596832212971	1	1	0
Tram1	270.736298827494	0.207034377397983	0.141486651186834	1.4632785189367	0.143391183140051	0.999596832212971	1	1	0
Lactb2	342.819422427334	0.111648473403873	0.134816139322514	0.82815361695518	0.407583507974284	0.999596832212971	1	1	0
Eya1	169.963312450009	0.0618052527363146	0.19020712814011	0.324936574883712	0.745229074831839	0.999596832212971	1	1	0
Kcnb2	9669.0234077064	0.138908268465764	0.29950788833196	0.463788347076205	0.642799392945809	0.999596832212971	1	1	0
Terf1	584.884974405578	-0.0487128309023285	0.102648324930006	-0.474560407444981	0.635100332065874	0.999596832212971	1	1	0
Sbspon	18.8586653991374	0.0868205816431811	0.441301246048944	0.196737676180393	0.844032824919489	0.999596832212971	1	1	0
4930444P10Rik	83.5702030735568	-0.414145430502611	0.29095858995065	-1.42338272457553	0.154625237666153	0.999596832212971	1	1	0
Rpl7	107.777922014247	-0.146906608710587	0.259836495798939	-0.565380964898263	0.57181466893303	0.999596832212971	1	1	0
Rdh10	200.257105034613	-0.110403093516366	0.163747069310527	-0.67422943189902	0.500165460636158	0.999596832212971	1	1	0
Stau2	3491.0414905499	0.0439531828585764	0.0896153728762634	0.490464765674354	0.623805056602576	0.999596832212971	1	1	0
Ube2w	1392.92432496562	-0.0162907912881231	0.0947424022826815	-0.17194826071136	0.863478205009999	0.999596832212971	1	1	0
Eloc	287.659890163029	0.0508412339241915	0.141431704435732	0.359475508882765	0.719239396160069	0.999596832212971	1	1	0
Tmem70	154.228487002812	0.0693221481793856	0.148991650030063	0.465275390704095	0.641734255707547	0.999596832212971	1	1	0
Ly96	53.7756682333091	0.117165399301417	0.25472701681939	0.459964556427446	0.645541661416223	0.999596832212971	1	1	0
Jph1	351.487145589195	-0.161532332490186	0.13631405108258	-1.18500133483913	0.236016919137086	0.999596832212971	1	1	0
Gdap1	827.690652874505	0.0386772243639165	0.113890963626186	0.339598710314395	0.734158749495273	0.999596832212971	1	1	0
Pi15	11.5124348032617	-0.174644234359082	0.53682518528789	-0.325327945009554	0.74493288313355	0.999596832212971	1	1	0
Crispld1	291.945376606958	0.0395657138850992	0.153451624928494	0.25783835070848	0.796531665318957	0.999596832212971	1	1	0
Tfap2d	97.71619143118	0.457077511389554	0.362387537212658	1.2612947865294	0.207202658868874	0.999596832212971	1	1	0
Tfap2b	82.8924823433658	0.281314647790309	0.635640583353758	0.442568733270681	0.658077704510863	0.999596832212971	1	1	0
Pkhd1	11.7341808622841	-0.124961194790767	0.576292044119923	-0.216836578026336	0.828335704914249	0.999596832212971	1	1	0
Paqr8	194.562974305116	0.0540429320772488	0.137199754336291	0.39389962714353	0.693655145659974	0.999596832212971	1	1	0
Efhc1	12.1890111984457	-0.87757809516203	0.517656053562074	-1.69529186246983	0.0900200677472308	0.999596832212971	1	1	0
Tram2	23.4183090499572	0.484807100983087	0.364805742683942	1.32894591356012	0.183865814596022	0.999596832212971	1	1	0
Tmem14a	64.9781090549007	-0.192695814457311	0.209753498312483	-0.918677476216579	0.358264294340221	0.999596832212971	1	1	0
Gsta3	56.8482863553422	-0.135139242008373	0.245656102049538	-0.55011555129667	0.582240120881013	0.999596832212971	1	1	0
Kcnq5	15807.5697043598	-0.251628360492569	0.18585504953184	-1.35389574362607	0.175769641666308	0.999596832212971	1	1	0
Rims1	13312.2356261235	-0.0615410814730496	0.0924391747909513	-0.665746763882553	0.505572977482851	0.999596832212971	1	1	0
Ogfrl1	371.123992389661	0.165421764381312	0.120668299843718	1.37088004550952	0.170412352748864	0.999596832212971	1	1	0
B3gat2	188.622926382123	0.19935247538537	0.165341134514976	1.20570404920811	0.227931623185763	0.999596832212971	1	1	0
Smap1	938.16259261761	0.0270378592650189	0.10481459609675	0.257958912898557	0.796438617037428	0.999596832212971	1	1	0
Sdhaf4	42.4461430387588	0.272528894098779	0.316714290678576	0.860488150108014	0.389520012834567	0.999596832212971	1	1	0
Fam135a	1587.0011870454	0.0267270812260412	0.0790628179443425	0.338048679783411	0.735326503720577	0.999596832212971	1	1	0
