gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	percent_0	percent_3	percent_difference
Xkr4	15565.8132973366	0.0203797950671592	0.0583412917834064	0.349320257474239	0.726848891939562	0.999546922634988	1	1	0
Rp1	8.64010356435899	-0.297256141021334	0.361581569525759	-0.822099813912551	0.411020091402461	NA	1	1	0
Mrpl15	198.039485083911	0.0343710572925636	0.0671107914615654	0.512153955332921	0.608543265383175	0.999546922634988	1	1	0
Lypla1	313.362390447289	-0.12267685374877	0.0657632781102721	-1.86543094070014	0.0621210237944339	0.929971008031923	1	1	0
Tcea1	804.85887226499	-0.0504477494208761	0.0447099883375862	-1.12833286915591	0.259179367020232	0.999546922634988	1	1	0
Rgs20	951.499856754355	0.0162791742005457	0.110319051509991	0.147564486620622	0.882686483770178	0.999546922634988	1	1	0
Atp6v1h	1500.04848839	-0.0698402848660049	0.0542019177626525	-1.28852054962025	0.197564820213381	0.999546922634988	1	1	0
Oprk1	186.078696188592	0.062638932056317	0.149783620733175	0.418196140203489	0.675803717591559	0.999546922634988	1	1	0
Rb1cc1	1701.5169122701	0.00692653744631289	0.0393353877615969	0.176089212296396	0.860223855842687	0.999546922634988	1	1	0
St18	126.817114292197	-0.185858198913259	0.142755692735168	-1.30193196048617	0.192939645706709	0.999546922634988	1	1	0
Pcmtd1	1854.73378396657	0.0123220286644527	0.0563972860926414	0.218486198860914	0.827050310300505	0.999546922634988	1	1	0
Sntg1	14447.8956645808	-0.0295096889955334	0.0525311177638976	-0.561756350362949	0.574282035477257	0.999546922634988	1	1	0
Rrs1	28.0190272193336	0.209754591709531	0.176591080613877	1.18779833602223	0.234912870135178	NA	1	1	0
Adhfe1	54.4164043528977	-0.0992238253373173	0.127842978196301	-0.776138249728199	0.437667361430149	0.999546922634988	1	1	0
Vxn	26.3038641538435	0.247967891053601	0.305759771907168	0.810989259662605	0.417371838654511	NA	1	1	0
Mybl1	41.4655574819543	0.103898216467808	0.149589663907037	0.694554782423844	0.487334357964521	0.999546922634988	1	1	0
Vcpip1	398.370816398461	0.0661783556954756	0.064765638511351	1.02181275776162	0.306869529974764	0.999546922634988	1	1	0
Sgk3	470.024136228348	0.0539973861536501	0.157140146125064	0.343625658274971	0.731127825968319	0.999546922634988	1	1	0
Mcmdc2	166.748936540743	-0.0993764624316121	0.109949547828221	-0.903836936072465	0.366081873043735	0.999546922634988	1	1	0
Ppp1r42	16.8801630807284	-0.0356008709246092	0.206315206898108	-0.17255572897344	0.863000652946285	NA	1	1	0
Cops5	369.82663676149	-0.140679580051374	0.0724316204123105	-1.94223985671684	0.0521080701296379	0.901723962741078	1	1	0
Cspp1	2125.4833611169	0.00915989429668383	0.044625549984421	0.205261207982458	0.837368050280892	0.999546922634988	1	1	0
Arfgef1	1683.77113792354	-0.049922139012725	0.0421515719482078	-1.18434821538957	0.236275250090993	0.999546922634988	1	1	0
Cpa6	486.944433972474	-0.626196046833382	0.555201927643004	-1.12787080817923	0.259374483875548	0.999546922634988	1	1	0
Prex2	455.60848494709	-0.218886363733189	0.0984359433119198	-2.22364266921881	0.0261724953239392	0.803770333519613	1	1	0
A830018L16Rik	4330.91773259975	-0.00508863728664774	0.0641594861017995	-0.0793123136705582	0.936784212263634	0.999546922634988	1	1	0
Sulf1	298.332663877123	0.0438280345789889	0.21987877908142	0.199328169649149	0.842006045084323	0.999546922634988	1	1	0
Slco5a1	301.589491849277	0.0379308697246624	0.221603702203004	0.171165325071669	0.864093771675882	0.999546922634988	1	1	0
Ncoa2	2811.25047693392	0.0589721951483639	0.0505439736524901	1.16675027479678	0.243311233331355	0.999546922634988	1	1	0
Tram1	264.595998187048	0.0852324362270531	0.0768093738673392	1.10966190629625	0.267144743919551	0.999546922634988	1	1	0
Lactb2	323.151512261087	0.00180996098311237	0.0688264870709035	0.0262974482665051	0.979020090197176	0.999546922634988	1	1	0
Eya1	153.961356601042	0.133683868455776	0.109199590721941	1.22421583791627	0.220870816051613	0.999546922634988	1	1	0
Kcnb2	8825.89620980777	-0.0671492381044679	0.174389082878442	-0.385054138688683	0.70019730516521	0.999546922634988	1	1	0
Terf1	548.557395694598	-0.118155815215224	0.0471028379609248	-2.50846488938189	0.0121257018049964	0.649808744554713	1	1	0
Sbspon	22.0350954709273	-0.203391344901593	0.211918897162009	-0.95976030276386	0.337175865719528	NA	1	1	0
4930444P10Rik	85.6070343642638	-0.227355750814844	0.149428396759794	-1.5215029789841	0.128133664316981	0.999546922634988	1	1	0
Rpl7	103.09106554841	0.263353260941488	0.177361319608527	1.48484044617374	0.137586094881687	0.999546922634988	1	1	0
Rdh10	185.450196018256	-0.0647794434457389	0.0809194114200744	-0.800542691906784	0.423396438904742	0.999546922634988	1	1	0
Stau2	3314.79235146313	-0.00153581745787262	0.0410030795360255	-0.0374561490320073	0.970121303594956	0.999546922634988	1	1	0
Ube2w	1379.71594091308	-0.0659754360375111	0.0515287643484031	-1.28036130638471	0.200418095691594	0.999546922634988	1	1	0
Eloc	268.7735565383	0.105237004866341	0.071685410307594	1.46803937390859	0.142093527962663	0.999546922634988	1	1	0
Tmem70	144.611187708483	0.0211159002283302	0.0828867123752733	0.254756156001544	0.798911440560518	0.999546922634988	1	1	0
Ly96	48.4242750586598	-0.0375506361804307	0.153681473224079	-0.244340683315023	0.806966977396686	0.999546922634988	1	1	0
Jph1	355.920475068415	-0.0904871006974506	0.0919206284031468	-0.984404722524208	0.324916556998078	0.999546922634988	1	1	0
Gdap1	784.86854280219	-0.0169944070225626	0.0529835056852437	-0.32074901052264	0.748400602941617	0.999546922634988	1	1	0
Pi15	11.2468791309429	-0.424482725836831	0.299382729668193	-1.41785976200861	0.156231712117557	NA	1	1	0
Crispld1	274.408516632192	-0.105434079063758	0.113596287264266	-0.92814722736915	0.353331204468246	0.999546922634988	1	1	0
Tfap2d	95.5468868577415	0.00992104476606214	0.382358490688958	0.0259469712525169	0.979299635001379	0.999546922634988	1	1	0
Tfap2b	75.7565902945594	-0.182885850945917	0.370723876766501	-0.493320938864445	0.621785835621569	0.999546922634988	1	1	0
Pkhd1	12.2480107964886	0.0425791565484575	0.282242703186759	0.150860079171942	0.880086092200329	NA	1	1	0
Paqr8	182.141384020601	-0.0207156184271541	0.0843282932390886	-0.24565442547759	0.805949754405815	0.999546922634988	1	1	0
Efhc1	11.8210797018459	-0.574671198716308	0.272058645763261	-2.11230632683651	0.0346601835468984	NA	1	1	0
Tram2	22.1721652956158	0.152752766715648	0.212813613021376	0.717777234956793	0.472894652172279	NA	1	1	0
Tmem14a	67.9638862540943	-0.0678553487101384	0.123866346931129	-0.547811010749083	0.583821677365326	0.999546922634988	1	1	0
Gsta3	55.9408060014918	-0.184063350861117	0.14961063752634	-1.23028251135359	0.218591330968631	0.999546922634988	1	1	0
