gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	percent_WT	percent_PS19	percent_difference
Xkr4	15481.4760745505	0.10135942202421	0.0825229496975258	1.22825738047084	0.21935036456897	0.999944075094008	1	1	0
Mrpl15	198.982607075411	-0.0274265660855275	0.106619212972502	-0.257238496898313	0.796994667418765	0.999944075094008	1	1	0
Lypla1	296.206045093741	0.0600958247052899	0.0978274584071583	0.614304262665915	0.53901428626174	0.999944075094008	1	1	0
Tcea1	781.286226957495	-0.0312789266579787	0.073739827312101	-0.424179548530698	0.671434874740956	0.999944075094008	1	1	0
Rgs20	947.788350148005	0.211778617761265	0.0954772209726727	2.21810622055998	0.026547590785397	0.999944075094008	1	1	0
Atp6v1h	1447.10363855772	0.0439278783918631	0.0857108244655769	0.512512610463867	0.608292296932736	0.999944075094008	1	1	0
Oprk1	187.255447126715	-0.170303762414156	0.172947201753517	-0.984715339059785	0.3247639160274	0.999944075094008	1	1	0
Rb1cc1	1679.93085960957	0.0176156297515416	0.0686462946988747	0.256614429501471	0.797476434806137	0.999944075094008	1	1	0
St18	117.610327608657	0.240543760280192	0.190700426002958	1.26136981087006	0.20717563983255	0.999944075094008	1	1	0
Pcmtd1	1836.86982524601	0.00454293402426388	0.0788250796538016	0.0576331041366069	0.954040880200402	0.999944075094008	1	1	0
Sntg1	14139.7327198308	0.0746197047193408	0.0703358454376545	1.0609057764932	0.288732723849374	0.999944075094008	1	1	0
Rrs1	29.3941182356838	-0.159488353308519	0.279233157733974	-0.571165525623082	0.567887444650045	0.999944075094008	1	1	0
Adhfe1	51.5717037421239	0.135713063199266	0.204263902058683	0.664400620136379	0.506433936063288	0.999944075094008	1	1	0
Vxn	28.0975164526542	-0.362589861674124	0.403320373859349	-0.899012014207275	0.368646261327378	0.999944075094008	1	1	0
Mybl1	42.1087404079758	-0.218929789452248	0.214776633789375	-1.01933709263246	0.308042960073403	0.999944075094008	1	1	0
Vcpip1	402.484607029825	0.0117239478453301	0.108123779800783	0.108430799098324	0.913653971008622	0.999944075094008	1	1	0
Sgk3	472.467394215166	0.201336851224728	0.182540142492637	1.10297301445817	0.270038884255712	0.999944075094008	1	1	0
Mcmdc2	160.038805134713	-0.00102667662637459	0.139830866266796	-0.00734227466213149	0.994141765041221	0.999944075094008	1	1	0
Ppp1r42	16.587867117774	-0.0971699655103313	0.331456653833396	-0.293160400874538	0.769399550494583	0.999944075094008	1	1	0
Cops5	346.862690563707	-0.0455733500331303	0.100476102437328	-0.45357402335104	0.650135453739249	0.999944075094008	1	1	0
Cspp1	2103.5747136687	0.0675955026976811	0.0763406346049716	0.885445910260733	0.375916180312878	0.999944075094008	1	1	0
Arfgef1	1633.71743057967	0.0502072862741893	0.068779499700941	0.729974578071879	0.465405724022082	0.999944075094008	1	1	0
Cpa6	443.57726964819	-1.57793652127936	0.531908844391021	-2.96655439727823	0.00301157081607646	0.999944075094008	1	1	0
Prex2	420.004995102972	0.04017268760661	0.154087230788184	0.260713930681468	0.794313122370129	0.999944075094008	1	1	0
A830018L16Rik	4283.15292850821	0.007254992916861	0.0906829644872684	0.0800039230949444	0.936234135796185	0.999944075094008	1	1	0
Sulf1	298.445260203678	-0.0794697143196678	0.377998049919798	-0.210238424077927	0.833481591575723	0.999944075094008	1	1	0
Slco5a1	302.064021122811	-0.262843592674018	0.36638386631544	-0.717399473173641	0.47312764459096	0.999944075094008	1	1	0
Ncoa2	2828.01654297232	-0.0177235601155048	0.0753369113399778	-0.235257323405821	0.814009016576494	0.999944075094008	1	1	0
Tram1	266.395924229853	0.000495391745710552	0.105765926359168	0.00468385010904421	0.996262841977461	0.999944075094008	1	1	0
Lactb2	319.656924881201	0.0240754834072017	0.105539292443621	0.228118673621607	0.81955398333696	0.999944075094008	1	1	0
Eya1	158.916282938207	-0.127190266398906	0.135685876654184	-0.937387659904126	0.348559186217444	0.999944075094008	1	1	0
Kcnb2	8583.48090798343	-0.271043803353767	0.150354969109999	-1.80269268756573	0.0714364912360102	0.999944075094008	1	1	0
Terf1	521.626248045692	0.00155117089641797	0.0777391784034716	0.019953528301615	0.984080444218998	0.999944075094008	1	1	0
Sbspon	19.2864215330607	-0.154641476108825	0.345533815762921	-0.44754368184597	0.65448255585748	0.999944075094008	1	1	0
4930444P10Rik	78.0225409963111	-0.271382624256314	0.237807755140447	-1.14118492097131	0.253792977971165	0.999944075094008	1	1	0
Rpl7	109.649278178478	-0.160181638565783	0.189611869623783	-0.84478697923082	0.398229785781068	0.999944075094008	1	1	0
Rdh10	180.673508882858	0.107362372538937	0.130857472578626	0.82045274467935	0.411958057694469	0.999944075094008	1	1	0
Stau2	3271.75577225634	-0.0279396725010774	0.0668494927031042	-0.41794890838087	0.675984472637448	0.999944075094008	1	1	0
Ube2w	1328.62947864601	-0.00130739411611153	0.0816630952784817	-0.0160096076649207	0.987226726869676	0.999944075094008	1	1	0
Eloc	274.028068308853	-0.0104766228051655	0.102901423299452	-0.101812224449779	0.918905722367052	0.999944075094008	1	1	0
Tmem70	143.899682636012	0.0619232857146142	0.130206999966631	0.475575704305329	0.634376687668987	0.999944075094008	1	1	0
Ly96	47.5762519807009	-0.10322135892902	0.213163848452672	-0.48423482536223	0.62821922410329	0.999944075094008	1	1	0
Jph1	340.144628500636	0.0867703156337534	0.142890571611671	0.607250112131723	0.543684940393778	0.999944075094008	1	1	0
Gdap1	772.290650943117	0.0689641914633674	0.0869131473280142	0.793483996190972	0.427495889839595	0.999944075094008	1	1	0
Pi15	9.37406182392289	-0.289871712038106	0.516508258326636	-0.56121408973638	0.574651598969869	0.999944075094008	1	1	0
Crispld1	263.27570405546	-0.00498377491374454	0.14430418254625	-0.0345365936441047	0.972449262235337	0.999944075094008	1	1	0
Tfap2d	93.5085830729644	0.368532764166108	0.585538517341413	0.629391155750777	0.529093006677256	0.999944075094008	1	1	0
Tfap2b	71.0579959825134	-0.018179366418869	0.55558259143778	-0.0327212671869775	0.973896864208045	0.999944075094008	1	1	0
Pkhd1	11.9884732853955	-0.0960055382877845	0.454896442648169	-0.211049217551341	0.832848866140428	0.999944075094008	1	1	0
Paqr8	178.640201174927	0.170009773312005	0.136861078034968	1.2422068841849	0.214160240347911	0.999944075094008	1	1	0
Efhc1	9.36423348688563	0.329343548433921	0.473759012399926	0.695171046489567	0.486948114868364	0.999944075094008	1	1	0
Tram2	22.8323971845059	-0.460036297858116	0.307229876393109	-1.4973683655345	0.134297434919119	0.999944075094008	1	1	0
Tmem14a	65.1441770632173	0.0377078707045552	0.172483806547749	0.218616874588261	0.826948506732748	0.999944075094008	1	1	0
Gsta3	51.6173591053409	0.137431521157051	0.226579840289468	0.606547877258078	0.544150999920356	0.999944075094008	1	1	0
