gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	percent_WT	percent_PS19	percent_difference
Xkr4	14936.7657107808	0.161097445199861	0.074025914237849	2.1762304033456	0.0295380365985299	0.535475552374762	1	1	0
Rp1	9.97798564007818	-0.543133073866286	0.455988221152459	-1.19111206972316	0.233609592228849	NA	1	1	0
Mrpl15	182.375662062105	0.0707285571150524	0.113378271158561	0.623828149717837	0.532740450688168	0.912528971976841	1	1	0
Lypla1	309.552586115854	0.121293608942497	0.0936061388516064	1.29578690490358	0.195048910828978	0.75658087413522	1	1	0
Tcea1	778.852281600175	-0.0228977329382948	0.0756603723656282	-0.302638385489853	0.762165458049932	0.966594648304197	1	1	0
Rgs20	845.943370044965	0.0224221019340227	0.11662742591591	0.19225410968248	0.847543162951495	0.976311301276225	1	1	0
Atp6v1h	1464.22049409795	0.0650680054476752	0.0815684653006325	0.797710306401593	0.425038621547957	0.866484353879133	1	1	0
Oprk1	179.607997590316	0.0659905526134796	0.149257227228739	0.442126346835774	0.658397779962681	0.942874625344575	1	1	0
Rb1cc1	1665.11928694303	0.0512170561097003	0.061806115357569	0.828672952723086	0.407289494680223	0.861137004060696	1	1	0
St18	124.589504914789	0.304412638378065	0.173443552311398	1.75511072231458	0.0792403706311702	NA	1	1	0
Pcmtd1	1769.31780451488	-0.0278306440800436	0.0756709225188996	-0.367785182916101	0.713033418174647	0.957250975795187	1	1	0
Sntg1	13900.968677947	0.0123711495438804	0.0744252938239868	0.16622238097088	0.867981946986544	0.979817012628174	1	1	0
Rrs1	26.9413754822905	-0.284647638011653	0.256913818950724	-1.10794989220198	0.267883456713238	NA	1	1	0
Adhfe1	53.4445520832028	0.267107737386962	0.189978717079907	1.40598768900316	0.159727780488473	NA	1	1	0
Vxn	26.3154553823157	-0.0791338821770315	0.384463635014359	-0.205829303398424	0.83692425046357	NA	1	1	0
Mybl1	41.8956728204768	0.241607217085456	0.221063788603944	1.09292986703633	0.274424593610546	NA	1	1	0
Vcpip1	379.246833227126	0.029523225873866	0.0998055490471437	0.29580745916162	0.767377126212925	0.966594648304197	1	1	0
Sgk3	424.448047552682	0.18061120843613	0.139724009027003	1.29262830127659	0.196139646403593	0.7582449460469	1	1	0
Mcmdc2	151.451919742313	-0.254356671792449	0.151197457606015	-1.68228140750384	0.092514284672857	NA	1	1	0
Ppp1r42	14.9985415703414	-0.334188736769201	0.336765895839941	-0.992347327616673	0.321028123713615	NA	1	1	0
Cops5	365.14786668899	-0.185623847039429	0.0939279503006774	-1.97623653497408	0.0481279937829404	0.581520687147144	1	1	0
Cspp1	2048.01152266337	0.0309916446298173	0.0620563384301768	0.499411428611564	0.617489569570991	0.933089737843443	1	1	0
Arfgef1	1654.54387739648	0.0718093341133935	0.0584979044051504	1.22755395844695	0.219614454454702	0.777964087317742	1	1	0
Cpa6	426.810542558705	-1.9479927429193	0.5171509791788	-3.7667776362187	0.000165368165667482	0.0996624538056218	1	1	0
Prex2	430.202620498851	0.168027085158504	0.107089056540985	1.56904067124913	0.116638462491185	0.702148793171866	1	1	0
A830018L16Rik	4091.90226136041	0.119383434026997	0.0632692578359539	1.88691061204696	0.059172349527163	0.599423232258891	1	1	0
Sulf1	284.342655959534	0.0227500213650894	0.169219038755018	0.134441263420868	0.893053654294065	0.985842684849979	1	1	0
Slco5a1	269.058229794316	-0.171832126866552	0.170041540168531	-1.0105302898118	0.312241295066352	0.816782621768756	1	1	0
Ncoa2	2688.55759206551	0.0678789942511885	0.0633353662789047	1.07173919153282	0.283837192398199	0.80693706465023	1	1	0
Tram1	259.893356152601	-0.0202361791089543	0.106062774509348	-0.190794359308135	0.848686708127237	0.976311301276225	1	1	0
Lactb2	308.485680313943	0.120005963551729	0.0832385068769786	1.44171211202876	0.149383605316671	0.726982688958065	1	1	0
Eya1	142.091401754014	0.15826353853414	0.144909613532625	1.09215347882015	0.274765646536169	NA	1	1	0
Kcnb2	8201.18284390326	-0.403124540792531	0.18107911399482	-2.22623433425935	0.0259984893023257	0.528213209483838	1	1	0
Terf1	521.508599213105	0.0093296766190891	0.0679564714013996	0.137289009077316	0.89080235766097	0.985842684849979	1	1	0
Sbspon	24.3510159577476	-0.387522455597656	0.284944166179917	-1.35999434834181	0.173831712365908	NA	1	1	0
4930444P10Rik	87.0525816360284	-0.0955827147511746	0.163508458204941	-0.584573518706728	0.558834517986204	NA	1	1	0
Rpl7	99.5767586568508	-0.0692776356085286	0.202409952183515	-0.342263978925888	0.732152241009727	NA	1	1	0
Rdh10	174.46185812119	0.26596950363885	0.112779721498412	2.35830963319585	0.018358373099004	0.483558096172976	1	1	0
Stau2	3182.96893264072	-0.029658354462499	0.0533856627583483	-0.555549054373426	0.578519166924118	0.927442166473374	1	1	0
Ube2w	1368.99360170599	-0.014855757967833	0.074290826238394	-0.199967596539604	0.841505923476803	0.976287512891611	1	1	0
Eloc	254.717190272146	0.0131808669987055	0.104049706714557	0.126678559843181	0.899194815874721	0.985842684849979	1	1	0
Tmem70	137.443990249411	0.201432637840247	0.128230050630972	1.57086920615778	0.116213032702489	NA	1	1	0
Ly96	44.4526877119048	0.232055041249588	0.237904666666038	0.975411892929949	0.329355986668447	NA	1	1	0
Jph1	358.905987670235	0.252270845509429	0.117353961550324	2.14965768668363	0.0315823017598786	0.540447319578606	1	1	0
Gdap1	752.843423273152	0.0703059167733306	0.0655500574102705	1.0725530922619	0.28347168066487	0.80693706465023	1	1	0
