gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	percent_0	percent_3	percent_difference
Mrpl15	0.0622048782692022	-0.193713592838824	3.15591451279394	-0.0613811280544888	0.951055681647445	0.999895667798219	0.142857142857143	0.2	0.0571428571428572
Lypla1	0.874090441722742	-0.327594393485437	0.950223377483495	-0.344755139947214	0.730278460812931	0.999895667798219	0.714285714285714	0.6	0.114285714285714
Tcea1	0.950835890340963	1.1240849280188	0.885189773893473	1.26988015583885	0.204127322808791	0.999895667798219	0.428571428571429	0.8	0.371428571428571
Atp6v1h	1.12605635393855	0.891342569560722	0.956678804748296	0.93170515029361	0.351488924082976	0.999895667798219	0.428571428571429	0.6	0.171428571428571
Rb1cc1	2.21649677696869	-0.420166619460823	0.688208444027822	-0.610522325186462	0.541515859158248	0.999895667798219	0.714285714285714	0.8	0.0857142857142857
St18	0.351152634664777	-1.24415207161293	2.08998006961517	-0.595293749304517	0.551647133420931	0.999895667798219	0.428571428571429	0.2	0.228571428571429
Pcmtd1	5.04631902404832	-0.583101429237613	0.710848609308733	-0.820289189008406	0.412051267955527	0.999895667798219	0.857142857142857	0.8	0.0571428571428571
Adhfe1	0.659600653944144	-0.654228101000845	1.16099667950089	-0.563505574608619	0.573090665171935	0.999895667798219	0.428571428571429	0.5	0.0714285714285715
Vcpip1	2.05061250220924	0.60966507511583	0.701264303096186	0.869379879203987	0.384639384726263	0.999895667798219	0.571428571428571	0.9	0.328571428571429
Sgk3	3.68960456200746	-0.117137005790842	0.499539291253799	-0.234490074838434	0.814604537558954	0.999895667798219	0.714285714285714	1	0.285714285714286
Tcf24	0.0103299154670403	-0.328206151172404	3.15948341163933	-0.103879688041189	0.917264826482779	0.999895667798219	0	0.1	0.1
Cops5	1.11282218771877	-0.534485045156943	0.917539530920339	-0.582519910200302	0.560216534452721	0.999895667798219	0.714285714285714	0.6	0.114285714285714
Cspp1	1.11863678465843	-0.642922684181614	0.839572087485339	-0.765774248292694	0.443810639358318	0.999895667798219	0.714285714285714	0.8	0.0857142857142857
Arfgef1	2.58466956053525	0.320394228736239	0.606409957508388	0.528345923033112	0.597259263289969	0.999895667798219	0.571428571428571	0.9	0.328571428571429
Cpa6	0.0256124507765122	-0.202656940151306	3.16086487643933	-0.0641143952915812	0.948879139644398	0.999895667798219	0	0.1	0.1
Prex2	0.139170772208883	-1.30773631540532	3.14706856611153	-0.415541094174869	0.677745838589568	0.999895667798219	0.285714285714286	0.1	0.185714285714286
Ncoa2	6.62622962872767	0.250006527538985	0.357729930176189	0.69886947233029	0.48463360715532	0.999895667798219	1	1	0
Tram1	1.43117244199743	-0.794563718921276	0.729084313107104	-1.08981047135018	0.275796640348728	0.999895667798219	0.714285714285714	0.7	0.0142857142857143
Lactb2	2.03919649103885	-0.711268402106947	0.591765388231344	-1.201943229956	0.229385523844931	0.999895667798219	0.857142857142857	0.8	0.0571428571428571
Xkr9	0.0721992575779832	-0.0542154249978805	3.15671640896476	-0.0171746264073371	0.986297304397652	0.999895667798219	0	0.1	0.1
Kcnb2	0.288797030311933	0.760644936190524	3.13579026459463	0.242568817429776	0.808339439908659	0.999895667798219	0	0.1	0.1
Terf1	1.27327617886541	-0.504796961483508	0.902455199476694	-0.559359580150045	0.575916340993506	0.999895667798219	0.571428571428571	0.6	0.0285714285714286
Rpl7	0.494326671632715	-0.0345903921782133	1.45831592812925	-0.0237194091561397	0.981076424092929	0.999895667798219	0.285714285714286	0.5	0.214285714285714
Rdh10	0.115380740699877	0.456331991203209	3.15548526064822	0.144615472267953	0.885014480554265	0.999895667798219	0	0.2	0.2
Stau2	0.0927446248342991	-1.1007058805269	3.14962265627485	-0.349472302129277	0.726734761268747	0.999895667798219	0.285714285714286	0.1	0.185714285714286
