gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	percent_0	percent_3	percent_difference
Xkr4	32749.6600266579	-0.0870267217135407	0.113782238426412	-0.76485331029785	0.444358898878919	0.999857081599818	1	1	0
Mrpl15	379.222664420383	-0.141184218478624	0.114501986919328	-1.23302854629148	0.217565114026051	0.999857081599818	1	1	0
Lypla1	647.364502483948	-0.018724278579558	0.104244145933406	-0.17961947322701	0.857451315899344	0.999857081599818	1	1	0
Tcea1	1511.82811112282	0.0149756353432692	0.0765109868836068	0.195731828241231	0.844820070899151	0.999857081599818	1	1	0
Rgs20	1521.73080269428	0.00131480245495943	0.18948535051493	0.00693880794154499	0.994463676699378	0.999857081599818	1	1	0
Atp6v1h	3139.01194211958	-0.0323414581728371	0.0886997551550332	-0.364617220377997	0.715397158561345	0.999857081599818	1	1	0
Oprk1	241.654636856181	-0.566417756661213	0.315951066622559	-1.79273886528089	0.0730146889063032	0.999857081599818	1	1	0
Rb1cc1	4223.91891939249	0.0491468719967644	0.0672307981348118	0.731017232581631	0.464768627196908	0.999857081599818	1	1	0
Alkal1	26.5923806632803	-0.786282414545408	0.338211658449405	-2.3248235088946	0.0200813994059289	0.999857081599818	1	1	0
St18	294.878418774945	-0.798397610342729	0.32258054734448	-2.47503334257205	0.0133223737607102	0.999857081599818	1	1	0
Pcmtd1	4684.81777797273	0.0276078082952473	0.0802070850084134	0.344206603348711	0.730690916635418	0.999857081599818	1	1	0
Sntg1	25259.6186822017	0.109243796980661	0.105224405409388	1.03819828257176	0.299177752064842	0.999857081599818	1	1	0
Rrs1	52.1583476717746	0.193555008704969	0.327064154697307	0.591795236271309	0.553987713545543	0.999857081599818	1	1	0
Adhfe1	65.1059277926308	-0.0300301897208069	0.226338139387265	-0.132678433259651	0.894447699815842	0.999857081599818	1	1	0
Vxn	1457.63312979516	0.206164152756121	0.108359710282831	1.90259047590667	0.0570940028719093	0.999857081599818	1	1	0
Mybl1	65.8526138234202	0.0811635480035763	0.222844342198244	0.364216327876848	0.715696475247333	0.999857081599818	1	1	0
Vcpip1	883.070752034871	-0.0390980874537183	0.105246623585056	-0.371490182980747	0.710272466523573	0.999857081599818	1	1	0
Sgk3	1276.42112460372	-0.0982298213549809	0.0910957144895144	-1.07831440705466	0.280893469786931	0.999857081599818	1	1	0
Mcmdc2	431.045596124711	-0.0034611688857159	0.118343049566979	-0.0292469130919003	0.97666766598304	0.999857081599818	1	1	0
Ppp1r42	69.4186240862277	0.0966018806461846	0.220402209847239	0.438298149157123	0.661170167444774	0.999857081599818	1	1	0
Cops5	800.887458640538	-0.0108077180939219	0.118707318606893	-0.0910450865267405	0.927456765929225	0.999857081599818	1	1	0
Cspp1	5069.22463355596	0.0844748693886043	0.0724364093228551	1.16619349548502	0.2435362218281	0.999857081599818	1	1	0
Arfgef1	3735.69068071674	-0.054128116300175	0.0603316225867533	-0.897176538263031	0.369624722448316	0.999857081599818	1	1	0
Cpa6	493.814206231695	-0.226742403527834	0.267522071416297	-0.847565220796288	0.396680150257694	0.999857081599818	1	1	0
Prex2	589.347500074797	0.0259356718193209	0.219196397915849	0.118321615071785	0.905812831348999	0.999857081599818	1	1	0
A830018L16Rik	9554.26094942915	-0.0675516849106589	0.116761667362342	-0.578543339065452	0.562897346230984	0.999857081599818	1	1	0
Sulf1	1145.8270222604	-0.415755966520412	0.236703076547154	-1.75644513195665	0.0790124323274712	0.999857081599818	1	1	0
Slco5a1	200.633684881181	-0.409552459448609	0.205641868999687	-1.99158109893095	0.0464170389020656	0.999857081599818	1	1	0
Ncoa2	6739.88920546076	0.0086453879965471	0.10199336472476	0.0847642199066337	0.932448839507023	0.999857081599818	1	1	0
Tram1	453.966005816906	-0.0282367855375573	0.1185446558381	-0.238195347887475	0.811729585145883	0.999857081599818	1	1	0
Lactb2	671.609107781666	-0.0747882840946867	0.0942910155850241	-0.793164477343535	0.427682000833275	0.999857081599818	1	1	0
Eya1	160.213737459377	-0.843881988925951	0.314887585761095	-2.67994683526903	0.00736338540000993	0.991893807497854	1	1	0
Msc	18.6649213737409	-0.0710907625389337	0.567060286617712	-0.125367203834643	0.900232850784898	0.999857081599818	1	1	0
Kcnb2	24138.3309572888	-0.126589108331176	0.0846472841387557	-1.49548930741438	0.134786788417416	0.999857081599818	1	1	0
Terf1	1295.04920253604	-0.0487564328108466	0.094377027250284	-0.516613356357862	0.605426090133694	0.999857081599818	1	1	0
Sbspon	35.9141496185002	0.0334735801091045	0.326824320979126	0.102420713393733	0.918422743215421	0.999857081599818	1	1	0
4930444P10Rik	181.468373572899	-0.320254160905743	0.192830248340112	-1.66080873546811	0.0967518661842399	0.999857081599818	1	1	0
Rpl7	198.367116808516	0.0372298646448213	0.185204921508383	0.201019845161815	0.84068305659894	0.999857081599818	1	1	0
Rdh10	368.655647350587	-0.0314468122579624	0.132012619266246	-0.238210653138695	0.811717714907406	0.999857081599818	1	1	0
Stau2	6161.92186181733	0.0100329613164169	0.0870195172773673	0.115295529443558	0.90821088172094	0.999857081599818	1	1	0
Ube2w	3113.50309545859	-0.00331584747054204	0.0796006343722692	-0.0416560432801927	0.966772895902547	0.999857081599818	1	1	0
Eloc	632.529520183426	0.0868852368708041	0.129887844621453	0.668925080126042	0.503543270638686	0.999857081599818	1	1	0
Tmem70	307.731006764037	-0.062647781001499	0.130897784347521	-0.478600774747838	0.632222667081045	0.999857081599818	1	1	0
Ly96	110.988407471989	0.141069482068975	0.187720190279914	0.751488062411526	0.45235898242441	0.999857081599818	1	1	0
Jph1	2924.62822870829	-0.153605756465399	0.12131993806992	-1.26612128978233	0.205469661547269	0.999857081599818	1	1	0
Gdap1	1542.08524408167	-0.00058143094702338	0.089254748193657	-0.00651428589280027	0.994802388622409	0.999857081599818	1	1	0
Crispld1	543.906948110942	0.211593992923415	0.189113548241848	1.11887273487576	0.263194436190674	0.999857081599818	1	1	0
Tfap2d	153.025510229598	-0.417829646036444	0.273668771077676	-1.52677137545172	0.12681787181058	0.999857081599818	1	1	0
Pkhd1	30.9671626488868	0.376121227548527	0.356799659784288	1.05415242765624	0.291813136228262	0.999857081599818	1	1	0
Paqr8	529.588385586705	-0.0599603632236495	0.116385720264257	-0.51518659752681	0.606422633633243	0.999857081599818	1	1	0
Efhc1	26.8370135739191	0.181716843051881	0.414164791285371	0.438754927689333	0.660839122371518	0.999857081599818	1	1	0
Tram2	29.6200779464102	0.245753543685601	0.350762333222058	0.700626949958225	0.483535855193798	0.999857081599818	1	1	0
Tmem14a	237.879405792477	0.116060897693511	0.165628320192644	0.70073099551163	0.483470908817301	0.999857081599818	1	1	0
Gsta3	138.885294126901	-0.0533445279495502	0.228920810732878	-0.23302611841523	0.815741124418469	0.999857081599818	1	1	0
Kcnq5	51788.5094989707	-0.0451254809774725	0.0928670116817245	-0.485915075335118	0.627027379397946	0.999857081599818	1	1	0
Rims1	48865.9711667071	0.0304499641809412	0.08418726438704	0.361693237126121	0.717581281380271	0.999857081599818	1	1	0
Ogfrl1	1092.62721106746	0.0801156803279197	0.0989912350804628	0.809320949100185	0.418330559281098	0.999857081599818	1	1	0
B3gat2	405.339081843635	0.0709628525939353	0.161210255889102	0.440188201442662	0.659800804350984	0.999857081599818	1	1	0
Smap1	2681.02960695793	-0.0385893155613242	0.0745141955430999	-0.517878711298758	0.604542896191802	0.999857081599818	1	1	0
Sdhaf4	88.5171083347335	0.498205887659094	0.272718017633512	1.82681691507673	0.0677273017400389	0.999857081599818	1	1	0
Fam135a	3464.58266891131	-0.143088948869725	0.115208655553323	-1.24199825249673	0.214237206804097	0.999857081599818	1	1	0
Col9a1	23.6406893990279	-0.423528626436674	0.455859691470784	-0.929076718913669	0.352849328740582	0.999857081599818	1	1	0
Col19a1	2550.11391948606	0.13901278332689	0.113837840842371	1.22114739965402	0.222030215777929	0.999857081599818	1	1	0
Lmbrd1	2776.70164548273	0.0439265736514647	0.0748250941100639	0.587056711039359	0.557165619587126	0.999857081599818	1	1	0
Adgrb3	77715.6484136495	-0.0036846019787803	0.0602125752519577	-0.0611932302075138	0.951205321142447	0.999857081599818	1	1	0
Phf3	2930.15133128043	0.0599669659336944	0.0629902865137251	0.952003384214295	0.341095265570599	0.999857081599818	1	1	0
Ptp4a1	12.8535270946944	0.597787745429547	0.542793283532277	1.10131750625098	0.270758494615758	0.999857081599818	1	1	0
4931428L18Rik	23.8345561530774	0.340557156412074	0.458899202163537	0.742117560471831	0.458016111161544	0.999857081599818	1	1	0
Khdrbs2	12835.5906420311	-0.026110197093747	0.0929295210319274	-0.280967735589388	0.778735146663273	0.999857081599818	1	1	0
Semp2l1	12.6519002622375	-0.373490113171842	0.555789333184952	-0.671999426530112	0.501584061402043	0.999857081599818	1	1	0
