gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	percent_0	percent_3	percent_difference
Xkr4	30056.493594857	-0.0603931615469688	0.0664781525427567	-0.908466304145949	0.363631908673045	0.85462501047476	1	1	0
Rp1	13.3261414186803	-0.691688566322975	0.313225011509631	-2.20828012101999	0.027224752197529	0.451160129240756	1	1	0
Mrpl15	350.064017365917	-0.0324114097673549	0.0722660413846729	-0.448501248253362	0.653791485508658	0.944195466346899	1	1	0
Lypla1	607.169981370322	-0.0932496884976898	0.0573446861620684	-1.6261260587275	0.103922841577488	0.650487024362212	1	1	0
Tcea1	1386.63203782605	0.00352067440663423	0.0392757930875503	0.0896398043137218	0.92857345244574	0.991643860917388	1	1	0
Rgs20	1372.41064460331	0.0456146296957603	0.13179413361014	0.346105159966322	0.729263685717041	0.959187770572261	1	1	0
Atp6v1h	2981.7653453638	-0.0590119858054778	0.0506048970514968	-1.16613192089741	0.243561112426628	0.782001617912345	1	1	0
Oprk1	231.038725349681	-0.194694336019055	0.208636528035109	-0.933174731446321	0.350729759023828	0.846989405913454	1	1	0
Rb1cc1	3943.70077050177	0.00572126288120048	0.0317928275101294	0.179954515822088	0.857188276287989	0.981116855266914	1	1	0
Alkal1	22.7035547095788	-0.0828810697899522	0.240360110528424	-0.344820401387488	0.730229394598319	0.959187770572261	1	1	0
St18	258.896445079008	-0.530800095502073	0.358188216648659	-1.48190272831539	0.138366179006606	0.684153727474052	1	1	0
Pcmtd1	4274.67061912745	0.0131095654482585	0.0488003763718405	0.26863656436517	0.788209371931383	0.969738743346435	1	1	0
Sntg1	23016.7319473955	0.0378367366514227	0.0617430529710639	0.612809617126563	0.540002231125576	0.912403354160675	1	1	0
Rrs1	46.3808669207734	0.178421543496322	0.17222158809505	1.03599987359221	0.300202201489206	0.819621051611051	1	1	0
Adhfe1	62.9836525608207	0.0909318822866001	0.133257674090421	0.682376327722028	0.495001020350385	0.904000345529954	1	1	0
Vxn	1301.39725080178	0.257867415128801	0.0890179104996617	2.89680372951218	0.00376985524369074	0.211343103568464	1	1	0
