gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	percent_WT	percent_PS19	percent_difference
Xkr4	28070.0022009886	-0.0866047143775692	0.0868058273597298	-0.997683185699881	0.318433009140261	0.939766860556115	1	1	0
Rp1	14.9796245280346	-0.313462477452083	0.44186127586936	-0.7094137788729	0.478067739602152	0.959368423385631	1	1	0
Mrpl15	328.453006623597	0.125486457193295	0.111497726516393	1.12546202612343	0.260393300063708	0.916128202385808	1	1	0
Lypla1	576.803705446258	0.0634236511504637	0.0864047081373805	0.734030037456087	0.462930431426504	0.958803540337003	1	1	0
Tcea1	1294.32866782208	0.00816906193999733	0.0667852042069931	0.122318439196177	0.902646829283763	0.99733811238176	1	1	0
Rgs20	1263.55368906043	-0.315810802273736	0.127088040249941	-2.48497656941313	0.0129559961765718	0.60166509718798	1	1	0
Atp6v1h	2860.35964340475	0.0124762583651983	0.0760886316022216	0.163970071513732	0.869754704364364	0.99733811238176	1	1	0
Oprk1	222.746073182809	0.0884435010365756	0.210466640077307	0.420225746959658	0.67432054764006	0.98553320301048	1	1	0
Rb1cc1	3733.4395635421	0.0652078466722634	0.048477967471227	1.34510273581429	0.178592059858632	0.879932506070336	1	1	0
Alkal1	19.928396239663	-0.245218667645438	0.329708768118929	-0.743743240570981	0.457031824342085	0.958803540337003	1	1	0
St18	232.997250445302	0.0845099238630029	0.577440917768221	0.14635250336888	0.883643120317243	0.99733811238176	1	1	0
Pcmtd1	3973.4129817955	-0.0186518967337607	0.0765482841860249	-0.243661852543076	0.807492720231042	0.996100930383225	1	1	0
Sntg1	21370.7928875974	0.0374810548662813	0.0797544079083845	0.469955903996385	0.638386522310035	0.979631193772405	1	1	0
Rrs1	42.1986339802301	-0.137323639229853	0.236597989522922	-0.580409155237345	0.561638732661392	0.968792225968697	1	1	0
Adhfe1	61.251021001475	0.141993692899559	0.219925407315805	0.645644787624111	0.518509424859856	0.962457804447429	1	1	0
Vxn	1188.13136005658	-0.0446319222965634	0.128300176850241	-0.347871089442536	0.727936998101769	0.992940353606051	1	1	0
Mybl1	61.8173995355306	0.0510347237845059	0.186833340082285	0.273156406463799	0.784732988654807	0.99349235614606	1	1	0
Vcpip1	743.34284738982	-0.0420274448458381	0.0893920167538163	-0.470147630314469	0.638249546650454	0.979631193772405	1	1	0
Sgk3	1078.05215863176	-0.0212612138271277	0.0693966810145594	-0.306372199884705	0.759321272589931	0.993064865122905	1	1	0
Mcmdc2	323.425397092415	0.151778241021312	0.124485178627603	1.21924748548063	0.222750273813482	0.90742030926109	1	1	0
Ppp1r42	54.4479451423307	0.103785311359142	0.212609547643384	0.488149815046049	0.625443728386371	0.977950992090237	1	1	0
Cops5	682.98462529638	-0.0794947190739094	0.0714950781826353	-1.11189079157084	0.266185108434113	0.917853782058212	1	1	0
Cspp1	4266.03977729877	0.0366147484537088	0.0682067346607652	0.536820134196673	0.591391862538738	0.971058840784816	1	1	0
Arfgef1	3325.2404455784	0.0748376838644236	0.0602546811257481	1.24202273526669	0.214228173816033	0.905509112578637	1	1	0
Cpa6	399.22689047903	-0.347628723355715	0.149290343924501	-2.32854124531669	0.0198833817851712	0.641727219423332	1	1	0
Prex2	454.977698958169	-0.0426295830623718	0.128290770257904	-0.332288776321736	0.739671214083342	0.992940353606051	1	1	0
A830018L16Rik	8308.07026202944	0.0248855579301641	0.0877751356936751	0.283514889877377	0.776782169243966	0.99349235614606	1	1	0
Sulf1	1029.45733221423	0.05252157978087	0.139741329971294	0.375848575304522	0.707029473032625	0.987164770520213	1	1	0
Slco5a1	165.116407814872	0.00386563536355792	0.137391169091941	0.0281359812941912	0.977553696502148	0.999170275690073	1	1	0
Ncoa2	5968.68437194226	0.0490756826418924	0.0629867305588319	0.779143197408126	0.43589536629285	0.954078315983014	1	1	0
Tram1	386.414856007647	0.0611859795004265	0.105760981913097	0.578530743509006	0.562905847370218	0.968792225968697	1	1	0
Lactb2	585.709772499161	0.0478115320831945	0.0771821729702157	0.619463410309072	0.535611119131558	0.964944877970144	1	1	0
Eya1	124.555956148702	-0.430336339696635	0.189061822389407	-2.2761673100256	0.022835997670331	0.654300728713286	1	1	0
Msc	12.3139709140593	-0.129590343647617	0.461604308703057	-0.280739025187436	0.778910574174767	0.99349235614606	1	1	0
Kcnb2	20746.2948499898	0.0467741061297692	0.0590638565386584	0.791924348846992	0.428404788560899	0.954078315983014	1	1	0
Terf1	1120.88577367406	0.123522786731204	0.0900915795518357	1.37108026461156	0.170349936375591	0.872256569456886	1	1	0
Sbspon	32.2638803710873	-0.314297406988863	0.282488526368194	-1.11260238081036	0.265879237492894	0.917853782058212	1	1	0
4930444P10Rik	170.704203278661	-0.0192163012018054	0.149760952412779	-0.128313161022376	0.897901150211423	0.99733811238176	1	1	0
Rpl7	174.801344165452	-0.153992214757409	0.216365370523373	-0.711723019191621	0.476636310357969	0.959368423385631	1	1	0
Rdh10	317.708003145875	0.0923237413604406	0.0900144571515345	1.0256545924064	0.305054424855981	0.935533210131777	1	1	0
Stau2	5369.21854684521	-0.0356963323339435	0.0584092573774323	-0.611141691175406	0.54110578126607	0.964944877970144	1	1	0
Ube2w	2749.6118799687	0.0109396418744878	0.0521035677209707	0.20995955465224	0.833699240106062	0.99610291603747	1	1	0
Eloc	513.137273930189	-0.0442135335100686	0.0876864806499472	-0.504222922192227	0.614104734307557	0.974819190010418	1	1	0
Tmem70	249.076033775122	-0.0945561353364157	0.103586255370827	-0.912825113697906	0.361334527875961	0.944409392323871	1	1	0
Ly96	90.2709939756917	0.291619155325822	0.171740548625428	1.69802156601848	0.0895036915730183	0.817144465269536	1	1	0
Jph1	2727.33555570017	0.158427934904494	0.0755308285652876	2.09752677037763	0.0359469699349213	0.719987810858417	1	1	0
