gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Xkr4	30056.493594857	-0.117950944447423	0.0672540179968847	-1.75381260422071	0.0794626226157541	0.580460686247513
Rp1	13.3261414186803	-0.281439637048272	0.320368616019689	-0.878486914682603	0.37967953578865	0.797855938675717
Mrpl15	350.064017365917	0.0429462304660062	0.0733565148174361	0.585445349644642	0.558248303269009	0.872169619749908
Lypla1	607.169981370322	0.0218972985728934	0.0582159434942745	0.376139202743437	0.706813411095978	0.925369369435453
Tcea1	1386.63203782605	-0.024330356399751	0.0398263000713231	-0.610911793367169	0.541257976891727	0.866126561184093
Rgs20	1372.41064460331	-0.0411252542054113	0.133352873891279	-0.308394210078595	0.757782387113493	0.942572494268559
Atp6v1h	2981.7653453638	-0.00907996820420359	0.0512319496935058	-0.177232532794952	0.85932574266958	0.971483976007666
Oprk1	231.038725349681	-0.0734175575647827	0.211218703701931	-0.347590228886115	0.728147945466156	0.932592685870955
Rb1cc1	3943.70077050177	0.0304932365856747	0.0322048138181031	0.946853372849921	0.343713500335315	0.78156410529939
Alkal1	22.7035547095788	-0.0784460324353219	0.244328382040742	-0.321068030574692	0.74815883666408	0.939499686913716
St18	258.896445079008	-0.00499328519157654	0.36250203258542	-0.0137745026033748	0.989009884579573	0.998152000682273
Pcmtd1	4274.67061912745	-0.0497908271927091	0.0493915489736492	-1.00808393798852	0.313414167826635	0.761480060660266
Sntg1	23016.7319473955	0.00460142176072589	0.062464487554465	0.0736646043356034	0.941277263885562	0.988388363780167
Rrs1	46.3808669207734	-0.0845310617289993	0.174297536278802	-0.484981391783905	0.627689545342738	0.899014791218635
Adhfe1	62.9836525608207	0.0711839106497965	0.135274816217668	0.526217019842451	0.598737429909221	0.887321187048857
Vxn	1301.39725080178	0.0701180943929488	0.0900711586947408	0.778474435202785	0.436289372082159	0.82487278590596
Mybl1	63.6300089902093	0.0288229416635318	0.115970046067831	0.248537813347708	0.803718316847936	0.954291835490167
Vcpip1	802.408592944697	-0.0631097128282246	0.0600416282512686	-1.05109929004784	0.29321299013082	0.746668351265128
Sgk3	1161.97098806644	0.0166551243437307	0.0486402971081876	0.342414116153233	0.732039266709679	0.934460531989196
Mcmdc2	368.282933648468	-0.00472022424681466	0.0881453817841093	-0.0535504430439216	0.957293340537557	0.990914219519395
Ppp1r42	60.7116854753947	0.104488403497845	0.12489678511832	0.83659802291035	0.402818557292509	0.809681316527038
Cops5	732.990599473158	-0.0146179732774668	0.0607861984496975	-0.24048178123137	0.809956785390774	0.956577181304998
Cspp1	4605.61498955461	0.0291483861811251	0.0464133037070315	0.62801791411175	0.529992204706504	0.863095095316402
Arfgef1	3501.69330225995	0.0455166404264159	0.0339977541878406	1.33881315144913	0.180631508293026	0.685236030142035
Cpa6	438.9127315008	0.00113795695359962	0.188312566719793	0.00604291563447747	0.99517848025747	0.998688355317099
Prex2	511.126926974906	-0.209802249299897	0.134611707312917	-1.55857357051562	0.119097342499412	0.627115383948135
A830018L16Rik	8839.41645857956	-0.0104509587671978	0.0686427033208434	-0.152251561514832	0.878988527740214	0.974294614588963
Sulf1	1079.6694112798	0.0870476699879603	0.152387046396386	0.571227489779765	0.567845446229064	0.876523507387395
Slco5a1	180.068628643376	-0.165524290763733	0.119121949276619	-1.38953645208879	0.164669684409437	0.675518024036142
Ncoa2	6299.40917475063	0.00899889462907086	0.0527431598391282	0.170617283009178	0.864524707317982	0.972448492388893
Tram1	415.047897964396	0.0117829259885895	0.0694344385268437	0.169698585292572	0.865247186708063	0.972448492388893
Lactb2	622.355371810314	-0.00279731806183003	0.0475916871465252	-0.0587774510539552	0.953129368854812	0.99018596422819
Eya1	139.457910256148	-0.516715504745568	0.194912247507279	-2.65101609238933	0.00802500177191339	0.405083749215874
Msc	14.94437560377	-0.0716633151277364	0.331937190328552	-0.215894202926776	0.829070215943255	0.96270112403258
Kcnb2	22187.26859869	0.00077300809808911	0.0444735954751089	0.0173812818556968	0.986132441816153	0.99803915947097
Terf1	1195.04157131504	0.0921895878895074	0.0605309576951302	1.52301551800698	0.127754823104473	0.633963856402152
Sbspon	33.8425707326897	-0.206577709858502	0.185923079585731	-1.1110923416221	0.266528603994309	0.734496897321377
4930444P10Rik	175.552143312295	0.0279993340125761	0.110148640722891	0.254195910442655	0.799344209862013	0.953161663964246
Rpl7	184.871371064866	-0.119786259073667	0.165937474250351	-0.721875872914304	0.470370796176097	0.840585393313927
Rdh10	339.370530132461	0.102211479024166	0.0630428294703307	1.62130221442978	0.104952840357347	0.614509265263229
Stau2	5707.33574544102	-0.0213932631196871	0.0425206301731832	-0.503126671278249	0.614875215956168	0.894018713892399
Ube2w	2905.58836133294	0.00148602705493233	0.0361717637082228	0.0410825158242013	0.967230113186392	0.992782653398845
Eloc	563.279845699671	-0.0536015295134208	0.0675368577819945	-0.793663360626633	0.427391435634684	0.822066543030055
Tmem70	273.707032830263	-0.0427971033082344	0.0689298313175827	-0.620879269398672	0.534679062005488	0.865168062492197
Ly96	98.9779964173694	-0.00578355721065186	0.127627955509776	-0.0453157553731153	0.963855629367213	0.992534055984026
Jph1	2815.15622665722	0.0500600300584745	0.0710980093440371	0.70409889841273	0.481371186103027	0.843227258040084
Gdap1	1438.94062406557	0.0233899991187103	0.0510793105426453	0.457915325602963	0.647013275904831	0.907633349469691
Crispld1	432.257912074404	0.0460310070392348	0.112199689524418	0.410259665016427	0.681615476953165	0.917039250035034
Tfap2d	120.118379548113	-0.256919835940291	0.15901978655649	-1.61564696761193	0.106170663017024	0.614566994652049
Pkhd1	27.2624474120545	0.00642275987387843	0.222668105178802	0.0288445436256844	0.976988574969024	0.996588768449408
Paqr8	499.805843357738	0.0586649498818466	0.0667002263099883	0.879531496777869	0.379113163157378	0.7976898974575
Efhc1	26.9592231296283	-0.187486943643529	0.197404448173018	-0.949760480975603	0.342233970417985	0.780780849009769
Tram2	27.124322348662	0.065010436235661	0.210025630458061	0.309535727110423	0.756914039328158	0.942087398182732
Tmem14a	225.377198640005	-0.188391244321436	0.100568877497153	-1.87325591186767	0.06103305481078	0.55772914967973
Gsta3	135.520246896891	0.0229745472028141	0.132050304070184	0.173983296476192	0.861878589501347	0.972390643956652
Kcnq5	48101.1374512914	0.0247804276529414	0.0767171856627997	0.32301012398787	0.746687574874165	0.939421719142106
Rims1	45225.7876968181	0.0151141728417888	0.0479485835684207	0.315216252847626	0.752597466147315	0.940180121396133
Ogfrl1	1017.54351371069	-0.0778091706351095	0.0630516177699981	-1.2340551025819	0.217182372066935	0.706234756021438
B3gat2	382.669310221013	-0.0689532894503578	0.114544473050451	-0.601978319983954	0.547188568762455	0.86887431130908
Smap1	2502.20521843758	0.0130076018874502	0.0489247802805684	0.26586939814253	0.790339793852919	0.951048839639333
Sdhaf4	83.9202122098634	-0.273097837985718	0.153622300935904	-1.7777226113783	0.0754494241190761	0.578880607255006
Fam135a	3319.36046054664	0.0220715946446657	0.0705020920765493	0.313062974368207	0.754232818323868	0.94090455688729
Col9a1	24.9280936171747	0.0212523826185189	0.23628978129639	0.0899420300866119	0.928333281301647	0.986372454990361
Col19a1	2386.20731564762	0.207587015131038	0.092975174695171	2.23271444029693	0.025567781578232	0.491967457162827
Lmbrd1	2627.95492582338	0.0195953208534074	0.0442408040186026	0.442924157643425	0.657820593246272	0.908844055463514
Adgrb3	71315.5516548374	-0.0318823008057144	0.0439797121919805	-0.724932001977222	0.468493747037605	0.839840170879653
Phf3	2702.81609369461	0.0209933997951011	0.0320313434644895	0.655401788513017	0.512209100281791	0.854614240423
4931428L18Rik	19.480717233474	-0.0842773841937395	0.289893697878531	-0.290718235030597	0.771266824140903	0.945931631528736
Khdrbs2	11851.2857564801	0.0364282180508008	0.0654750190634313	0.556368193119724	0.577959177940579	0.880575242245912
Semp2l1	12.4117044557684	0.0877595944108019	0.312490910458579	0.280838870743521	0.778833988351614	0.94790925057504
Prim2	603.389069940513	0.0424009865740747	0.0572292045664488	0.740897709400153	0.458755464465832	0.835417191657299
Rab23	357.073953840573	0.0823430294802191	0.0563119123943145	1.46226661427561	0.143668163483716	0.65308546364972
Bag2	136.146073066725	-0.0412084297907437	0.106595781310012	-0.386585935055885	0.699062772115177	0.922653132630138
Zfp451	1774.10519363289	0.107553407486291	0.0469073338140068	2.29289108421197	0.0218542762550382	0.480044175974639
Bend6	2369.64020959561	0.0103577555287319	0.0351123931381313	0.294988595279869	0.76800259191407	0.945185282715448
Dst	9546.22903748065	0.0877383406552929	0.0433107203073552	2.02578807354522	0.0427865066234793	0.542097403975345
Ccdc115	60.8492882600768	-0.353474702195781	0.18533764901381	-1.90719319078792	0.0564955749304229	0.546381304884658
Imp4	136.547981963846	0.107284240787824	0.0807352301077775	1.32884046586112	0.183900608603697	0.688391260199374
Ptpn18	13.2909398065024	0.0238889141294572	0.352445673541236	0.0677804153174326	0.945960434215628	0.988806020939471
Amer3	69.6801555003519	-0.113702120145304	0.160044764391306	-0.710439485963468	0.477431644418418	0.841927299855961
Arhgef4	937.490375821745	0.0527328257683114	0.0645070317692006	0.817474069446939	0.41365756203364	0.815964579078243
Fam168b	1028.11260227724	-0.0122853872722715	0.0692106139422773	-0.177507271970131	0.859109953730329	0.971433471408045
Plekhb2	603.346139178969	0.0108120537198209	0.0715087825273756	0.151198962388735	0.879818768779478	0.974792076978306
Hs6st1	320.935812121444	-0.0441471397591814	0.0765653167972445	-0.576594489592319	0.56421342251943	0.875659448760419
Uggt1	1303.31710123577	0.0406073512559556	0.0476672619468691	0.851891835138704	0.394274128948912	0.805375732713012
Arid5a	42.1744717514167	0.100001580929311	0.229015468730461	0.436658630457	0.662358935602317	0.91186073238061
Kansl3	1033.66964773512	0.044133789643797	0.0445387492597333	0.990907701211483	0.321730651532538	0.76631535166637
Lman2l	672.791991919325	-0.0521372576052632	0.0703304657967776	-0.741318246859272	0.458500500637815	0.83533877657351
Cnnm4	140.725602354679	0.124942732695014	0.11326853657044	1.1030665397298	0.269998270207669	0.736932220388949
Cnnm3	444.897858008861	0.133668182627495	0.0551848119892823	2.42219150177508	0.0154272183407715	0.455107650184435
Ankrd23	54.5693266461294	-0.0401723715740974	0.123161389029939	-0.326176668601326	0.744290692689219	0.938371761914674
Ankrd39	102.630994312963	-0.132576713386751	0.0942843187121666	-1.40613747012888	0.159683307690263	0.670255401206874
Sema4c	66.7710121032864	0.141517680847745	0.151599461472387	0.933497253046121	0.350563288090479	0.783012783352441
Cox5b	263.132473795832	-0.213128932065343	0.176613513572324	-1.20675325321618	0.227527183767103	0.711162535882674
Actr1b	1349.93289617286	0.066572764276672	0.055273586852697	1.20442272823884	0.228426231727471	0.711409227820098
4933424G06Rik	232.190454287218	-0.330029442988586	0.146263598894969	-2.25640176696034	0.0240454810870363	0.486087210936998
Zap70	38.9329682797061	-0.0350395891903475	0.188447264609515	-0.185938433560994	0.852493042095089	0.970272738906971
Tmem131	2393.08609154584	0.0108194721474437	0.0549431678548801	0.1969211563487	0.843889237459979	0.966934343523578
Vwa3b	53.106672684618	-0.296898942482949	0.157862533584283	-1.88074355416597	0.0600068118623006	0.556366754283355
Inpp4a	2402.84727323481	0.0581425262755581	0.0546836699832019	1.06325208775159	0.287667646670111	0.743913525120115
Coa5	85.1029282336862	-0.278244653907097	0.128980805917119	-2.15725628265878	0.0309857012810278	0.51046664500105
Unc50	189.208206880002	-0.218116281705691	0.116294994311974	-1.87554316500133	0.0607180369771265	0.556946248504466
Mgat4a	1310.2695105795	0.0388894394263827	0.0373512310741104	1.04118226650201	0.297790964398843	0.749628123601453
Cracdl	3577.14512679043	-0.0264501347169882	0.0549596279696033	-0.481264806443324	0.630328306554971	0.900596508740241
