gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	percent_WT	percent_PS19	percent_difference
Xkr4	178.768963383882	-0.0656660967384621	0.186323524831696	-0.352430519966696	0.724515416759369	0.999240412358061	1	1	0
Sox17	0.265934870880488	-0.824008567236459	3.20055609708735	-0.257457936133768	0.796825283142836	0.999240412358061	0.2	0.2	0
Mrpl15	2.59441635716625	0.782983361217866	1.08987370785343	0.718416597790946	0.472500455813669	0.999240412358061	0.6	1	0.4
Lypla1	17.3514921697945	-0.0983811775412338	0.580417756196443	-0.169500633795112	0.865402873877591	0.999240412358061	1	1	0
Tcea1	27.371508916376	0.477783473119028	0.296385320708457	1.61203487398421	0.106954351106616	0.999240412358061	1	1	0
Rgs20	0.538279263284557	-0.168919526756451	2.64712822432475	-0.0638123704036061	0.949119628177955	0.999240412358061	0.2	0.4	0.2
Atp6v1h	27.1485586068213	-0.158757896841755	0.377812696079231	-0.42020265197351	0.674337417594649	0.999240412358061	1	1	0
Rb1cc1	49.8595385978618	0.0417031121249969	0.255394084812322	0.163289263945336	0.87029068658421	0.999240412358061	1	1	0
St18	2350.9310940366	-0.0301179494699995	0.0939787305275104	-0.320476232238347	0.748607344962037	0.999240412358061	1	1	0
Pcmtd1	69.2179562769685	0.644065334575877	0.241614118750947	2.66567756017509	0.00768333457597151	0.999240412358061	1	1	0
Sntg1	1.27515161774409	1.45423547056273	2.35998981054405	0.616204131079484	0.537759802279798	0.999240412358061	0.2	0.2	0
Rrs1	10.3699433974953	-0.387223793790032	0.465972422571077	-0.831001525054772	0.405972767824927	0.999240412358061	1	1	0
Adhfe1	0.720760608291519	0.0698337592172839	2.0098331619154	0.0347460478514203	0.972282242201284	0.999240412358061	0.4	0.4	0
Vxn	0.271397920002099	0.885016951416417	3.13315056303846	0.282468695203128	0.777584147237846	0.999240412358061	0	0.6	0.6
Mybl1	1.60496050522084	0.636353607506239	1.65968993608707	0.383417163453146	0.701410479333904	0.999240412358061	0.4	0.6	0.2
Vcpip1	16.1609701103767	0.13072881390397	0.49076645116182	0.266376834835567	0.789949004044458	0.999240412358061	0.8	1	0.2
Sgk3	65.6532435568812	-0.100188247360743	0.205674796998003	-0.487119709478627	0.626173499798901	0.999240412358061	1	1	0
Cops5	15.3268330041289	-0.178087855720823	0.597140985103154	-0.298234186169717	0.765524431504765	0.999240412358061	1	1	0
Cspp1	25.3757550913861	0.223673904350463	0.337824701988301	0.662100500744937	0.507906814935164	0.999240412358061	1	1	0
Arfgef1	44.5995289825398	0.0296188637558354	0.303826805900925	0.0974860123615748	0.922340441838334	0.999240412358061	1	1	0
Prex2	0.733877502745099	-1.47549630915523	2.10019071104056	-0.702553487832623	0.482334057281479	0.999240412358061	0.4	0.4	0
A830018L16Rik	0.123740429005298	-1.73756310189143	3.20570376789235	-0.542022353810258	0.587803106655249	0.999240412358061	0.2	0	0.2
Sulf1	0.471615080422303	1.97125656761494	3.13562430223619	0.628664781749883	0.529568539342505	0.999240412358061	0	0.4	0.4
Ncoa2	178.449324931531	-0.00419514524317141	0.148260880654941	-0.0282956989371668	0.977426310978909	0.999240412358061	1	1	0
Tram1	6.58225675188333	-0.0156676549205775	0.625024051358283	-0.0250672832293878	0.980001296178478	0.999240412358061	0.8	1	0.2
Lactb2	14.8653613909753	-0.200680293733332	0.433050644654966	-0.463410680044651	0.643070024773214	0.999240412358061	1	1	0
Eya1	2.65540929828649	2.39942612298475	1.5385018767929	1.55958608772484	0.118857726282485	0.999240412358061	0.2	0.8	0.6
Kcnb2	0.658179617202707	0.453787931871709	2.19405142001933	0.20682647987699	0.836145375306797	0.999240412358061	0.2	0.6	0.4
Terf1	13.7891487057844	0.0993162181553156	0.558139171240857	0.177941673462042	0.858768782378648	0.999240412358061	1	1	0
4930444P10Rik	0.532235109652652	-0.707370514346834	2.94716885013025	-0.240016962148461	0.810317107010031	0.999240412358061	0.2	0.2	0
Rpl7	1.69490160969491	0.0092391913362562	1.33108110424714	0.00694111824349118	0.994461833389515	0.999240412358061	0.6	0.8	0.2
Rdh10	2.11876585668505	2.14979363073568	1.25335465249617	1.71523169954664	0.0863027551879178	0.999240412358061	0.4	0.8	0.4
Stau2	4.19346035262109	0.388177664120282	0.873449203854316	0.444419277511903	0.656739478523801	0.999240412358061	1	1	0
Ube2w	27.1067701382489	0.487419917105791	0.323785858939888	1.50537740808589	0.132227074000554	0.999240412358061	1	1	0
Eloc	6.88297818786911	0.446464594958721	0.698166080430972	0.63948193341493	0.52250946300744	0.999240412358061	0.8	1	0.2
Tmem70	2.81032384958668	0.15579081204954	0.946391589899508	0.164615592226556	0.869246557829234	0.999240412358061	1	0.8	0.2
Ly96	5.24582610265382	-0.546740661365605	0.706717212160718	-0.773634279677438	0.439147094441801	0.999240412358061	1	1	0
Jph1	138.350544979891	-0.171659437168925	0.152013363252803	-1.12923912408576	0.258796973441264	0.999240412358061	1	1	0
Gdap1	0.188170643698037	0.320690051815473	3.20557193264944	0.100041446129839	0.920311421220494	0.999240412358061	0	0.2	0.2
Tfap2b	0.391871611690116	0.754583478076749	3.19720789875887	0.23601326594047	0.813422376197551	0.999240412358061	0	0.4	0.4
Mcm3	1.71968197417664	-0.0308541740153099	1.19982661379064	-0.0257155272775885	0.97948423897616	0.999240412358061	0.8	0.8	0
Paqr8	49.6696517522205	0.0685442771368902	0.286735538484222	0.239050511489569	0.811066415412564	0.999240412358061	1	1	0
Efhc1	2.17440916589662	-1.59826066094197	1.11640529471048	-1.43161329359017	0.152254523027715	0.999240412358061	0.8	0.8	0
Tram2	1.20527376616876	-0.362892921379869	1.44569196543291	-0.251016765712743	0.801801146929974	0.999240412358061	0.8	0.6	0.2
Tmem14a	5.53750858711109	-0.705032149912093	0.619760394638978	-1.13758826154548	0.255292450476737	0.999240412358061	1	1	0
Gsta3	7.15162960044034	0.477854466052397	0.696611532290102	0.6859697893336	0.492732159337146	0.999240412358061	0.8	1	0.2
Kcnq5	1.14517033282722	-0.77790091064933	1.86774592283487	-0.416491826398223	0.677050147157199	0.999240412358061	0.4	0.6	0.2
Rims1	1.95582445116768	0.00572910054069738	1.22972362317815	0.00465885214589183	0.996282787248692	0.999339468185365	0.8	0.8	0
Ogfrl1	1.16303682668566	-1.94571311954263	1.68999722869079	-1.15131142614355	0.249604138114563	0.999240412358061	0.6	0.4	0.2
B3gat2	0.378985312342377	-0.509675882692261	2.46573475780762	-0.206703450595567	0.836241462415149	0.999240412358061	0.4	0.4	0
Smap1	19.7495672389709	0.547118993290404	0.399619638762841	1.36909936404577	0.170968217094844	0.999240412358061	1	1	0
Sdhaf4	0.593373846284258	0.241148774940743	1.96490096443176	0.122728208345341	0.902322325690816	0.999240412358061	0.4	0.6	0.2
Fam135a	52.3400891362963	-0.303907247141269	0.311495813421372	-0.975638304101899	0.329243735747668	0.999240412358061	1	1	0
Col9a1	7.0597680141336	-0.472760125331856	0.588517777105287	-0.803306448374758	0.421797631756037	0.999240412358061	0.8	1	0.2
Lmbrd1	42.7542843115192	0.407916824357284	0.286787027921311	1.42236846385259	0.154919313151508	0.999240412358061	1	1	0
Adgrb3	227.448572455206	-0.0773059665625455	0.231488328463775	-0.333951897599204	0.738415856963285	0.999240412358061	1	1	0
Gm597	1.89568436515622	0.528924917208051	1.09561965323789	0.48276326154329	0.629263839288155	0.999240412358061	0.8	0.8	0
Phf3	84.095827070142	-0.177937615062676	0.166242444097529	-1.07035009036733	0.284461755595547	0.999240412358061	1	1	0
Ptp4a1	1.80855008521961	0.109434352469334	1.27597796804023	0.0857650799703184	0.931653166307103	0.999240412358061	0.6	0.8	0.2
Khdrbs2	0.285987186638817	1.39232262572911	3.17747184372827	0.438185669049213	0.661251696303218	0.999240412358061	0	0.4	0.4
Prim2	19.4263164670662	-0.363007977233717	0.43226438680192	-0.839782291387472	0.401030464206265	0.999240412358061	1	1	0
Rab23	4.50571835698137	-0.936893984433327	0.831210292831014	-1.12714434904597	0.259681455161864	0.999240412358061	0.6	1	0.4
Zfp451	16.7472724343518	0.24243057420037	0.497510804097145	0.487287054278789	0.626054920558277	0.999240412358061	1	1	0
Dst	441.507802020228	-0.0426025233598022	0.118173670005386	-0.360507745573618	0.718467465371247	0.999240412358061	1	1	0
Ccdc115	0.64441852272623	0.476071246055724	1.94253687388946	0.245077070327374	0.806396756843476	0.999240412358061	0.4	0.6	0.2
Imp4	1.17717754486223	-1.9827064904849	1.43571716531996	-1.38098682552356	0.16728301147575	0.999240412358061	0.8	0.6	0.2
Ptpn18	0.554298219345141	0.97341658268033	2.19477436463722	0.443515560580747	0.657392866611371	0.999240412358061	0.2	0.6	0.4
Fam168b	10.3150565862006	0.23395121965625	0.645737276994671	0.362300935676323	0.717127159036174	0.999240412358061	1	1	0
Plekhb2	0.798992892038134	1.0409705269819	1.61852298505379	0.643160793263191	0.520119770618342	0.999240412358061	0.4	0.8	0.4
Hs6st1	4.17899692616311	0.56961822580721	1.01767624586238	0.559724399702889	0.575667436844185	0.999240412358061	0.8	0.8	0
Uggt1	30.8962857048236	-0.162213764091603	0.321902756631909	-0.503921637046098	0.614316445142746	0.999240412358061	1	1	0
Arid5a	2.22201110232625	-0.757727515930192	1.21886824862455	-0.621664824549544	0.534162285846307	0.999240412358061	0.6	0.6	0
Kansl3	12.4423306081821	0.571678908989061	0.452854161020998	1.26239076107894	0.206808212047905	0.999240412358061	1	1	0
Lman2l	3.25254363717333	0.450863403352062	1.0628586500067	0.424198837116506	0.67142080883399	0.999240412358061	0.6	1	0.4
Cnnm4	1.35254980756675	-0.857809816786439	1.39034481960104	-0.616976310259915	0.537250351367107	0.999240412358061	0.6	0.8	0.2
Cnnm3	8.91539497439626	0.315819534646799	0.516884944333848	0.611005482184863	0.54119595097812	0.999240412358061	1	1	0
Ankrd23	4.69069556792451	0.444926836934225	0.701278918136567	0.634450609347392	0.525786790130493	0.999240412358061	0.8	1	0.2
Ankrd39	6.32877900814524	-0.0405331371496295	0.661305306289283	-0.0612926234889436	0.951126165361698	0.999240412358061	1	1	0
Sema4c	5.96388480410049	-0.729168960308795	0.617358238837633	-1.1811115725639	0.237558403242173	0.999240412358061	1	1	0
Fam178b	2.65934857338774	0.140470812426561	0.928733008080481	0.151249940730424	0.879778556391788	0.999240412358061	0.8	1	0.2
Cox5b	0.375041629443241	-0.845635352724362	2.91088461761917	-0.290508028935895	0.77142760930706	0.999240412358061	0.4	0.2	0.2
Actr1b	0.929200685396487	-0.453703089630668	1.46192760637287	-0.310345798008653	0.756298007422551	0.999240412358061	0.6	0.8	0.2
Tmem131	18.0692133717562	0.293152817892776	0.42899498646449	0.683347887836077	0.494387040910715	0.999240412358061	1	1	0
Vwa3b	7.39649136126768	-0.106130306671841	0.591648543601215	-0.179380660731205	0.857638815593769	0.999240412358061	1	1	0
Inpp4a	3.51462323153545	1.75667201272992	2.83932185001735	0.618694218381473	0.536117819511381	0.999240412358061	0.2	0.6	0.4
Coa5	1.24505150885739	-1.94651238244303	1.6087721108983	-1.20993667733098	0.226303192012983	0.999240412358061	0.6	0.4	0.2
Unc50	2.44288528797429	-3.07824776575028	1.44025220093614	-2.13729773420897	0.032573783038202	0.999240412358061	0.8	0.2	0.6
Mgat4a	0.544152416576965	-0.490459110640337	2.02619930259115	-0.242058671135226	0.808734701656599	0.999240412358061	0.4	0.6	0.2
Cracdl	0.157373913398606	0.647503260008804	3.21018238547147	0.20170295087882	0.84014895554892	0.999240412358061	0	0.4	0.4
Tsga10	22.7452203810751	0.205992623472606	0.408667439797651	0.504059299597253	0.614219706700985	0.999240412358061	1	1	0
Mitd1	5.43697504204036	-0.0390521803940139	0.957097994962582	-0.0408026979468707	0.9674531885012	0.999240412358061	0.8	0.8	0
Mrpl30	0.307302614966453	0.848667133485162	3.00484139937856	0.282433253768627	0.777611319616661	0.999240412358061	0.2	0.4	0.2
Txndc9	6.66327829111399	0.141972473181744	0.622662808490129	0.22800859670101	0.819639557340119	0.999240412358061	1	1	0
Eif5b	21.6211953781955	-0.272583330035523	0.430951213246578	-0.632515518362305	0.527050071382108	0.999240412358061	1	1	0
Rev1	14.5434439045241	0.286546480979902	0.431699289730968	0.66376407790357	0.506841320263973	0.999240412358061	1	1	0
Aff3	25.3288522409065	-0.48921177251833	0.545238274591297	-0.897244003798222	0.36958872916344	0.999240412358061	1	1	0
Pdcl3	0.825360251465927	-1.27283499442452	2.01704734417084	-0.631038730004499	0.528015200994577	0.999240412358061	0.4	0.4	0
Rpl31	0.509120722137112	-1.02776427135735	2.2911694654222	-0.448576278127013	0.653737349395688	0.999240412358061	0.4	0.4	0
Tbc1d8	0.188170643698037	0.320690051815473	3.20557193264944	0.100041446129839	0.920311421220494	0.999240412358061	0	0.2	0.2
Cnot11	1.25273110489009	0.0291528985089198	1.34380959440828	0.0216942181617305	0.982691875927375	0.999240412358061	0.6	0.8	0.2
Rnf149	6.38666257629142	-0.53143623688769	0.652415550363503	-0.814567090854277	0.415320154305009	0.999240412358061	1	0.8	0.2
Creg2	0.62632043150167	-0.107574560603515	2.47249958810446	-0.0435084240745968	0.965296249446053	0.999240412358061	0.2	0.4	0.2
Map4k4	259.969053035952	0.00883127346452398	0.122669729149767	0.0719922798047584	0.942608051733443	0.999240412358061	1	1	0
Il1r2	0.870572825012881	-0.0358529391609096	1.57390078932805	-0.0227796690896993	0.981826025532972	0.999240412358061	0.4	0.8	0.4
Il1r1	0.166100043537235	-1.91998303623129	3.20321062655919	-0.599393315042066	0.548910633781959	0.999240412358061	0.4	0	0.4
