gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	percent_0	percent_3	percent_difference
Xkr4	344.824248636177	-0.00860901657263662	0.100986969394766	-0.0852487862962128	0.932063605856841	0.999976714406208	1	1	0
Mrpl15	5.08114798796207	0.611796013741365	0.829987054910907	0.737115127424531	0.461052340542866	0.999976714406208	1	1	0
Lypla1	17.2157412262856	-0.221569891479942	0.465195418371138	-0.476294225458538	0.633864778742534	0.999976714406208	1	1	0
Tcea1	30.5583996000741	-0.381386398720962	0.329072771798648	-1.1589728212285	0.246467263698527	0.999976714406208	1	1	0
Rgs20	99.8780729843672	0.0114470239973993	0.22061686001279	0.0518864423903761	0.958619177129523	0.999976714406208	1	1	0
Atp6v1h	30.6826498385136	0.247750827871612	0.361382031219123	0.685564877245899	0.492987536162837	0.999976714406208	1	1	0
Rb1cc1	55.0447630167282	-0.176030180276956	0.271057163321724	-0.649420875359863	0.516066374510911	0.999976714406208	1	1	0
St18	6.21253598632892	0.447618482912408	0.846531969270286	0.528767369882388	0.596966835943328	0.999976714406208	1	1	0
Pcmtd1	63.5788429548433	-0.0620618220791879	0.251844427993507	-0.246429204623054	0.805350001137225	0.999976714406208	1	1	0
Sntg1	803.855238822485	-0.156589999039655	0.073322309870935	-2.13563919788249	0.0327088338463183	0.999976714406208	1	1	0
Rrs1	1.4677308246016	1.20483916927073	1.57174836240528	0.766559837496469	0.443343262138784	NA	0.666666666666667	1	0.333333333333333
Adhfe1	3.31252910121802	-0.578014935382169	1.0375117438613	-0.557116523067946	0.577447819091428	NA	0.666666666666667	1	0.333333333333333
Vxn	85.0970071730418	0.175621176308158	0.210182855196595	0.83556375777601	0.403400364680643	0.999976714406208	1	1	0
Mybl1	10.4245019849018	0.0358271664063513	0.562269897115861	0.0637188058441776	0.949194130276626	0.999976714406208	1	1	0
Vcpip1	17.5999277223286	-0.0908364798088068	0.446028759806856	-0.203656104705315	0.838622246588448	0.999976714406208	1	1	0
Sgk3	35.2022569726231	-0.080894301451695	0.315903050633546	-0.256073188560417	0.797894324331344	0.999976714406208	1	1	0
Mcmdc2	0.508251819916289	-0.0365251676002661	2.78236956745167	-0.0131273602283247	0.98952618277186	NA	0.333333333333333	0.4	0.0666666666666667
Cops5	9.99603773689411	0.799964386786437	0.658563263377207	1.21471152624594	0.224476134854604	0.999976714406208	1	1	0
Cspp1	38.8030498470366	0.349224703150443	0.336546440503539	1.03767165871056	0.299422943850873	0.999976714406208	1	1	0
Arfgef1	53.5172015987227	0.360571294779426	0.260739884273607	1.38287740590182	0.166702459266226	0.999976714406208	1	1	0
Prex2	9.05326424516322	0.142069747489447	0.617229929470835	0.230173134363796	0.817957237096413	0.999976714406208	1	1	0
Sulf1	50.5678706510786	0.115467002958327	0.260893431302782	0.442583020897607	0.658067368170704	0.999976714406208	1	1	0
Slco5a1	2.88327043584684	-0.255827831496786	1.25194059444425	-0.20434502454196	0.838083887692783	NA	1	0.6	0.4
Ncoa2	97.5722297500149	0.0381268480631256	0.192398400724849	0.198166138177267	0.842915079904074	0.999976714406208	1	1	0
Tram1	11.3027481529745	-0.0605227607484391	0.539568952604889	-0.112168723675171	0.91068962752759	0.999976714406208	1	1	0
Lactb2	3.95416558181878	-0.0360858962457131	0.928006855498098	-0.0388853767964293	0.968981775377602	0.999976714406208	1	1	0
Eya1	132.122802055176	0.0885334743423203	0.194648239711899	0.454838299454235	0.649225574430568	0.999976714406208	1	1	0
Kcnb2	81.9447120640725	0.459978384616589	0.591026790501243	0.778269939720477	0.436409892948114	0.999976714406208	1	1	0
Terf1	24.4834089060935	-0.03486592623124	0.399469943367842	-0.0872804745641013	0.930448573825882	0.999976714406208	1	1	0
4930444P10Rik	0.624779401086648	0.972965135160067	2.23987114469222	0.434384423169022	0.66400930727614	NA	0.333333333333333	0.8	0.466666666666667
Rpl7	0.989305548931369	-0.640111912590132	2.10571371896984	-0.303988100007863	0.761136957238798	NA	0.666666666666667	0.4	0.266666666666667
Rdh10	6.48250723468358	-0.172234365735228	0.698391917074966	-0.246615634465798	0.805205703659777	0.999976714406208	1	1	0
Stau2	74.1929850843778	0.264885279739922	0.234905210578887	1.12762624161105	0.259477799417023	0.999976714406208	1	1	0
Ube2w	28.8246046896573	0.153936312044341	0.344456555109197	0.446896160810588	0.654950036099363	0.999976714406208	1	1	0
Eloc	5.57846924806081	0.5269489635486	0.870272446342473	0.605498847818553	0.544847590011161	0.999976714406208	1	1	0
Tmem70	3.46610461850952	1.76901000973064	1.27582670628383	1.38655978983488	0.165576036724497	NA	0.333333333333333	1	0.666666666666667
Ly96	2.2936566444349	0.0305004275461054	1.21562833513956	0.0250902571653232	0.97998297139324	NA	1	0.8	0.2
Jph1	0.317633064379857	-1.15775010961992	3.58922438127156	-0.322562756360683	0.747026403274559	NA	0.333333333333333	0.2	0.133333333333333
Gdap1	0.506892989476158	0.192131943964564	2.55748637290168	0.0751253050652913	0.940115014181778	NA	0.333333333333333	0.6	0.266666666666667
Crispld1	0.340217741862155	-2.33914854952376	3.6227977474657	-0.645674617403108	0.518490102217036	NA	0.333333333333333	0	0.333333333333333
Pkhd1	0.27482708627147	-0.450051559266993	3.43471506310727	-0.131030245885912	0.895751380911935	NA	0.333333333333333	0.4	0.0666666666666667
Mcm3	1.17330816778147	-0.6378849259612	1.62872537015284	-0.391646705854003	0.695319272912458	NA	0.666666666666667	0.8	0.133333333333333
Paqr8	12.5225558719002	0.0875054283152775	0.506739050805899	0.17268341205619	0.86290028316624	0.999976714406208	1	1	0
Efhc1	0.577589169849254	-0.289214639989386	2.39602713714381	-0.120705911676003	0.903923976396874	NA	0.333333333333333	0.6	0.266666666666667
Tram2	2.02192626679977	-0.257733021857625	1.41338219709681	-0.182351965651632	0.85530651956283	NA	0.666666666666667	0.8	0.133333333333333
Tmem14a	2.14341363182965	-0.455410562677033	1.32224205154754	-0.344422991345665	0.730528200792536	NA	0.666666666666667	0.8	0.133333333333333
Gsta3	3.98249274217076	-0.226630037173518	0.925318460686646	-0.244921123701935	0.806517505379897	0.999976714406208	1	1	0
Kcnq5	136.385463823291	-0.270916648502861	0.242567879670747	-1.11686942587202	0.264050158918142	0.999976714406208	1	1	0
Rims1	305.64902219227	0.0597862144540012	0.130582781387118	0.457841484297708	0.647066329392033	0.999976714406208	1	1	0
Ogfrl1	4.61158905892109	0.726217941879259	0.985694314096693	0.736757767081956	0.46126967025626	0.999976714406208	0.666666666666667	0.8	0.133333333333333
B3gat2	47.7698191088108	0.207835403468632	0.277897758014535	0.747884419628032	0.454529876064613	0.999976714406208	1	1	0
Smap1	20.8852854532532	0.268424806517796	0.458504539040871	0.585435439918008	0.558254964838943	0.999976714406208	1	1	0
Sdhaf4	1.64365930622275	-1.50783092016123	1.4698538087337	-1.02583733919787	0.304968262550054	NA	1	0.6	0.4
Fam135a	62.6089754507658	0.00856803538129364	0.240718906502437	0.0355935290076889	0.971606468157795	0.999976714406208	1	1	0
Col9a1	4.01383447398052	-0.666150337480375	0.93635901036101	-0.711426205236753	0.476820164908563	0.999976714406208	1	1	0
Col19a1	0.592043344845656	-2.95020514736437	2.76586688433418	-1.06664755418067	0.286131018079277	NA	0.666666666666667	0	0.666666666666667
Lmbrd1	27.4229310178116	0.293434967585999	0.375535044822093	0.7813783870025	0.434579978964992	0.999976714406208	1	1	0
Adgrb3	811.378937663355	-0.161845666002337	0.0894688130398346	-1.80896181030453	0.0704569365824816	0.999976714406208	1	1	0
