gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	percent_WT	percent_PS19	percent_difference
Xkr4	325.872020029573	-0.174447034366784	0.114487633044044	-1.52371945972255	0.127578806209622	0.999981590499645	1	1	0
Mrpl15	3.19330123134508	1.22289250745343	1.0755167993632	1.13702780670417	0.255526661505114	0.999981590499645	1	0.75	0.25
Lypla1	16.7393678286802	-0.00701452919272338	0.446103491526561	-0.0157239952745488	0.987454583901631	0.999981590499645	1	1	0
Tcea1	28.0220740129191	0.0917304518855086	0.328515384345808	0.2792272637952	0.780070421911344	0.999981590499645	1	1	0
Rgs20	91.8781639782088	-0.0349598889532841	0.21948712561657	-0.159279906988061	0.8734483505564	0.999981590499645	1	1	0
Atp6v1h	32.3922368972873	-0.560593467553165	0.34722665190002	-1.61448858976004	0.10642148982033	0.999981590499645	1	1	0
Rb1cc1	50.189708801407	0.180958301415968	0.264671356783934	0.683709425964424	0.494158670152514	0.999981590499645	1	1	0
St18	4.32467394931392	0.48385820659709	0.854331828809578	0.566358632887757	0.571150009725787	0.999981590499645	1	1	0
Pcmtd1	66.020471443292	-0.0298599518033412	0.255755032881986	-0.116752157198484	0.907056457394279	0.999981590499645	1	1	0
Sntg1	779.054048471552	-0.11231632792395	0.0729413226851722	-1.53981753811522	0.123604835682887	0.999981590499645	1	1	0
Rrs1	1.50934380597857	-0.40801034898663	1.48061143869642	-0.275568821314697	0.782879259703383	0.999981590499645	1	0.5	0.5
Adhfe1	3.09008617175151	0.601843931365424	1.03249434580051	0.582902883500833	0.559958679395677	0.999981590499645	0.75	1	0.25
Vxn	75.7616110906443	-0.0173512601690337	0.212772855565866	-0.0815482789046953	0.935005931683856	0.999981590499645	1	1	0
Mybl1	10.0425522210124	0.176668123909634	0.560364884374107	0.315273367115004	0.752554104603804	0.999981590499645	1	1	0
Vcpip1	18.1165687631686	0.264072709807299	0.405957354028603	0.650493721044139	0.515373356291054	0.999981590499645	1	1	0
Sgk3	32.8890061587317	-0.504299505587305	0.322065063711252	-1.56583113913726	0.117388154194795	0.999981590499645	1	1	0
Mcmdc2	2.2718193432555	0.00549655247099034	1.24226816759304	0.00442461025274455	0.996469683310707	0.999981590499645	0.75	0.75	0
Ppp1r42	0.229909638678018	-1.83497873682323	3.61547618543849	-0.50753445540969	0.611779866981605	0.999981590499645	0.25	0	0.25
Cops5	10.3484726684596	-0.53432711989155	0.573209881499001	-0.932166623670602	0.351250421351796	0.999981590499645	1	1	0
Cspp1	36.8678038132216	-0.813384828408197	0.303570985382451	-2.67938922879426	0.00737566024220393	0.999981590499645	1	1	0
Arfgef1	48.0180790207427	0.110783076639452	0.278783103394226	0.397380886038828	0.691086608354597	0.999981590499645	1	1	0
Prex2	10.3574056956484	0.103874643767755	0.594965842633394	0.174589255927689	0.86140239144541	0.999981590499645	1	1	0
Sulf1	44.4095622645446	-0.165374870718403	0.346868189003998	-0.476765745493303	0.633528940434051	0.999981590499645	1	1	0
Slco5a1	2.48683253068665	-0.0768150648133476	1.13557573164156	-0.0676441585294408	0.946068902456808	0.999981590499645	1	1	0
Ncoa2	95.2934273653846	0.199858255542439	0.177933935686245	1.12321606764689	0.261345740150564	0.999981590499645	1	1	0
Tram1	11.1028847901489	0.193897066524265	0.537512885769591	0.360730080445701	0.718301235711695	0.999981590499645	1	1	0
Lactb2	4.93705309833951	-0.205993457075343	0.91280404366766	-0.225671061061099	0.821457267411777	0.999981590499645	1	1	0
Eya1	119.823443683317	-0.162073554975613	0.171714158459166	-0.943856676874752	0.345242893276492	0.999981590499645	1	1	0
Kcnb2	68.0898514213401	-0.0520306420705543	0.284783341029618	-0.182702548128133	0.855031416298887	0.999981590499645	1	1	0
Terf1	25.3288315919422	0.22617006473617	0.371936463459749	0.608087904671508	0.543129173849898	0.999981590499645	1	1	0
Sbspon	0.484947416012172	-0.427386947180705	2.77108048577656	-0.154231156176951	0.877427477011588	0.999981590499645	0.25	0.5	0.25
4930444P10Rik	0.269304157238313	-0.956456227935503	3.44101299062491	-0.27795774980838	0.781044791914611	0.999981590499645	0.5	0.25	0.25
Rpl7	0.355833553851734	-1.10532709565825	3.48390179158232	-0.317267007448059	0.75104100938999	0.999981590499645	0.5	0	0.5
Rdh10	5.1207423255603	-0.659020743270564	0.846455052305648	-0.778565549907778	0.436235679161312	0.999981590499645	1	1	0
Stau2	74.8915352125628	-0.118110483973671	0.218808508153324	-0.539789265831055	0.589342370569587	0.999981590499645	1	1	0
Ube2w	29.7389441828371	-0.17901403804268	0.383279727354787	-0.467058456960791	0.640458055287416	0.999981590499645	1	1	0
Eloc	7.22547043378083	-0.461630298558029	0.701377869458372	-0.658176310744614	0.510424845032832	0.999981590499645	1	1	0
Tmem70	2.91494379249085	-0.815716076783306	1.14155471308803	-0.714565905103843	0.474877318789421	0.999981590499645	0.75	0.75	0
Ly96	1.8573167342894	0.240121373616528	1.24632650979855	0.192663296278068	0.847222670174189	0.999981590499645	1	1	0
Jph1	0.454556095296211	-2.37999683322721	3.1773024675429	-0.749062091991428	0.453819781812563	0.999981590499645	0.5	0	0.5
Gdap1	1.92257994144053	-1.38318489383056	1.42875515476521	-0.968104919318984	0.332991973319073	0.999981590499645	0.75	0.5	0.25
Crispld1	0.331278917549324	-1.101384872744	3.64681156525004	-0.302013101866558	0.762642075200365	0.999981590499645	0.25	0	0.25
Tfap2b	0.108606855482825	0.787744111098942	3.64667098562533	0.216017324898276	0.828974243058318	0.999981590499645	0	0.25	0.25
Pkhd1	0.340335944527792	-2.24233798609217	3.52511452472526	-0.636103584823797	0.524708909140681	0.999981590499645	0.5	0	0.5
Il17f	0.209148847294251	-1.75024228260146	3.6213284753377	-0.483314975297358	0.628872108596355	0.999981590499645	0.25	0	0.25
Mcm3	1.64412025737035	0.736900056859052	1.35237818310214	0.544892002892802	0.585827796741042	0.999981590499645	0.75	1	0.25
Paqr8	11.7762696734722	0.718235065857766	0.502735649479362	1.42865354108382	0.153103837197141	0.999981590499645	1	1	0
