gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	percent_0	percent_3	percent_difference
Xkr4	46277.6578711052	-0.0186019223651557	0.0536611528623446	-0.346655287352372	0.728850305054718	0.976462736645463	1	1	0
Gm1992	1660.21452813556	-0.21216089249719	0.166190818661423	-1.2766101894559	0.201739902716733	0.877494705603705	1	1	0
Gm19938	2126.92325816719	-0.0363682555643585	0.0567279938403145	-0.641098919639793	0.521458416092232	0.951459625689718	1	1	0
Gm37381	1.7335574194244	-0.680177356948876	0.789092277661711	-0.861974418206729	0.388701595343611	NA	0.75	0.7	0.05
Rp1	35.1907261652557	-0.438037191205228	0.268575503069584	-1.63096479834849	0.102897747459651	0.847295763071151	1	1	0
Sox17	13.9796542315477	-0.246080741742349	0.577599565511469	-0.426040385824118	0.670078418177937	NA	1	0.9	0.1
Gm37587	1.44025190076509	0.264223454983731	0.70864722635851	0.372856119597734	0.709255532224056	NA	0.875	0.9	0.025
Gm37323	1.17725299675708	2.13726399067496e-05	0.881292487185771	2.42514718070487e-05	0.99998065012507	NA	0.625	0.6	0.025
Mrpl15	595.019130315788	0.0182741594615721	0.0675861317525644	0.270383272243994	0.786865407824487	0.979553229523637	1	1	0
A930006A01Rik	60.7707166480255	-0.104455357241843	0.240216775879556	-0.434837895310926	0.663680096221318	0.968662539169791	1	1	0
Lypla1	1084.49474207127	-0.0830360655267861	0.044819432987951	-1.85267996471774	0.0639282433626419	0.759803078943802	1	1	0
Tcea1	2445.08688534709	-0.0104151991973649	0.0331352045383547	-0.314324276625759	0.753274761830633	0.9777295135923	1	1	0
Rgs20	4900.48152294811	0.0797897220492141	0.134668854806544	0.592488308925138	0.553523647199946	0.952800879029267	1	1	0
Gm16041	19.0711166430486	-0.0543538519404519	0.311621054622892	-0.174422912489748	0.861533108750357	0.985986300243136	1	1	0
Atp6v1h	4735.77129708712	-0.0497600822883024	0.0497701435954219	-0.999797844522988	0.317408349165968	0.910701317798782	1	1	0
Oprk1	420.888486022996	-0.0932495712806945	0.185252473880782	-0.503364782813668	0.614707827078398	0.961978089871284	1	1	0
Npbwr1	3.85347996400665	-0.186112927783786	0.453273103735223	-0.410597774829592	0.681367495611016	NA	0.875	1	0.125
4732440D04Rik	820.055723778367	-0.0523860085085247	0.0883447019691289	-0.592972836411067	0.553199331301711	0.952800879029267	1	1	0
Rb1cc1	6120.89554520514	0.0214938602524565	0.0327884914459828	0.655530623843017	0.51212617618022	0.948804648865061	1	1	0
Alkal1	24.5711884313039	-0.00385529031684507	0.208939282604356	-0.0184517256343097	0.985278488363756	0.998088528701837	1	1	0
St18	2931.11011415191	0.225950814801481	0.35462206260193	0.637159496348412	0.524020957574308	0.951629652599524	1	1	0
Gm57122	14.893180167579	0.11417164258897	0.308409590267389	0.370194851885066	0.711237312148609	NA	1	1	0
Pcmtd1	6881.68915746207	0.0272348084354861	0.0444579609356395	0.612596886189025	0.540142917648274	0.951629652599524	1	1	0
Gm26901	731.9082242618	-0.0793302508977952	0.064924479504621	-1.22188505018587	0.221751099658752	0.887160832719778	1	1	0
Gm30414	2.12027276809419	-0.333548133349997	0.709155952966394	-0.470345249101793	0.638108374136264	NA	0.75	0.8	0.05
