gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	percent_0	percent_3	percent_difference
Xkr4	2.30212005137076	-0.459551862293541	1.4194126934587	-0.323761978747524	0.746118243568786	0.999999756789154	0.5	0.8	0.3
Gm1992	0.0471198158513413	-0.497769460549179	3.36024047192146	-0.148135070900013	0.882236172190283	0.999999756789154	0.25	0	0.25
Gm19938	0.0471198158513413	-0.497769460549179	3.36024047192146	-0.148135070900013	0.882236172190283	0.999999756789154	0.25	0	0.25
Gm37381	0.824662430200193	-2.88035633106031	2.91707047412186	-0.987414036312373	0.323439706084175	0.999999756789154	0.5	0	0.5
Rp1	3.61350615238753	-0.779187670436173	1.72965922939983	-0.450486232890244	0.652359878809414	0.999999756789154	0.5	0.6	0.1
Sox17	0.506758031930964	-0.0634520755902996	2.86144924317256	-0.0221748038137306	0.982308516291808	0.999999756789154	0.25	0.4	0.15
Gm37587	0	NA	NA	NA	NA	NA	0	0	0
Gm37323	0.0471198158513413	-0.497769460549179	3.36024047192146	-0.148135070900013	0.882236172190283	0.999999756789154	0.25	0	0.25
Mrpl15	24.65413185203	0.477222859425795	0.351534807461517	1.35754084459485	0.174609424580579	0.999999756789154	1	1	0
A930006A01Rik	3.92018422622623	-0.644878528464011	1.10946832546992	-0.581250057941823	0.561071934607171	0.999999756789154	1	0.6	0.4
Lypla1	87.5763921316507	-0.168957326433392	0.214415435325474	-0.787990501602282	0.430702261801048	0.999999756789154	1	1	0
Tcea1	114.602818645534	-0.0642129440449454	0.197396088346678	-0.325299982298387	0.744954044262073	0.999999756789154	1	1	0
Rgs20	2257.61468158876	0.0010164964091528	0.101167229397667	0.0100476845635178	0.991983242505094	0.999999756789154	1	1	0
Gm16041	7.97693183834275	-0.518217769702911	0.666874109096958	-0.777084853998383	0.437108709278875	0.999999756789154	1	1	0
Atp6v1h	101.551024226024	0.176854377319772	0.263514192002685	0.671137960258207	0.502132646426386	0.999999756789154	1	1	0
Oprk1	0	NA	NA	NA	NA	NA	0	0	0
Npbwr1	0	NA	NA	NA	NA	NA	0	0	0
4732440D04Rik	84.3981474500882	-0.306953866590361	0.18897147994061	-1.62433964472751	0.104303340555704	0.999999756789154	1	1	0
Rb1cc1	193.102686401498	0.172979072501369	0.168034003703148	1.0294289768097	0.303278138410608	0.999999756789154	1	1	0
Alkal1	0	NA	NA	NA	NA	NA	0	0	0
St18	2.64476858639297	-0.0755062558723159	1.27200225773637	-0.0593601586892506	0.95266524583371	0.999999756789154	0.75	0.6	0.15
Gm57122	1.7313068077118	-0.46914762531559	1.20393959266559	-0.389677047065851	0.696775371244565	0.999999756789154	1	1	0
Pcmtd1	387.025214546556	0.156181330735072	0.129153876445729	1.20926552909699	0.226560849535038	0.999999756789154	1	1	0
Gm26901	0.280399291824892	-0.750364968209129	3.34760949508952	-0.224149492140529	0.822640982919105	0.999999756789154	0.25	0.2	0.05
Gm30414	0	NA	NA	NA	NA	NA	0	0	0
Sntg1	43.1919847970975	-1.04904427808487	0.485102023464426	-2.1625229896857	0.0305778870083343	0.999999756789154	1	1	0
Rrs1	22.0983668494369	-0.228469300958929	0.399618411888284	-0.57171865500231	0.567512594052343	0.999999756789154	1	1	0
Adhfe1	196.515243901589	0.201166128314589	0.151977168196808	1.32366019647163	0.18561592334448	0.999999756789154	1	1	0
