gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	percent_0	percent_3	percent_difference
Xkr4	2.6932609540985	-2.45079574321489	1.18775237243588	-2.06338947417862	0.0390756392010433	NA	1	0.6	0.4
Gm1992	0	NA	NA	NA	NA	NA	0	0	0
Gm19938	0.181949091430182	-1.2183487675255	3.39517168756192	-0.358847469183628	0.719709199191637	NA	0.25	0	0.25
Gm37381	0.349921345449614	-1.3237276218185	3.38330007366517	-0.391253389589086	0.695609947999946	NA	0.25	0.2	0.05
Rp1	6.52494744532788	-1.33289743149116	0.971399925566425	-1.37214075934168	0.170019623010482	NA	1	0.8	0.2
Sox17	0.221621512050002	1.25572223127845	3.37000081681365	0.372617782468591	0.709432936009542	NA	0	0.2	0.2
Gm37587	0	NA	NA	NA	NA	NA	0	0	0
Gm37323	0.321337210980357	-2.09457136825381	3.35458079131512	-0.624391391519494	0.532370577149373	NA	0.5	0	0.5
Mrpl15	24.965317958521	0.385608800170019	0.417675389007982	0.923226051422077	0.355889415353838	NA	1	1	0
A930006A01Rik	2.78951983991965	-1.85382009662518	1.16123919248195	-1.59641537129224	0.110396086526136	NA	1	0.6	0.4
Lypla1	97.7940462856914	0.018407371639462	0.197820025505771	0.0930511033572027	0.925862962689349	0.996225831574305	1	1	0
Tcea1	124.285793995028	0.0217623878807763	0.197927108202181	0.109951527501459	0.912447817195909	0.996225831574305	1	1	0
Rgs20	2315.59399454396	0.142401535855556	0.0932474991398421	1.52713517433855	0.126727401954875	0.911570202403951	1	1	0
Gm16041	7.76303546110857	0.736798466498528	0.644963581533986	1.14238770621144	0.253292899087907	NA	1	1	0
Atp6v1h	121.144398195251	0.35846869032441	0.337141647148212	1.06325840594479	0.287664782192296	0.992714768883251	1	1	0
Oprk1	0	NA	NA	NA	NA	NA	0	0	0
Npbwr1	0	NA	NA	NA	NA	NA	0	0	0
4732440D04Rik	83.3744228912631	-0.221167220465121	0.246329756680693	-0.897850196603777	0.369265419251701	0.992714768883251	1	1	0
Rb1cc1	231.743386554776	-0.0454505881703276	0.129179658562391	-0.35184013238722	0.724958159210366	0.992714768883251	1	1	0
Alkal1	0	NA	NA	NA	NA	NA	0	0	0
St18	4.75830109627249	-0.522019552446074	1.33609323372859	-0.390705932241939	0.696014613436469	NA	0.75	0.6	0.15
Gm57122	1.69327023927892	-1.8252324505395	1.30715997669979	-1.39633440670949	0.162613817364858	NA	1	0.8	0.2
Pcmtd1	376.620712030978	0.00176332096740937	0.127802982691331	0.0137971816484763	0.988991791039048	0.99857257264764	1	1	0
Gm26901	0.837408829096715	-0.729768973812451	1.92046084737245	-0.379996798586605	0.703947791587122	NA	0.75	0.4	0.35
Gm30414	0	NA	NA	NA	NA	NA	0	0	0
Sntg1	36.2404502536521	-1.32934727130049	0.402190881604413	-3.30526456989149	0.000948867839146798	0.249799772436255	1	1	0
Rrs1	25.3888514529091	-0.0895198944636058	0.331952378182306	-0.269676918580297	0.787408819158311	NA	1	1	0
