gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	percent_WT	percent_PS19	percent_difference
Xkr4	3.51224353472853	0.785265669788303	1.25872919465367	0.623855927965797	0.532722206027528	NA	0.5	1	0.5
Gm1992	0.0542659143455466	-0.58404735810013	3.6449734024265	-0.160233640583309	0.872697030391351	NA	0.25	0	0.25
Gm19938	0.246335780809713	0.369502523164468	3.65784169505928	0.101016543078822	0.919537327873499	NA	0.25	0.25	0
Gm37381	1.19566512455416	-1.88386210677835	2.4047407867795	-0.783395082386935	0.433395143041511	NA	0.5	0.25	0.25
Rp1	7.01097106030126	1.22894205392	1.23697396365347	0.993506807766794	0.320463034509037	NA	0.5	1	0.5
Sox17	0.281267036378565	-0.609570494390158	3.64682802705184	-0.167150874641859	0.867251336870219	NA	0.25	0	0.25
Gm37587	0	NA	NA	NA	NA	NA	0	0	0
Gm37323	0.391874531036651	1.08803187155704	3.38224442744208	0.321689308652331	0.747688078137525	NA	0.25	0.5	0.25
Mrpl15	19.5389251314879	0.0086329826875275	0.46792613080075	0.0184494562694203	0.985280298746789	0.998693006697757	1	1	0
A930006A01Rik	4.1017613219606	-0.555525888019673	0.951681661826512	-0.583730789719622	0.559401448745318	NA	1	1	0
Lypla1	92.4940501414423	0.0790174434294305	0.229447124331987	0.344381929647112	0.730559076752865	0.99006754291771	1	1	0
Tcea1	116.199375777397	-0.139082071875044	0.196614059281931	-0.707386198031801	0.479326511635088	0.979569552205912	1	1	0
Rgs20	2154.45063675089	-0.0763381453350458	0.0867169686614707	-0.880313813009975	0.378689331750875	0.963983308868901	1	1	0
Gm16041	7.15076662700132	-1.06751640983448	0.742028820401517	-1.43864548179791	0.150250993126623	NA	1	1	0
Atp6v1h	99.2729061189322	-0.172808691123087	0.28740543744226	-0.601271474405574	0.547659185762352	0.986267610837315	1	1	0
Oprk1	0	NA	NA	NA	NA	NA	0	0	0
Npbwr1	0	NA	NA	NA	NA	NA	0	0	0
4732440D04Rik	89.3799779846826	-0.151292650050608	0.219661611345517	-0.688753256082746	0.490978555986529	0.98181125630961	1	1	0
Rb1cc1	205.230793773081	0.188264691432795	0.166258722479168	1.13235978615428	0.257483204268062	0.944956442336221	1	1	0
Alkal1	0	NA	NA	NA	NA	NA	0	0	0
St18	3.79512552421866	1.84443776064753	1.28736832482623	1.43271954504279	0.151938001618147	NA	0.75	0.75	0
Gm57122	2.2157921153873	0.226820921769522	1.25804873543166	0.180295814765631	0.856920341166933	NA	1	1	0
Pcmtd1	361.887943265752	-0.0520845467077597	0.121381565056	-0.429097669680979	0.667852148074719	0.989217109561476	1	1	0
Gm26901	0.765319152694744	0.540658724585877	2.34023616947393	0.231027420069067	0.817293500046435	NA	0.25	0.75	0.5
Gm30414	0	NA	NA	NA	NA	NA	0	0	0
Sntg1	54.7383808070327	-0.246826989469068	0.498125367423447	-0.495511784002851	0.62023890595778	0.989217109561476	1	1	0
Rrs1	24.3681866077742	-0.0282010628007285	0.418766736842797	-0.0673431300044135	0.946308542020223	0.997313901200179	1	1	0
Adhfe1	188.291569507602	0.0803153610349509	0.160866865149979	0.499266029459028	0.617591983404887	0.989217109561476	1	1	0
2610203C22Rik	21.7024272036215	-0.582529271641186	0.434345026371547	-1.3411671281413	0.179866196418351	0.892291478546496	1	1	0
Vxn	0	NA	NA	NA	NA	NA	0	0	0
Mybl1	6.96413898455982	1.11045104894486	0.782059771540212	1.41990559974451	0.155635165477262	NA	1	1	0
Vcpip1	87.7341007539499	0.0868825872421481	0.219784706022561	0.395307702771774	0.692615815404128	0.989217109561476	1	1	0
1700034P13Rik	8.56190306081088	0.574797365732255	0.740677100579059	0.776043116876275	0.437723528162404	NA	1	1	0
Sgk3	90.7157901206734	-0.126855636743692	0.232546161455493	-0.545507334757582	0.585404637300248	0.987537330357977	1	1	0
Snhg6	14.9996209312393	-0.255500334729223	0.568287735010323	-0.449596778161299	0.653001211636753	0.989217109561476	1	1	0
Mcmdc2	0.445030243358222	0.397692912582524	3.58280382672875	0.111000471087928	0.911615973167477	NA	0.25	0.25	0
Tcf24	0.610642729054687	-0.687299312885982	2.91278453074384	-0.235959545112823	0.813464062168064	NA	0.5	0.25	0.25
Ppp1r42	13.1677822993096	0.395368943819321	0.553394813931771	0.714442806231405	0.474953410420286	NA	1	1	0
Gm15818	0.235504529116579	0.369502523164469	3.65784169505928	0.101016543078823	0.919537327873499	NA	0.25	0.25	0
Gm57177	0.0542659143455466	-0.58404735810013	3.6449734024265	-0.160233640583309	0.872697030391351	NA	0.25	0	0.25
Cops5	37.3343660914672	-0.614180449512644	0.387752111168782	-1.58395127150011	0.113204808426691	0.827858247011901	1	1	0
Cspp1	344.171304071346	-0.0323862846943546	0.132863772455238	-0.243755570806673	0.807420131857508	0.992590708188305	1	1	0
Arfgef1	168.032867017734	-0.434296198791457	0.162594843588512	-2.67103303651225	0.0075618204045926	0.374217892705327	1	1	0
Cpa6	0	NA	NA	NA	NA	NA	0	0	0
Prex2	2989.93274678267	-0.0585745591401325	0.0819215190781855	-0.715008215170292	0.474603967015019	0.97931641458531	1	1	0
A830018L16Rik	1.94912267896717	0.17257075391912	1.47956652347493	0.116636022227522	0.907148490922607	NA	0.5	1	0.5
Sulf1	53.5174733292948	1.6986274980005	0.394361201483446	4.30728857608424	1.65267937379697e-05	0.0140280511174323	1	1	0
Slco5a1	0	NA	NA	NA	NA	NA	0	0	0
Gm29283	0	NA	NA	NA	NA	NA	0	0	0
Prdm14	0	NA	NA	NA	NA	NA	0	0	0
Ncoa2	402.484270059899	0.053322599048219	0.118239853357445	0.450969766403738	0.652011339366945	0.989217109561476	1	1	0
