gene	p_val	avg_log2FC	p_val_adj	percent_PS19	percent_WT	percent_difference
C4b	1.23852519812568e-07	1.06354495866447	0.00330587145883706	1	1	0
Pnn	2.21938652294784e-07	-0.429427679078129	0.00592398650705238	1	1	0
Tmeff2	1.06260434410901e-06	0.632948365718446	0.0283630351529578	0.9	0.5	0.4
Serping1	1.15968904085637e-06	0.342385975610441	0.0309544198785383	1	0.5	0.5
Osmr	1.35225947410715e-06	0.751544478025697	0.0360945098828681	1	1	0
Dpysl3	4.02117561989346e-06	0.489520706641055	0.107333219646196	1	0.875	0.125
Aspg	4.08946436477902e-06	0.637733066337404	0.109155982824682	1	1	0
Gfap	5.18695623257329e-06	1.25169184225535	0.138450235759846	1	1	0
Gbp2b	7.37711099616643e-06	0.0318085143877131	0.196909846709674	0.8	0	0.8
Herc6	1.72214397946897e-05	0.322332593729143	0.459674670999856	1	1	0
Slc43a3	1.87368067459931e-05	0.320481976673919	0.500122845664049	1	0.75	0.25
Bace2	3.59169522126378e-05	0.393608783807528	0.958695288459728	1	0.875	0.125
4930445B16Rik	4.51901057706991e-05	-0.985685487252624	1	1	1	0
Serpina3n	5.61490379748594e-05	0.424993692450402	1	1	0.875	0.125
Cmya5	6.0078078702299e-05	0.358261087528075	1	1	1	0
Nlrc5	6.70584637827452e-05	0.418785461061781	1	1	1	0
Asap3	6.92376288642035e-05	0.500082154659388	1	1	1	0
Gas5	7.03193875055811e-05	0.653063948436011	1	1	1	0
Pfn1	7.2192522574659e-05	0.0688790049389372	1	1	0.5	0.5
Gm12296	8.38127073101749e-05	0.718239428085663	1	1	1	0
Ddx60	8.7061148769391e-05	0.800297946337726	1	1	1	0
Gldn	8.96604853293707e-05	0.16357774172966	1	0.6	0.125	0.475
Glis3	9.15032241085842e-05	0.311828915269257	1	1	1	0
Cacna2d3	9.45979003096413e-05	0.28640423013778	1	1	0.75	0.25
Oasl2	0.000101900185724489	0.56923119946119	1	0.9	0.875	0.025
Pawr	0.000110465444438249	0.626738062451137	1	1	1	0
Bcl3	0.000122097774877537	0.139466634056041	1	0.9	0.375	0.525
Egln1	0.000126766928559302	0.437831859183531	1	1	1	0
Plpp1	0.00014516943927707	0.44837749554863	1	1	1	0
Fam20c	0.000153843008862113	0.406797128434963	1	1	1	0
Zfp36l1	0.000162260465861898	-0.366916257052821	1	1	1	0
Stat3	0.000170047648419508	0.401747018661041	1	1	1	0
Fhod3	0.000188087715248894	0.213063154165446	1	1	1	0
Cd44	0.000197358968208092	0.723795301505235	1	1	1	0
Gm57354	0.000200789763595067	-0.565555129646285	1	1	1	0
Sctr	0.000202352032432653	0.472279835993427	1	1	1	0
Man1a	0.000270493585894954	1.00427453251759	1	1	1	0
Socs3	0.000270927544239649	-0.0671598021980788	1	0.8	0.125	0.675
Gbp2	0.000297800635701907	0.157878965575608	1	1	0.625	0.375
Anapc10	0.000299067316765314	-0.38511175410576	1	1	1	0
Gna14	0.000299874567750324	0.050368224444997	1	0.9	0.375	0.525
Slc30a1	0.000300489384192176	-0.745850444027386	1	0.9	1	0.1
Icam1	0.000311583096555476	0.051849825221804	1	0.9	0.375	0.525
Rsad2	0.000321404953827591	0.267003801427876	1	1	1	0
Ggta1	0.000338745310136241	0.658620666949484	1	1	1	0
Fam241a	0.000350872901413459	-0.570408885828912	1	0.3	0.875	0.575
Map3k14	0.000385061219092863	0.355178930627874	1	1	1	0
4930403P22Rik	0.000385460624883846	-0.570870161922861	1	1	1	0
Tecpr2	0.000415677799249598	0.309278132174109	1	1	1	0
Slc39a14	0.000453247337924852	0.466231706151077	1	1	1	0
Slc1a5	0.000556543704619012	0.178776691820365	1	1	1	0
Gm4951	0.000601051416042655	0.501385546595359	1	0.9	1	0.1
Ifi44	0.000648903182081157	0.0104729292252026	1	0.8	0.375	0.425
Sulf1	0.000673730203876142	1.05536619520799	1	1	1	0
F830016B08Rik	0.000689914580153366	0.150302476486698	1	0.8	0.375	0.425
Atoh8	0.000702872524984528	0.205813810336302	1	1	1	0
Cpne8	0.000710357621606836	1.41576345177184	1	1	1	0
Zfp808	0.000711753031452772	0.29794715507047	1	1	1	0
S1pr3	0.000747610171352667	0.323928028580101	1	1	1	0
Gm38155	0.000747636236346343	-0.706461984794302	1	1	1	0
Rnpc3	0.000777751061300442	-0.251979768629668	1	1	1	0
Gng7	0.00077966646399759	0.402821987096398	1	1	0.875	0.125
Piezo2	0.000801916192654083	-0.13259215507808	1	0.8	0.125	0.675
Gm35552	0.00082319519912571	-0.369702560582591	1	1	1	0
Rbm26	0.000852065593342225	-0.254502860432798	1	1	1	0
Pgp	0.000876544613139562	-0.472021142005776	1	1	1	0
Itga5	0.000918172569682152	0.0165524361747953	1	0.9	0.625	0.275
Flrt1	0.000933249636758255	-0.407480985118047	1	1	1	0
Ephx1	0.000945285087254443	0.35260351850282	1	1	1	0
Sema3c	0.000945696117708663	0.0974910418337158	1	0.8	0.375	0.425
Exosc10	0.000951397642233587	0.322647020108355	1	1	1	0
Prkca	0.00100179079023977	0.321367097264931	1	1	1	0
Il1r1	0.00104534813890553	0.382448980382425	1	0.8	0.625	0.175
Dynll1	0.00107908098779162	0.43137638877122	1	1	1	0
Med29	0.0010845870701879	0.00694267565959494	1	0.8	0.5	0.3
Rai14	0.001102492816905	0.207462593110976	1	1	0.875	0.125
S100a10	0.00113669311336041	0.0970699461734283	1	1	0.875	0.125
Sbno2	0.00113936536976395	0.545597695738572	1	1	1	0
Mroh5	0.00121147041306023	0.209083571314752	1	0.9	0.5	0.4
St8sia2	0.00122092730016416	0.34178935522358	1	1	0.875	0.125
Tex11	0.00124186708127193	0.385214372856225	1	1	1	0
Timm50	0.00126755529112126	-0.582376256888048	1	0.4	0.875	0.475
Gm47283	0.00126820611993105	1.05373978899514	1	1	1	0
Pappa	0.00129904105938794	0.144598929489906	1	1	0.75	0.25
Rgl1	0.00132807597127621	0.343868022301799	1	1	1	0
Zfp942	0.00134027508293342	0.295292707305593	1	1	1	0
Epha7	0.00136313889244535	-0.673998962985649	1	1	0.875	0.125
Emp2	0.00136563260655067	-0.400427963098116	1	1	1	0
Pts	0.00140100962371944	-0.343752832629837	1	1	1	0
Atg12	0.00140220427771353	-0.578159849086209	1	1	1	0
Samd4	0.00141214236088443	0.340314248944706	1	1	1	0
Adamtsl3	0.00141385484939815	0.611314318493654	1	1	1	0
Gbp5	0.00144004718259339	0.347114462934865	1	0.9	0.875	0.025
Vhl	0.00147689203265192	-0.533542615688795	1	1	1	0
Adam12	0.0014783452435687	0.258356465011637	1	1	1	0
Gm17750	0.00149722234677585	-0.40351183425781	1	1	1	0
Slc5a3	0.00155083416045305	0.479789607380066	1	1	1	0
D030068K23Rik	0.00155523541031836	-0.814419699780774	1	0.7	0.875	0.175
Nox4	0.00160167645514278	0.34233942298625	1	1	1	0
G0s2	0.00160673822010222	-0.631797845748952	1	1	1	0
Rtn4ip1	0.00163630351471368	0.260721900321748	1	1	1	0
Anxa7	0.00164915185439991	0.370398392333615	1	1	1	0
B230217J21Rik	0.00167367987983396	-0.624073535751378	1	0.3	0.625	0.325
Dst	0.00173612108644292	0.300379407585792	1	1	1	0
Eif2ak3	0.00173984724216135	0.29551228263169	1	1	1	0
1110038F14Rik	0.0017454340959406	0.258276039339577	1	1	1	0
Nars2	0.00184755449721562	0.448455936678819	1	1	1	0
Vim	0.00184905446333577	0.483580463290834	1	1	1	0
Fjx1	0.00184993881858164	-0.461833237287405	1	1	1	0
Id1	0.00185071696098075	-0.561386384452469	1	1	1	0
Prune1	0.00185116033449236	0.290596885354254	1	1	1	0
Zfp811	0.00187172945487684	-0.602795827171124	1	0.9	1	0.1
