gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	percent_0	percent_3	percent_difference
Xkr4	0.105204014983931	-0.802400177425392	3.33448147369046	-0.240637167654535	0.809836340864612	0.999903597234653	0.25	0	0.25
Gm1992	0	NA	NA	NA	NA	NA	0	0	0
Gm19938	0	NA	NA	NA	NA	NA	0	0	0
Gm37381	0	NA	NA	NA	NA	NA	0	0	0
Rp1	1.48752126046205	-0.194589703913627	1.15923170142952	-0.167860923466522	0.866692692406615	0.999903597234653	0.75	0.6	0.15
Sox17	6.33723621372789	-0.593534081889198	0.620076632091421	-0.957194725895896	0.338468978610664	0.999903597234653	1	0.6	0.4
Gm37587	0.708739960982923	0.496417301950664	1.65932252046159	0.299168664216388	0.764811357307795	0.999903597234653	0.75	0.8	0.05
Gm37323	0.210408029967861	-1.36631687816118	3.31091440766986	-0.412670552580898	0.679848002540683	0.999903597234653	0.25	0	0.25
Mrpl15	0.215214902423077	-0.732396258206535	3.31250132153751	-0.22110066898527	0.825014049373455	0.999903597234653	0.25	0.2	0.05
A930006A01Rik	0.148594323671956	1.17890247235617	3.33231741411793	0.353778564839455	0.723504838730987	0.999903597234653	0	0.2	0.2
Lypla1	2.4715275452795	-0.281429425029082	0.833259694981123	-0.337745155230937	0.735555243262679	0.999903597234653	0.75	0.8	0.05
Tcea1	2.61124077150304	-1.80093102721252	0.954350821495397	-1.88707442446646	0.0591503161101086	0.999903597234653	1	0.6	0.4
Rgs20	0.0917689645291401	0.0119043999887675	3.32806772143728	0.00357697047812067	0.997145996567089	0.999903597234653	0.25	0.2	0.05
Gm16041	0	NA	NA	NA	NA	NA	0	0	0
Atp6v1h	2.54128180964896	-2.0028114208866	0.936606549566072	-2.13837007846518	0.0324867189635802	0.999903597234653	1	0.4	0.6
Oprk1	0	NA	NA	NA	NA	NA	0	0	0
Npbwr1	0	NA	NA	NA	NA	NA	0	0	0
4732440D04Rik	1.07423717634109	-1.07787427966701	1.54433716722621	-0.697952689698574	0.485206781542873	0.999903597234653	0.75	0.4	0.35
Rb1cc1	6.7108867203769	-0.123026469636779	0.500294484757316	-0.245908106895196	0.805753368103866	0.999903597234653	1	0.8	0.2
Alkal1	0	NA	NA	NA	NA	NA	0	0	0
St18	0.0847811787431304	1.07863296961814	3.33258202875556	0.32366284169783	0.746193305762385	0.999903597234653	0	0.2	0.2
Gm57122	0.026254061254937	0.527549247997784	3.33719573931464	0.158081601802035	0.874392497949411	0.999903597234653	0	0.2	0.2
Pcmtd1	23.8771257795764	-0.29561523713142	0.278126309122611	-1.06288124292873	0.287835810215193	0.999903597234653	1	1	0
Gm26901	0	NA	NA	NA	NA	NA	0	0	0
Gm30414	0	NA	NA	NA	NA	NA	0	0	0
Sntg1	0	NA	NA	NA	NA	NA	0	0	0
Rrs1	0	NA	NA	NA	NA	NA	0	0	0
Adhfe1	0.0423905893715652	0.713918817311233	3.33498248856786	0.214069734926198	0.83049267674336	0.999903597234653	0	0.2	0.2
2610203C22Rik	0	NA	NA	NA	NA	NA	0	0	0
Vxn	0	NA	NA	NA	NA	NA	0	0	0
Mybl1	0.458977311713047	-0.802400300480331	3.33448147560063	-0.240637204420455	0.809836312366813	0.999903597234653	0.25	0	0.25
Vcpip1	1.28018008206083	0.139151339828663	1.38407835039567	0.100537184032164	0.919917863780912	0.999903597234653	0.5	0.8	0.3
1700034P13Rik	0	NA	NA	NA	NA	NA	0	0	0
Sgk3	4.13670617533811	0.0464252106302399	0.739013001158533	0.0628205600679017	0.949909393637166	0.999903597234653	1	1	0
Snhg6	0.0246891875787874	-0.36380804663084	3.34138151225079	-0.108879529409312	0.91329804326948	0.999903597234653	0.25	0	0.25
Mcmdc2	0	NA	NA	NA	NA	NA	0	0	0
Tcf24	0	NA	NA	NA	NA	NA	0	0	0
Ppp1r42	0	NA	NA	NA	NA	NA	0	0	0
Gm15818	0	NA	NA	NA	NA	NA	0	0	0
Gm57177	0	NA	NA	NA	NA	NA	0	0	0
Cops5	1.64505254859765	-0.490818435328745	1.26190700272972	-0.38894976750824	0.697313305904927	0.999903597234653	0.75	0.8	0.05
Cspp1	1.6015272462701	-1.60131364092796	1.11475558592298	-1.43647061396165	0.150868472376062	0.999903597234653	0.75	0.4	0.35
Arfgef1	7.25333508292824	-0.683677057577321	0.477408261318658	-1.43205954519707	0.152126780871962	0.999903597234653	1	0.8	0.2
Cpa6	0	NA	NA	NA	NA	NA	0	0	0
Prex2	48.2570116395461	-0.219503873618112	0.218467557194966	-1.00474357124898	0.315020341795226	0.999903597234653	1	1	0
A830018L16Rik	0	NA	NA	NA	NA	NA	0	0	0
Sulf1	0.593922772944869	2.47576947532106	2.76147918977662	0.896537437068764	0.369965795001705	0.999903597234653	0	0.4	0.4
Slco5a1	0	NA	NA	NA	NA	NA	0	0	0
Gm29283	0	NA	NA	NA	NA	NA	0	0	0
Prdm14	0	NA	NA	NA	NA	NA	0	0	0
Ncoa2	4.68364570429462	-1.00733935142643	0.594297412522765	-1.69500881242326	0.0900737490652345	0.999903597234653	1	0.6	0.4
Gm29570	0	NA	NA	NA	NA	NA	0	0	0
Tram1	0.581707596329874	-0.0270433388994325	2.23380247074213	-0.0121064146242295	0.990340714637862	0.999903597234653	0.5	0.4	0.1
Gm57152	0.0423905893715652	0.713918817311233	3.33498248856786	0.214069734926198	0.83049267674336	0.999903597234653	0	0.2	0.2
Lactb2	0.586399698565904	0.233486218416976	1.89057034840533	0.123500412779624	0.901710847443171	0.999903597234653	0.75	0.6	0.15
Xkr9	0	NA	NA	NA	NA	NA	0	0	0
Eya1	0	NA	NA	NA	NA	NA	0	0	0
Gm9947	0	NA	NA	NA	NA	NA	0	0	0
Msc	0	NA	NA	NA	NA	NA	0	0	0
Trpa1	0	NA	NA	NA	NA	NA	0	0	0
Kcnb2	0.0423905893715652	0.713918817311233	3.33498248856786	0.214069734926198	0.83049267674336	0.999903597234653	0	0.2	0.2
Terf1	3.13513666427588	-0.717727461454653	0.746022752398147	-0.962071812350847	0.336013532236966	0.999903597234653	1	0.8	0.2
Sbspon	0.764810320039173	-1.03018403870137	1.7482632405544	-0.589261396570167	0.555685936608919	0.999903597234653	0.75	0.4	0.35
4930444P10Rik	0	NA	NA	NA	NA	NA	0	0	0
Rpl7	0.783124113839288	1.51755348406496	1.86978583663837	0.811618878659028	0.417010355166496	0.999903597234653	0.25	0.6	0.35
Rdh10	0.697329446697458	-0.4106887486708	2.06493401863564	-0.198887104849071	0.842351056849209	0.999903597234653	0.5	0.4	0.1
Gm28095	0	NA	NA	NA	NA	NA	0	0	0
Stau2	0.181890601186195	-1.36324148685137	3.31923469608452	-0.41070957966892	0.681285501676847	0.999903597234653	0.25	0	0.25
Gm7568	0	NA	NA	NA	NA	NA	0	0	0
Ube2w	1.08602826813976	-0.963061510040786	1.38929283467574	-0.693202675493222	0.488182369387995	0.999903597234653	0.75	0.6	0.15
Eloc	0.598620107705171	-0.537019597155281	2.05208081773196	-0.26169514987661	0.793556480100003	0.999903597234653	0.75	0.4	0.35
D030040B21Rik	0	NA	NA	NA	NA	NA	0	0	0
Tmem70	0.356600223043652	-0.587909892731212	2.86606340696905	-0.205128013323664	0.837472110305328	0.999903597234653	0.5	0.4	0.1
Ly96	0.410894436495047	0.761298906231156	2.65349485468475	0.286904233067225	0.774185649173794	0.999903597234653	0.25	0.6	0.35
Gm28376	0	NA	NA	NA	NA	NA	0	0	0
