gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	percent_0	percent_3	percent_difference
Xkr4	0.130477251571535	1.01204609267699	3.36697630741056	0.300580105196915	0.76373470404072	0.998828143713156	0	0.2	0.2
Gm1992	0	NA	NA	NA	NA	NA	0	0	0
Gm19938	0	NA	NA	NA	NA	NA	0	0	0
Gm37381	0	NA	NA	NA	NA	NA	0	0	0
Rp1	2.99377278485853	0.181089408731157	0.77145363603365	0.234737902931159	0.814412167267813	0.998828143713156	1	1	0
Sox17	8.67044353005648	-0.119360114561474	0.447427000020407	-0.266770030767096	0.789646230246603	0.998828143713156	1	1	0
Gm37587	1.00941611580578	0.198387783037205	1.44862797215785	0.136948745192107	0.891071308685728	0.998828143713156	0.75	0.8	0.05
Gm37323	0	NA	NA	NA	NA	NA	0	0	0
Mrpl15	0.543862009129672	0.141789782378615	2.16281735166037	0.0655579086554694	0.947729801010882	0.998828143713156	0.5	0.6	0.1
A930006A01Rik	0	NA	NA	NA	NA	NA	0	0	0
Lypla1	4.27192222382611	-0.214509574879968	0.676231847202124	-0.31721306201045	0.751081939302319	0.998828143713156	1	0.8	0.2
Tcea1	2.48481247317257	0.531112274091014	0.910081041120875	0.583587889532217	0.559497609943481	0.998828143713156	0.75	0.8	0.05
Rgs20	0	NA	NA	NA	NA	NA	0	0	0
Gm16041	0	NA	NA	NA	NA	NA	0	0	0
Atp6v1h	0.566933482008344	0.432084722122903	2.07230676741564	0.208504227712268	0.834835281942214	0.998828143713156	0.5	0.6	0.1
Oprk1	0	NA	NA	NA	NA	NA	0	0	0
Npbwr1	0	NA	NA	NA	NA	NA	0	0	0
4732440D04Rik	3.03681330739003	0.457093873300792	0.812240541094247	0.56275678222734	0.57360051285471	0.998828143713156	1	0.8	0.2
Rb1cc1	8.32814087626369	-0.736826383347215	0.539774860131566	-1.3650624320807	0.172233428384127	0.998828143713156	1	1	0
Alkal1	0	NA	NA	NA	NA	NA	0	0	0
St18	0.502769692308111	-0.132550566996227	2.44132837307428	-0.0542944441469424	0.956700575954638	0.998828143713156	0.5	0.4	0.1
Gm57122	0.0789990597642344	0.550154476064433	3.38734546640146	0.16241463456306	0.870979347128756	0.998828143713156	0	0.2	0.2
Pcmtd1	38.8057573080057	0.00667115543954966	0.232446230567423	0.028699778969376	0.977104032653163	0.998828143713156	1	1	0
Gm26901	0	NA	NA	NA	NA	NA	0	0	0
Gm30414	0	NA	NA	NA	NA	NA	0	0	0
Sntg1	0	NA	NA	NA	NA	NA	0	0	0
Rrs1	0	NA	NA	NA	NA	NA	0	0	0
Adhfe1	0	NA	NA	NA	NA	NA	0	0	0
2610203C22Rik	0	NA	NA	NA	NA	NA	0	0	0
Vxn	0	NA	NA	NA	NA	NA	0	0	0
Mybl1	0.291555188090956	-0.310468185166396	3.37224475003356	-0.0920657331183647	0.926645813799145	0.998828143713156	0.25	0.2	0.05
Vcpip1	1.25617578050517	-0.82596085541086	1.4248978468886	-0.579663206884918	0.562141759744314	0.998828143713156	0.75	0.4	0.35
1700034P13Rik	0	NA	NA	NA	NA	NA	0	0	0
Sgk3	3.6599262868095	0.371979196555711	0.813516094300113	0.457248724594359	0.647492280244298	0.998828143713156	1	0.8	0.2
Snhg6	0.574436539339015	1.00982793607224	2.6237567709799	0.384878639377498	0.700327332436023	0.998828143713156	0.25	0.2	0.05
Mcmdc2	0	NA	NA	NA	NA	NA	0	0	0
Tcf24	0	NA	NA	NA	NA	NA	0	0	0
Ppp1r42	0	NA	NA	NA	NA	NA	0	0	0
Gm15818	0	NA	NA	NA	NA	NA	0	0	0
Gm57177	0	NA	NA	NA	NA	NA	0	0	0
Cops5	0.86611571256558	-3.44386944567424	1.84300068502519	-1.8686208169408	0.0616755874797877	0.998828143713156	0.75	0	0.75
Cspp1	2.22391186746038	-0.0352082365938141	0.938985001991368	-0.0374960585303766	0.970089482775735	0.998828143713156	1	0.8	0.2
Arfgef1	7.52709870618173	-0.0508157297374664	0.503490978821218	-0.100926792882043	0.919608574055236	0.998828143713156	1	1	0
Cpa6	0	NA	NA	NA	NA	NA	0	0	0
Prex2	66.3315545300575	-0.39513861229382	0.206961076905906	-1.90924118776918	0.056230985263194	0.998828143713156	1	1	0
A830018L16Rik	0	NA	NA	NA	NA	NA	0	0	0
Sulf1	0.445652848378513	2.11725514049711	3.01939799481234	0.701217641442034	0.483167201956923	0.998828143713156	0	0.4	0.4
Slco5a1	0	NA	NA	NA	NA	NA	0	0	0
Gm29283	0	NA	NA	NA	NA	NA	0	0	0
Prdm14	0	NA	NA	NA	NA	NA	0	0	0
Ncoa2	9.69329829141132	0.426900455065214	0.471733728691684	0.904960635842574	0.365486241689766	0.998828143713156	1	1	0
Gm29570	0	NA	NA	NA	NA	NA	0	0	0
Tram1	1.530977462399	-0.0254875954373581	1.17338711831711	-0.021721386778059	0.982670203614778	0.998828143713156	0.75	0.6	0.15
Gm57152	0.0789990597642344	0.550154476064433	3.38734546640146	0.16241463456306	0.870979347128756	0.998828143713156	0	0.2	0.2
Lactb2	0.7772528822342	1.05010591269857	2.0068219037674	0.523268113990193	0.600787687025861	0.998828143713156	0.25	0.4	0.15
Xkr9	0	NA	NA	NA	NA	NA	0	0	0
Eya1	0.45415617763938	0.577988487986417	3.01189054408307	0.191902222051824	0.84781879684849	0.998828143713156	0.25	0.2	0.05
Gm9947	0	NA	NA	NA	NA	NA	0	0	0
Msc	0	NA	NA	NA	NA	NA	0	0	0
Trpa1	0.107839600801821	-0.984365479125452	3.37525338660861	-0.291641949914322	0.770560397651092	0.998828143713156	0.25	0	0.25
Kcnb2	0	NA	NA	NA	NA	NA	0	0	0
Terf1	7.2493219135283	-0.214271128062612	0.516400476026208	-0.414932088582617	0.678191618506977	0.998828143713156	1	1	0
Sbspon	1.01816417465573	1.30772087281883	1.52245050811784	0.858957887856419	0.390363750137069	0.998828143713156	0.5	0.8	0.3
4930444P10Rik	0	NA	NA	NA	NA	NA	0	0	0
Rpl7	1.60713341179716	-0.167997098839573	1.20773920849531	-0.139100476044721	0.88937075205461	0.998828143713156	0.75	1	0.25
Rdh10	0.306382755090418	-0.673379564983614	3.37603496987111	-0.199458705550471	0.841903942496579	0.998828143713156	0.25	0.2	0.05
Gm28095	0	NA	NA	NA	NA	NA	0	0	0
Stau2	0.0958849096166815	0.498037640701936	3.38585268927703	0.147093712103665	0.883058052908754	0.998828143713156	0	0.2	0.2
Gm7568	0	NA	NA	NA	NA	NA	0	0	0
Ube2w	1.21444525116463	-0.646810659249655	1.40511040571384	-0.460327285755922	0.645281318827339	0.998828143713156	0.75	0.4	0.35
Eloc	0.582119226349922	-0.926936707848187	2.59515583077518	-0.357179594711008	0.720957360789031	0.998828143713156	0.25	0.2	0.05
D030040B21Rik	0	NA	NA	NA	NA	NA	0	0	0
Tmem70	0.144237685550002	1.0811396422664	3.36340316618263	0.321442178902825	0.747875323504875	0.998828143713156	0	0.4	0.4
Ly96	0.46823719720066	1.1087165027975	2.69225675146441	0.411816778691123	0.680473722295516	0.998828143713156	0.25	0.4	0.15
Gm28376	0.0832058566235843	-0.271485940684102	3.37779230523914	-0.080373781497167	0.935939978762956	0.998828143713156	0.25	0.2	0.05
Jph1	0	NA	NA	NA	NA	NA	0	0	0
Gm28783	0	NA	NA	NA	NA	NA	0	0	0
Gdap1	0	NA	NA	NA	NA	NA	0	0	0
Gm28784	0	NA	NA	NA	NA	NA	0	0	0
Pi15	0.130477251571535	1.01204609267699	3.36697630741056	0.300580105196915	0.76373470404072	0.998828143713156	0	0.2	0.2
Gm28154	0.247697406118926	0.846074542875001	3.37863389971202	0.250419124412123	0.802263241529805	0.998828143713156	0	0.4	0.4
Gm16070	9.57578847323004	-0.94111702525287	0.432723644068676	-2.17486850592224	0.0296399716022453	0.998828143713156	1	1	0
Crispld1	11.8982127291921	-0.834142331819763	0.401838543228067	-2.07581464216671	0.0379110976167293	0.998828143713156	1	1	0
Gm28153	1.48365727631973	0.224195351592975	1.19050444147975	0.188319626354614	0.850626100990884	0.998828143713156	0.5	1	0.5
Gm28756	0	NA	NA	NA	NA	NA	0	0	0
Gm15825	0	NA	NA	NA	NA	NA	0	0	0
Tfap2d	0	NA	NA	NA	NA	NA	0	0	0
Tfap2b	0	NA	NA	NA	NA	NA	0	0	0
Pkhd1	0	NA	NA	NA	NA	NA	0	0	0
4930486I03Rik	0	NA	NA	NA	NA	NA	0	0	0
Lincmd1	0	NA	NA	NA	NA	NA	0	0	0
Il17f	0	NA	NA	NA	NA	NA	0	0	0
Mcm3	0.0352634018152436	-0.645678996483474	3.38058790279514	-0.190996067858379	0.848528673844412	0.998828143713156	0.25	0	0.25
6720483E21Rik	0	NA	NA	NA	NA	NA	0	0	0
Paqr8	0	NA	NA	NA	NA	NA	0	0	0
Efhc1	0.328967103912565	-1.73711885378667	3.36824591949484	-0.51573397409391	0.606040222623046	0.998828143713156	0.5	0	0.5
Tram2	3.13151607382898	-0.738319089546047	0.793895576378172	-0.929995217903002	0.352373560479792	0.998828143713156	1	1	0
Tmem14a	0	NA	NA	NA	NA	NA	0	0	0
Gsta3	0.0789990597642344	0.550154476064433	3.38734546640146	0.16241463456306	0.870979347128756	0.998828143713156	0	0.2	0.2
