gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	percent_WT	percent_PS19	percent_difference
Xkr4	0.0969306986774602	-0.05831139817749	3.20743657375083	-0.0181800627500171	0.98549520762954	0.999996927914393	0	0.2	0.2
Gm1992	0	NA	NA	NA	NA	NA	0	0	0
Gm19938	0	NA	NA	NA	NA	NA	0	0	0
Gm37381	0	NA	NA	NA	NA	NA	0	0	0
Rp1	2.31112684917633	0.426563500097216	0.817108968205443	0.522039919637704	0.601642536461455	0.999996927914393	0.6	1	0.4
Sox17	7.21321204504728	0.238229770851029	0.530236266295215	0.449289846798958	0.653222581113451	0.999996927914393	0.6	1	0.4
Gm37587	0.971498341020628	-1.1012656038046	1.31616180989233	-0.836725086176664	0.402747114823891	0.999996927914393	0.8	0.8	0
Gm37323	0	NA	NA	NA	NA	NA	0	0	0
Mrpl15	0.290154211476001	0.679447728531277	2.75837428584446	0.246321803396332	0.805433133145576	0.999996927914393	0.2	0.6	0.4
A930006A01Rik	0.165295708990117	-1.55461204280537	3.21009804629141	-0.484288024972134	0.628181473360691	0.999996927914393	0.2	0	0.2
Lypla1	2.91316720141498	0.056435735613316	0.718176787281096	0.0785819544891904	0.937365141377727	0.999996927914393	0.8	0.8	0
Tcea1	2.12078444762102	0.633056529088706	0.968120005130434	0.653902951838512	0.513174332069336	0.999996927914393	0.6	0.8	0.2
Rgs20	0.0449744372490454	-1.42253800423774	3.21353901903958	-0.44267021368326	0.658004290232251	0.999996927914393	0.2	0	0.2
Gm16041	0	NA	NA	NA	NA	NA	0	0	0
Atp6v1h	0.692068639782992	-0.653330380727806	1.74282404624562	-0.374868812566138	0.707758034485258	0.999996927914393	0.4	0.6	0.2
Oprk1	0	NA	NA	NA	NA	NA	0	0	0
Npbwr1	0	NA	NA	NA	NA	NA	0	0	0
4732440D04Rik	1.76537903583873	1.53871062024727	1.12446834819922	1.36838944618711	0.171190205979997	0.999996927914393	0.4	0.8	0.4
Rb1cc1	5.99789909886095	-0.709481336562026	0.482707088448012	-1.46979680543564	0.141616794630851	0.999996927914393	0.8	1	0.2
Alkal1	0	NA	NA	NA	NA	NA	0	0	0
St18	0.246443465242226	-0.035763800998948	3.16180447038478	-0.0113111994539611	0.990975161036446	0.999996927914393	0.2	0.4	0.2
Gm57122	0.0853082396332068	-0.735705732732963	3.21129122396531	-0.229099661607305	0.81879145646781	0.999996927914393	0.2	0.2	0
Pcmtd1	30.4028388022912	0.261605109607597	0.240723875066303	1.08674351281335	0.277150178043818	0.999996927914393	1	1	0
Gm26901	0	NA	NA	NA	NA	NA	0	0	0
Gm30414	0	NA	NA	NA	NA	NA	0	0	0
Sntg1	0	NA	NA	NA	NA	NA	0	0	0
Rrs1	0	NA	NA	NA	NA	NA	0	0	0
Adhfe1	0.0449744372490454	-1.42253800423774	3.21353901903958	-0.44267021368326	0.658004290232251	0.999996927914393	0.2	0	0.2
2610203C22Rik	0	NA	NA	NA	NA	NA	0	0	0
Vxn	0	NA	NA	NA	NA	NA	0	0	0
Mybl1	0.11223932841436	-0.141921269422768	3.21920474972476	-0.0440858163603611	0.964835998697524	0.999996927914393	0	0.2	0.2
Vcpip1	1.29781374836996	-0.215267112630181	1.37735647587615	-0.156290050107215	0.875804398828889	0.999996927914393	0.8	0.4	0.4
1700034P13Rik	0	NA	NA	NA	NA	NA	0	0	0
Sgk3	3.74163839272942	-0.271661749858562	0.7003183054218	-0.387911822032041	0.698081289139308	0.999996927914393	1	0.8	0.2
Snhg6	0.231440336127327	0.396692099660705	3.19949136653129	0.123985988463778	0.901326369042406	0.999996927914393	0	0.2	0.2
Mcmdc2	0	NA	NA	NA	NA	NA	0	0	0
Tcf24	0	NA	NA	NA	NA	NA	0	0	0
Ppp1r42	0	NA	NA	NA	NA	NA	0	0	0
Gm15818	0	NA	NA	NA	NA	NA	0	0	0
Gm57177	0	NA	NA	NA	NA	NA	0	0	0
Cops5	0.944729276694794	-3.11738496106232	1.68206930556042	-1.85330351773091	0.0638388672654775	0.999996927914393	0.8	0	0.8
Cspp1	1.2828938394801	0.513781256594434	1.21114908599917	0.424209754631964	0.671412847453388	0.999996927914393	0.4	0.8	0.4
Arfgef1	6.19206860599193	-0.196956896930708	0.497184799410081	-0.396144244885204	0.691998619821376	0.999996927914393	0.8	1	0.2
Cpa6	0	NA	NA	NA	NA	NA	0	0	0
Prex2	49.4735856182389	-0.0263267220822297	0.192904646011639	-0.136475313718682	0.89144553874025	0.999996927914393	1	1	0
A830018L16Rik	0	NA	NA	NA	NA	NA	0	0	0
Sulf1	0.977191129598027	-0.487569452773312	1.64528341543815	-0.296343747343657	0.766967579928067	0.999996927914393	0.4	0.4	0
Slco5a1	0	NA	NA	NA	NA	NA	0	0	0
Gm29283	0	NA	NA	NA	NA	NA	0	0	0
Prdm14	0	NA	NA	NA	NA	NA	0	0	0
Ncoa2	6.34170539357867	0.728868700030776	0.54645051144378	1.33382380429113	0.182261607695958	0.999996927914393	0.6	1	0.4
Gm29570	0	NA	NA	NA	NA	NA	0	0	0
Tram1	0.924730015896807	0.88708803552267	1.46403160918949	0.60592136805965	0.544566969397213	0.999996927914393	0.4	0.6	0.2
Gm57152	0.102834521280877	-0.894220753719025	3.20986475253043	-0.278585181202443	0.780563186343994	0.999996927914393	0.2	0.2	0
Lactb2	0.794627802165357	-0.661379344155283	1.66848324309816	-0.396395556797553	0.691813243380293	0.999996927914393	0.6	0.4	0.2
Xkr9	0	NA	NA	NA	NA	NA	0	0	0
Eya1	0.14539604801619	0.146279416496686	3.20340175169745	0.045663774897786	0.963578237118036	0.999996927914393	0	0.2	0.2
Gm9947	0	NA	NA	NA	NA	NA	0	0	0
Msc	0	NA	NA	NA	NA	NA	0	0	0
Trpa1	0	NA	NA	NA	NA	NA	0	0	0
Kcnb2	0.0449744372490454	-1.42253800423774	3.21353901903958	-0.44267021368326	0.658004290232251	0.999996927914393	0.2	0	0.2
Terf1	3.77374002115234	0.79443073844002	0.650196230954645	1.22183227250272	0.221771061605266	0.999996927914393	0.8	1	0.2
Sbspon	0.866104280407111	0.851397522308953	1.38194175911389	0.616087846462411	0.537836542924713	0.999996927914393	0.4	0.8	0.4
4930444P10Rik	0	NA	NA	NA	NA	NA	0	0	0
Rpl7	1.45720335053237	-0.472010870238245	1.04271701518073	-0.452673988595491	0.650783512464733	0.999996927914393	0.6	1	0.4
