gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	percent_WT	percent_PS19	percent_difference
Xkr4	0.135808376610767	-0.443297286980166	3.65258619956148	-0.121365318369047	0.903401685712117	0.998968915205284	0.2	0	0.2
Gm1992	0	NA	NA	NA	NA	NA	0	0	0
Gm19938	0	NA	NA	NA	NA	NA	0	0	0
Gm37381	0	NA	NA	NA	NA	NA	0	0	0
Rp1	2.61104728472237	-0.14963755979404	0.877461731322731	-0.170534570856405	0.864589748921221	0.998968915205284	0.8	1	0.2
Sox17	9.60382857836332	-0.385186495837943	0.497385186202416	-0.774422935228286	0.438680724980357	0.998968915205284	1	1	0
Gm37587	0.598105429545573	-1.76130096706586	2.3999029043933	-0.7339050941776	0.463006582129836	0.998968915205284	0.8	0.333333333333333	0.466666666666667
Gm37323	0.271616753221534	-0.694153434645554	3.64807911215728	-0.190279161527029	0.849090382028159	0.998968915205284	0.2	0	0.2
Mrpl15	0.245429178210956	0.981527230293613	3.59147575361489	0.273293570005501	0.784627557661347	0.998968915205284	0.2	0.666666666666667	0.466666666666667
A930006A01Rik	0.200414252665967	-0.725083876166614	3.64759289073205	-0.198784211365511	0.84243154702607	0.998968915205284	0.2	0	0.2
Lypla1	2.32241323533243	-0.167234876124974	0.958942111051118	-0.17439517380425	0.861554906950789	0.998968915205284	0.8	0.666666666666667	0.133333333333333
Tcea1	1.95807850429595	0.295544327693117	1.16646150623206	0.253368264716933	0.799983648806097	0.998968915205284	0.6	0.666666666666667	0.0666666666666667
Rgs20	0.0567039079132995	-0.725083610036848	3.64759289514849	-0.198784138164446	0.842431604289434	0.998968915205284	0.2	0	0.2
Gm16041	0	NA	NA	NA	NA	NA	0	0	0
Atp6v1h	2.26658139932564	-1.95084698172018	1.27100909304643	-1.53488042878141	0.124813201749011	0.998968915205284	0.8	0.333333333333333	0.466666666666667
Oprk1	0	NA	NA	NA	NA	NA	0	0	0
Npbwr1	0	NA	NA	NA	NA	NA	0	0	0
4732440D04Rik	1.09549446818423	1.17786246338336	1.73908788621792	0.677287486571433	0.498223568794802	0.998968915205284	0.4	0.666666666666667	0.266666666666667
Rb1cc1	7.95284043459922	-0.47343666514938	0.524843513286145	-0.902052998969356	0.3670287146986	0.998968915205284	1	1	0
Alkal1	0	NA	NA	NA	NA	NA	0	0	0
St18	0.481770277303317	1.20174841871296	3.15266919155806	0.381184433156164	0.703066399266315	0.998968915205284	0.2	0.666666666666667	0.466666666666667
Gm57122	0.0345688580970405	-0.540161431139364	3.65089010873616	-0.147953352484322	0.882379582299764	0.998968915205284	0.2	0	0.2
Pcmtd1	31.2421690276142	0.0427683516066738	0.274558717768077	0.155771238860464	0.876213341912304	0.998968915205284	1	1	0
Gm26901	0	NA	NA	NA	NA	NA	0	0	0
Gm30414	0	NA	NA	NA	NA	NA	0	0	0
Sntg1	0	NA	NA	NA	NA	NA	0	0	0
Rrs1	0	NA	NA	NA	NA	NA	0	0	0
Adhfe1	0.0567039079132995	-0.725083610036848	3.64759289514849	-0.198784138164446	0.842431604289434	0.998968915205284	0.2	0	0.2
2610203C22Rik	0	NA	NA	NA	NA	NA	0	0	0
Vxn	0	NA	NA	NA	NA	NA	0	0	0
Mybl1	0.668144230725215	0.399303193111216	2.82283783152938	0.141454528011224	0.887510880150423	0.998968915205284	0.2	0.333333333333333	0.133333333333333
Vcpip1	0.813657969992745	1.28741444285058	2.01694368914513	0.638299646033373	0.523278642376691	0.998968915205284	0.6	0.666666666666667	0.0666666666666667
1700034P13Rik	0	NA	NA	NA	NA	NA	0	0	0
Sgk3	4.72218538266329	0.0518015176505189	0.721322115529207	0.0718146810354124	0.942749389211495	0.998968915205284	1	1	0
Snhg6	0.234057231023363	0.973581785365494	3.64533054403739	0.267076407366669	0.789410332200396	0.998968915205284	0	0.333333333333333	0.333333333333333
Mcmdc2	0	NA	NA	NA	NA	NA	0	0	0
Tcf24	0	NA	NA	NA	NA	NA	0	0	0
Ppp1r42	0	NA	NA	NA	NA	NA	0	0	0
Gm15818	0	NA	NA	NA	NA	NA	0	0	0
Gm57177	0	NA	NA	NA	NA	NA	0	0	0
Cops5	1.37825228141318	-1.81341609500884	1.63798123460837	-1.10710431639494	0.268248829561565	0.998968915205284	1	0.333333333333333	0.666666666666667
Cspp1	1.5271326449864	-0.329171662725441	1.27569926497827	-0.258032337057941	0.796381950673593	0.998968915205284	0.6	0.666666666666667	0.0666666666666667
Arfgef1	9.06330179392892	-0.567593040863049	0.479414161610059	-1.18393048498369	0.236440581485692	0.998968915205284	1	1	0
Cpa6	0	NA	NA	NA	NA	NA	0	0	0
Prex2	60.5623484413987	-0.0667479818834743	0.225841016922379	-0.295552963731187	0.76757149904546	0.998968915205284	1	1	0
A830018L16Rik	0	NA	NA	NA	NA	NA	0	0	0
