gene	p_val	avg_log2FC	p_val_adj	percent_PS19	percent_WT	percent_difference
Rsrp1	0.00095990022164657	-1.25043271401739	1	0.8	0.875	0.075
Phip	0.00191089952694352	-0.705615355070331	1	1	1	0
Bmp6	0.00195794522533875	-1.76680718715391	1	0.6	0.75	0.15
9930021J03Rik	0.00216564304604255	-1.06752628547198	1	0.9	0.875	0.025
Thoc2	0.00253479180745086	-0.998402715609279	1	0.9	1	0.1
Arglu1	0.00255253715494387	-1.01086218256221	1	1	0.875	0.125
Sppl3	0.00299871398439322	-0.69211813862766	1	1	0.75	0.25
Btaf1	0.00333194912570775	-1.89117465717466	1	0.8	1	0.2
Fbxl20	0.00403486830291494	-1.97829687117732	1	0.8	0.875	0.075
Smc5	0.00495760190274644	2.08224039555686	1	0.9	0.5	0.4
Fn1	0.00502503934899999	0.847591271215757	1	1	0.875	0.125
Brip1os	0.00589586253174686	-2.25036849058759	1	0.6	0.875	0.275
Smyd3	0.00590520026031518	-0.87322288476534	1	1	1	0
Mcub	0.00632896126179782	2.08017943871157	1	1	0.5	0.5
Osbpl8	0.00641899638679319	-1.01895278156696	1	0.9	0.875	0.025
Camk1d	0.00646126274695437	-1.70479098924552	1	0.4	0.625	0.225
Snx5	0.00648990078156458	-2.8657557752873	1	0.3	0.75	0.45
Pfkfb3	0.00679404420914769	2.07840266066822	1	0.8	0.375	0.425
Dhdds	0.00681671889970169	-1.90974381222421	1	0.5	0.625	0.125
Phldb1	0.00700955359151986	1.78250252512286	1	0.9	0.375	0.525
Abcc4	0.00751249391397598	0.556753411351725	1	1	1	0
Ate1	0.00765204547806045	-1.79581166418101	1	0.4	0.875	0.475
Prr5l	0.00882811805663673	0.346487790588641	1	1	0.875	0.125
Mgp	0.00886046812899562	-0.81539245425723	1	1	0.875	0.125
Ppp1r2	0.00902324332913336	0.956892143666353	1	1	0.75	0.25
Gm46367	0.0092679763568911	-1.79160821230199	1	0.4	0.625	0.225
Bltp1	0.00945238699910939	-1.04404130849902	1	1	1	0
Mt1	0.00955546458745087	2.05818971201727	1	0.9	0.25	0.65
Gm10135	0.00986025983968444	-1.88649595604118	1	0.4	0.75	0.35
Nrp1	0.0102042968379789	-0.340205348345457	1	1	0.875	0.125
Rnf138	0.0107717200356863	-1.53471736407246	1	0.6	0.875	0.275
Dmtf1	0.0113588886703474	-1.0733366654623	1	0.7	0.75	0.05
Tbc1d30	0.0113942730817545	-1.7973825465235	1	0.2	0.625	0.425
Efr3b	0.0114740652539516	-0.481763783722818	1	0.9	1	0.1
Acvr2a	0.0115814123766123	-2.31909263761652	1	0.4	0.875	0.475
Stox2	0.0120771534359989	0.426974075003983	1	1	1	0
Alkbh6	0.0127301815418105	-2.54859854589219	1	0	0.875	0.875
Gm20275	0.0127504466578945	-1.65244102281516	1	0.4	0.75	0.35
Drg1	0.0129500365066029	-1.76776386044012	1	0.6	0.875	0.275
Pdia3	0.0129588848866372	-1.04107622122525	1	0.6	0.75	0.15
Phf14	0.0130251865326398	-1.03605340913382	1	0.9	1	0.1
Nedd4l	0.0130400573054143	-0.63246936697054	1	1	1	0
Etaa1	0.0134039572098278	-2.70133956276679	1	0.2	0.875	0.675
Chd4	0.0140077959499477	-1.88094541556021	1	0.7	0.875	0.175
Elf4	0.0144193418504056	-1.18908577538923	1	0.5	0.75	0.25
Snx7	0.0145191085946201	-1.65254750105561	1	0.6	0.875	0.275
Fgf13	0.0146003457149246	-1.9089930946274	1	0.6	0.75	0.15
Relb	0.0147013276371328	1.4999433131118	1	1	0.625	0.375
Gns	0.0147659425069545	-2.37710610592227	1	0.5	0.75	0.25
Retreg3	0.0153742524584952	-1.15583710937113	1	0.6	0.875	0.275
Vwf	0.0155132631791344	0.311939623386506	1	1	1	0
Kdm7a	0.0155837031794685	-1.14630464970603	1	0.7	0.625	0.075
Nploc4	0.0160031923423394	-2.23985091317236	1	0.4	0.75	0.35
Cep70	0.0160499210186047	-2.31362901775775	1	0.3	0.75	0.45
Cdc42bpb	0.0163332145634965	-0.932807901384735	1	0.8	1	0.2
Ndst1	0.0174858563766605	2.05138516456214	1	0.8	0.375	0.425
Nav2	0.0175583976795101	-2.17502762263936	1	0.5	0.875	0.375
Mta3	0.0175652056301281	-1.17476763531962	1	0.7	0.75	0.05
Slc12a2	0.0178529737000264	1.29669354276178	1	0.9	0.375	0.525
Git2	0.0179561093421178	0.848156121489999	1	1	1	0
Dusp23	0.0179844208744767	1.38408022508032	1	0.9	0.375	0.525
Rilpl1	0.0182116874182136	-1.96760945645167	1	0.5	0.75	0.25
Psma8	0.0185768726159649	-2.36747695284947	1	0.2	0.625	0.425
Rc3h2	0.0186244895453717	-1.23183200609184	1	0.8	0.75	0.05
Hipk3	0.0186488986607517	1.40735406869699	1	1	0.75	0.25
Zfp346	0.0188568841334963	-1.3664280782585	1	0.6	0.5	0.1
Spns2	0.0189277657489287	-1.9200889446802	1	0.4	0.625	0.225
Spats2	0.0190402834351922	-2.26167696049643	1	0.3	0.625	0.325
Tra2b	0.0196289845846198	-1.21274346484888	1	1	1	0
Mapk8	0.0200344669489494	-1.43595780280306	1	0.6	0.75	0.15
Gm10033	0.0209212984037044	-2.05534485459324	1	0.4	0.75	0.35
Tmem94	0.0210148426288437	-2.57495758256825	1	0.1	0.5	0.4
Lamc1	0.021476075801519	0.464423748911643	1	0.9	0.875	0.025
Tmsb4x	0.0217608521706944	-0.698756073127923	1	0.9	1	0.1
Prpf39	0.0217982060671408	-0.994193191205612	1	0.9	1	0.1
Tsg101	0.0222762930664895	-2.18182701103377	1	0.7	0.875	0.175
Tanc2	0.0224106609160493	-1.64920699651059	1	0.7	0.875	0.175
Ndfip2	0.0224219440369177	-1.64257536032398	1	0.6	0.875	0.275
Ddi2	0.0225410227983011	-1.22794156093048	1	0.8	0.875	0.075
Esco1	0.0229783371383136	-1.49614642425035	1	0.5	0.875	0.375
Lmo2	0.023191118700882	-0.494542943253795	1	1	0.875	0.125
Mtpn	0.0234388972336099	-1.02269749768805	1	0.6	0.75	0.15
Snx27	0.0234761086655342	-1.11480834346357	1	0.4	0.625	0.225
Sarnp	0.0243941532318864	-0.67383737169389	1	0.8	0.875	0.075
Rps6ka3	0.0244951169593905	-1.03975165641543	1	0.9	0.875	0.025
Immp1l	0.024682806423056	-1.29954029102203	1	0.5	0.75	0.25
Ptprk	0.024755495647789	0.598071347889165	1	1	0.875	0.125
Nfyc	0.0248736284903147	-0.866592842636361	1	0.7	0.75	0.05
5330438D12Rik	0.025105848660854	-1.21919783242572	1	0.6	0.75	0.15
Ube2d1	0.0253687341631778	-1.93035713136995	1	0.3	0.625	0.325
Cop1	0.0255868687054156	-0.706921900050577	1	0.9	0.75	0.15
Gbp2b	0.0258727622465611	2.0948575322107	1	0.9	0	0.9
Cdc42ep5	0.0260295242760057	-2.64822903498521	1	0.2	0.75	0.55
Ube2d3	0.0268233738511388	-0.877691310221731	1	1	1	0
Hsp90ab1	0.0272958119642364	1.44400151666757	1	0.7	0.5	0.2
Fam91a1	0.0284571429435618	-1.72274965926625	1	0.4	0.75	0.35
Galnt18	0.0288760834026035	-1.28658030794622	1	0.5	0.625	0.125
Magi1	0.029113819944321	-0.435826512310322	1	1	1	0
Snd1	0.0296910450963724	-1.06748850510266	1	1	1	0
Zfp809	0.0300224282530522	-1.49206032069456	1	0.6	0.875	0.275
Svil	0.0303551574779167	0.49754282564557	1	1	0.875	0.125
Pam	0.0306290326161923	-0.655612927157691	1	1	1	0
Zfp644	0.0307601065507006	-0.703466189268221	1	1	1	0
Elp3	0.031744705279085	-2.29178596758596	1	0.2	0.625	0.425
Gm28375	0.0318462830671003	-2.58928534869334	1	0.1	0.625	0.525
Zranb1	0.0318841826245969	-0.858663355273495	1	0.9	0.875	0.025
Efnb2	0.0321668854369444	-1.31709667926458	1	0.8	0.75	0.05
Tbl1xr1	0.0322768285436212	-1.08568838215733	1	0.8	1	0.2
Zmpste24	0.0322862900351227	-1.7176346877819	1	0.4	0.625	0.225
Chordc1	0.0325954047005417	-1.71877477080213	1	0.3	0.625	0.325
Cfh	0.0327952470106694	0.30847168018205	1	1	1	0
Adcy9	0.0331446612914464	-0.924525529618703	1	0.9	0.875	0.025
ENSMUSG00000121513	0.0332236198603462	0.367403219575071	1	1	1	0
Fmo1	0.0332258404151681	0.671890956535394	1	1	0.875	0.125
Rbbp7	0.0333484805595232	-1.20849142051985	1	0.6	0.625	0.025
Pdzd8	0.0333643205762733	-1.33301313025657	1	0.5	0.75	0.25
Afg3l1	0.0335150580746039	-1.03181484471362	1	0.3	0.625	0.325
Tcerg1	0.0335567740282757	-0.76636819772349	1	0.4	0.75	0.35
Tmem87b	0.0337392216617175	1.69500770814492	1	0.9	0.5	0.4
Gdpd5	0.0337448301014545	0.854613086830679	1	0.9	0.75	0.15
Ptprd	0.0337556515109612	1.64478862636853	1	0.7	0.375	0.325
Nufip2	0.0341656790932658	-0.921233005192657	1	0.9	1	0.1
Lrig2	0.0354118533292312	-2.34909667373258	1	0.4	0.625	0.225
Fam168b	0.0356041440008901	-1.56281244879052	1	0.5	0.625	0.125
Tmem248	0.0361406624114992	-1.55040792512587	1	0.7	0.625	0.075
