gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	percent_0	percent_3	percent_difference
Xkr4	2.18574771683413	-0.693527140439549	1.61591501993162	-0.429185403864181	0.667788304304067	0.999933408011289	0.5	0.4	0.1
Gm1992	0	NA	NA	NA	NA	NA	0	0	0
Gm19938	0	NA	NA	NA	NA	NA	0	0	0
Gm37381	0.186406649902533	0.842792560182957	3.36935729307347	0.250134517320416	0.802483323265703	0.999933408011289	0	0.2	0.2
Rp1	3.9752080046578	1.44197477552616	0.903906751108258	1.59526939450136	0.11065200653269	0.999933408011289	0.75	1	0.25
Sox17	0.162537096311621	1.22880244068456	3.35835366547049	0.365894293182612	0.714443954914446	0.999933408011289	0	0.2	0.2
Gm37587	0	NA	NA	NA	NA	NA	0	0	0
Gm37323	0.186406649902533	0.842792560182957	3.36935729307347	0.250134517320416	0.802483323265703	0.999933408011289	0	0.2	0.2
Mrpl15	5.62615794031372	0.484820140150537	0.70195635292108	0.690669922899102	0.48977299480059	0.999933408011289	1	1	0
A930006A01Rik	0.628667277205241	1.98279611107498	2.26102383204947	0.876946135184122	0.380515895845825	0.999933408011289	0.25	0.6	0.35
Lypla1	15.9956930472404	-0.021703701152161	0.411338326948356	-0.0527636248077751	0.957920244306544	0.999933408011289	1	1	0
Tcea1	25.6422260716356	0.298554166456903	0.360646849819363	0.827829680493368	0.407766963257911	0.999933408011289	1	1	0
Rgs20	0.61908454169017	2.64964702655771	2.46935354690838	1.07301242054831	0.283265543374934	0.999933408011289	0	0.6	0.6
Gm16041	0	NA	NA	NA	NA	NA	0	0	0
Atp6v1h	18.2315871110636	-0.526040193675325	0.470319933372438	-1.11847309958424	0.263364989252462	0.999933408011289	1	1	0
Oprk1	0	NA	NA	NA	NA	NA	0	0	0
Npbwr1	0	NA	NA	NA	NA	NA	0	0	0
4732440D04Rik	24.5679219590921	-0.138151102407998	0.345524918184218	-0.399829636409442	0.689282000701069	0.999933408011289	1	1	0
Rb1cc1	58.2012534920834	0.0510938764986617	0.228837921172993	0.223275391756581	0.823321178389692	0.999933408011289	1	1	0
Alkal1	0.310457347096209	1.88445454325665	3.06873202322869	0.614082470868202	0.539160831033913	0.999933408011289	0	0.6	0.6
St18	1.77036619445566	0.734139334598818	1.87763578149488	0.390991342322168	0.695803635335773	0.999933408011289	0.25	0.6	0.35
Gm57122	0.53465563443869	0.312483843025942	2.32229746928201	0.134558060351568	0.892961302940904	0.999933408011289	0.5	0.4	0.1
Pcmtd1	62.3875457590655	0.0655688786917447	0.222032578628455	0.295311972219474	0.767755571634477	0.999933408011289	1	1	0
Gm26901	0	NA	NA	NA	NA	NA	0	0	0
Gm30414	0	NA	NA	NA	NA	NA	0	0	0
Sntg1	1.83755912357063	2.12086672500389	1.86155692138864	1.13929727350041	0.254579185210029	0.999933408011289	0.25	0.4	0.15
Rrs1	0.60318108798376	-0.174137545993335	2.26156889769329	-0.0769985589079104	0.938624691390685	0.999933408011289	0.5	0.4	0.1
Adhfe1	13.0801308916773	-0.348931961457531	0.4624843062901	-0.754473085274072	0.450565200818738	0.999933408011289	1	1	0
2610203C22Rik	1.32432775285181	0.166796174687539	1.37919989676754	0.120936910652663	0.903741006247944	0.999933408011289	0.75	0.8	0.05
Vxn	0	NA	NA	NA	NA	NA	0	0	0
Mybl1	0.679336343414356	-0.0941424473358316	2.18635357641118	-0.0430591137460772	0.965654411554381	0.999933408011289	0.5	0.4	0.1
Vcpip1	8.85257839153956	1.06278385589388	0.793301621781399	1.33969706693319	0.180343851522261	0.999933408011289	0.75	1	0.25
1700034P13Rik	1.10030069185567	0.512963181602763	1.73567542868657	0.295540959516224	0.767580667717675	0.999933408011289	0.75	0.4	0.35
Sgk3	29.0327883426984	0.0225880809703283	0.341594946066402	0.0661253371293655	0.94727803888164	0.999933408011289	1	1	0
Snhg6	4.97995756485849	-1.29086138856607	0.946189985252156	-1.36427293533662	0.172481680651407	0.999933408011289	0.75	0.8	0.05
Mcmdc2	0.173663555291793	-0.62608580338745	3.34770407804135	-0.187019458348826	0.851645376553444	0.999933408011289	0.25	0	0.25
Tcf24	0.232864993903005	-0.00790249559635982	3.36121214011662	-0.00235108504519611	0.998124107269501	0.999933408011289	0.25	0.2	0.05
Ppp1r42	0.205891717461166	0.695598736833052	3.35385309508634	0.207402863844024	0.835695246203199	0.999933408011289	0.25	0.4	0.15
Gm15818	0	NA	NA	NA	NA	NA	0	0	0
Gm57177	0	NA	NA	NA	NA	NA	0	0	0
Cops5	9.49469681652815	0.255057913476993	0.5790399032121	0.440484173995806	0.659586472099197	0.999933408011289	1	1	0
Cspp1	33.742833733625	0.394594535660672	0.321935318282478	1.22569507988695	0.220313442419707	0.999933408011289	1	1	0
Arfgef1	45.2482736661482	-0.0152446984765926	0.311974681756595	-0.0488651783880547	0.96102673931556	0.999933408011289	1	1	0
Cpa6	0	NA	NA	NA	NA	NA	0	0	0
Prex2	71.0400630364529	-0.457548027695309	0.226104904717435	-2.02360947573035	0.043010349293912	0.999933408011289	1	1	0
A830018L16Rik	0.0856345880941326	-0.558774458084175	3.36027667070249	-0.166288229465153	0.867930128612594	0.999933408011289	0.25	0	0.25
Sulf1	96.6207094604818	-0.317628491762758	0.227687545027284	-1.39501917737615	0.163010056612343	0.999933408011289	1	1	0
Slco5a1	0	NA	NA	NA	NA	NA	0	0	0
Gm29283	0	NA	NA	NA	NA	NA	0	0	0
Prdm14	0	NA	NA	NA	NA	NA	0	0	0
Ncoa2	68.1595062311545	0.326981054322918	0.223526553777368	1.4628286832024	0.143514262360704	0.999933408011289	1	1	0
Gm29570	0.348713054315093	-1.42181585994286	3.32762727793575	-0.427276176442714	0.669178182879274	0.999933408011289	0.5	0	0.5
Tram1	7.27483209537765	-0.26576093295335	0.732917141245035	-0.362607064288183	0.716898432412634	0.999933408011289	1	1	0
Gm57152	0.123128531410421	0.88389132448827	3.36027654840225	0.263041244301319	0.792518789753835	0.999933408011289	0	0.2	0.2
Lactb2	16.9913004182019	-0.0833619083958013	0.37837726923796	-0.220314260853168	0.825626414453092	0.999933408011289	1	1	0
Xkr9	0	NA	NA	NA	NA	NA	0	0	0
Eya1	245.00503965183	-0.199861588019721	0.130425143160999	-1.53238542182781	0.125427352744217	0.999933408011289	1	1	0
Gm9947	0.790559601296614	-3.04427314282042	2.20078313357531	-1.38326811777897	0.166582670019413	0.999933408011289	0.75	0	0.75
Msc	0.388319685957136	0.104935697486466	2.53950029596424	0.0413213960452099	0.967039676058387	0.999933408011289	0.5	0.4	0.1
Trpa1	0.833198399099215	1.64821642169529	1.83759083281675	0.896944190328174	0.369748698196305	0.999933408011289	0.25	0.8	0.55
Kcnb2	333.002367458756	0.0571777244882442	0.234905549234348	0.24340729571783	0.807689892575923	0.999933408011289	1	1	0
Terf1	16.8778834542755	-0.726315335159625	0.403616329759202	-1.79951920080376	0.0719365894290436	0.999933408011289	1	1	0
Sbspon	0.484693374499681	0.180638089499856	2.40768574773091	0.075025608998224	0.940194336276622	0.999933408011289	0.5	0.4	0.1
4930444P10Rik	0.0856345880941326	-0.558774458084175	3.36027667070249	-0.166288229465153	0.867930128612594	0.999933408011289	0.25	0	0.25
Rpl7	3.11030758509656	1.22227702198758	1.04408394349633	1.17066930259891	0.241731728800512	0.999933408011289	0.75	1	0.25
Rdh10	7.00779433013006	-0.0690606139081796	0.695964433955169	-0.099230090704072	0.920955583828618	0.999933408011289	1	1	0
Gm28095	0	NA	NA	NA	NA	NA	0	0	0
Stau2	5.05071725491426	0.262999989077711	0.821962723754014	0.319965834796686	0.748994230004909	0.999933408011289	1	1	0
