gene	p_val	avg_log2FC	p_val_adj	percent_3	percent_0	percent_difference
Per2	7.31129737601766e-11	-1.67812038885394	1.95153149560663e-06	1	1	0
Elmo1	1.86495700433641e-10	-1.12466950005564	4.97794323597475e-06	1	1	0
Plxdc2	2.78814611478938e-09	0.547059300959993	7.44211960959583e-05	1	1	0
Gpcpd1	1.79365567926801e-08	-0.700892943223734	0.000478762573910218	1	1	0
Man1c1	3.57393981957531e-07	0.727414072458391	0.00953956016641041	1	1	0
Crebrf	4.23300415285888e-07	-0.583723619161881	0.0112987346848109	1	1	0
Plekhg1	7.17698203061693e-07	0.549357069334039	0.0191568004361227	1	1	0
Strbp	1.79391807096031e-06	-0.517056010384795	0.0478832611500725	1	1	0
Col4a1	2.64918620764307e-06	0.80326875293068	0.0707120782544089	1	1	0
Mthfd1l	3.67116802987175e-06	-1.50855684316319	0.0979908170533366	0.8	1	0.2
Arhgap10	7.46630495201535e-06	0.515010390910328	0.199290611779194	1	1	0
Fkbp5	1.37945569603763e-05	-0.744789853188786	0.368204314386363	1	1	0
Ciart	1.63045682925365e-05	-1.43060150087917	0.435201536864385	0.4	1	0.6
Spo11	1.83601571103043e-05	-1.01825370379503	0.490069313588241	1	1	0
Cdk19	1.86660381876239e-05	0.911240721487731	0.498233891304058	1	1	0
Prodh	1.98982496274292e-05	-0.803880273093245	0.531124079055341	1	1	0
Gm12394	2.26071900236559e-05	-1.46721641789081	0.603431116111424	0.2	1	0.8
Adamts12	3.14856086382162e-05	0.673630694093454	0.840413865771268	1	1	0
Lpgat1	3.40900139213975e-05	-1.45557696121853	0.909930651589942	0.9	1	0.1
Eif4g3	4.81484432799823e-05	0.697352787986456	1	1	1	0
Gm36012	5.09905162536312e-05	-1.52108553870431	1	0.8	1	0.2
Wee1	5.27529055579671e-05	-1.19185492765759	1	0.9	1	0.1
Dennd4a	5.46382971868624e-05	0.436830748015306	1	1	1	0
Adamts15	0.000114843557646899	0.787543140269138	1	1	1	0
Rftn1	0.000121786418822934	0.884359541195135	1	0.9	0.5	0.4
Myo1b	0.000128703306526371	0.492656651185168	1	1	1	0
Trps1	0.000137855424106651	0.361714810823017	1	1	1	0
Ccdc192	0.000142397300922682	-0.617092249615983	1	1	1	0
Vps13a	0.000142422533942634	-0.361781422584017	1	1	1	0
Arhgef10l	0.000171786034761056	0.682419272461431	1	1	1	0
Slc22a4	0.000189002698815037	0.80796252017696	1	1	1	0
Ppp4r4	0.000199327170730358	-1.30111771303172	1	0.7	0.875	0.175
Limch1	0.000210976748629144	0.951000703977544	1	0.9	0.625	0.275
Sash1	0.000217368308602541	0.429246853061474	1	1	1	0
Trap1	0.000242747294456483	-1.19727637649182	1	1	1	0
Per3	0.000253017352071651	-0.447055874366835	1	1	1	0
Arntl	0.000294710943870768	0.571838089374546	1	0.8	0	0.8
Daam1	0.000315340509604712	0.690049394533991	1	1	1	0
Yif1b	0.000327240363156974	0.530951935137491	1	0.7	0	0.7
Acer3	0.000329020337841158	-0.514696861905849	1	1	1	0
