gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	percent_0	percent_3	percent_difference
Xkr4	2.72173640332145	-0.736954498424255	1.02786059018207	-0.71697903924278	0.473387030195678	NA	0.625	0.5	0.125
Gm1992	0	NA	NA	NA	NA	NA	0	0	0
Gm19938	0	NA	NA	NA	NA	NA	0	0	0
Gm37381	0.302748570963899	1.48257463186555	2.21304225472327	0.669926039008656	0.502904939588265	NA	0	0.4	0.4
Rp1	4.30813185320957	0.339240930983041	0.495389925542324	0.684795781043912	0.493472798018757	NA	0.875	1	0.125
Sox17	0.207131470133138	0.189716234297789	2.93436009397951	0.0646533582183841	0.948449999826957	NA	0.125	0.2	0.075
Gm37587	0.0635534318183553	0.299197243493834	3.08427686604797	0.0970072585854491	0.922720630121404	NA	0	0.1	0.1
Gm37323	0.238977050114972	-0.260195717262723	2.3334605680881	-0.111506369904469	0.91121481464904	NA	0.25	0.2	0.05
Mrpl15	6.32911550357023	0.0325510181782009	0.460200316486376	0.070732281165575	0.943610828516537	NA	1	1	0
A930006A01Rik	0.655428630260449	1.49045529728252	1.2164781681239	1.22522157514849	0.220491747588843	NA	0.25	0.7	0.45
Lypla1	19.5947761722914	-0.301253560758217	0.211425663273615	-1.42486752125427	0.154195499681854	0.782093378209694	1	1	0
Tcea1	31.0781606037988	0.00268777892465615	0.207653273018509	0.012943590464941	0.98967279737143	0.998049682143652	1	1	0
Rgs20	0.440014429644742	1.88576779656021	2.05233781810914	0.918838887010136	0.358179849125532	NA	0	0.4	0.4
Gm16041	0	NA	NA	NA	NA	NA	0	0	0
Atp6v1h	20.6513841687485	0.171374632675608	0.360590841410503	0.475260636141648	0.634601212528515	0.969697546932867	1	1	0
Oprk1	0	NA	NA	NA	NA	NA	0	0	0
Npbwr1	0	NA	NA	NA	NA	NA	0	0	0
4732440D04Rik	30.5434754652183	-0.107474684260663	0.185556053993564	-0.579203329385257	0.562451984587235	0.947407275663952	1	1	0
Rb1cc1	70.8251102521421	-0.0128836497125974	0.123338837308789	-0.104457363095957	0.916806402439553	0.990490233793141	1	1	0
Alkal1	0.36632438601599	0.710096391393937	1.83457905161436	0.387062302258972	0.69871008504331	NA	0.125	0.4	0.275
St18	1.34803847454021	0.206498206630409	1.41211328507065	0.146233456489348	0.883737094978983	NA	0.25	0.5	0.25
Gm57122	0.318835023231718	0.0215715150591087	2.13562233356574	0.01010080982956	0.991940856826461	NA	0.25	0.2	0.05
Pcmtd1	73.3983516528146	0.0490721837060938	0.143820847696284	0.341203549361096	0.732950351445057	0.97618627659465	1	1	0
Gm26901	0	NA	NA	NA	NA	NA	0	0	0
Gm30414	0	NA	NA	NA	NA	NA	0	0	0
Sntg1	1.27141802747269	-2.74127197982089	3.01284191861781	-0.909862533072595	0.362895011087929	NA	0.25	0.2	0.05
