gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	percent_WT	percent_PS19	percent_difference
Xkr4	2.24696396809462	-0.714640244935885	1.36414675499949	-0.523873433937211	0.60036657343265	0.999660071776556	0.5	0.75	0.25
Gm1992	0	NA	NA	NA	NA	NA	0	0	0
Gm19938	0	NA	NA	NA	NA	NA	0	0	0
Gm37381	0	NA	NA	NA	NA	NA	0	0	0
Rp1	3.45935457838605	1.14654027693232	0.96160248008504	1.1923225040257	0.233134813847774	0.999660071776556	0.75	1	0.25
Sox17	0.10943303036173	1.05280491011723	3.64622164005795	0.28873859409723	0.772781426146912	0.999660071776556	0	0.25	0.25
Gm37587	0	NA	NA	NA	NA	NA	0	0	0
Gm37323	0.18951114528174	1.44246998465914	3.63323163495851	0.39702120029449	0.691351827122931	0.999660071776556	0	0.5	0.5
Mrpl15	6.34223005513626	0.366350558546885	0.854150975775619	0.428906093813471	0.66799156532593	0.999660071776556	1	1	0
A930006A01Rik	0.156983710332499	0.236452054420598	3.61622244759664	0.0653864793571384	0.947866288952239	0.999660071776556	0.25	0.25	0
Lypla1	21.4964621817061	0.47630132523552	0.393346218816488	1.21089590404258	0.225935302624606	0.999660071776556	1	1	0
Tcea1	31.989577879057	0.356884991654031	0.359011741450386	0.994076099606761	0.320185820134302	0.999660071776556	1	1	0
Rgs20	0	NA	NA	NA	NA	NA	0	0	0
Gm16041	0	NA	NA	NA	NA	NA	0	0	0
Atp6v1h	20.14823925272	-1.29574666349394	0.524851889617469	-2.46878536426406	0.013557250826618	0.999660071776556	1	1	0
Oprk1	0	NA	NA	NA	NA	NA	0	0	0
Npbwr1	0	NA	NA	NA	NA	NA	0	0	0
4732440D04Rik	31.8209057072602	0.313168461125523	0.340858119194382	0.918764856960709	0.358218577839637	0.999660071776556	1	1	0
Rb1cc1	73.0615582819365	0.154841178855747	0.228606316996357	0.677326772462786	0.498198648023882	0.999660071776556	1	1	0
Alkal1	0.269657704936104	1.10703258120745	3.65784169505928	0.302646389181562	0.762159357887866	0.999660071776556	0	0.25	0.25
St18	1.56978280549666	-0.134654318668192	2.24644238633499	-0.0599411404838547	0.952202513416182	0.999660071776556	0.25	0.25	0
Gm57122	0.284231218695297	-1.65008693528207	3.61558520349237	-0.456381703766299	0.648115520166328	0.999660071776556	0.5	0	0.5
Pcmtd1	73.4910710906136	-0.0299848355364576	0.254843467855025	-0.117659815999346	0.906337207734177	0.999660071776556	1	1	0
Gm26901	0	NA	NA	NA	NA	NA	0	0	0
Gm30414	0	NA	NA	NA	NA	NA	0	0	0
Sntg1	0.64382560057181	1.5647622460844	3.09558872002529	0.505481311506917	0.613220821318815	0.999660071776556	0.25	0.25	0
Rrs1	1.19866541314787	0.474627883363907	1.69827283648053	0.279476815013727	0.779878928377388	0.999660071776556	0.5	1	0.5
Adhfe1	18.0565342874915	0.204952786629748	0.521318241789289	0.393143324366132	0.694213626798613	0.999660071776556	1	1	0
2610203C22Rik	1.27334116593021	0.378434101607759	1.51994609955933	0.248978632674854	0.803377309707932	0.999660071776556	0.75	1	0.25
Vxn	0	NA	NA	NA	NA	NA	0	0	0
Mybl1	1.02449035468128	0.164773315058551	1.72443665241926	0.0955519675526417	0.923876414906842	0.999660071776556	0.5	0.75	0.25
Vcpip1	9.28091033617024	-0.0420946173037804	0.689651722771477	-0.0610375003989208	0.951329343718233	0.999660071776556	0.75	0.75	0
1700034P13Rik	1.02604955961172	1.12188109425799	1.70858368170339	0.656614660593927	0.511428719748674	0.999660071776556	0.75	0.75	0
Sgk3	36.1937292390603	0.151874367290753	0.350079981099285	0.433827626515099	0.664413618410452	0.999660071776556	1	1	0
Snhg6	8.06253882719239	-0.472966835484166	0.861092487908627	-0.549263687844823	0.582824503263749	0.999660071776556	0.75	1	0.25
Mcmdc2	0.236680538724528	-1.1072419459498	3.62860327981032	-0.305142739662539	0.760257440904322	0.999660071776556	0.25	0	0.25
Tcf24	0.206093479124891	-0.517503899332934	3.65219451338219	-0.141696696995935	0.887319584032265	0.999660071776556	0.25	0	0.25
Ppp1r42	0.0475506799707691	-0.751750804288704	3.64048077844144	-0.206497671609886	0.836402183337207	0.999660071776556	0.25	0	0.25
Gm15818	0	NA	NA	NA	NA	NA	0	0	0
Gm57177	0	NA	NA	NA	NA	NA	0	0	0
Cops5	13.2008865594592	0.61864959196576	0.593707137103088	1.04201137783921	0.297406403896858	0.999660071776556	1	1	0
Cspp1	33.6324805466825	-0.431061201755583	0.375534239069365	-1.14786125180975	0.251025846437362	0.999660071776556	1	1	0
Arfgef1	55.7950606748433	-0.0544457432528855	0.256518555142773	-0.212248752229959	0.831912974279655	0.999660071776556	1	1	0
Cpa6	0.10943303036173	1.05280491011723	3.64622164005795	0.28873859409723	0.772781426146912	0.999660071776556	0	0.25	0.25
Prex2	100.951300840393	0.272690826038005	0.25101722560467	1.08634308016562	0.277327234043143	0.999660071776556	1	1	0
A830018L16Rik	0.116369728772203	-0.404117255774412	3.65470794912718	-0.110574432047552	0.911953823399351	0.999660071776556	0.25	0	0.25
Sulf1	125.689070007088	-0.0566549038930506	0.221471254657618	-0.255811545297993	0.798096358609984	0.999660071776556	1	1	0
Slco5a1	0	NA	NA	NA	NA	NA	0	0	0
Gm29283	0	NA	NA	NA	NA	NA	0	0	0
Prdm14	0	NA	NA	NA	NA	NA	0	0	0
Ncoa2	69.934611849204	-0.261765731688335	0.258164088828445	-1.01395098317599	0.310606142071392	0.999660071776556	1	1	0
Gm29570	0.474433938578374	-2.47114519722625	3.24184765611778	-0.762264442797886	0.445902191150698	0.999660071776556	0.5	0	0.5
Tram1	11.1830750585429	-0.036158106187809	0.670794332885214	-0.0539034163158268	0.95701211479875	0.999660071776556	1	1	0
Gm57152	0	NA	NA	NA	NA	NA	0	0	0
Lactb2	18.2132292508143	-0.328387135804621	0.446622366076609	-0.73526800435313	0.462176290134913	0.999660071776556	1	1	0
Xkr9	0	NA	NA	NA	NA	NA	0	0	0
Eya1	313.789001706637	0.043222073500751	0.153719008019522	0.281175854942167	0.778575522879473	0.999660071776556	1	1	0
Gm9947	1.43312350689556	-1.51700441139129	1.69530558179156	-0.89482653020475	0.37087982587955	0.999660071776556	0.75	0.5	0.25
Msc	0.218636923923837	-0.589915184667789	3.62269137882194	-0.162838929122255	0.870645256321486	0.999660071776556	0.5	0.25	0.25
Trpa1	1.65521150643524	2.09437350975082	1.58686600358599	1.3198174924776	0.186895959858831	0.999660071776556	0.25	1	0.75
Kcnb2	344.504349986951	-0.707011223014094	0.419561686494046	-1.68511865066146	0.0919656819677736	0.999660071776556	1	1	0
Terf1	23.0381062583091	-0.260101225850476	0.398475409787087	-0.652740970865561	0.513923284435859	0.999660071776556	1	1	0
