gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	percent_0	percent_3	percent_difference
Xkr4	13907.478642509	0.0303454762137274	0.103063983325507	0.294433372693227	0.768426768754151	0.999828885337236	1	1	0
Gm1992	596.89121791823	-0.405263911699517	0.274424760834795	-1.47677604042256	0.139735681126314	0.999828885337236	1	1	0
Gm19938	661.152019845739	0.0255622840175671	0.131162850404258	0.194889665318964	0.845479324946759	0.999828885337236	1	1	0
Gm37381	0.332474441233709	-0.403576522882491	3.35296812209841	-0.120363960582458	0.904194839092058	NA	0.25	0.2	0.05
Rp1	7.95249741508445	0.205765807942143	0.621035675693844	0.331326872183718	0.740397595463561	NA	1	1	0
Sox17	0.655813623483576	0.99620547952525	2.35177750263356	0.423596823428101	0.671859872370625	NA	0.25	0.4	0.15
Gm37587	0.144917981329363	0.366868830925468	3.36935729307347	0.108883920289384	0.913294560559532	NA	0	0.2	0.2
Gm37323	0.058704671508997	0.366868830925469	3.36935729307347	0.108883920289385	0.913294560559532	NA	0	0.2	0.2
Mrpl15	181.351689218082	0.128867107346504	0.129879763521074	0.992203125821012	0.321098448003867	0.999828885337236	1	1	0
A930006A01Rik	19.8640680892683	-0.0792979394814465	0.372594678483453	-0.212826280300641	0.831462464590384	0.999828885337236	1	1	0
Lypla1	282.298422095752	-0.102320286583811	0.113946487236882	-0.897967888830995	0.369202669081153	0.999828885337236	1	1	0
Tcea1	754.409424027418	-0.0604359746044747	0.0794807896014457	-0.76038467795211	0.447024679239574	0.999828885337236	1	1	0
Rgs20	884.165263950585	-0.208985780944985	0.157139115050007	-1.32994118541701	0.183537650253809	0.999828885337236	1	1	0
Gm16041	4.05381148167248	-0.654499651523084	0.706125475836381	-0.926888596885493	0.353984378360016	NA	1	1	0
Atp6v1h	1384.18433743586	-0.129044394306485	0.0734525394546394	-1.75684047501416	0.078945003975666	0.999828885337236	1	1	0
Oprk1	177.261166011736	0.0313820044052665	0.212664900368118	0.147565509639555	0.882685676358069	0.999828885337236	1	1	0
Npbwr1	1.06831844073758	1.52718654708887	1.566781052286	0.974728756682783	0.329694824595009	NA	0.5	0.8	0.3
4732440D04Rik	212.744356781596	-0.195971858954214	0.129039554295973	-1.51869603102255	0.12883902611684	0.999828885337236	1	1	0
Rb1cc1	1554.36227783944	0.0198613688575559	0.0874124446160812	0.227214430906123	0.820257006893947	0.999828885337236	1	1	0
Alkal1	1.41636105207015	0.264216926289794	1.19045139640726	0.221946840574248	0.824355266240754	NA	1	0.8	0.2
St18	110.211405510798	-0.325005404603774	0.226540418470656	-1.43464643880259	0.15138787421998	0.999828885337236	1	1	0
Gm57122	4.17541569678335	-0.213991224909886	0.788424591622515	-0.271416223166643	0.786070925905525	NA	1	1	0
Pcmtd1	1758.19830689701	-0.0835718862742819	0.0921344087626838	-0.907064878329476	0.364372489579025	0.999828885337236	1	1	0
Gm26901	234.589507880749	0.0167552548508289	0.114599900157938	0.146206539689278	0.883758343114114	0.999828885337236	1	1	0
Gm30414	0.763414245218904	-0.214072486462377	2.2880976384598	-0.0935591571199193	0.925459355142504	NA	0.25	0.4	0.15
Sntg1	13255.8539930198	-0.0553801703872249	0.0833902131661434	-0.664108751909383	0.506620709053705	0.999828885337236	1	1	0
Rrs1	26.7631833886681	0.34206556984207	0.284434423442266	1.20261663726332	0.229124706458279	0.999828885337236	1	1	0
