gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	percent_0	percent_3	percent_difference
Xkr4	16349.5456695368	0.0266392890769518	0.103018717026006	0.258586884461267	0.79595400382624	0.999859467891763	1	1	0
Gm1992	637.384141281087	0.142601906604271	0.403138763930207	0.35372908626807	0.723541922427919	0.999859467891763	1	1	0
Gm19938	750.704292121124	0.0143649128691904	0.134830827525784	0.106540270743672	0.915153705779075	0.999859467891763	1	1	0
Gm37381	0.149356334945123	0.957119788620833	3.64896103412447	0.262299262631201	0.793090730465166	0.999859467891763	0	0.2	0.2
Rp1	6.77258887991507	0.403800051787456	0.697167735222164	0.579200716537432	0.562453747402129	0.999859467891763	1	1	0
Sox17	0.827470875608691	1.58328448340856	2.17636231389616	0.727491223910295	0.466925089558192	0.999859467891763	0.333333333333333	0.6	0.266666666666667
Gm37587	0.291732877670743	1.15599473458839	3.65041669517954	0.31667473363107	0.751490422451865	0.999859467891763	0	0.4	0.4
Gm37323	0.0746781674725614	0.578658213096334	3.65668468413765	0.158246680553699	0.874262421371053	0.999859467891763	0	0.2	0.2
Mrpl15	218.587765385955	-0.0142826393521185	0.13694798603175	-0.104292438070665	0.916937278734642	0.999859467891763	1	1	0
A930006A01Rik	18.3213412978725	0.332953607550866	0.426835343007946	0.780051635847475	0.435360482404274	0.999859467891763	1	1	0
Lypla1	317.2036724593	-0.0339211186356706	0.128897242166058	-0.263164037225639	0.792424148209126	0.999859467891763	1	1	0
Tcea1	836.614371001383	-0.0630790973510253	0.0888506373807875	-0.709945355604901	0.477738022950731	0.999859467891763	1	1	0
Rgs20	1092.91128642795	-0.296886122781528	0.160444995048534	-1.85039192211463	0.0642570824301912	0.999859467891763	1	1	0
Gm16041	4.6765204986319	-0.0396745507933744	0.829786976497981	-0.0478129350267899	0.961865327686721	0.999859467891763	1	1	0
Atp6v1h	1542.47514041453	-0.103870808416692	0.0854033760599714	-1.21623773214484	0.223894373955807	0.999859467891763	1	1	0
Oprk1	194.497202683077	-0.40359596811081	0.197216333963307	-2.04646319095406	0.0407108204202149	0.999859467891763	1	1	0
Npbwr1	1.92762691384998	-0.292818245791374	1.16164006394352	-0.252073129087266	0.800984539331988	0.999859467891763	1	1	0
4732440D04Rik	260.869289307568	0.0304819765839981	0.150718004606982	0.202245091178616	0.839725123736941	0.999859467891763	1	1	0
Rb1cc1	1744.60310751699	-0.0178916041598184	0.0934634519582494	-0.191428882466386	0.848189593523623	0.999859467891763	1	1	0
Alkal1	1.29189791296049	0.0915647383816272	1.50694921650516	0.0607616616265143	0.951549023467749	0.999859467891763	1	0.6	0.4
St18	129.52702429246	-0.443873243887943	0.2252093665635	-1.97093598130959	0.0487311988617168	0.999859467891763	1	1	0
Gm57122	2.75662464043357	-0.692126822958869	1.10912051429105	-0.624032117376601	0.532606492772783	0.999859467891763	1	0.8	0.2
Pcmtd1	1964.46802293916	-0.0913185088119994	0.105579630117631	-0.864925447363828	0.387079709394679	0.999859467891763	1	1	0
Gm26901	274.377997898372	-0.020174592151334	0.120608937808067	-0.167272778601526	0.867155421881196	0.999859467891763	1	1	0
Gm30414	0.257735248442552	1.41054189886941	3.64390279315113	0.387096467425142	0.698684792742991	0.999859467891763	0	0.4	0.4
Sntg1	15128.3754879573	0.0626813792880239	0.0803630819657981	0.779977294981054	0.435404239692362	0.999859467891763	1	1	0
Rrs1	29.3102835360992	0.35491471449908	0.34591112695293	1.0260286149956	0.304878096248135	0.999859467891763	1	1	0
Adhfe1	55.4916165377833	0.0401210889165518	0.246569979339239	0.162716844216269	0.870741383979582	0.999859467891763	1	1	0
2610203C22Rik	29.7636450546167	0.0551698667318547	0.363376067899321	0.151825812444919	0.879324322753325	0.999859467891763	1	1	0
Vxn	26.1792603422032	-0.0479127294244998	0.488761208369435	-0.0980289118777292	0.921909335569049	0.999859467891763	1	1	0
Mybl1	40.6946581315451	0.255882757713502	0.273697158242846	0.934912000388631	0.349833652125204	0.999859467891763	1	1	0
Vcpip1	422.410092151096	0.0599251313409756	0.118608747981276	0.505233655703335	0.613394734366039	0.999859467891763	1	1	0
1700034P13Rik	18.0301550046114	0.683950884579657	0.444586898927949	1.53839639950906	0.123951722064715	0.999859467891763	1	1	0
Sgk3	531.384493506469	-0.356930686807993	0.233022994855732	-1.53174019168784	0.125586560104953	0.999859467891763	1	1	0
Snhg6	328.097702625381	-0.140113275659426	0.19912857123915	-0.703632204999613	0.481661850063371	0.999859467891763	1	1	0
Mcmdc2	186.88147049486	0.0841308284946352	0.166837173002045	0.504269084525928	0.614072299219257	0.999859467891763	1	1	0
Tcf24	2.75255164667781	0.507906526055977	1.06815315441477	0.475499720200944	0.634430832621436	0.999859467891763	1	1	0
Ppp1r42	19.3637690250548	-0.0774005581178711	0.382267854536604	-0.202477287062754	0.839543612971917	0.999859467891763	1	1	0
Gm15818	1.38654669828257	-0.336040952641979	1.31633661028865	-0.255284970436468	0.798503007318667	0.999859467891763	1	0.8	0.2
Gm57177	0	NA	NA	NA	NA	NA	0	0	0
Cops5	374.568251108859	-0.000430341026590707	0.123329353674536	-0.00348936416002284	0.997215895859419	0.999859467891763	1	1	0
Cspp1	2222.87715960681	0.0263308331917167	0.103958570377544	0.253281986238283	0.800050315269313	0.999859467891763	1	1	0
Arfgef1	1718.08313763128	-0.0897970748579176	0.108439133842501	-0.828087348874811	0.407621033643793	0.999859467891763	1	1	0
Cpa6	569.029122520912	0.718207871636277	1.02444730188061	0.701068635075557	0.483260183111139	0.999859467891763	1	1	0
Prex2	489.077156898566	-0.339308583144143	0.165264531955989	-2.05312403773668	0.040060549201606	0.999859467891763	1	1	0
A830018L16Rik	4635.30017835102	0.130434986148228	0.108316867174523	1.20419828924767	0.228512947055636	0.999859467891763	1	1	0
Sulf1	317.301529507363	-0.232517756546086	0.469972361008493	-0.494747725264389	0.620778208416295	0.999859467891763	1	1	0
Slco5a1	345.560226770802	-0.174307704928163	0.476352886582156	-0.365921378536877	0.714423743297733	0.999859467891763	1	1	0
